 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
87.09999999999999, 46.1482, 70.88083, 162.9269, 126.6551, 612.2874, 10.79305, 1012.432, 2.551163e-05, 31.29449, 1519.85, 20.89027, 0.008581094, 104.1156, 377.8336, 13.12159
87.2, 43.67715, 67.30524, 151.4674, 119.5666, 559.3349, 9.887922, 1176.922, 2.42217e-05, 30.02947, 1593.641, 19.25618, 0.008191486, 96.79178, 604.4578, 12.11941
87.3, 41.33843, 63.91003, 140.8139, 112.8749, 658.1447, 9.058704, 1108.093, 2.299698e-05, 28.81558, 1571.776, 17.74992, 0.007819567, 123.9771, 795.9387, 11.19377
87.40000000000001, 39.12493, 60.68609, 130.9097, 106.5577, 601.2264, 8.299026, 1043.289, 2.18342e-05, 27.65076, 1497.085, 16.36148, 0.007464534, 115.2561, 982.358, 10.33883
87.5, 37.02996, 57.62478, 121.7021, 100.5941, 549.2305, 7.603055, 982.2751, 2.07302e-05, 26.53303, 1525.191, 15.08165, 0.007125621, 107.1487, 1000.072, 503.0123
87.59999999999999, 35.04716, 54.7179, 113.1421, 94.96417, 582.2999, 6.96545, 924.8295, 1.968203e-05, 25.46048, 1467.875, 13.90192, 0.006802096, 99.61146, 1214.185, 1030.057
87.7, 33.17053, 51.95765, 105.1842, 89.64937, 531.9409, 6.381315, 870.7434, 1.868686e-05, 24.43129, 1398.122, 12.81448, 0.006493259, 92.60445, 1349.426, 1563.115
87.8, 31.39439, 49.33664, 97.78606, 163.3387, 485.937, 5.846167, 819.8204, 1.7742e-05, 23.4437, 1560.459, 11.81211, 0.006198445, 86.09035, 1535.396, 2095.022
87.90000000000001, 29.71335, 46.84785, 90.90824, 154.1972, 490.3041, 5.355897, 859.3853, 1.684492e-05, 34.78823, 1486.306, 10.88813, 0.005917016, 80.03447, 1469.182, 2606.88
88, 28.12233, 44.48462, 84.51418, 145.5673, 447.9012, 4.906743, 809.1265, 1.59932e-05, 33.38198, 1445.604, 10.03644, 0.005648365, 74.40458, 1544.759, 2623.849
88.09999999999999, 26.6165, 42.24059, 78.56984, 137.4204, 477.6653, 4.495255, 761.807, 1.518454e-05, 134.463, 1488.533, 9.251366, 0.005391912, 69.17072, 1483.016, 2423.448
88.2, 25.19129, 42.30014, 73.0436, 129.7295, 436.3553, 20.63149, 717.2548, 1.441677e-05, 129.0275, 1417.797, 8.527702, 0.005147102, 81.42773, 1513.504, 2286.468
88.3, 23.84241, 40.16631, 67.90605, 122.469, 398.618, 18.90129, 787.7671, 11.32567, 157.392, 1494.731, 7.860646, 0.004913407, 75.69983, 1454.059, 2246.368
88.40000000000001, 22.56575, 123.639, 63.12985, 115.6149, 364.1443, 77.86383, 756.7288, 25.68009, 230.3429, 1604.279, 7.245768, 0.004690323, 320.138, 1406.271, 2141.822
88.5, 21.35745, 117.402, 58.68959, 109.1443, 625.0967, 71.33404, 899.7815, 24.38164, 320.594, 1703.452, 6.678987, 0.004477368, 550.3531, 1337.72, 2078.866
