 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
389.5, 1193.544, 5.674067, 500.7579, 0.3388391, 2.058798e-06, 1261.509, 0.5219986, 2.139696e-06, 2.713782, 531.2375, 2042.808, 379.3657, 7.961444, 86.13254
389.6, 1133.436, 5.342596, 477.1009, 0.32404, 1.97051e-06, 1202.818, 0.495255, 2.000743e-06, 2.533248, 500.9709, 2035.315, 355.1162, 7.466988, 80.91609
389.7, 1161.393, 5.030489, 494.8122, 0.3098873, 1.886008e-06, 1181.279, 0.4698816, 1.870814e-06, 2.364724, 472.4287, 1930.81, 332.4168, 7.00324, 76.01557
389.8, 1102.904, 4.736615, 471.4361, 0.2963527, 1.80513e-06, 1216.064, 0.4458081, 1.749322e-06, 2.207412, 445.5126, 1818.24, 311.1684, 6.568294, 71.41184
389.9, 1145.21, 4.459908, 449.1643, 0.2834092, 1.72772e-06, 1154.632, 0.4229679, 1.63572e-06, 2.060564, 543.8307, 1845.719, 291.2782, 6.16036, 67.08693
390, 1087.536, 4.199366, 427.9447, 0.2710311, 1.65363e-06, 1091.146, 0.401298, 1.529496e-06, 1.923485, 525.8723, 1751.658, 272.6594, 5.777762, 63.02394
390.1, 1032.766, 3.954045, 407.7276, 0.2591935, 1.582716e-06, 1031.15, 0.3807382, 1.430169e-06, 1.795526, 495.9113, 1925.333, 255.2307, 5.418926, 59.20703
390.2, 1039.433, 3.723055, 388.4655, 0.247873, 1.514844e-06, 1097.048, 0.3612318, 1.337293e-06, 1.676079, 562.1119, 1848.515, 263.889, 5.082376, 55.62127
390.3, 987.0861, 3.505559, 370.1135, 0.2370469, 1.449883e-06, 1063.502, 0.3427248, 1.250449e-06, 1.564578, 573.0836, 1747.352, 247.0209, 4.766728, 52.25269
390.4, 937.3754, 3.300769, 352.6284, 0.2266937, 1.387707e-06, 1010.523, 0.3251659, 1.169244e-06, 1.460495, 540.4329, 1739.171, 251.1194, 4.470684, 49.08811
390.5, 890.1682, 3.107943, 349.0322, 0.2167927, 1.328197e-06, 1051.577, 0.3085067, 1.093312e-06, 1.363335, 509.6424, 1645.239, 301.1275, 4.193026, 46.11518
390.6, 845.3456, 2.926381, 332.5431, 0.207324, 1.27124e-06, 997.1445, 0.2927009, 1.022312e-06, 1.27264, 480.6061, 1623.818, 281.8791, 3.932612, 43.32231
390.7, 802.7731, 2.755426, 376.7542, 0.198269, 1.216725e-06, 999.224, 0.2777049, 9.559226e-07, 1.187978, 455.9745, 1574.934, 263.8611, 3.688371, 40.69859
390.8, 762.3446, 2.594458, 358.9554, 0.1896094, 1.164547e-06, 944.2829, 0.2634772, 8.938444e-07, 1.108948, 429.996, 1575.632, 246.9948, 3.4593, 38.23376
390.9, 728.9481, 2.442893, 341.9975, 0.181328, 1.114608e-06, 1002.614, 0.2499785, 8.357976e-07, 1.035175, 405.4975, 1604.784, 231.2067, 3.244455, 35.91821
391, 774.4183, 2.300183, 374.2083, 0.1734084, 1.06681e-06, 947.486, 0.2371713, 7.815204e-07, 0.9663104, 476.0299, 1586.795, 216.4277, 3.042953, 33.7429
391.1, 735.4178, 2.165809, 406.3991, 0.1658346, 1.021061e-06, 895.3896, 0.2250203, 7.307681e-07, 0.9020268, 448.9087, 1638.521, 202.5934, 2.853966, 31.69933
391.2, 757.9451, 2.039286, 387.1998, 0.1585916, 9.772748e-07, 853.6273, 0.2134918, 6.833116e-07, 0.8420196, 423.3326, 1542.992, 189.6434, 2.676717, 29.77952
391.3, 731.5585, 1.920153, 368.9076, 0.151665, 9.35366e-07, 852.885, 0.2025539, 6.389369e-07, 0.7860044, 399.2138, 1631.952, 177.5212, 2.510475, 27.97599
391.4, 694.7165, 1.807981, 351.4795, 0.1450409, 8.952544e-07, 805.9902, 0.1921765, 5.97444e-07, 0.7337157, 439.2744, 1536.806, 166.1739, 2.354558, 397.9699
391.5, 659.7299, 1.702361, 334.8748, 0.1387061, 8.568629e-07, 822.7992, 0.1823307, 5.586456e-07, 0.6849054, 414.2473, 1468.115, 155.5519, 2.208325, 874.1602
391.6, 626.5052, 1.602911, 371.5555, 0.132648, 8.201178e-07, 777.5586, 0.1729893, 5.223669e-07, 0.6393421, 390.6461, 1505.037, 145.6088, 2.071174, 821.2184
391.7, 594.9537, 1.509271, 354.0023, 0.1268545, 7.849484e-07, 780.556, 0.1641265, 4.884441e-07, 0.59681, 594.2852, 1472.37, 136.3014, 1.942541, 788.6909
391.8, 564.9913, 1.421102, 337.2784, 0.121314, 7.512872e-07, 737.6381, 0.1557178, 4.567242e-07, 0.5571074, 560.4266, 1440.891, 127.5889, 1.821896, 767.9272
391.9, 536.5377, 1.338083, 321.3446, 0.1160155, 7.190695e-07, 784.1209, 0.1477399, 4.270643e-07, 0.5200459, 528.4969, 1413.826, 119.4332, 1.708745, 721.4193
392, 509.5171, 1.259914, 306.1635, 0.1109484, 6.882335e-07, 741.007, 0.1401707, 3.993305e-07, 0.48545, 498.3865, 1486.994, 111.799, 1.602621, 677.728
392.1, 483.8573, 1.186312, 291.6996, 0.1061026, 6.587197e-07, 700.2636, 0.1329894, 3.733977e-07, 0.4531555, 469.9915, 1400.299, 104.6526, 1.503088, 636.6827
392.2, 459.4897, 1.117009, 354.014, 0.1014685, 6.304716e-07, 781.4419, 0.1261759, 3.491491e-07, 0.4230094, 443.2144, 1381.267, 97.96314, 1.409737, 618.3839
392.3, 624.6346, 1.051755, 337.2896, 0.09703678, 6.034349e-07, 738.4753, 0.1197115, 3.264751e-07, 0.3948688, 417.9628, 1300.737, 91.70124, 1.322183, 580.9327
392.4, 593.1773, 0.9903128, 321.3552, 0.09279861, 5.775576e-07, 697.8711, 0.1135783, 3.052737e-07, 0.3686002, 394.1499, 1253.962, 85.8396, 1.240067, 577.345
392.5, 563.3043, 0.93246, 319.7519, 0.08874555, 5.5279e-07, 659.4995, 0.1077594, 2.85449e-07, 0.3440792, 371.6937, 1249.052, 160.7512, 1.163051, 542.3793
392.6, 534.9357, 0.877987, 304.6461, 0.0848695, 5.290846e-07, 777.3897, 0.1022385, 2.669118e-07, 0.3211894, 426.6064, 1176.23, 150.4758, 1.090818, 509.5312
392.7, 507.9958, 0.8266962, 290.2538, 0.08116275, 5.063956e-07, 734.6459, 0.09700052, 2.495784e-07, 0.2998223, 402.3011, 1128.707, 140.8572, 1.023071, 478.6725
392.8, 556.6076, 107.714, 276.5416, 0.07761789, 4.846797e-07, 705.921, 0.09203088, 2.333706e-07, 0.2798767, 379.3805, 1108.977, 131.8535, 0.9595317, 449.6826
392.9, 528.5763, 101.4215, 263.4771, 0.07422786, 4.63895e-07, 667.1068, 0.08731585, 2.182154e-07, 0.261258, 358.6743, 1044.321, 123.4253, 0.8999386, 422.4485
393, 540.1049, 95.4966, 251.0298, 0.07098589, 4.440016e-07, 630.4268, 0.08284239, 2.040443e-07, 0.2438778, 338.2393, 1165.096, 115.5358, 0.8440466, 396.8638
393.1, 512.9047, 89.91782, 239.1705, 0.06788552, 4.249613e-07, 595.7635, 0.07859811, 1.907936e-07, 0.2276539, 318.9686, 1097.168, 108.1506, 0.7916259, 474.6882
393.2, 487.0742, 84.66495, 227.8715, 0.06492056, 4.067376e-07, 565.6454, 0.07457129, 1.784033e-07, 0.2125093, 300.7957, 1033.201, 127.455, 0.7424608, 445.9397
393.3, 462.5447, 122.1719, 217.1063, 0.0620851, 3.892953e-07, 671.0804, 0.07075077, 1.668177e-07, 0.1983722, 283.6583, 1033.68, 119.3079, 0.6963492, 592.3538
393.4, 439.2505, 115.4389, 206.8497, 0.05937347, 3.72601e-07, 637.3788, 0.06712599, 1.559845e-07, 0.1851755, 267.4972, 973.4142, 111.6816, 0.6531014, 593.1987
393.5, 422.2674, 108.6952, 197.0776, 0.05678028, 3.566226e-07, 753.8489, 0.06368691, 1.458548e-07, 0.1728567, 252.2569, 916.6622, 104.5428, 0.6125396, 557.2728
