 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
176.4, 67.26328, 361.2307, 345.8202, 39.37126, 988.9827, 190.9619, 1067.955, 430.1046, 537.1132, 125.7545, 432.6675, 30.20054, 551.422, 1108.14, 917.0378, 209.7309, 543.56, 444.6186, 1244.379
176.5, 63.77662, 342.5619, 348.4317, 37.22942, 925.7346, 332.6817, 1015.777, 409.9607, 624.6371, 118.0676, 407.9427, 28.27986, 525.6736, 1057.301, 946.9274, 195.3574, 598.005, 418.8623, 1189.663
176.6, 60.4707, 324.8578, 331.0966, 35.20409, 866.5314, 313.8112, 966.1494, 399.3822, 597.2285, 110.8507, 384.6309, 26.48133, 501.1275, 1008.795, 900.7939, 181.9689, 568.417, 394.5981, 1137.354
176.7, 57.33614, 308.0687, 314.6241, 33.28894, 811.1144, 296.0111, 1044.77, 388.9377, 568.8628, 104.0748, 362.6512, 24.79718, 535.5059, 1043.682, 856.908, 169.498, 540.2929, 371.7395, 1251.911
176.8, 54.36406, 292.1473, 298.971, 31.47798, 772.3992, 279.2206, 993.7258, 370.7219, 541.8443, 97.71315, 341.9275, 23.22014, 519.2087, 995.8004, 949.9899, 157.8818, 579.6871, 466.5057, 1324.87
176.9, 51.54604, 277.0487, 284.0967, 29.76554, 882.7264, 263.3825, 976.8002, 353.3592, 568.9825, 111.1105, 322.3881, 21.74339, 494.9645, 983.6513, 925.1141, 147.0616, 551.0054, 439.4816, 1346.745
177, 48.8741, 262.7305, 269.9624, 28.14625, 826.2737, 248.4428, 938.0811, 350.0556, 570.1962, 104.3187, 303.9652, 20.36057, 484.046, 1008.135, 891.564, 136.983, 523.7429, 493.4726, 1287.529
177.1, 46.34066, 249.1522, 256.5313, 26.61506, 773.4313, 234.3506, 892.249, 333.6608, 543.1144, 97.94217, 338.0316, 19.06568, 466.3295, 1017.696, 848.1277, 236.6784, 514.7847, 464.8864, 1429.028
177.2, 43.93855, 236.2757, 243.7685, 25.16717, 951.9052, 221.0576, 953.6333, 318.0339, 517.3189, 91.95537, 318.7148, 17.85315, 449.5385, 971.0067, 914.9644, 220.4581, 489.3142, 537.1837, 1438.295
177.3, 41.66095, 224.0646, 231.6406, 23.79804, 891.0283, 208.5187, 967.2909, 303.1388, 492.7485, 86.33452, 309.2434, 16.71773, 428.5475, 926.4594, 996.712, 205.3494, 535.9946, 571.6047, 1465.024
177.4, 39.50141, 212.4847, 220.1161, 22.5034, 834.0446, 196.691, 1002.426, 288.9414, 503.9644, 81.05724, 291.5717, 15.65452, 425.9769, 909.1053, 948.1531, 191.2761, 509.4747, 538.4923, 1400.606
177.5, 37.45382, 201.5032, 209.165, 21.27918, 780.7052, 185.5343, 1003.146, 275.4089, 480.0283, 76.10255, 274.9099, 14.65893, 406.0862, 995.9673, 901.9598, 178.1674, 484.267, 507.2981, 1423.465
177.6, 35.51236, 191.0892, 198.7587, 20.12157, 730.777, 221.175, 972.344, 262.5102, 457.229, 71.45071, 259.2002, 13.72666, 445.1254, 973.5329, 949.3253, 165.957, 467.4401, 477.9109, 1360.875
177.7, 33.67154, 181.2135, 188.8701, 19.02693, 684.0418, 208.6295, 924.8379, 330.2744, 435.5127, 67.08323, 244.3882, 12.85368, 424.3405, 928.8696, 1012.11, 154.5834, 444.3121, 450.2261, 1301.037
177.8, 31.92614, 171.8481, 179.4735, 17.99184, 640.2955, 196.7955, 879.6528, 314.8061, 414.8277, 62.98271, 230.4226, 12.03621, 404.5261, 924.6978, 962.8005, 143.9893, 422.3285, 424.1451, 1243.83
177.9, 30.27122, 162.9668, 198.8893, 17.01306, 599.3469, 185.6328, 1036.686, 300.0623, 462.1141, 59.13284, 217.2552, 11.27074, 385.637, 922.6478, 1037.517, 134.1213, 401.4326, 399.5748, 1189.139
178, 28.70208, 154.5444, 188.9942, 16.08753, 561.017, 175.1032, 986.0363, 286.0089, 440.1657, 55.51829, 204.8401, 10.55395, 481.1498, 893.8132, 1057.062, 124.9295, 526.2073, 376.4279, 1136.852
178.1, 27.21428, 146.5574, 179.5914, 15.21235, 525.1385, 263.737, 969.2679, 272.6137, 505.5845, 52.12468, 193.1345, 9.882743, 458.6827, 852.8073, 1005.563, 116.3677, 500.1717, 354.6219, 1086.865
