 , C000, C003, C005, C008, C009, C010, C012, C015, C018, C019, C021, C022, C024, C026, C030, C033, C036, C037, C039, C040, C045, C047, C049, C062, C081, C082, C086, C118
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
173.9, 201.1532, 112.7225, 264.5863, 14.60243, 1439.351, 407.2309, 1268.308, 131.5076, 739.6299, 542.774, 2077.516, 1380.812, 411.774, 1961.54, 15.29231, 1157.85, 756.0276, 476.8246, 2623.826, 541.4478, 2293.783, 673.348, 1375.482, 1431.275, 492.081, 960.0936, 1012.078, 0.4426018
174, 190.8608, 106.8253, 249.0855, 13.93534, 1368.003, 384.6546, 1380.576, 125.3634, 705.0121, 595.6198, 2094.907, 1468.842, 392.3098, 1876.104, 14.58909, 1180.576, 711.1476, 450.8163, 2528.934, 518.6496, 2190.99, 643.4816, 1313.583, 1368.063, 467.0991, 971.6545, 966.0237, 0.4241794
174.1, 181.0949, 101.2366, 234.4928, 13.29872, 1348.104, 363.3299, 1315.785, 119.5064, 764.9788, 570.3913, 2001.803, 1508.546, 407.5182, 1853.623, 13.9182, 1235.69, 728.5916, 426.2265, 2623.301, 496.8113, 2149.172, 614.94, 1347.461, 1464.387, 443.3854, 923.5542, 990.085, 0.4065238
174.2, 171.8288, 95.94026, 220.755, 12.69119, 1402.215, 343.1874, 1293.777, 207.0871, 736.16, 546.2314, 2006.817, 1531.589, 481.3355, 1772.887, 13.27816, 1175.227, 720.7988, 421.8683, 2653.046, 475.8925, 2052.86, 676.6104, 1286.823, 1456.385, 420.8757, 877.835, 1014.475, 0.389603
174.3, 163.0368, 90.92101, 207.8221, 12.11141, 1332.708, 324.1616, 1443.647, 197.4118, 701.7046, 556.277, 1994.423, 1616.782, 458.5833, 1695.667, 12.66756, 1146.813, 678.0101, 451.328, 2532.948, 455.8546, 1960.864, 646.5993, 1228.914, 1427.504, 399.5087, 834.379, 968.3118, 0.3733866
174.4, 154.6946, 135.7982, 195.6468, 11.55811, 1337.543, 306.1905, 1375.896, 188.1886, 668.8618, 532.7149, 2039.009, 1544.034, 436.9065, 1632.085, 12.08503, 1123.6, 706.9663, 426.7104, 2565.742, 436.6604, 1872.991, 617.9194, 1173.611, 1359.61, 379.2265, 793.0743, 924.2495, 0.3578451
174.5, 146.7793, 128.6937, 184.1849, 11.03009, 1271.242, 437.4799, 1425.15, 179.3963, 637.5562, 510.1508, 1948.389, 1474.56, 416.2543, 1721.306, 11.52929, 1068.621, 664.9987, 403.4355, 2551.553, 418.2743, 2042.11, 607.913, 1227.716, 1398.836, 359.974, 753.8143, 882.1921, 0.3429505
174.6, 139.269, 121.9609, 173.3944, 10.5262, 1223.947, 413.2267, 1386.336, 171.0148, 714.3221, 488.5425, 1874.752, 1408.211, 396.5784, 1718.253, 10.99911, 1254.098, 643.873, 381.4301, 2436.049, 400.6624, 2150.574, 605.3491, 1265.393, 1352.284, 341.6989, 716.4978, 842.0486, 0.3286759
174.7, 132.143, 115.5804, 163.2361, 10.04532, 1253.451, 405.318, 1404.156, 169.9117, 680.8889, 467.8495, 1859.866, 1402.067, 377.8325, 1703.577, 10.49331, 1243.097, 608.9504, 360.625, 2401.907, 383.7921, 2054.2, 761.5201, 1283.422, 1490.557, 324.3515, 681.0286, 803.7318, 0.3149954
174.8, 125.3816, 109.5336, 153.6729, 9.586413, 1245.383, 457.5517, 1511.483, 161.9733, 649.0204, 560.1443, 1894.828, 1338.98, 359.9727, 1664.972, 10.01077, 1375.876, 572.8014, 340.9548, 2425.232, 367.6322, 1962.144, 727.7429, 1263.938, 1419.665, 307.8849, 702.0623, 904.3885, 0.3018844
174.9, 141.003, 117.0839, 144.6699, 9.14847, 1252.203, 432.1857, 1440.548, 154.4058, 658.5284, 536.4184, 1875.287, 1278.732, 342.9572, 1641.091, 9.550417, 1425.524, 538.7982, 322.3574, 2404.678, 352.1526, 2079.156, 695.4638, 1207.059, 1352.144, 292.2542, 667.3077, 863.235, 0.289319
175, 133.7883, 110.9585, 136.1944, 8.730534, 1381.297, 408.226, 1372.942, 234.5735, 627.7065, 513.6974, 1898.104, 1221.195, 326.7459, 1644.904, 9.111235, 1433.831, 604.5912, 304.7745, 2372.935, 337.3249, 1995.62, 677.5602, 1322.5, 1287.834, 277.4171, 634.2736, 823.9541, 0.2772767
175.1, 126.9427, 145.9031, 128.2155, 8.33169, 1343.776, 543.7601, 1308.509, 223.6141, 714.7576, 531.5582, 1880.974, 1166.246, 311.3009, 1573.259, 8.692248, 1465.456, 568.701, 288.1506, 2493.518, 323.1215, 1996.649, 736.959, 1262.986, 1226.583, 263.3332, 692.9164, 901.8524, 0.2657356
175.2, 120.4473, 138.27, 120.704, 7.951067, 1277.166, 513.6149, 1294.022, 213.1667, 702.6127, 509.0432, 2020.204, 1177.823, 296.586, 1504.734, 8.29253, 1440.631, 534.9413, 272.4334, 2423.122, 309.5161, 1907.172, 828.2862, 1301.408, 1168.246, 249.9643, 658.6146, 860.8143, 0.2546749
175.3, 114.2844, 131.0362, 113.6325, 7.587832, 1304.886, 485.1408, 1373.197, 203.2074, 669.7274, 487.4818, 2097.711, 1198.533, 282.5667, 1480.675, 7.911193, 1370.14, 691.7381, 257.5735, 2313.432, 296.4836, 2075.183, 807.4503, 1324.966, 1171.081, 237.2742, 626.0109, 821.6436, 0.2440746
175.4, 108.4368, 167.5908, 106.9754, 7.241192, 1511.839, 458.2453, 1308.752, 193.7134, 638.3813, 507.0078, 2181.253, 1197.891, 269.21, 1433.42, 7.547391, 1480.296, 650.6745, 243.5242, 2475.228, 283.9999, 1982.187, 771.6357, 1310.22, 1223.295, 225.2282, 595.0211, 818.3804, 0.2339154
175.5, 102.8883, 158.823, 100.7082, 6.910387, 1483.334, 533.6786, 1247.331, 285.2911, 615.0366, 542.2184, 2084.312, 1143.991, 256.4847, 1483.176, 7.20032, 1457.694, 612.0486, 230.2412, 2363.179, 272.0418, 2243.549, 737.4098, 1253.392, 1203.704, 213.7939, 565.5654, 781.1406, 0.2241792
175.6, 130.7053, 150.514, 94.8082, 6.594695, 1409.807, 575.0424, 1188.793, 295.6728, 703.5751, 535.3252, 2038.351, 1352.493, 244.3609, 1418.575, 6.869208, 1386.368, 670.5528, 217.6827, 2256.203, 260.5872, 2146.839, 704.702, 1196.988, 1146.455, 202.94, 601.5645, 804.0923, 0.2148482
175.7, 161.2897, 142.6396, 89.25386, 35.13405, 1339.924, 543.1629, 1428.763, 304.3879, 670.6448, 535.0024, 1969.414, 1337.513, 232.8102, 1497.66, 6.553323, 1512.064, 630.7468, 205.8092, 2267.178, 249.6149, 2050.632, 673.4449, 1280.62, 1091.928, 192.6372, 727.3816, 832.7252, 0.2059056
175.8, 153.0369, 135.1773, 84.02492, 33.529, 1294.255, 513.0507, 1395.455, 290.1667, 687.0164, 512.3415, 1881.887, 1372.196, 221.8055, 1591.915, 6.251965, 1438.077, 646.2241, 322.9149, 2164.548, 239.1046, 2197.631, 660.401, 1222.99, 1113.32, 182.8574, 691.3736, 794.8326, 0.1973352
