 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
167.3, 554.4972, 278.637, 7.139584, 37.43159, 363.1019, 1059.156, 105.3393, 375.6949, 142.6135, 528.1978, 27.61255, 44.1469, 429.4118, 233.8165, 14.70736, 369.6958, 166.9467, 373.6233, 2.182816, 896.4505
167.4, 574.0983, 258.7636, 6.784043, 35.01062, 338.628, 1004.941, 99.15781, 917.522, 133.8679, 564.6602, 25.42488, 41.52423, 402.8497, 217.3553, 14.00603, 348.8043, 152.9032, 352.1706, 2.065883, 856.1478
167.5, 536.7749, 240.3076, 6.446208, 32.74624, 315.8036, 953.5014, 93.33903, 1328.118, 125.6586, 637.0708, 23.41053, 39.05736, 377.9306, 202.0529, 13.33815, 329.0933, 140.0411, 331.9497, 1.955214, 817.6571
167.6, 501.8779, 223.168, 6.125197, 30.62831, 294.5177, 904.6945, 87.8617, 1242.788, 117.9528, 603.5903, 21.55578, 36.73705, 354.5529, 187.8279, 12.70211, 310.4962, 128.2609, 312.8898, 1.850473, 780.8969
167.7, 469.2497, 207.2508, 5.820172, 28.64736, 329.9936, 858.3859, 82.7058, 1239.161, 110.7195, 571.8693, 19.84797, 34.55457, 332.6214, 174.6044, 12.0964, 292.95, 117.4716, 294.9243, 1.751343, 745.7892
167.8, 438.7427, 192.4689, 5.530337, 26.79453, 307.7512, 814.4478, 77.85246, 1175.154, 103.9298, 541.8153, 18.27547, 32.50176, 312.0464, 162.3118, 11.51958, 276.3954, 107.59, 277.9904, 1.657524, 712.26
167.9, 410.2191, 178.7413, 5.254935, 25.06154, 287.0081, 772.7586, 73.28392, 1106.849, 97.5564, 567.8542, 16.82755, 30.5709, 384.6687, 150.8846, 10.97026, 359.3063, 98.53959, 262.0287, 1.56873, 680.2382
168, 383.5498, 165.9928, 4.993248, 23.44063, 267.663, 805.0208, 68.98347, 1089.681, 91.57388, 538.0112, 15.49435, 28.75475, 360.8743, 140.262, 10.44713, 339.0018, 90.2505, 246.9836, 1.484693, 649.6559
168.1, 456.0255, 154.1535, 4.744592, 21.92456, 249.6219, 790.2451, 64.93539, 1181.989, 85.95823, 509.7366, 14.26677, 27.04649, 338.5517, 130.3872, 9.948956, 411.1269, 82.65868, 232.8023, 1.405158, 620.4487
168.2, 426.3782, 143.1587, 4.508318, 20.50654, 232.7968, 821.6566, 61.12485, 1106.047, 80.68695, 527.0566, 13.13645, 25.43971, 431.9967, 121.2076, 9.474534, 507.0218, 75.70547, 219.4353, 1.329884, 592.5545
168.3, 445.4537, 132.9481, 4.283811, 19.18024, 217.1057, 779.5984, 57.53792, 1059.918, 75.73893, 499.3577, 12.09569, 23.92839, 405.2747, 112.6743, 9.022735, 556.3852, 93.01085, 206.8358, 1.258642, 565.9144
168.4, 416.4938, 123.4657, 4.070484, 17.93972, 202.4723, 739.6932, 54.16148, 1061.983, 71.09434, 473.1145, 11.13738, 22.50686, 454.4813, 104.7418, 8.59248, 574.6014, 105.0535, 194.9597, 1.191217, 540.472
168.5, 389.4166, 114.6597, 3.86778, 16.77943, 188.8252, 787.6508, 50.98317, 993.7512, 66.73457, 448.2505, 10.25499, 93.72422, 426.3684, 97.36769, 8.182742, 604.4278, 96.21646, 183.7655, 1.127403, 516.1735
168.6, 436.2094, 106.4817, 3.675171, 15.69419, 176.0979, 747.3333, 47.99137, 1035.451, 62.64215, 424.6932, 9.442514, 100.5997, 399.9945, 90.51276, 7.792543, 633.7532, 88.12279, 173.2141, 1.067008, 492.9673
168.7, 407.8504, 98.88706, 3.492153, 14.67913, 164.2285, 709.0796, 45.17514, 1031.328, 58.8007, 402.3739, 8.694408, 94.62325, 375.2521, 84.14044, 7.420951, 679.2946, 115.2717, 163.2685, 1.009849, 470.8045
168.8, 381.3351, 91.83407, 3.31825, 13.72973, 153.1591, 672.7839, 42.52417, 965.066, 55.19483, 381.2276, 8.005573, 89.00188, 352.0401, 78.21675, 7.067078, 640.9076, 105.5751, 153.8939, 0.9557511, 449.638
168.9, 356.5437, 85.28412, 3.153006, 12.84173, 145.8988, 709.5974, 40.02877, 918.2212, 51.81008, 361.1926, 7.371313, 156.6855, 330.2639, 72.7101, 6.73008, 659.4114, 96.69419, 145.0577, 0.9045516, 429.4232
169, 381.5954, 79.20133, 2.995991, 12.01117, 136.0649, 673.2753, 37.6798, 864.0583, 48.63289, 342.2105, 6.787303, 256.1424, 309.8348, 67.59113, 6.409152, 622.148, 88.56033, 136.7288, 0.8560948, 410.1172
169.1, 356.787, 73.5524, 2.846796, 11.23432, 126.8938, 638.8123, 35.46867, 808.5433, 45.65054, 324.226, 6.249563, 240.9255, 290.6694, 62.83255, 6.103528, 586.9904, 117.6906, 128.8781, 0.8102338, 391.6791
169.2, 352.8728, 68.30637, 2.70503, 10.50772, 118.3408, 620.8506, 33.3873, 860.8271, 42.85108, 307.1867, 5.754426, 226.6126, 337.2035, 58.40899, 5.812477, 553.8195, 107.7905, 121.4782, 180.8212, 374.0699
169.3, 329.9317, 63.4345, 2.570323, 9.828108, 216.1051, 589.0711, 31.42806, 827.3014, 40.22329, 291.0428, 5.298518, 213.1501, 316.3451, 54.29685, 5.535306, 635.9951, 132.5817, 114.5032, 319.0394, 357.2525
169.4, 308.4821, 58.91011, 2.442325, 9.192454, 201.5392, 558.9183, 29.5838, 774.1479, 37.75665, 275.7474, 4.87873, 200.4873, 296.7769, 50.47422, 5.271351, 600.055, 121.429, 107.9286, 301.9484, 341.1911
169.5, 299.3959, 54.70842, 2.320701, 8.597914, 194.2749, 586.0847, 27.84776, 834.6886, 35.44128, 261.2558, 4.492201, 188.5767, 278.4192, 46.92071, 5.019983, 637.6244, 111.2145, 101.7316, 323.9549, 325.8518
169.6, 346.5132, 50.80641, 2.205134, 8.041826, 200.8798, 626.2563, 26.2136, 806.038, 98.88026, 247.5258, 70.69776, 274.257, 408.1018, 43.61738, 4.780602, 766.5164, 101.8592, 95.89037, 306.6006, 311.2022
169.7, 323.9855, 47.18271, 2.095322, 7.521705, 187.34, 594.2001, 24.67533, 863.5128, 176.7469, 234.5173, 84.16927, 257.964, 382.8579, 40.54661, 4.552637, 723.2005, 93.29086, 90.38454, 341.8304, 297.2111
169.8, 302.9225, 43.81746, 1.990978, 7.035223, 174.7128, 563.7849, 23.22733, 808.0328, 165.9082, 429.1363, 77.50076, 242.6389, 359.1754, 37.69203, 4.335541, 682.3324, 203.2907, 85.19485, 323.5185, 283.8491
169.9, 283.2288, 40.69223, 1.891831, 6.580205, 162.9368, 534.9264, 21.86431, 930.7906, 243.5567, 406.5835, 71.36058, 228.2242, 336.9579, 35.03842, 4.128798, 643.7737, 186.19, 290.0198, 306.1877, 271.0878
170, 264.8154, 37.78991, 1.79762, 6.154617, 151.9545, 507.5451, 20.58127, 974.0102, 228.6209, 396.3576, 65.70687, 214.6659, 316.1147, 32.57163, 3.931914, 607.394, 342.5148, 273.3674, 289.7852, 258.9002
170.1, 247.5992, 35.09459, 1.708102, 5.756555, 141.7124, 481.5654, 19.37352, 911.4308, 214.6011, 375.5275, 175.9914, 201.9131, 296.5609, 30.27851, 3.744418, 667.1553, 581.7055, 270.4759, 380.4513, 247.2606
170.2, 231.5022, 32.59151, 1.623041, 5.384238, 201.119, 525.321, 35.55653, 882.4771, 232.4261, 386.6471, 162.0481, 189.9178, 278.2165, 28.14683, 3.565863, 629.4543, 532.7728, 254.9458, 360.0705, 236.1442
170.3, 216.4517, 30.26697, 1.542216, 5.036001, 187.5631, 523.0568, 90.38651, 977.2643, 218.1729, 688.3761, 149.2094, 178.6352, 261.0069, 26.16522, 3.395823, 698.0966, 495.1366, 298.5811, 428.5974, 225.5276
170.4, 246.3177, 165.3795, 1.465416, 4.710288, 174.9209, 504.0081, 85.08244, 983.5759, 297.4251, 714.1768, 298.0374, 168.0229, 244.8618, 24.32312, 3.233891, 658.647, 463.7862, 281.4371, 502.0129, 215.3884
170.5, 311.3932, 153.584, 1.392441, 4.40564, 203.6196, 557.5732, 128.9729, 920.382, 362.3391, 803.3105, 389.3637, 158.041, 300.1713, 22.61072, 3.079681, 621.4268, 424.7728, 442.3542, 475.1201, 205.7049
170.6, 433.6364, 169.8266, 1.323099, 4.120696, 250.2561, 529.0327, 121.4046, 935.0287, 580.6967, 909.3697, 358.5154, 273.7938, 505.5709, 377.3816, 2.932824, 862.4969, 389.0411, 416.9551, 530.6494, 196.4568
170.7, 405.4447, 189.6706, 1.257211, 3.854182, 233.3883, 501.9531, 243.612, 874.9539, 545.0862, 861.5788, 375.1183, 261.9662, 474.2978, 497.8397, 2.792971, 813.7571, 553.8787, 393.0144, 652.2307, 187.6245
170.8, 379.0858, 176.1426, 1.194604, 3.604904, 247.4005, 476.2597, 229.3164, 818.7388, 511.6595, 816.2995, 345.3987, 246.4034, 444.9592, 462.7906, 2.659786, 767.7716, 507.2867, 502.8221, 617.2907, 179.1893
170.9, 354.4406, 163.5794, 1.135115, 3.37175, 230.7251, 451.8814, 215.8596, 766.1356, 480.2827, 773.3998, 318.0337, 316.5916, 417.4354, 430.209, 2.532953, 724.3848, 464.6141, 473.951, 584.2225, 171.1333
171, 331.3976, 151.9123, 1.078588, 3.153675, 215.1737, 485.711, 203.1925, 716.912, 450.83, 732.7546, 292.8367, 297.7836, 391.6141, 399.9212, 2.412167, 683.4497, 471.9638, 521.1156, 552.9257, 163.4395
171.1, 309.8526, 141.0774, 1.024876, 2.949705, 200.6705, 530.6888, 191.2688, 670.851, 423.1834, 694.2455, 269.636, 280.0929, 367.39, 371.7658, 2.297141, 644.8279, 582.3684, 491.1942, 607.2928, 156.0915
171.2, 289.7084, 131.0152, 0.9738384, 2.758926, 187.1448, 503.5245, 180.0447, 627.7494, 397.2322, 657.7603, 248.2734, 263.4531, 344.6644, 345.5926, 2.187601, 608.3886, 584.7491, 462.9908, 574.7602, 149.074
171.3, 270.8738, 121.6707, 0.9253428, 2.580487, 284.5311, 477.7506, 169.4794, 587.417, 372.8725, 623.1924, 228.6034, 247.8019, 323.3445, 321.262, 2.083283, 574.0085, 540.7449, 550.6771, 543.9703, 142.3719
171.4, 253.2637, 112.9927, 0.8792622, 2.413589, 265.353, 453.296, 159.534, 595.9258, 350.0066, 590.4412, 210.4917, 233.0805, 303.3434, 298.6444, 1.983941, 541.5713, 495.2578, 807.3017, 514.8298, 135.9711
171.5, 236.7984, 104.9336, 0.8354763, 2.257485, 247.4676, 430.0931, 150.1722, 557.6381, 328.5429, 559.4113, 193.815, 219.2337, 284.5794, 277.6191, 1.889335, 510.967, 453.597, 834.0103, 487.2504, 129.8581
171.6, 221.4036, 97.44938, 0.7938709, 2.111478, 261.9078, 408.0779, 141.3598, 521.8104, 308.3954, 530.012, 178.4596, 206.2095, 266.9762, 258.074, 1.799241, 482.0923, 556.6025, 786.1231, 461.1484, 124.02
171.7, 207.0097, 90.49892, 0.7543374, 1.974913, 244.2546, 387.1897, 133.0645, 536.1779, 289.4835, 557.7556, 244.8704, 193.959, 250.4619, 239.905, 1.713443, 454.8492, 639.4763, 740.9855, 436.4447, 118.4443
