 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
118.5, 180.5638, 210.047, 464.2024, 88.91305, 140.7946, 199.7533, 297.4517, 1278.739, 869.6609, 184.7776, 1674.702, 80.71602, 71.67026, 436.4026, 1206.915, 225.0788, 950.9713, 668.611, 180.5729, 708.7715, 1081.022, 0.3708522
118.6, 167.8129, 194.5294, 441.4525, 83.8266, 134.3142, 187.3936, 356.1731, 1298.521, 820.1058, 246.1403, 1886.313, 75.76408, 66.18795, 413.7802, 1133.642, 210.5508, 902.0852, 638.9907, 265.3786, 672.7051, 1159.818, 0.3531981
118.7, 155.9625, 180.1583, 516.9107, 79.03114, 128.1321, 175.7986, 329.407, 1224.105, 773.3745, 280.5129, 1864.694, 71.11595, 61.125, 509.5053, 1064.818, 196.9605, 855.7122, 610.6827, 250.8747, 638.4739, 1184.015, 0.3363844
118.8, 144.9489, 166.8489, 491.5776, 74.51, 122.2345, 164.9211, 304.6522, 1153.953, 787.3741, 262.0223, 1832.179, 66.75298, 56.44934, 483.0934, 1000.172, 184.2474, 918.5199, 583.6287, 237.1635, 605.9846, 1162.951, 0.3203712
118.9, 134.713, 154.5227, 467.4861, 70.24751, 116.6084, 154.7166, 281.7578, 1157.721, 885.8946, 244.7506, 1821.673, 62.65768, 52.13133, 458.0506, 939.4504, 172.3549, 871.3021, 557.7733, 270.3635, 575.1485, 1104.26, 0.3051202
119, 125.2, 143.1071, 444.5752, 66.22887, 111.2413, 145.1436, 260.5839, 1133.774, 845.9119, 228.6174, 1726.829, 58.81363, 48.14362, 481.5016, 882.4155, 161.23, 946.8142, 533.0632, 255.5871, 545.8816, 1048.531, 0.2905952
119.1, 116.3587, 132.5349, 563.5125, 98.12271, 106.1211, 136.1628, 241.0012, 1068.799, 868.2281, 213.5476, 1816.153, 55.2054, 44.46095, 545.1182, 956.4482, 150.8232, 908.0438, 540.39, 241.6183, 657.6022, 995.6138, 0.2767617
119.2, 108.1418, 122.7437, 663.4626, 119.5732, 101.2367, 127.7378, 275.9859, 1007.548, 818.7547, 199.4712, 1799.677, 51.81855, 41.05997, 516.8602, 898.3813, 141.0881, 916.9515, 516.45, 228.413, 704.5254, 1079.045, 0.2635867
119.3, 100.5052, 113.6758, 716.8188, 112.7328, 96.57703, 119.834, 255.2457, 949.8073, 772.1004, 186.3226, 1705.978, 48.63947, 37.91915, 590.1757, 843.8397, 131.9814, 869.8143, 506.5724, 272.0802, 668.675, 1024.588, 0.2510389
119.4, 93.40779, 105.2779, 681.6885, 106.2837, 92.13185, 112.4193, 236.0642, 895.3754, 728.1046, 174.0408, 1617.158, 45.65544, 35.01858, 653.8058, 792.6093, 210.123, 825.1003, 484.1307, 257.21, 634.6489, 1004.187, 0.2390885
119.5, 86.81161, 97.50032, 648.2798, 100.2035, 87.89127, 105.4634, 218.3241, 844.063, 729.6113, 162.5686, 1619.595, 42.85447, 32.33989, 758.6646, 744.4893, 196.5604, 978.7007, 462.6831, 338.4232, 602.3542, 953.5076, 0.2277069
119.6, 80.68124, 90.29735, 616.5085, 94.47116, 83.84588, 98.93784, 201.9172, 862.4881, 725.0375, 151.8525, 1637.572, 40.22535, 29.86609, 1068.203, 699.2906, 249.385, 928.3892, 442.1857, 420.1948, 571.7029, 905.3864, 0.2168671
119.7, 74.98376, 83.6265, 586.2943, 89.06675, 118.5303, 92.81607, 186.7432, 827.0544, 776.6987, 141.8429, 1582.465, 37.75751, 27.58153, 1158.746, 656.836, 365.3632, 880.664, 443.5633, 500.909, 797.8444, 1110.798, 0.2065433
119.8, 69.68864, 77.44848, 557.5608, 83.97151, 113.0747, 87.07309, 172.7096, 779.6573, 732.4409, 132.493, 1589.414, 35.44109, 25.47172, 1098.679, 616.9589, 341.7803, 835.3922, 468.9179, 473.5325, 757.2454, 1054.738, 0.196711
