 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
52.3, 1184.112, 571.8075, 140.4792, 760.5566, 239.2468, 52.83672, 1233.695, 0.7712784, 176.0136, 246.1963, 72.66819, 144.8493, 278.2178, 0.9583298, 10.42272, 446.6588, 246.1425, 25.74736, 235.704, 308.1608, 289.7117, 19.76801, 1145.09
52.4, 1215.91, 541.8013, 133.754, 740.0873, 226.5014, 50.41211, 1182.164, 0.735378, 167.9295, 235.677, 69.60774, 138.1631, 266.2278, 0.9112167, 9.914947, 425.5024, 235.1346, 24.57419, 273.7298, 334.9496, 347.9265, 18.90508, 1172.527
52.5, 1336.846, 680.792, 127.3509, 812.1648, 214.435, 48.09877, 1132.785, 0.7011486, 160.2166, 225.6071, 66.67619, 131.7856, 254.7545, 0.8664197, 9.431915, 405.3481, 224.619, 23.45447, 261.258, 340.247, 330.7965, 18.07983, 1123.277
52.6, 1268.219, 687.6485, 121.2542, 767.4324, 203.0114, 66.57755, 1210.39, 0.6685125, 152.858, 215.9675, 63.8681, 125.7025, 243.7757, 0.8238251, 8.972416, 386.1485, 214.5737, 22.38577, 287.925, 326.0911, 336.5332, 17.29059, 1076.096
52.7, 1247.025, 651.5635, 115.4494, 725.1638, 192.1964, 63.52239, 1173.695, 0.6373954, 145.8374, 206.7398, 61.17827, 119.9001, 233.2701, 0.7833244, 8.535302, 367.8582, 260.1142, 21.36576, 274.8064, 312.5241, 319.9643, 16.53581, 1030.897
52.8, 1288.847, 617.372, 109.9226, 719.0341, 181.9575, 60.60743, 1144.967, 0.6077268, 139.1393, 197.9063, 58.60173, 114.3656, 223.2171, 0.7448149, 8.119484, 350.4343, 253.7118, 20.39223, 262.2855, 299.5216, 387.8341, 15.81398, 987.5962
52.9, 1222.684, 584.9748, 104.6603, 679.4311, 172.2641, 57.82623, 1188.832, 0.5794392, 132.7487, 189.4503, 56.13369, 109.0866, 213.5974, 0.7081985, 7.723923, 333.8357, 242.3654, 19.46306, 412.6127, 287.06, 368.7394, 15.12365, 1084.483
53, 1179.576, 554.2776, 99.64989, 642.0094, 163.087, 55.17266, 1139.174, 0.5524682, 126.6517, 181.3556, 53.7696, 104.0512, 204.3923, 0.6733823, 7.347633, 318.0233, 231.5264, 18.57623, 487.4809, 275.1169, 350.5848, 14.46347, 1066.057
53.1, 1119.022, 593.218, 94.87937, 645.5463, 154.3989, 52.64086, 1260.446, 0.5267527, 120.8347, 173.6068, 51.50508, 99.24829, 195.5839, 0.6402777, 6.989675, 302.9598, 221.1721, 17.7298, 480.0292, 263.6707, 333.324, 13.8321, 1150.806
53.2, 1203.94, 661.0245, 90.33723, 632.6044, 146.1736, 50.22523, 1207.797, 0.5022342, 115.2849, 166.189, 49.33592, 94.66705, 187.1551, 0.6088006, 6.649155, 288.6099, 211.2809, 16.92195, 458.1578, 252.7008, 349.5382, 13.22829, 1102.469
53.3, 1142.135, 629.4448, 86.01254, 597.7618, 138.3865, 114.6699, 1157.348, 0.4788569, 109.99, 159.0882, 47.25813, 90.29729, 179.0895, 0.578871, 6.325225, 274.9396, 201.8321, 16.1509, 437.283, 242.1872, 367.3837, 12.65084, 1076.43
