 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
189.2, 80.42799, 294.5212, 120.3985, 2.274723, 212.4933, 10.67642, 384.4657, 184.1881, 22.22068, 305.459, 136.423, 323.5346, 565.4254, 393.0808, 813.8841, 439.8154, 427.3445, 406.0366, 114.2061, 448.6012, 249.6864, 2433.246, 337.6176, 916.9993
189.3, 136.516, 278.5249, 115.0379, 2.089584, 199.8361, 9.92165, 362.4048, 174.9087, 20.83736, 282.8927, 126.8534, 303.9971, 602.6448, 372.7188, 768.7277, 417.3516, 406.5915, 385.9163, 108.4785, 424.485, 237.4143, 2476.359, 359.6706, 896.7504
189.4, 179.9142, 263.3973, 109.916, 1.919513, 187.9328, 9.220238, 341.6098, 205.9729, 19.54015, 261.9934, 117.955, 285.6393, 570.0927, 353.4116, 726.0767, 396.0351, 436.8368, 366.7929, 103.0382, 401.6654, 225.7454, 2334.149, 341.687, 918.9393
189.5, 171.0269, 249.0914, 105.0222, 1.763284, 257.5064, 8.568412, 322.0081, 195.596, 18.3237, 242.6382, 152.6394, 268.3902, 539.2988, 335.1045, 741.8657, 375.8073, 514.0726, 451.5851, 97.87072, 380.0724, 214.6501, 2345.949, 324.6026, 875.9702
189.6, 162.5785, 235.5625, 100.3462, 1.619771, 242.1679, 7.962667, 303.5311, 185.7418, 17.18298, 224.7128, 141.9323, 252.1827, 510.1684, 317.7458, 700.7051, 356.6127, 489.1079, 429.2077, 92.9624, 359.6403, 204.1, 2704.981, 308.3725, 835.0102
189.7, 154.5475, 222.7684, 95.87847, 25.52407, 227.7431, 7.399745, 286.1143, 176.384, 16.11328, 208.1117, 131.9762, 236.9539, 635.421, 301.2862, 661.8281, 338.3985, 479.6219, 407.9391, 88.30024, 340.3066, 194.0685, 3023.021, 330.018, 795.9655
189.8, 146.9132, 210.6692, 91.60962, 23.44667, 214.1775, 6.876618, 269.6969, 167.4977, 15.11016, 192.7371, 122.7184, 222.6448, 601.0984, 285.6793, 625.1082, 321.1146, 507.6699, 387.7245, 83.87189, 322.0122, 184.5301, 2849.418, 313.5171, 758.7465
189.9, 139.656, 199.2271, 87.53084, 21.53835, 292.836, 6.390475, 254.2215, 159.0591, 14.1695, 178.4983, 114.1101, 209.1997, 677.2383, 270.8808, 590.4255, 304.7134, 514.147, 368.5116, 79.66563, 304.7014, 175.4604, 2797.696, 297.8412, 723.2679
190, 132.7573, 188.4065, 83.63365, 19.78534, 275.3931, 5.938699, 239.6342, 151.0457, 13.28739, 165.3114, 106.1057, 228.1897, 640.657, 256.8489, 557.6672, 289.15, 553.1767, 350.2507, 75.67031, 288.3211, 166.8365, 2874.031, 282.9491, 689.4482
190.1, 126.1994, 178.1736, 79.90999, 40.66048, 258.9892, 5.518862, 225.8838, 143.4359, 12.4602, 153.0987, 98.66268, 248.8177, 606.0516, 243.5438, 526.7263, 274.3815, 533.9833, 402.0169, 71.87537, 398.8123, 158.6365, 2708.984, 268.8016, 657.2099
