 , C000, C001, C002, C004, C005, C006, C008, C010, C012, C014, C015, C016, C017, C019, C024, C029, C030, C035, C037, C038, C040, C042, C047, C053, C080, C095, C101, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
53.1, 35.8723, 498.2268, 160.1498, 170.3997, 68.56123, 1183.947, 545.5862, 390.7983, 647.095, 292.64, 477.9755, 0.4963866, 896.0817, 84.53615, 8.292988, 420.1508, 654.566, 1586.786, 448.9891, 556.5554, 201.2254, 145.9264, 509.6954, 205.107, 798.1636, 1023.175, 1996.229, 1664.835, 2526.227
53.2, 33.57687, 471.6855, 151.9953, 160.7311, 65.01909, 1237.02, 567.5162, 372.9928, 613.9172, 319.6345, 448.2546, 0.4657889, 843.5456, 95.85702, 7.896035, 397.1911, 619.0614, 1518.441, 425.1581, 518.1689, 190.2665, 138.9094, 480.8245, 192.6646, 909.9728, 1076.993, 1988.319, 1694.933, 2471.692
53.3, 31.42833, 610.9006, 144.2561, 151.6112, 61.65994, 1151.94, 653.2766, 355.9985, 582.4406, 305.5495, 420.3818, 0.4370773, 794.0896, 90.70718, 7.518082, 395.4583, 649.5785, 1688.389, 402.5919, 482.43, 179.9045, 132.2299, 453.5889, 180.977, 863.3533, 1016.002, 1940.034, 1648.018, 2499.511
53.4, 29.41726, 578.3571, 136.9109, 143.0087, 58.47434, 1085.839, 620.3141, 339.7785, 552.5778, 292.0851, 497.9722, 0.4101354, 747.5332, 85.834, 7.158221, 441.0281, 621.6741, 1602.863, 381.2234, 449.1561, 170.1068, 125.8716, 427.8961, 169.9984, 882.4822, 1149.896, 1923.311, 1600.934, 2390.086
53.5, 49.11945, 641.4149, 129.9398, 259.9974, 55.45332, 1088.185, 589.0148, 324.2975, 524.2461, 279.2141, 467.0079, 0.3848543, 703.7063, 81.22263, 6.815585, 478.7312, 695.1149, 1568.181, 360.9892, 523.2023, 160.8426, 119.819, 505.9482, 159.6858, 1067.354, 1211.197, 1952.573, 1526.687, 2360.459
53.6, 45.97635, 607.2457, 123.3236, 245.2451, 52.58838, 1013.342, 608.9594, 309.5218, 497.367, 569.9055, 542.3665, 105.5021, 662.4489, 262.4323, 6.489349, 452.5702, 657.4109, 1505.056, 341.8289, 836.3625, 152.083, 114.0574, 477.2895, 149.9988, 1141.736, 1142.607, 1956.849, 1620.909, 2406.26
53.7, 55.25747, 574.8969, 117.0442, 231.3298, 49.87146, 1366.274, 578.2331, 295.4194, 471.8661, 593.1058, 508.6417, 123.8124, 623.6104, 559.3519, 6.17873, 499.1296, 621.752, 1428.817, 323.6856, 1070.856, 143.8005, 108.5729, 450.2542, 140.8994, 1139.569, 1176.482, 2004.93, 1545.736, 2433.416
53.8, 51.7216, 544.2712, 111.0846, 218.2041, 47.2949, 1307.144, 549.0571, 288.5316, 447.6726, 628.4886, 517.0739, 609.8521, 587.049, 529.3011, 5.882978, 488.2207, 708.6998, 1414.138, 306.5053, 996.9976, 135.969, 103.3521, 564.7873, 132.352, 1081.187, 1109.857, 1908.84, 1474.05, 2326.885
53.9, 71.91946, 700.4564, 105.4285, 205.8231, 44.85146, 1217.242, 521.3533, 330.9037, 424.7196, 600.7936, 484.9218, 1028.434, 697.0264, 500.8648, 5.601383, 461.5412, 670.2589, 1342.504, 290.2368, 1163.361, 128.5641, 98.38241, 532.7958, 124.3232, 1156.288, 1047.006, 1863.095, 1550.013, 2540.287
54, 67.31741, 663.1421, 100.0603, 194.1447, 42.53425, 1160.896, 536.8289, 315.8271, 573.2129, 618.3282, 526.2429, 1105.75, 715.7444, 473.9563, 5.333266, 493.4518, 633.903, 1274.498, 274.8319, 1219.075, 121.5624, 93.65165, 656.5304, 116.7813, 1097.05, 1152.167, 1878.582, 1670.671, 2502.958
54.1, 63.00984, 627.8156, 94.96547, 220.5327, 40.33676, 1081.052, 509.742, 320.5883, 543.8232, 648.6055, 493.5207, 1037.591, 673.7813, 448.4933, 5.077983, 466.4864, 616.6847, 1270.553, 260.2446, 1247.708, 114.942, 89.14837, 866.021, 109.697, 1040.846, 1222.308, 1880.74, 1701.466, 2496.759
54.2, 58.97791, 594.3709, 90.13006, 216.5601, 38.2528, 1076.484, 546.9649, 305.9816, 515.9404, 709.4427, 682.0572, 973.6331, 634.2784, 424.3984, 4.83492, 440.9946, 612.5289, 1228.147, 246.4315, 1161.651, 108.6822, 84.86163, 1070.533, 103.0425, 1287.297, 1178.543, 1904.004, 1741.654, 2601.401
54.3, 55.20397, 562.7079, 85.54086, 204.2724, 100.0006, 1002.445, 519.3666, 292.0405, 489.4872, 726.5313, 639.6464, 913.6175, 597.0915, 401.5979, 4.603491, 416.8958, 579.3044, 1287.505, 383.7625, 1081.53, 259.1593, 80.78101, 1264.221, 96.79162, 1221.347, 1180.115, 1892.52, 1794.453, 2570.366
