 , C000, C002, C004, C005, C007, C008, C009, C010, C011, C012, C013, C022, C025, C030, C048, C096
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
121.1, 231.9939, 162.3408, 333.8357, 1127.951, 72.72951, 467.1501, 374.1765, 167.2096, 806.381, 323.1316, 3.244495, 688.8312, 841.9746, 498.7803, 1136.798, 894.9543
121.2, 218.5154, 150.0533, 313.1846, 1132.626, 68.59755, 492.5134, 357.0609, 326.5315, 767.3819, 296.1378, 3.102093, 679.7668, 804.5793, 477.8029, 1082.176, 851.8574
121.3, 205.82, 138.6959, 293.8109, 1072.997, 64.70034, 465.5411, 340.7283, 307.0007, 730.2689, 440.806, 2.96594, 637.7929, 823.429, 457.7076, 1030.179, 971.6086
121.4, 193.8622, 128.198, 275.6358, 1016.507, 111.1275, 440.046, 325.1427, 288.6381, 694.9507, 403.9819, 2.835764, 764.2431, 850.2824, 438.4576, 980.6796, 924.8203
121.5, 182.5992, 118.4948, 258.5849, 966.6761, 210.8322, 415.9471, 310.2701, 328.5801, 661.3407, 370.2341, 2.711301, 717.053, 812.5182, 452.0832, 933.559, 892.3817
121.6, 171.9905, 109.526, 242.5889, 915.7836, 198.8542, 393.168, 296.0778, 308.9268, 629.3561, 339.3055, 2.592301, 672.7767, 825.7928, 433.0697, 946.1583, 902.9327
121.7, 161.9981, 101.236, 227.5823, 867.5704, 187.5568, 371.6364, 282.5346, 290.4491, 598.9185, 319.5632, 2.478523, 631.2344, 845.3796, 414.8558, 952.0071, 859.4516
121.8, 152.5863, 93.57354, 213.504, 1012.011, 193.8064, 351.2839, 269.611, 273.0765, 569.9528, 297.4504, 2.36974, 592.2573, 807.8331, 532.3763, 932.7543, 1004.85
121.9, 143.7213, 86.49101, 211.6643, 958.7321, 182.7958, 366.3203, 257.2785, 467.4033, 608.276, 272.6021, 2.265731, 555.6869, 830.0903, 509.9859, 909.0147, 967.8919
122, 135.3713, 79.94456, 198.5707, 908.2578, 172.4107, 379.5098, 245.5101, 439.4466, 599.3743, 249.8294, 2.166287, 521.3746, 832.94, 488.5371, 865.3375, 921.2826
122.1, 127.5065, 73.8936, 186.2871, 860.4407, 162.6155, 376.0864, 234.28, 477.8665, 647.8869, 228.9592, 2.071208, 489.1811, 815.7535, 503.7808, 864.9484, 978.5329
122.2, 120.0986, 235.4855, 174.7634, 815.1412, 153.3769, 355.4902, 324.2106, 449.284, 616.553, 265.6712, 1.980301, 458.9754, 779.5228, 523.2407, 881.2662, 968.6795
122.3, 113.121, 217.6617, 208.4154, 772.2265, 318.2515, 336.022, 411.762, 452.837, 586.7346, 243.4776, 1.893385, 430.6348, 744.9013, 522.7147, 838.9224, 927.9859
122.4, 233.3161, 250.806, 195.5228, 731.5712, 300.1707, 354.9701, 476.7889, 425.7515, 788.3668, 223.138, 1.810283, 404.0442, 805.9962, 500.7306, 874.6227, 1080.494
122.5, 219.7608, 231.8226, 245.974, 693.0562, 283.1172, 673.3705, 681.8729, 400.2861, 750.2389, 342.6171, 1.730829, 379.0955, 897.5479, 605.2806, 832.5981, 1142.258
122.6, 243.8717, 249.6404, 230.7581, 656.5689, 267.0326, 735.3978, 650.6828, 454.952, 859.7138, 489.141, 1.654862, 355.6873, 947.8607, 579.824, 792.5927, 1272.341
122.7, 315.9042, 273.9295, 216.4833, 622.0026, 251.8618, 750.6456, 676.7101, 427.7401, 919.2942, 448.2791, 1.58223, 333.7245, 905.7627, 555.438, 754.5095, 1438.237
122.8, 428.6216, 263.6195, 203.0917, 589.256, 237.5528, 709.5369, 645.7561, 402.1557, 895.4241, 410.8308, 1.512785, 313.1178, 979.3599, 532.0776, 806.1711, 1648.577
122.9, 426.1457, 347.2236, 207.5778, 558.2335, 224.0568, 734.1575, 720.239, 457.1545, 908.7181, 376.5109, 1.446388, 293.7836, 960.9202, 509.6997, 767.4355, 1598.444
123, 401.3874, 409.3167, 194.737, 528.8442, 211.3275, 693.9517, 746.0452, 429.8109, 937.8089, 345.058, 1.382905, 386.4834, 918.2421, 488.263, 730.561, 1793.465
