 , C000, C001, C003, C004, C011, C017, C036, C042, C054, C057, C059, C064, C071, C072, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
410.1, 152.1046, 44.52639, 703.5492, 1038.524, 2823.802, 1312.558, 1897.002, 1305.471, 338.6088, 32.51345, 835.9256, 9.563495, 920.6318, 609.7481, 72.26546
410.2, 156.0112, 42.36368, 668.3159, 984.5626, 2744.307, 1237.653, 1950.86, 1230.289, 313.768, 30.02586, 880.7426, 9.085649, 1210.905, 573.5015, 68.75683
410.3, 211.754, 40.30601, 634.847, 933.4048, 2655.196, 1201.552, 1844.499, 1159.437, 290.7495, 27.7286, 821.0316, 8.63168, 1157.257, 539.4095, 65.41854
410.4, 199.6696, 38.34829, 705.8477, 1053.076, 2591.539, 1132.982, 1849.529, 1092.665, 269.4197, 25.6071, 765.3687, 8.200395, 1196.699, 507.3441, 62.24233
410.5, 188.2749, 36.48565, 671.6757, 1007.356, 2600.519, 1068.325, 1748.692, 1029.739, 249.6547, 23.64792, 827.813, 7.790658, 1143.681, 477.1849, 59.22034
410.6, 183.1839, 34.71349, 638.0385, 955.0143, 2621.798, 1007.358, 1653.353, 970.4363, 396.6824, 21.83863, 771.6904, 7.401394, 1168.121, 448.8185, 56.34507
410.7, 172.73, 33.0274, 606.0859, 1030.941, 2482.219, 949.8698, 1563.211, 914.5491, 367.5813, 20.16777, 719.3726, 7.031579, 1116.369, 603.9213, 53.60939
410.8, 162.8726, 31.42321, 646.2387, 977.373, 2379.638, 935.1157, 1677.157, 861.8804, 340.615, 18.62474, 670.6018, 6.680243, 1138.333, 568.0211, 51.00655
410.9, 153.5778, 29.89693, 629.7511, 1037.812, 2330.361, 966.4752, 1585.718, 812.2449, 315.627, 17.19978, 625.1375, 6.346461, 1151.169, 715.2811, 48.53007
411, 144.8134, 28.44479, 598.2135, 983.8875, 2206.297, 911.3204, 1567.799, 765.468, 292.4721, 15.88383, 582.7555, 6.029357, 1100.168, 672.7609, 46.17384
411.1, 136.5492, 27.06319, 633.2945, 932.7648, 2388.313, 912.1794, 1482.322, 721.3848, 271.016, 14.66857, 741.0554, 5.728097, 1319.044, 632.7684, 43.932
411.2, 128.7566, 25.74869, 601.5795, 884.2985, 2261.164, 938.2648, 1525.617, 679.8405, 251.1339, 13.54628, 707.9796, 5.44189, 1260.606, 595.1533, 41.79901
411.3, 121.4088, 24.49803, 636.9314, 838.3504, 2140.785, 884.72, 1508.367, 640.6886, 232.7103, 12.50987, 694.6135, 5.169983, 1204.757, 559.7742, 39.76958
411.4, 114.4802, 23.30813, 605.0342, 879.3279, 2026.814, 1152.757, 1426.13, 813.824, 215.6384, 11.55274, 772.0237, 4.911662, 1238.194, 618.1495, 37.83868
411.5, 107.947, 22.17602, 574.7344, 833.6382, 1992.309, 2173.577, 1471.348, 887.301, 199.8188, 10.66885, 919.4557, 4.666248, 1183.338, 623.6693, 36.00153
411.6, 101.7867, 21.09889, 582.2712, 790.3224, 2062.759, 2272.172, 1391.13, 836.2015, 185.1599, 9.852583, 857.12, 4.433097, 1193.489, 759.8002, 34.25358
411.7, 95.97796, 20.07409, 553.1113, 749.2574, 2649.154, 2223.785, 1315.285, 788.0449, 171.5763, 9.098767, 799.0104, 4.211595, 1237.03, 714.6336, 32.5905
411.8, 90.50069, 19.09906, 525.4118, 710.326, 2749.012, 2150.579, 1318.987, 742.6616, 158.9892, 8.402626, 744.8405, 4.001161, 1251.222, 672.152, 31.00816
411.9, 85.33599, 18.17139, 582.3105, 694.4119, 2642.64, 2305.678, 1247.075, 699.8918, 147.3255, 7.759746, 766.0988, 3.801241, 1195.788, 632.1957, 29.50265
412, 156.5538, 17.28878, 553.1487, 833.7292, 2703.482, 2397.961, 1390.889, 886.487, 136.5175, 7.166052, 1038.429, 3.61131, 1169.909, 759.6592, 28.07024
412.1, 157.2923, 16.44903, 525.4473, 878.847, 2678.559, 2261.114, 1394.427, 891.9915, 126.5024, 6.617782, 1184.918, 3.430869, 1144.436, 854.6337, 26.70737
412.2, 148.3159, 15.65008, 499.1332, 833.1823, 2610.622, 2132.077, 1453.784, 997.8965, 117.222, 6.111459, 1148.84, 3.259444, 1200.415, 885.0093, 25.41067
412.3, 176.707, 14.88993, 484.732, 820.4833, 2542.923, 2103.389, 1386.664, 940.4279, 108.6224, 5.643875, 1243.269, 3.096584, 1208.587, 832.3997, 24.17693
