 , C000, C001, C002, C003, C006, C008, C011, C012, C015, C016, C018, C020, C021, C022, C023, C024, C025, C033, C034, C035, C036, C038, C040, C042, C045, C046, C047, C051, C052, C053, C056, C059, C061, C066, C067, C070, C072, C073, C076, C077, C079, C081, C083, C089, C092, C093, C098, C099, C100, C103
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
316.2, 287.2266, 255.2914, 412.4963, 658.5045, 250.1678, 2.964449, 2332.733, 401.3749, 370.8823, 117.8276, 886.7179, 139.3492, 148.4413, 293.3306, 1283.945, 1243.115, 1267.463, 161.1497, 104.1305, 231.8285, 505.7527, 1554.05, 663.1754, 435.1893, 229.6454, 1651.353, 1514.229, 765.5453, 62.41977, 97.32571, 7.760252, 426.4889, 269.8051, 1348.91, 628.6924, 750.9808, 241.9538, 278.9381, 830.2294, 704.9528, 1160.818, 205.7615, 890.4076, 762.0934, 48.85955, 1823.467, 200.1316, 430.1256, 820.9136, 1742.667
316.3, 273.6337, 244.5727, 392.8477, 640.6423, 237.9751, 2.833047, 2371.59, 416.9584, 355.2039, 112.8129, 843.1343, 133.0426, 141.7705, 279.2504, 1279.971, 1188.865, 1244.22, 153.802, 99.84216, 219.5002, 483.5727, 1774.982, 780.7326, 501.2823, 219.4454, 1625.082, 1512.885, 808.2406, 59.44077, 93.21288, 7.416499, 408.0826, 254.3469, 1328.567, 622.4055, 717.4443, 230.7147, 308.4029, 810.8325, 765.1046, 1135.798, 195.9184, 961.6417, 846.0794, 46.85269, 1856.148, 189.9112, 408.9288, 783.9273, 1775.051
316.4, 260.6841, 234.304, 374.1351, 610.5702, 226.3766, 2.707469, 2308.193, 464.3241, 340.1882, 108.0116, 801.693, 127.0214, 135.3995, 265.8461, 1309.393, 1205.009, 1281.565, 146.7893, 95.73044, 207.8276, 506.1289, 1748.559, 752.908, 478.9532, 209.6985, 1646.637, 1489.182, 773.0173, 56.60393, 89.27384, 7.087973, 422.2176, 239.7743, 1302.586, 731.9022, 779.7355, 219.9977, 428.9767, 800.7359, 731.5157, 1085.019, 186.5461, 920.6108, 817.9089, 44.92826, 1888.972, 378.7856, 388.7766, 748.6074, 1698.88
316.5, 248.3473, 224.4665, 356.3138, 626.2115, 335.223, 2.587458, 2348.408, 443.551, 325.8073, 103.4146, 800.9807, 121.2728, 129.3148, 253.0852, 1252.445, 1184.336, 1356.955, 158.3608, 91.78806, 196.7757, 483.9323, 1849.939, 736.4733, 457.6187, 200.3845, 1616.786, 1538.077, 739.3291, 53.90249, 85.50127, 6.774, 403.9956, 226.0367, 1341.108, 699.6395, 744.915, 315.9181, 407.5667, 844.0106, 699.4016, 1119.442, 177.6222, 881.3305, 770.5587, 43.08287, 1872.716, 359.4415, 369.6176, 763.5682, 1625.977
316.6, 236.5944, 215.042, 339.3414, 596.8168, 318.8848, 2.472766, 2244.758, 423.7073, 370.0122, 99.01328, 761.6113, 178.2576, 123.5036, 240.9368, 1355.012, 1132.651, 1385.244, 185.5781, 88.00803, 186.3114, 523.5294, 1813.146, 700.897, 437.2345, 191.4842, 1545.695, 1508.622, 707.109, 51.32997, 81.88811, 6.473934, 386.56, 213.0861, 1284.374, 668.799, 794.8439, 301.2433, 387.2253, 855.9625, 710.0225, 1069.394, 169.1251, 953.6808, 753.2618, 41.31329, 1897.406, 341.0854, 351.4026, 838.3296, 1705.622
316.7, 225.3976, 206.0132, 323.1775, 674.1122, 303.3429, 2.363158, 2202.171, 404.7514, 354.3705, 94.79928, 724.1769, 170.1901, 117.9534, 229.3716, 1347.358, 1180.013, 1324.774, 209.682, 84.38367, 176.4037, 500.5697, 1881.075, 746.6425, 417.7583, 182.9792, 1622.567, 1488.338, 676.2931, 48.88023, 78.42764, 6.187161, 369.8769, 200.8775, 1241.086, 639.3179, 778.5419, 312.705, 367.8991, 817.2065, 678.8519, 1021.584, 161.0346, 967.2331, 855.5693, 39.61638, 1971.859, 323.6666, 334.0853, 881.7814, 1807.335
316.8, 214.7308, 197.3635, 307.7834, 668.6611, 288.5585, 2.258409, 2127.532, 510.081, 356.8791, 90.76463, 801.2546, 162.4877, 112.6527, 218.3615, 1288.76, 1128.517, 1310.416, 200.1214, 80.90856, 167.0229, 478.6169, 1807.975, 710.575, 451.909, 174.8519, 1551.223, 1419.692, 646.8201, 46.5474, 75.11341, 5.913091, 353.9138, 189.3684, 1248.55, 769.2394, 743.7747, 344.0686, 349.5375, 780.2053, 683.7744, 1150.272, 153.3311, 925.9636, 806.0388, 37.98918, 1888.352, 382.7383, 317.6215, 842.0527, 1729.778
316.9, 204.5687, 189.077, 293.1227, 637.2737, 274.4946, 2.158303, 2177.687, 487.2608, 357.1975, 86.90169, 761.8717, 155.134, 107.5903, 303.0804, 1232.709, 1213.227, 1253.213, 190.9968, 77.57657, 158.1409, 523.8012, 1784.365, 812.1008, 431.7792, 167.0857, 1600.311, 1354.212, 618.6316, 44.32591, 71.93923, 5.651161, 338.6397, 178.5187, 1275.976, 735.3308, 743.799, 328.0862, 332.0923, 744.8795, 653.7561, 1098.846, 145.996, 886.4549, 759.3756, 36.42881, 1808.382, 363.1924, 301.9689, 804.114, 1655.55
317, 194.8876, 205.0036, 279.1603, 607.3597, 261.1162, 2.062634, 2178.262, 483.4419, 342.0976, 83.20316, 724.4246, 148.113, 102.7553, 288.5323, 1179.097, 1160.282, 1225.587, 182.2882, 319.7027, 149.7312, 551.8368, 1707.676, 772.8712, 412.546, 159.6644, 1605.607, 1291.752, 648.2533, 42.21044, 68.89919, 5.400834, 324.0247, 168.2906, 1240.329, 702.917, 723.1281, 312.8461, 336.9375, 711.1531, 668.2511, 1049.719, 139.0119, 848.632, 715.4139, 34.93253, 1841.749, 344.6447, 287.0878, 844.041, 1609.428
317.1, 260.6174, 196.3963, 265.863, 578.8499, 248.3899, 1.971205, 2212.565, 474.507, 417.0334, 79.66203, 688.818, 177.716, 98.13757, 274.6824, 1286.634, 1142.478, 1258.853, 173.9767, 306.5367, 141.7688, 527.6357, 1757.343, 827.8808, 394.1695, 152.5727, 1535.008, 1232.172, 620.0023, 40.19593, 65.98761, 5.161595, 310.0406, 158.6486, 1187.859, 671.932, 770.3743, 298.314, 324.8262, 678.9537, 685.8699, 1002.789, 132.3619, 812.4229, 673.9972, 33.49771, 1848.173, 327.0442, 272.9399, 806.0127, 1687.829
317.2, 248.2838, 188.1503, 253.1991, 576.0947, 272.0295, 1.88383, 2156.117, 488.6772, 399.4041, 76.27162, 654.9615, 169.6731, 93.72738, 261.4973, 1252.365, 1114.234, 1228.088, 166.0441, 293.9128, 134.2298, 504.4959, 1846.441, 787.8889, 376.6116, 145.796, 1467.513, 1335.497, 654.4177, 38.27757, 63.19907, 4.932954, 337.7066, 149.5589, 1137.608, 642.3128, 735.9719, 284.4569, 471.0862, 766.9534, 679.4328, 1112.949, 126.03, 864.1271, 634.9782, 32.12183, 1905.104, 362.5005, 259.4893, 769.6978, 1615.401
317.3, 311.0641, 180.2506, 241.1384, 629.9182, 258.7712, 1.800327, 2152.085, 520.8969, 420.3151, 73.02551, 622.7692, 173.2501, 89.51538, 248.9452, 1281.989, 1126.42, 1356.289, 158.4733, 281.8088, 127.0916, 482.371, 1758.645, 777.9447, 405.3189, 139.3203, 1402.986, 1273.9, 625.8981, 36.45075, 60.52838, 4.714441, 339.1093, 140.9901, 1089.483, 613.9993, 703.1057, 271.2435, 447.5746, 732.2275, 710.0911, 1157.299, 317.0911, 827.2568, 598.2181, 30.80245, 1824.424, 343.9882, 246.7016, 772.4421, 1712.809
317.4, 296.3431, 190.8382, 229.6521, 600.3494, 246.1592, 1.720526, 2178.073, 583.758, 402.547, 69.91754, 695.1376, 202.6302, 85.49266, 491.2684, 1226.233, 1151.901, 1328.158, 151.2476, 270.2033, 120.3331, 461.2164, 1733.58, 877.8855, 387.2644, 354.5854, 1451.6, 1275.874, 598.6213, 34.71112, 57.97054, 4.505607, 380.1826, 132.9122, 1161.063, 586.9338, 748.3109, 375.2806, 425.2364, 762.1531, 678.9174, 1105.559, 301.9222, 791.9598, 802.403, 29.53727, 1885.438, 386.6322, 234.544, 737.6397, 1843.904
317.5, 282.3188, 261.6363, 218.7131, 606.2933, 325.0618, 1.644262, 2217.713, 607.5897, 385.53, 66.94186, 843.3368, 204.3678, 81.65072, 467.687, 1321.492, 1101.632, 1270.181, 299.1192, 259.0758, 113.934, 440.9895, 1815.567, 913.0003, 370.0141, 338.836, 1446.616, 1217.027, 572.5333, 33.05452, 55.52079, 4.306024, 363.7747, 125.2971, 1111.946, 561.0614, 809.7018, 357.8483, 501.3664, 727.6446, 678.7068, 1138.014, 437.831, 758.1688, 755.9504, 28.32406, 1883.908, 458.0196, 222.9856, 808.4092, 1846.125
317.6, 268.9582, 283.8684, 208.295, 577.8335, 309.2188, 1.571378, 2190.785, 580.4072, 369.2323, 64.09282, 1033.653, 195.1186, 77.98143, 445.2375, 1365.48, 1053.557, 1214.734, 328.9048, 248.4065, 107.8752, 459.8388, 1841.539, 868.8966, 490.1621, 323.7862, 1383.008, 1314.549, 547.5822, 31.47698, 199.4165, 4.115282, 348.075, 118.1183, 1064.906, 536.3295, 773.5432, 341.2258, 476.3435, 833.6124, 648.9109, 1123.113, 416.8862, 810.6392, 712.187, 27.16068, 1998.824, 434.6292, 211.9968, 830.7211, 1893.949
317.7, 256.2298, 271.9499, 274.9551, 550.7097, 344.4929, 1.501725, 2094.093, 554.4409, 353.6237, 61.36503, 1076.341, 186.288, 74.47704, 423.8656, 1366.121, 1115.487, 1205.913, 313.9082, 238.1766, 102.1386, 457.4865, 1847.858, 826.9234, 468.3283, 309.4049, 1441.1, 1253.919, 523.7185, 29.97473, 190.9895, 3.932988, 425.7147, 111.3508, 1069.704, 579.4066, 738.9992, 325.3754, 452.5695, 795.8684, 620.4232, 1234.798, 396.9433, 852.0045, 670.9571, 26.04508, 1914.175, 412.4333, 201.5495, 793.2929, 1843.527
317.8, 346.3257, 262.5725, 261.8581, 597.6735, 327.7029, 1.43516, 2109.955, 529.6362, 408.0762, 58.75334, 1151.738, 177.8571, 71.13012, 403.5196, 1306.707, 1099.708, 1250.707, 299.5954, 268.5097, 96.70702, 437.4232, 1815.627, 885.6315, 447.4671, 295.6623, 1413.486, 1196.084, 500.8948, 28.54418, 182.9186, 3.75877, 407.3418, 104.9711, 1024.452, 591.4307, 705.9979, 310.2613, 429.982, 800.2121, 593.186, 1269.986, 377.9545, 815.6514, 632.1141, 24.9753, 1983.346, 576.3976, 191.617, 832.793, 1992.091
317.9, 329.936, 325.0913, 249.3849, 569.6183, 311.7312, 1.371545, 2027.038, 505.9412, 390.8254, 56.2528, 1221.108, 169.8077, 67.93361, 384.1502, 1319.408, 1095.242, 1196.11, 285.9352, 278.9542, 91.5643, 471.3546, 1729.295, 842.8499, 427.5351, 282.5301, 1432.05, 1140.917, 479.0657, 27.1819, 175.1887, 3.592269, 444.4598, 98.95683, 1045.837, 565.36, 719.2043, 295.8492, 408.5219, 763.9803, 597.4557, 1213.208, 359.874, 780.8495, 595.5198, 23.94946, 2026.156, 546.9618, 182.174, 795.2715, 1906.606
318, 314.3219, 311.442, 237.5059, 542.8801, 296.5379, 1.31075, 2155.343, 523.7556, 374.304, 53.85869, 1193.583, 180.0809, 64.88075, 365.7106, 1336.132, 1078.967, 1181.534, 306.677, 327.3379, 86.69507, 450.6831, 1736.912, 950.9174, 408.4909, 376.3026, 1369.083, 1195.097, 783.8166, 25.88463, 167.7855, 3.433144, 425.2779, 392.8408, 1001.594, 540.4386, 687.0869, 282.1067, 388.1328, 810.612, 613.396, 1158.968, 342.6584, 747.5325, 561.0441, 22.96576, 2029.639, 519.0292, 173.1964, 943.4545, 2042.365
318.1, 299.4467, 298.3657, 226.1927, 517.3969, 282.0852, 1.252649, 2090.42, 500.3237, 358.4809, 51.56647, 1345.993, 318.1994, 330.8039, 348.1561, 1385.876, 1031.881, 1129.956, 292.6939, 313.8575, 82.08477, 452.4023, 1695.021, 926.3317, 390.2951, 359.5887, 1418.523, 1139.976, 749.6577, 24.64928, 183.7, 3.281067, 406.9238, 370.3333, 959.2226, 516.6157, 656.4038, 302.295, 368.7613, 815.2687, 586.4673, 1210.123, 326.2664, 715.637, 528.5641, 22.02246, 2012.525, 611.306, 164.6612, 900.9471, 2091.513
318.2, 285.2755, 309.5099, 215.4184, 590.1746, 351.7537, 132.24, 2114.241, 645.538, 343.3267, 49.3718, 1445.721, 303.7985, 347.7641, 331.4442, 1376.941, 1028.884, 1080.631, 279.3484, 324.1219, 77.71964, 432.5619, 1614.424, 881.584, 372.9098, 402.069, 1356.151, 1199.732, 716.9875, 23.47288, 175.9371, 3.135727, 389.3619, 349.1154, 918.6438, 493.843, 627.0909, 288.253, 350.3566, 837.0172, 560.7209, 1256.504, 310.6586, 724.9279, 497.9646, 21.11791, 1980.4, 580.0875, 156.5466, 860.3549, 2216.964
318.3, 271.7749, 358.1273, 205.1573, 676.7702, 386.5262, 126.3783, 2049.807, 616.6578, 328.8131, 47.27054, 1512.72, 290.0493, 385.0807, 315.5345, 1370.697, 983.9835, 1096.296, 266.6114, 343.0566, 73.58665, 475.0746, 1794.103, 838.9979, 356.2989, 384.2106, 1442.458, 1144.397, 685.741, 22.35263, 287.0186, 2.996825, 372.5579, 329.1131, 879.7816, 502.577, 719.8394, 443.3584, 332.8705, 953.0307, 568.5206, 1222.969, 295.7975, 693.9969, 634.3427, 20.25051, 2141.903, 550.4632, 148.832, 821.5916, 2250.492
