 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C014, C015, C016, C020, C021, C024, C025, C026, C027, C028, C029, C034, C035, C036, C038, C040, C042, C044, C045, C047, C048, C049, C054, C057, C059, C060, C062, C067, C079, C080, C082, C083, C088, C091, C093, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
338.1, 410.2197, 543.6185, 1008.489, 1101.912, 342.7779, 1077.603, 964.7402, 5.018476e-05, 1187.906, 105.7879, 26.90541, 814.3887, 1229.741, 668.2554, 452.6825, 551.2829, 1297.833, 1775.544, 854.8828, 997.7878, 567.3627, 4.792625, 1150.103, 1437.88, 1283.612, 312.0291, 264.4789, 597.473, 52.98322, 697.5261, 122.8909, 1792.228, 699.2185, 20.71724, 776.8085, 1191.097, 159.5281, 810.7233, 1272.905, 628.4709, 0.0006080343, 1642.245, 1205.809, 4353.253, 129.1584, 2610.635, 912.687
338.2, 389.9892, 520.1298, 1011.162, 1176.714, 497.0119, 1113.749, 923.6076, 4.771855e-05, 1156.107, 101.5144, 25.68949, 804.9423, 1197.378, 652.8554, 427.7815, 527.6443, 1293.314, 1780.713, 816.4997, 1017.674, 595.7365, 4.590136, 1101.745, 1413.388, 1262.628, 297.3179, 250.3206, 572.3485, 50.817, 664.9349, 116.9658, 1749.46, 670.6902, 19.86758, 745.1375, 1142.419, 152.1407, 776.8131, 1365.193, 709.8173, 0.0005820558, 1759.819, 1315.033, 4340.024, 123.5124, 2675.76, 875.3394
338.3, 430.2364, 497.656, 1050.688, 1170.693, 497.9024, 1064.639, 884.2288, 4.537352e-05, 1190.647, 97.4135, 24.52852, 769.7593, 1235.958, 616.0394, 404.2502, 505.0193, 1297.83, 1756.405, 813.4941, 974.7112, 570.0605, 4.396201, 1126.433, 1354.473, 1329.885, 283.3003, 236.9203, 548.2805, 48.73934, 674.5143, 111.3263, 1757.965, 643.3258, 19.05277, 714.7577, 1095.732, 145.0955, 784.5673, 1417.076, 679.6572, 0.0005571873, 1772.779, 1256.695, 4328.505, 118.1132, 2673.051, 839.5201
338.4, 409.0188, 476.1532, 1020.01, 1118.845, 472.1625, 1103.661, 932.0524, 4.314374e-05, 1202.545, 93.47828, 23.42002, 784.4491, 1182.84, 637.4001, 455.5361, 593.7301, 1271.621, 1681.786, 776.9694, 970.1289, 597.8452, 4.210461, 1141.729, 1367.527, 1264.527, 269.9436, 224.2373, 525.2246, 46.74663, 642.9982, 105.9587, 1738.63, 617.0779, 18.27138, 685.6165, 1050.952, 393.5116, 751.7512, 1349.778, 650.7785, 0.0005333813, 1697.89, 1200.945, 4243.114, 112.9501, 2563.253, 857.9374
338.5, 388.8475, 500.0181, 1088.541, 1069.294, 485.9043, 1147.02, 892.3135, 4.102354e-05, 1150.919, 103.4735, 22.36162, 766.953, 1202.404, 601.4556, 430.4781, 568.2714, 1323.069, 1682.007, 793.944, 1015.805, 594.4163, 4.032568, 1145.875, 1310.524, 1266.326, 257.2166, 212.2333, 503.1382, 44.83539, 612.9547, 100.8499, 1660.96, 591.9009, 17.52203, 657.6635, 1008.002, 441.9869, 720.3077, 1311.941, 623.1269, 0.0005105924, 1721.967, 1223.369, 4244.895, 108.0126, 2591.372, 872.4084
338.6, 445.4118, 597.6127, 1060.544, 1021.937, 497.9875, 1250.82, 854.2689, 3.900753e-05, 1242.346, 130.6144, 21.35105, 883.5365, 1169.578, 589.1185, 406.7986, 564.0621, 1264.344, 1697.954, 772.4702, 1068.379, 618.4561, 3.862191, 1097.695, 1384.583, 1230.883, 245.0897, 200.8719, 481.9806, 43.00229, 724.3007, 95.98749, 1677.611, 732.8586, 16.80341, 630.85, 966.8077, 421.5196, 760.5081, 1291.378, 596.6502, 0.0004887772, 1649.226, 1205.737, 4189.944, 103.291, 2484.929, 836.709
338.7, 423.4457, 571.791, 1030.357, 1035.18, 472.2432, 1195.665, 964.5514, 3.709059e-05, 1226.388, 125.338, 20.38614, 844.9183, 1147.695, 700.1484, 384.4215, 539.8755, 1322.394, 1711.566, 788.8514, 1038.999, 638.1596, 3.699013, 1071.739, 1326.869, 1233.248, 233.5345, 190.1186, 461.7127, 41.24414, 690.4584, 91.35947, 1694.77, 702.9577, 16.11427, 605.1298, 927.2968, 402.0002, 758.2736, 1275.147, 571.2985, 0.000467894, 1717.11, 1192.26, 4245.395, 98.77578, 2476.168, 842.6642
338.8, 480.1897, 698.1213, 1077.453, 1091.264, 481.7084, 1195.161, 923.4269, 3.526785e-05, 1173.738, 120.2747, 19.46485, 807.988, 1098.37, 695.1307, 480.0849, 516.7261, 1336.378, 1638.851, 801.6042, 1051.297, 660.0413, 3.542729, 1070.436, 1384.021, 1330.822, 222.5241, 179.9411, 517.5264, 39.55787, 658.1974, 86.9546, 1689.582, 674.2768, 15.45338, 580.4583, 1116.896, 383.3846, 726.5573, 1287.99, 547.024, 0.0004479031, 1644.574, 1222.603, 4345.006, 94.45794, 2512.167, 808.182
338.9, 456.5085, 760.3145, 1181.178, 1042.934, 456.8057, 1263.562, 884.0557, 3.35347e-05, 1123.348, 115.4159, 18.58518, 815.8199, 1073.057, 737.927, 453.6766, 494.5692, 1354.153, 1622.642, 765.6133, 1034.236, 631.5939, 3.393048, 1127.314, 1326.33, 1265.418, 212.0328, 170.3083, 495.7638, 37.94054, 627.4437, 82.7621, 1639.651, 715.3511, 14.81961, 556.7925, 1071.251, 365.631, 810.7662, 1226.823, 523.7809, 0.0004287663, 1787.419, 1168.366, 4520.613, 90.32884, 2525.894, 833.8053
339, 433.9952, 727.4627, 1210.458, 1060.477, 518.5467, 1254.968, 905.03, 3.188671e-05, 1121.095, 132.1175, 17.74528, 780.1615, 1026.94, 718.0462, 428.7209, 504.4549, 1457.322, 1599.751, 749.3884, 990.574, 653.5587, 3.249691, 1090.182, 1271.045, 1227.037, 202.0361, 161.1913, 474.9163, 36.38934, 649.5026, 78.77174, 1694.279, 714.1519, 14.21182, 534.0917, 1096.271, 348.6996, 797.2593, 1231.599, 501.5254, 0.0004104471, 1735.707, 1181.895, 4535.236, 86.38025, 2497.924, 890.0748
339.1, 467.8256, 696.0304, 1244.677, 1013.51, 547.3947, 1199.63, 884.7121, 3.03197e-05, 1140.867, 126.7803, 16.94333, 907.5764, 1080.508, 677.5539, 463.6841, 499.8304, 1392.638, 1638.117, 798.5446, 948.7554, 679.1379, 3.112391, 1062.426, 1285.199, 1166.734, 192.5108, 331.5013, 454.9454, 34.90155, 619.1552, 74.97378, 1651.988, 734.6053, 13.62897, 512.3165, 1051.469, 464.3827, 823.9471, 1173.11, 480.2155, 0.0003929106, 1683.822, 1166.895, 4551.958, 82.60426, 2395.319, 926.8372
