 , C000, C004, C005, C006, C008, C009, C010, C011, C012, C013, C015, C017, C018, C020, C022, C025, C027, C028, C029, C032, C034, C035, C037, C038, C044, C046, C051, C052, C054, C059, C060, C061, C065, C071, C072, C073, C075, C083, C093, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
333.6, 519.3079, 610.9004, 10.90136, 191.6346, 551.4288, 181.7524, 37.81172, 105.918, 15.80694, 226.9125, 70.57291, 550.8542, 13.17115, 278.7996, 0.6384543, 145.5341, 558.7423, 0.0008894777, 878.8445, 137.884, 161.9445, 178.1286, 559.1063, 293.4269, 688.7263, 66.35057, 313.0654, 693.6021, 716.808, 1740.366, 1695.053, 1174.362, 1456.844, 1640.268, 1495.838, 474.9552, 1116.239, 1359.57, 1221.635, 1458.364, 1164.158, 3580.452
333.7, 497.8289, 584.4123, 10.45182, 183.6756, 525.8408, 174.1502, 36.16823, 101.5888, 15.15747, 217.2368, 67.35957, 527.3611, 12.6321, 267.0735, 0.6117731, 138.805, 607.8873, 0.0008532592, 977.4853, 131.9225, 155.1959, 169.4204, 596.8524, 281.4915, 660.9446, 63.62883, 323.8514, 663.8154, 685.4282, 1784.567, 1649.602, 1194.308, 1458.86, 1570.412, 1616.659, 453.537, 1068.192, 1349.248, 1420.341, 1430.104, 1170.416, 3531.598
333.8, 477.2383, 660.8021, 10.02081, 176.0471, 501.4401, 166.866, 34.59618, 97.43656, 14.53469, 207.9736, 81.92522, 504.87, 12.11511, 255.8406, 0.5862069, 132.3869, 583.0547, 0.0008185155, 1014.983, 126.2187, 222.9803, 161.138, 572.5553, 354.4112, 634.2837, 139.0807, 309.5844, 635.3079, 817.0457, 1788.101, 1770.177, 1138.139, 1440.328, 1569.747, 1609.629, 433.0845, 1022.212, 1308.002, 1360.631, 1497.18, 1166.338, 3584.918
333.9, 532.0042, 632.1503, 9.607584, 168.7355, 525.8184, 159.8865, 33.09245, 93.45405, 13.9375, 199.1054, 137.7966, 483.3381, 11.61928, 341.2809, 0.5617092, 126.2657, 559.2366, 0.0007851866, 1020.008, 120.7615, 213.6881, 153.2604, 634.7231, 339.9952, 613.2021, 133.3755, 337.7475, 608.0246, 781.2778, 1710.451, 1778.22, 1189.887, 1406.295, 1602.957, 1539.883, 475.8351, 1051.012, 1441.562, 1303.431, 1528.613, 1158.886, 3591.005
334, 574.7311, 604.7408, 9.211395, 161.7275, 501.4188, 153.1989, 31.65408, 89.63432, 13.36485, 190.6154, 131.5224, 563.4205, 11.14374, 326.9269, 0.5382352, 120.4274, 536.3914, 0.0007532148, 1034.423, 115.5403, 254.5718, 145.7679, 642.1252, 429.6871, 588.4669, 128.6198, 322.8682, 581.913, 747.0756, 1733.247, 1758.099, 1161.452, 1447.007, 1640.263, 1789.251, 454.3771, 1005.772, 1379.732, 1248.635, 1504.63, 1108.143, 3584.786
334.1, 550.9597, 578.5197, 8.831544, 155.0106, 478.1514, 180.9822, 30.27824, 85.9707, 12.81572, 182.4874, 172.933, 675.3, 10.68766, 313.1766, 0.5157422, 114.8591, 526.1903, 0.0007225447, 1107.232, 110.5448, 243.9631, 182.7516, 638.7045, 424.8795, 600.5099, 158.649, 308.6445, 556.9229, 714.3708, 1783.943, 1730.297, 1106.829, 1477.963, 1604.67, 1726.288, 501.292, 1019.178, 1399.012, 1196.143, 1470.703, 1154.507, 3525.821
334.2, 560.8495, 553.4356, 8.467357, 148.5727, 507.9296, 173.4122, 28.96219, 82.45683, 12.28916, 174.706, 202.0636, 646.4996, 10.25025, 323.519, 0.4941892, 109.5483, 538.7296, 0.0006931236, 1296.814, 105.7653, 316.7959, 173.8174, 612.7036, 493.4567, 576.2867, 152.1411, 332.6682, 533.0059, 683.0977, 1799.17, 1766.844, 1188.523, 1411.5, 1620.579, 1719.463, 478.686, 1074.071, 1371.594, 1145.858, 1562.811, 1103.956, 3561.225
334.3, 537.6523, 529.4391, 8.118187, 142.4021, 514.4443, 189.9712, 27.70335, 79.08659, 11.78423, 167.2564, 229.5966, 618.9274, 9.830741, 315.1955, 0.4735368, 104.483, 705.2127, 0.0006649004, 1452.992, 101.1924, 303.5941, 165.3199, 633.4378, 473.385, 591.6301, 145.9002, 332.6573, 641.0671, 715.6976, 1785.311, 1729.06, 1153.911, 1425.965, 1551.562, 1644.958, 516.344, 1109.136, 1404.106, 1097.687, 1497.072, 1150.687, 3670.61
334.4, 601.1272, 506.4831, 7.783416, 136.4878, 490.5724, 182.0252, 26.49922, 75.85409, 11.30005, 215.186, 219.1426, 592.5311, 49.76335, 301.9387, 0.4537476, 99.65195, 676.4043, 0.0006378265, 1482.01, 96.81728, 290.9425, 225.5807, 607.6514, 521.869, 603.286, 139.9153, 339.5433, 613.5366, 783.0784, 1743.58, 1653.664, 1116.314, 1503.912, 1485.484, 1706.367, 493.0593, 1157.073, 1458.997, 1051.541, 1538.118, 1190.13, 3520.57
334.5, 576.264, 559.7155, 7.462451, 130.8192, 571.4947, 174.4116, 25.34743, 72.75372, 10.83576, 229.0834, 212.9848, 567.2606, 47.7267, 310.9048, 0.4347853, 95.04427, 724.2767, 0.0006118549, 1450.765, 92.63129, 278.8181, 214.5527, 710.3446, 500.6416, 578.9509, 134.1759, 407.9045, 670.941, 748.7975, 1760.186, 1756.085, 1165.324, 1450.163, 1616.273, 1738.947, 488.5018, 1107.268, 1396.42, 1007.335, 1614.587, 1197.082, 3430.309
