 , C003, C006, C008, C012, C013, C014, C017, C019, C023, C025, C028, C031, C037, C039, C042, C060, C076, C077, C088, C089, C094, C099, C100, C107, C109, C114, C115, C136, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
393.4, 334.1079, 134.4337, 2310.222, 944.0313, 2283.284, 1235.815, 1603.634, 2571.151, 1256.471, 887.8831, 1317.122, 318.2383, 1611.485, 1444.086, 8.634041, 723.3495, 1355.127, 1895.156, 1701.718, 1881.297, 947.0657, 1773.818, 1544.292, 2405.38, 2080.988, 2125.451, 1205.471, 2327.3, 3558.057
393.5, 318.8288, 128.2279, 2282.537, 897.377, 2234.412, 1174.688, 1534.444, 2801.809, 1266.237, 875.7927, 1389.812, 301.8497, 1590.506, 1374.615, 8.237527, 689.4592, 1325.946, 1815.541, 1629.926, 1951.315, 901.3369, 1903.503, 1643.328, 2472.85, 2177.753, 2028.976, 1150.543, 2310.622, 3697.343
393.6, 304.2484, 122.3086, 2170.533, 853.0283, 2257.356, 1116.584, 1468.239, 2750.765, 1249.418, 842.9618, 1346.628, 286.3051, 1566.111, 1468.195, 235.244, 657.1567, 1347.24, 1777.281, 1561.163, 1871.73, 911.3093, 1915.38, 1561.978, 2426.854, 2087.89, 2078.74, 1098.118, 2204.31, 3698.887
393.7, 290.3348, 116.6626, 2203.595, 810.8713, 2253.853, 1245.525, 1577.482, 2720.455, 1193.491, 797.4237, 1333.81, 271.5609, 1546.111, 1397.564, 224.4405, 681.6531, 1282.76, 1763.181, 1627.241, 1889.713, 867.307, 1912.323, 1484.655, 2368.185, 2001.735, 1984.385, 1113.29, 2189.401, 3766.319
393.8, 277.0575, 111.2771, 2083.54, 823.8939, 2187.361, 1251.5, 1509.42, 2585.051, 1163.942, 754.3456, 1303.409, 257.5761, 1567.086, 1451.433, 258.7514, 717.8731, 1221.366, 1728.052, 1694.611, 1861.288, 886.5475, 1821.816, 1516.024, 2268.944, 2117.015, 2012.889, 1062.563, 2225.942, 3605.369
393.9, 264.3874, 106.1403, 1970.026, 783.1768, 2092.677, 1290.886, 1456.082, 2456.386, 1111.842, 776.7373, 1242.434, 287.8767, 1512.15, 1381.609, 246.8684, 726.3698, 1162.91, 1655.458, 1675.513, 1806.98, 902.9608, 1735.594, 1463.048, 2399.159, 2072.973, 1992.947, 1014.147, 2297.952, 3593.43
394, 252.2966, 101.2406, 1862.696, 744.4719, 2002.091, 1321.709, 1428.094, 2334.125, 1123.162, 839.6027, 1184.311, 273.0516, 1443.222, 1340.039, 235.5311, 692.338, 1150.365, 1717.324, 1604.827, 1867.173, 889.9171, 1653.451, 1426.903, 2356.641, 2113.065, 1902.486, 967.9371, 2289.901, 3564.573
394.1, 315.7098, 96.56709, 1761.214, 707.6799, 1930.574, 1256.333, 1694.442, 2217.949, 1266.523, 1280.658, 1128.906, 258.9901, 1377.436, 1582.847, 224.7144, 766.6616, 1328.849, 1716.845, 1537.123, 1846.585, 866.3577, 1575.197, 1356.267, 2257.884, 2025.872, 1816.131, 1155.66, 2630.209, 3412.244
394.2, 301.2721, 221.9654, 1665.26, 915.8458, 1847.006, 1311.069, 1628.381, 2107.556, 1354.954, 1224.775, 1076.094, 310.0439, 1314.648, 1506.701, 214.3945, 913.9885, 1265.249, 1702.794, 1692.846, 1789.426, 1035.069, 1500.646, 1495.175, 2261.419, 2302.415, 1780.002, 1103.002, 2681.495, 3444.493
394.3, 287.4946, 211.7189, 1574.535, 959.6517, 2078.069, 1466.515, 1558.123, 2123.184, 1558.395, 1158.611, 1025.753, 294.0773, 1501.271, 1628.077, 464.4727, 871.1664, 1550.5, 1778.847, 1658.088, 1716.443, 995.2528, 1429.623, 1421.16, 2268.267, 2299.455, 1916.996, 1052.744, 2558.119, 3592.254
394.4, 274.3472, 276.9576, 1917.89, 964.6193, 2517.343, 1635.611, 1500.33, 2349.519, 1705.484, 1096.021, 1209.738, 278.9329, 1561.808, 1737.122, 443.142, 830.3505, 1476.292, 1704.119, 1816.85, 1801.582, 947.1973, 1504.758, 1701.331, 2208.871, 2204.571, 1947.966, 1281.23, 2440.421, 3811.205
394.5, 293.9946, 286.4172, 2160.027, 916.9475, 2569.148, 1554.709, 1435.597, 2475.946, 1724.411, 1036.812, 1223.314, 442.3145, 1552.921, 1694.457, 422.791, 791.447, 1405.635, 1788.316, 2059.985, 1899, 901.4622, 1868.236, 1617.11, 2239.344, 2274.448, 1859.547, 1222.85, 2328.137, 3814.419
394.6, 280.5499, 273.1955, 2303.874, 871.6317, 2642.628, 1477.808, 1613.822, 2768.111, 1909.377, 980.8018, 1168.783, 530.6438, 1597.988, 1734.884, 403.3745, 824.0417, 1476.35, 1713.19, 2128.185, 1849.212, 968.0691, 1871.345, 1537.058, 2385.291, 2267.234, 2027.259, 1317.149, 2221.02, 3651.413
394.7, 267.7201, 260.5841, 2178.356, 866.1352, 2565.945, 1404.711, 1603.6, 2630.335, 1925.079, 974.2056, 1114.105, 503.3168, 1574.403, 1704.982, 384.8497, 985.8206, 1440.379, 1727.8, 2038.401, 1791.692, 921.3262, 1782.778, 1643.368, 2297.634, 2326.413, 2157.365, 1257.133, 2118.831, 3623.86
394.8, 255.477, 248.5549, 2059.676, 892.0776, 2693.336, 1389.102, 1534.411, 2499.416, 1888.316, 921.5775, 1061.986, 477.397, 1667.039, 1622.96, 367.1757, 939.633, 1453.302, 1673.91, 2078.229, 1808.107, 981.2919, 1698.403, 1617.049, 2344.795, 2230.415, 2059.441, 1199.851, 2021.344, 3744.063
