 , C000, C002, C003, C004, C005, C013, C021, C024, C025, C026, C031, C034, C035, C040, C041, C044, C045, C047, C054, C056, C057, C061, C063, C064, C066, C072, C073, C074, C077, C078, C079
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
192.9, 442.1528, 401.6566, 466.514, 414.5023, 1.292898, 2393.129, 1216.336, 4429.953, 929.4586, 1225.375, 460.1531, 2953.507, 0.006209957, 870.8082, 0.02207614, 626.4099, 695.0099, 1056.515, 2020.709, 1706.642, 726.0331, 291.5817, 249.1489, 312.9677, 2168.873, 2994.592, 0.03697507, 2419.835, 190.9417, 1961.651, 0.06697666
193, 534.2695, 384.3064, 543.063, 391.4662, 1.237232, 2504.84, 1141.294, 4311.783, 890.6826, 1167.734, 504.3978, 3201.915, 0.005945591, 974.2249, 0.0211563, 736.0865, 821.7913, 1026.357, 2105.128, 1992.739, 689.5491, 275.0711, 236.5798, 295.1993, 2460.077, 3055.821, 0.03525411, 2312.525, 180.454, 1883.023, 0.06394638
193.1, 592.2089, 547.8476, 514.6487, 369.7104, 1.183963, 2387.144, 1070.881, 4460.795, 842.0347, 1106.184, 480.5866, 3080.076, 0.005692479, 916.6062, 0.02027479, 698.152, 779.3198, 973.22, 2013.266, 2148.013, 658.9213, 259.4955, 233.6225, 278.4397, 2359.794, 2918.465, 0.03361325, 2660.156, 170.5425, 1823.919, 0.06105321
193.2, 563.9315, 524.1824, 487.7212, 379.4138, 1.132987, 2274.978, 1088.976, 4521.703, 796.0438, 1442.05, 457.8996, 3232.478, 0.005450142, 882.5168, 0.01943001, 662.1725, 739.0432, 1153.938, 2378.632, 2180.767, 625.8097, 244.8018, 238.5283, 262.6317, 2268.545, 3106.55, 0.03204877, 2761.878, 161.1753, 1733.85, 0.05829092
193.3, 537.0042, 501.5394, 556.3748, 358.3278, 1.084207, 2589.197, 1021.791, 4408.697, 752.5649, 1372.866, 436.2835, 3148.025, 0.005218121, 830.3221, 0.01862042, 689.8563, 700.8483, 1203.558, 2274.835, 2358.132, 750.7963, 353.265, 226.495, 247.7211, 2431.573, 3073.678, 0.0305571, 2639.4, 152.3226, 2036.237, 0.05565362
193.4, 637.0494, 479.8746, 533.7168, 491.7556, 1.037526, 2479.656, 1079.969, 4271.451, 711.4608, 1300.504, 461.0293, 3253.257, 0.004995978, 781.2143, 0.01784457, 797.0647, 664.6273, 1220.098, 2452.458, 2509.699, 767.9875, 525.693, 286.2491, 233.657, 2609.01, 2935.519, 0.02913486, 2522.353, 143.9562, 1935.683, 0.05313564
193.5, 661.7705, 497.1201, 679.805, 464.4262, 0.9928553, 2363.143, 1013.339, 4314.102, 672.6017, 1231.956, 439.2655, 3358.739, 0.004783292, 767.7982, 0.01710105, 755.9876, 798.1458, 1156.93, 2438.971, 2474.779, 729.3952, 495.9261, 271.8083, 220.3914, 2612.388, 2803.571, 0.02777881, 2579.009, 286.9674, 1840.095, 0.05073158
193.6, 659.085, 475.6462, 653.4918, 438.6156, 0.9501078, 2383.987, 950.8208, 4381.302, 703.485, 1167.021, 542.5916, 3415.983, 0.004579661, 778.1612, 0.0163885, 744.7327, 778.1313, 1189.075, 2363.384, 2333.26, 777.5262, 467.8447, 368.6654, 207.879, 2775.797, 3029.3, 0.02648588, 2464.64, 271.2055, 2098.01, 0.0484363
193.7, 627.6143, 455.0999, 619.2997, 414.2394, 0.9092008, 2380.824, 952.7458, 4193.512, 665.0615, 1105.509, 665.515, 3266.144, 0.004384698, 732.1384, 0.01570565, 898.9932, 896.8843, 1236.185, 2490.616, 2643.963, 738.4546, 441.3534, 350.067, 196.0769, 2752.015, 2893.136, 0.02525313, 2412.872, 347.5732, 1994.406, 0.04624485
193.8, 597.6462, 556.1373, 586.8966, 693.1104, 0.8700551, 2312.191, 907.8518, 4140.423, 850.9298, 1047.239, 634.098, 3503.184, 0.004198036, 732.0187, 0.01505125, 990.455, 850.5319, 1172.184, 2381.933, 2617.004, 701.3464, 429.4527, 332.4067, 184.9449, 2829.817, 2872.507, 0.02407776, 2657.11, 328.4825, 1938.662, 0.04415256
193.9, 584.9737, 532.114, 556.1889, 654.5906, 0.8325949, 2329.005, 851.8413, 4210.409, 804.4531, 1092.205, 604.1641, 3349.519, 0.00401932, 796.5562, 0.01442411, 998.5259, 806.575, 1297.24, 2277.991, 2667.149, 666.1029, 405.1353, 315.6375, 174.4448, 3085.361, 2912.442, 0.02295709, 2539.278, 310.4403, 2182.82, 0.04215493
194, 599.7676, 509.1284, 720.4882, 618.2116, 0.7967474, 2589.093, 799.2864, 4193.658, 813.7639, 1034.637, 575.6432, 3202.594, 0.003848211, 749.4454, 0.01382311, 1043.704, 764.8898, 1398.124, 2448.284, 2598.161, 632.6304, 382.1949, 299.7141, 164.5409, 3094.062, 2806.692, 0.02188858, 2426.671, 293.3892, 2075.028, 0.04024768
