 , C001, C003, C004, C006, C007, C008, C011, C013, C016, C022, C025, C026, C027, C029, C035, C038, C039, C054, C055, C058, C060, C065, C069, C083, C084, C090, C102, C105, C107, C117, C118, C119, C120, C121, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
518.8, 712.652, 445.0616, 649.0504, 36.50037, 774.917, 1015.926, 586.7361, 738.9818, 548.3618, 456.5989, 431.1753, 935.3495, 926.8135, 488.3367, 640.7664, 1045.549, 207.7797, 574.2093, 659.7211, 977.972, 323.0128, 821.9819, 942.5257, 1088.496, 1132.021, 818.2787, 790.1287, 1405.525, 611.8074, 1398.725, 2376.635, 2100.367, 2008.481, 1656.247, 1154.934
518.9, 704.248, 421.8383, 694.9557, 34.89545, 741.3987, 1003.747, 655.8541, 722.4447, 522.421, 431.4724, 444.2069, 895.7045, 883.5488, 489.1857, 684.0037, 990.9062, 199.0719, 647.601, 744.2067, 946.0877, 306.8641, 857.2478, 917.2668, 1161.312, 1082.143, 775.3787, 777.0716, 1433.746, 585.7366, 1334.735, 2370.083, 2189.247, 1999.575, 1679.453, 1139.76
519, 669.2582, 399.8268, 661.6564, 33.36111, 731.6595, 951.7341, 621.7847, 688.2234, 512.1892, 435.3928, 453.3523, 891.153, 875.9219, 466.0749, 654.5458, 957.6445, 190.7289, 614.5024, 712.7201, 938.7635, 331.9506, 821.1236, 1015.964, 1110.783, 1126.242, 734.7278, 743.2153, 1371.824, 573.8491, 1273.672, 2344.55, 2094.951, 1977.716, 1628.195, 1135.076
519.1, 792.9461, 378.9638, 629.9526, 31.89423, 809.0015, 902.4168, 589.4852, 738.9866, 552.8438, 411.4333, 430.2343, 853.3813, 874.3364, 444.0559, 626.3566, 1042.218, 182.7357, 630.7442, 682.5657, 898.8635, 407.4185, 835.2155, 1012.315, 1087.214, 1101.393, 696.2081, 857.1025, 1434.291, 652.1089, 1215.402, 2390.818, 2004.716, 1956.041, 1549.584, 1178.243
519.2, 753.5494, 359.1895, 599.768, 30.49184, 774.009, 951.3153, 558.8634, 795.6665, 526.6909, 388.7922, 408.2952, 912.7964, 875.8264, 585.4944, 599.3814, 987.7491, 191.5905, 598.5072, 653.6871, 958.2075, 562.4604, 867.2906, 968.6785, 1141.259, 1145.354, 676.376, 819.7593, 1429.322, 624.3207, 1273.875, 2401.443, 2064.416, 1873.674, 1641.273, 1188.813
519.3, 716.11, 340.447, 571.0297, 29.15112, 833.4512, 902.0198, 529.8323, 757.9768, 501.7753, 558.3828, 387.4749, 874.1073, 866.0908, 785.4965, 605.3502, 936.1269, 191.9913, 567.9178, 714.8313, 917.481, 626.3969, 852.6786, 1028.496, 1091.601, 1125.353, 640.9155, 794.8084, 1386.866, 597.7167, 1215.596, 2374.784, 1975.497, 1964.041, 1562.03, 1194.689
519.4, 680.5308, 322.6825, 594.1293, 27.86935, 835.1706, 855.2786, 502.3094, 722.0724, 478.0383, 527.6552, 367.7162, 838.9789, 868.2841, 805.9031, 579.2796, 887.2026, 183.9451, 569.1179, 742.087, 1003.551, 611.9558, 846.3112, 984.1616, 1090.479, 1090.771, 607.3141, 815.4114, 1326.968, 604.3611, 1255.931, 2472.339, 2009.124, 1978.333, 1516.515, 1186.84
519.5, 646.7194, 305.845, 565.6611, 26.64394, 847.1513, 841.6552, 476.2161, 687.8688, 455.4242, 498.6184, 348.9651, 841.7331, 870.5301, 767.8295, 554.3318, 840.8353, 176.2362, 540.0306, 710.6901, 983.56, 581.3618, 810.6479, 941.7385, 1071.331, 1078.294, 783.3669, 779.8848, 1269.657, 626.3139, 1198.473, 2392.062, 2014.337, 1928.43, 1543.646, 1135.947
519.6, 614.5878, 289.886, 584.8189, 25.47241, 850.4411, 798.0421, 451.4783, 732.0703, 433.8799, 471.1796, 331.1702, 806.056, 885.202, 806.1678, 530.4585, 796.8912, 168.8503, 512.43, 680.6215, 980.2997, 590.1365, 776.4874, 954.0328, 1024.716, 1228.14, 742.2972, 899.1542, 1214.821, 620.1212, 1218.523, 2290.571, 1947.067, 1968.603, 1469.117, 1087.236
519.7, 584.0526, 318.4729, 556.7969, 24.35239, 813.6561, 756.6888, 428.0255, 730.7697, 413.3548, 445.2508, 314.2827, 892.0516, 913.0912, 768.0817, 507.6133, 755.2437, 161.7739, 486.24, 651.8251, 977.3926, 652.3668, 743.7664, 964.538, 1205.932, 1174.027, 703.3807, 885.8245, 1162.354, 607.0166, 1189.516, 2193.386, 1863.202, 1898.045, 1479.963, 1066.803
519.8, 555.0345, 314.7406, 530.1176, 23.28162, 831.2681, 807.7939, 405.7911, 713.2916, 518.9556, 511.3651, 298.2563, 854.2418, 870.467, 747.3286, 485.752, 909.0814, 232.7729, 497.8708, 765.8615, 1007.648, 619.7524, 753.125, 948.0797, 1153.461, 1122.299, 666.5044, 847.23, 1331.99, 581.1499, 1193.728, 2364.517, 1920.7, 1939.602, 1436.391, 1130.828
