 , C002, C003, C004, C005, C006, C007, C011, C012, C013, C014, C015, C017, C018, C019, C020, C021, C022, C025, C026, C027, C029, C030, C031, C033, C035, C038, C040, C045, C050, C051, C055, C056, C059, C065, C066, C067, C069, C076, C079, C081, C087, C088, C089, C094, C095, C096, C097, C099, C107, C108, C111, C112, C123, C124, C129, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
294.6, 1809.498, 990.1657, 930.7387, 712.7897, 136.3988, 370.6261, 157.3975, 818.0269, 4.259543, 1632.591, 2622.708, 963.7861, 1264.174, 677.5742, 495.2515, 765.735, 2241.506, 1658.919, 474.9252, 1772.68, 3000.72, 962.355, 1337.682, 1439.476, 1181, 778.3675, 595.5271, 1916.943, 425.3383, 0.02945863, 985.1569, 888.8464, 1860.921, 0.06819309, 977.0284, 1703.891, 609.4844, 1955.081, 0.002667907, 806.848, 1065.713, 1.227276, 318.5117, 479.3908, 242.7597, 1500.054, 2241.381, 598.1078, 1820.448, 493.9336, 2666.662, 1259.993, 0.6451483, 0.002589705, 1174.352, 267.3982
294.7, 1727.589, 948.8866, 886.0892, 712.4818, 129.7385, 352.0625, 149.9249, 795.3196, 4.06103, 1628.909, 2614.608, 953.5771, 1277.685, 708.6122, 472.2635, 730.0972, 2202.63, 1708.342, 454.2271, 1731.341, 2920.863, 915.5643, 1296.229, 1393.366, 1128.353, 782.6397, 570.8842, 1864.685, 406.4443, 0.02816984, 974.4954, 894.2738, 1918.727, 0.06520779, 1018.335, 1674.563, 581.7698, 1886.774, 0.002549167, 810.326, 1070.141, 1.176109, 304.9622, 455.2421, 283.8029, 1436.449, 2329.934, 570.2214, 1758.604, 471.7928, 2649.983, 1258.576, 0.6164064, 0.002479679, 1124.373, 256.295
294.8, 1759.277, 964.8365, 874.7355, 674.7503, 123.4035, 334.4287, 142.8071, 759.1718, 3.871769, 1674.125, 2562.835, 990.1101, 1276.369, 676.1027, 450.3427, 696.118, 2192.225, 1680.907, 524.1447, 1706.919, 2923.266, 871.0486, 1456.092, 1396.419, 1227.263, 792.0528, 586.4349, 1933.122, 388.3896, 0.02693743, 1098.561, 853.9019, 1893.418, 0.06235317, 1047.471, 1674.256, 633.2207, 1886.22, 0.002435711, 843.5062, 1050.269, 1.127075, 291.9892, 432.3099, 270.2386, 1476.109, 2230.948, 695.2348, 1861.559, 510.2791, 2674.147, 1280.255, 0.5889451, 0.002374328, 1143.786, 245.6529
294.9, 1814.748, 951.0662, 974.3701, 639.017, 117.3777, 317.6782, 136.0271, 724.6669, 3.691328, 1698.246, 2601.272, 948.8276, 1222.242, 645.0847, 429.4393, 663.7202, 2169.042, 1644.694, 611.2595, 1892.411, 2974.603, 828.6973, 1541.232, 1336.918, 1172.555, 858.4439, 588.1161, 1889.313, 371.1369, 0.02575894, 1049.397, 815.3527, 1855.734, 0.05962352, 1100.156, 1773.165, 604.4267, 1953.902, 0.002327305, 807.6154, 1002.889, 1.080086, 279.568, 457.2634, 257.3227, 1413.519, 2281.234, 767.0288, 1821.557, 544.8777, 2607.152, 1225.022, 0.5627072, 0.002273452, 1095.108, 235.4527
295, 1732.601, 1001.677, 927.6276, 738.938, 111.6462, 301.7666, 129.5691, 720.6893, 3.519296, 1627.181, 2584.718, 909.2663, 1282.388, 639.9371, 409.5061, 632.8301, 2143.243, 1644.189, 642.8226, 1828.252, 3006.855, 847.5775, 1722.992, 1373.319, 1202.052, 841.0772, 563.7799, 1880.504, 354.6506, 0.02463201, 1145.917, 778.5437, 1912.943, 0.05701337, 1160.111, 1696.07, 576.942, 1908.271, 0.002223724, 865.4308, 992.071, 1.035055, 267.6752, 434.2294, 245.0241, 1420.474, 2184.316, 828.433, 1743.608, 563.3394, 2678.274, 1260.15, 0.5376382, 0.002176863, 1048.502, 225.676
295.1, 1654.172, 1034.031, 883.1273, 699.8055, 106.1946, 286.652, 123.4177, 687.9335, 3.355281, 1671.386, 2516.827, 905.0608, 1382.106, 685.9915, 390.4982, 603.3778, 2121.135, 1613.59, 692.8025, 1747.141, 2902.676, 834.9074, 1710.217, 1327.46, 1202.981, 987.6503, 540.4507, 1835.894, 423.0542, 0.02355438, 1094.634, 758.8508, 1878.329, 0.05451748, 1129.902, 1693.297, 550.7071, 1923.247, 0.002124754, 860.2147, 979.5232, 0.9919019, 331.2184, 412.3557, 233.3133, 1360.243, 2197.727, 789.8078, 1813.682, 589.3686, 2614.715, 1269.517, 0.513686, 0.002084377, 1128.111, 216.3053
295.2, 1856.823, 990.9234, 840.7618, 662.7454, 101.0092, 272.2944, 117.5583, 656.6664, 3.198911, 1635.642, 2558.124, 886.7343, 1323.495, 676.3346, 372.3726, 680.1343, 2024.243, 1674.494, 769.0894, 1742.424, 2904.71, 794.3134, 1821.929, 1336.939, 1243.173, 991.5479, 518.0869, 1904.834, 404.2617, 0.02252389, 1166.236, 730.4366, 1831.529, 0.05213086, 1170.205, 1619.675, 571.4327, 1842.729, 0.002030188, 823.6129, 1099.855, 0.9505479, 385.9388, 391.5838, 222.1622, 1434.913, 2233.829, 786.249, 1820.362, 602.9896, 2605.769, 1214.747, 0.4908009, 0.00199582, 1080.1, 207.3237
295.3, 1772.772, 1005.594, 853.1417, 627.6479, 96.07696, 258.656, 111.9771, 626.8205, 3.049828, 1669.201, 2604.128, 916.6421, 1375.406, 645.306, 376.9758, 648.4803, 2034.475, 1707.42, 764.1497, 1826.033, 2886.163, 833.9162, 1783.595, 1279.972, 1246.927, 963.2388, 496.6484, 1911.721, 386.3039, 0.02153849, 1461.68, 787.7312, 1859.886, 0.04984871, 1118.411, 1710.252, 578.5896, 1859.505, 0.00193983, 788.5684, 1050.238, 0.9109181, 428.1894, 371.8582, 211.5441, 1404.326, 2190.577, 879.4403, 1858.851, 681.2127, 2596.191, 1201.521, 0.4689354, 0.001911026, 1034.132, 198.715
295.4, 1692.525, 1062.767, 899.6138, 594.4091, 91.38557, 245.7007, 106.6609, 598.3311, 2.907692, 1660.166, 2532.687, 976.573, 1317.08, 615.7009, 507.4837, 618.2996, 2056.817, 1634.565, 824.9946, 1763.521, 2896.403, 793.3703, 1866.48, 1297.614, 1222.253, 919.9738, 532.7956, 1955.423, 422.3912, 0.0205962, 1687.964, 791.7369, 1870.866, 0.04766648, 1124.433, 1706.61, 552.2798, 1781.656, 0.001853495, 805.992, 1107.122, 0.8729404, 409.9742, 353.1264, 201.4334, 1458.199, 2213.582, 838.437, 1854.546, 700.9348, 2641.281, 1239.697, 0.448044, 0.001829834, 1075.173, 190.4638
295.5, 1672.152, 1066.342, 856.4575, 562.9305, 86.92326, 233.3942, 212.3498, 571.1365, 2.772181, 1671.466, 2550.162, 935.8549, 1356.95, 624.2255, 483.928, 589.5236, 1970.594, 1564.818, 865.8951, 1937.653, 2826.318, 754.7958, 1811.871, 1306.146, 1220.4, 976.0837, 510.7485, 1990.99, 478.421, 0.01969514, 1772.283, 755.994, 1905.331, 0.04557977, 1187.798, 1820.75, 566.6824, 1949.772, 0.001771001, 851.0416, 1130.895, 0.8365461, 471.4016, 410.4782, 191.806, 1396.368, 2314.673, 876.0139, 1885.332, 888.4492, 2526.908, 1186.214, 0.4280833, 0.001752092, 1029.415, 182.5552
