 , C000, C001, C004, C007, C009, C010, C011, C013, C015, C016, C021, C022, C023, C026, C030, C031, C032, C038, C040, C042, C043, C045, C046, C047, C049, C051, C052, C055, C057, C058, C059, C064, C065, C066, C068, C069, C071, C078, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
121.6, 564.6714, 602.2033, 590.2466, 583.1899, 995.9384, 1771.72, 0.5304312, 149.2642, 1122.914, 1997.469, 4059.975, 711.5045, 2189.585, 2386.953, 2532.847, 3460.56, 882.4948, 746.4004, 630.8972, 1458.034, 1109.495, 1032.543, 2157.262, 2708.24, 285.902, 1332.223, 2663.682, 519.8477, 1476.207, 1499.038, 233.0196, 385.3915, 699.1065, 950.6381, 817.2596, 1172.104, 577.1887, 952.8821, 2276.122
121.7, 540.2249, 576.1219, 562.0112, 567.3046, 977.4472, 1948.545, 0.5071091, 145.4795, 1153.92, 2012.865, 4262.247, 679.8215, 2377.807, 2393.29, 2616.515, 3624.028, 969.6953, 714.1577, 707.0786, 1471.153, 1062.371, 1062.152, 2441.173, 2858.069, 273.3427, 1487.735, 2802.098, 492.6682, 1632.767, 1523.351, 223.287, 368.9955, 667.2619, 968.3945, 882.9661, 1121.082, 551.5599, 912.1263, 2313.67
121.8, 516.8367, 690.441, 535.1264, 649.6014, 1076.823, 1951.299, 0.4848125, 139.4928, 1164.628, 2213.332, 4309.198, 778.5082, 2391.245, 2562.609, 2672.801, 3556.193, 929.0479, 836.2466, 675.7468, 1451.327, 1060.305, 1018.193, 2419.073, 2875.991, 284.1497, 1604.224, 2839.041, 466.9098, 1560.806, 1546.443, 213.9608, 353.2971, 935.0924, 927.3933, 916.1494, 1072.281, 527.0692, 964.8614, 2390.621
121.9, 494.461, 681.9255, 509.5277, 634.8182, 1096.616, 1874.538, 0.4634962, 154.7167, 1189.751, 2240.717, 4554.205, 772.1177, 2302.762, 2573.773, 2786.468, 3494.672, 890.1044, 800.1228, 645.8034, 1461.125, 1052.767, 1211.247, 2501.127, 3063.619, 271.6673, 1538.853, 2961.01, 458.6561, 1560.743, 1626.339, 216.6892, 382.4033, 892.4986, 1087.711, 872.5053, 1025.605, 528.8029, 923.5932, 2373.568
122, 473.0541, 652.3914, 485.1536, 686.5551, 1049.474, 1849.542, 0.4431172, 148.3499, 1134.882, 2207.343, 4639.823, 781.1927, 2382.312, 2529.069, 2796.733, 3844.8, 1016.156, 765.5594, 651.5263, 1503.277, 1401.984, 1224.293, 2589.637, 2939.269, 259.7332, 1744.478, 3167.993, 434.6759, 1491.956, 1564.516, 207.6387, 530.0166, 851.8449, 1077.127, 902.7039, 1095.945, 505.3225, 884.0901, 2276.932
122.1, 452.5739, 852.8347, 461.9455, 834.5955, 1130.778, 1972.927, 0.4236342, 142.2451, 1327.876, 2321.029, 4667.017, 863.0878, 2297.86, 2640.266, 2775.965, 3895.491, 1050.893, 732.4891, 622.6561, 1632.778, 1342.437, 1173.623, 2734.801, 2971.121, 248.3234, 1932.994, 3065.636, 411.9495, 1507.13, 1494.95, 198.9661, 507.4677, 813.043, 1031.522, 859.7004, 1143.405, 589.9389, 846.2766, 2184.23
122.2, 432.9804, 815.8986, 439.8476, 845.513, 1082.167, 1885.275, 0.4050078, 192.1096, 1318.603, 2367.792, 4839.028, 824.6549, 2492.158, 2789.079, 2951.621, 4008.141, 1150.555, 700.8474, 667.0722, 1622.252, 1285.419, 1165.378, 2722.097, 3313.524, 268.7884, 1875.73, 3452.725, 412.6445, 1520.899, 1609.019, 301.5849, 485.8782, 930.4473, 1189.821, 818.7455, 1093.632, 563.744, 898.5724, 2210.797
122.3, 414.2352, 782.2307, 418.8067, 810.1146, 1339.795, 1930.052, 0.3872004, 184.2041, 1257.791, 2480.133, 5010.195, 978.2889, 2607.978, 2798.967, 3151.638, 4093.923, 1102.326, 770.8905, 637.5132, 1831.024, 1383.592, 1266.146, 3134.363, 3413.017, 256.9808, 1803.178, 3311.685, 391.07, 1733.954, 1537.474, 288.9884, 718.5239, 912.7908, 1139.444, 1137.486, 1299.764, 538.7122, 860.1395, 2120.788
122.4, 396.3015, 774.3973, 398.7724, 776.1982, 1315.11, 2004.953, 0.3701759, 314.5119, 1438.59, 2726.776, 4800.339, 934.7262, 2573.204, 2892.121, 3137.422, 4114.693, 1188.023, 737.5899, 609.264, 1856.33, 1324.826, 1269.927, 3216.625, 3519.912, 298.2841, 1956.305, 3598.806, 370.6235, 1819.223, 1803.669, 338.2783, 857.1131, 1095.421, 1188.491, 1143.413, 1261.432, 514.7919, 916.6097, 2034.443
122.5, 379.1442, 865.975, 379.6965, 743.7018, 1388.111, 1959.829, 0.3539, 301.5693, 1599.218, 2736.391, 5066.875, 981.9025, 2644.396, 2919.181, 3121.744, 4303.751, 1291.119, 705.7278, 582.2665, 1935.789, 1268.556, 1227.839, 3415.704, 3580.828, 285.1808, 1876.587, 3451.798, 511.4045, 1818.882, 1723.469, 350.3476, 1215.616, 1045.525, 1138.171, 1088.942, 1296.106, 491.9337, 1284.239, 1951.613
122.6, 362.7298, 943.0889, 361.5331, 780.0078, 1419.207, 1872.759, 0.3383397, 356.6735, 1637.797, 2708.644, 5282.368, 938.1789, 2531.178, 3000.81, 3323.283, 4352.073, 1236.999, 675.2421, 556.4654, 1934.063, 1296.345, 1221.531, 3421.529, 3807.42, 272.6531, 2116.209, 3833.675, 484.6664, 1738.718, 1752.768, 335.7145, 1163.899, 1127.84, 1233.592, 1090.471, 1239.686, 470.0905, 1229.311, 2000.048
122.7, 347.0259, 907.3516, 344.2386, 894.392, 1358.197, 1904.914, 0.3234635, 341.9959, 1742.131, 2822.135, 5233.088, 896.4023, 2550.885, 3122.854, 3187.443, 4303.366, 1327.065, 735.7424, 531.8076, 1855.806, 1317.28, 1369.544, 3476.399, 3821.476, 334.8402, 2165.187, 3782.113, 518.5743, 1770.099, 1674.831, 492.3184, 1175.847, 1076.466, 1181.363, 1079.785, 1185.722, 449.2171, 1176.732, 2052.111
122.8, 332.002, 915.4155, 327.7713, 898.5862, 1376.908, 1959.707, 0.3092414, 327.9224, 1748.489, 2951.546, 5370.715, 954.2598, 2441.67, 3093.621, 3202.513, 4265.264, 1393.645, 770.5686, 508.2423, 1977.107, 1279.112, 1394.385, 3627.904, 3805.511, 340.146, 2099.302, 3845.045, 625.4344, 1692.085, 1774.022, 471.7555, 1126.14, 1052.169, 1131.345, 1175.397, 1134.108, 429.2706, 1126.402, 2051.971
122.9, 317.6284, 875.769, 312.0919, 874.3167, 1317.716, 2031.695, 0.2956447, 481.3666, 1745.085, 2930.697, 5145.757, 911.7671, 2783.371, 2983.966, 3326.36, 4528.375, 1443.26, 737.2819, 485.7213, 1962.381, 1242.063, 1469.233, 3667.925, 3780.562, 325.2038, 2109.601, 3853.594, 592.7345, 1617.509, 1821.647, 452.0515, 1099.844, 1004.242, 1187.313, 1178.497, 1182.581, 410.2098, 1078.224, 1968.428
123, 303.8772, 931.7225, 297.1624, 896.5593, 1419.111, 1941.432, 0.2826458, 461.5578, 1737.913, 3003.458, 5385.314, 926.6564, 2664.203, 3074.501, 3241.659, 4414.34, 1510.482, 719.3763, 464.1982, 2072.704, 1242.075, 1408.426, 3687.564, 3975.52, 310.9179, 2023.637, 4123.036, 561.7442, 1635.385, 1740.647, 433.1705, 1053.052, 958.4986, 1225.144, 1122.355, 1222.491, 391.9954, 1032.107, 1888.286
123.1, 290.7213, 950.6984, 282.9471, 873.3914, 1358.105, 2012.632, 0.2702184, 442.5641, 1657.763, 2879.292, 5413.821, 977.6862, 2766.934, 3190.777, 3176.821, 4314.447, 1447.167, 827.5995, 443.6288, 2026.893, 1356.6, 1350.135, 3643.958, 3938.778, 297.2596, 1941.175, 3983.983, 532.3742, 1587.084, 1844.877, 535.4238, 1140.674, 1114.263, 1173.272, 1097.394, 1270.534, 374.5897, 987.9631, 1811.407
123.2, 278.1349, 916.3671, 269.4119, 836.8259, 1371.347, 1923.216, 0.2583374, 424.3521, 1581.31, 2933.261, 5187.059, 934.1503, 2798.457, 3226.408, 3364.405, 4478.015, 1386.505, 810.9569, 423.9709, 2101.098, 1298.981, 1336.35, 3760.815, 3778.906, 328.295, 2072.921, 3899.929, 571.5155, 1650.663, 1762.845, 513.0605, 1187.345, 1155.256, 1123.596, 1132.735, 1397.188, 426.3823, 945.7068, 1780.683
123.3, 266.0935, 876.6794, 256.5241, 801.7912, 1312.394, 1837.772, 0.2469788, 406.8895, 1681.014, 3035.733, 5251.361, 967.4557, 2774.515, 3272.632, 3338.593, 4353.098, 1328.386, 848.1972, 405.1841, 2081.646, 1436.427, 1284.627, 3837.879, 3874.269, 355.1525, 2086.989, 4079.408, 541.6346, 1672.635, 1684.46, 491.6313, 1136.831, 1102.633, 1076.024, 1132.983, 1361.132, 407.4498, 905.2579, 1708.185
123.4, 254.5734, 838.7105, 244.2529, 836.9621, 1267.908, 1857.062, 0.2361196, 390.1455, 1731.757, 3147.33, 5170.652, 1068.764, 2680.821, 3135.793, 3369.963, 4455.889, 1272.703, 811.5571, 387.2298, 2109.413, 1375.417, 1231.46, 3808.369, 4326.636, 422.92, 2001.945, 4086.665, 513.316, 1598.917, 1751.476, 553.3521, 1088.466, 1103.526, 1133.922, 1159.578, 1301.882, 389.3579, 866.539, 1801.512
123.5, 243.552, 846.511, 232.5686, 801.9218, 1213.402, 1930.978, 0.2257379, 374.0906, 1680.943, 3133.029, 5281.694, 1021.172, 2809.367, 3223.388, 3329.339, 4513.638, 1381.847, 805.2642, 623.4163, 2098.949, 1316.999, 1386.073, 3946.498, 4151.021, 435.4505, 1920.368, 3919.728, 486.478, 1528.447, 1673.596, 584.716, 1095.879, 1066.409, 1134.131, 1104.338, 1245.211, 416.1574, 829.4762, 1728.166
123.6, 233.0078, 954.5233, 221.4433, 791.8777, 1247.813, 1954.699, 0.2158126, 600.4564, 1603.421, 3018.363, 5336.398, 975.7001, 2689.086, 3161.818, 3409.341, 4668.253, 1323.923, 770.4788, 595.7917, 2245.516, 1387.907, 1328.708, 4035.865, 4226.655, 616.2626, 1884.033, 4105.809, 461.0432, 1614.49, 1751.302, 560.2939, 1049.256, 1017.834, 1170.465, 1088.765, 1406.631, 420.1351, 793.9986, 1831.631
123.7, 222.9201, 940.9299, 210.8502, 758.7249, 1202.212, 1905.03, 0.2063237, 575.7469, 1709.868, 2923.983, 5401.246, 932.2527, 2640.14, 3359.069, 3305.391, 4503.346, 1268.427, 825.7924, 569.3912, 2154.657, 1365.775, 1273.717, 4069.462, 4228.627, 589.1909, 2057.804, 3938.09, 563.4766, 1543.334, 1801.147, 538.465, 1319.62, 1054.521, 1261.092, 1082.131, 1345.4, 401.4799, 760.0384, 1757.059
123.8, 213.2691, 942.4393, 200.7639, 767.6425, 1150.53, 1820.394, 0.1972521, 645.0865, 1740.291, 2934.333, 5570.507, 890.7399, 2679.852, 3283.162, 3348.703, 4571.467, 1341.492, 790.1202, 544.1606, 2258.098, 1307.766, 1335.045, 3930.596, 4343.219, 681.8275, 2105.317, 4218.32, 534.0161, 1530.151, 1721.059, 515.9747, 1305.325, 1085.761, 1212.722, 1099.276, 1286.835, 450.1445, 727.5307, 1685.523
123.9, 204.0359, 901.6224, 191.16, 735.5043, 1142.844, 1783.898, 0.1885793, 623.033, 1689.673, 2895.42, 5391.707, 917.7062, 2948.019, 3366.966, 3547.052, 4748.068, 1285.26, 869.3326, 520.048, 2166.73, 1303.008, 1367.726, 4036.44, 4447.338, 651.8755, 2235.064, 4218.184, 605.0596, 1462.712, 1905.346, 540.629, 1394.458, 1036.304, 1280.253, 1046.908, 1230.819, 430.1569, 696.4134, 1712.914
124, 195.2025, 1110.187, 182.0155, 862.1459, 1093.714, 1704.644, 0.1802878, 597.3945, 1697.639, 2855.776, 5660.561, 953.5413, 2821.802, 3376.744, 3402.065, 4656.647, 1276.397, 831.7795, 497.0038, 2346.52, 1247.665, 1484.672, 4189.869, 4483.716, 623.2393, 2143.987, 4293.667, 699.5202, 1398.245, 1820.624, 561.1675, 1408.136, 1228.568, 1226.048, 997.0346, 1177.241, 411.0567, 666.627, 1809.489
124.1, 186.7515, 1066.184, 173.3085, 826.0511, 1271.011, 1688.265, 0.1723609, 652.7927, 1798.918, 3016.799, 5690.53, 911.0806, 2700.988, 3422.354, 3510.125, 4830.606, 1222.894, 795.8487, 474.9808, 2251.574, 1372.347, 1423.226, 4347.383, 4497.156, 625.0423, 2332.94, 4248.6, 662.9468, 1336.62, 1881.409, 537.729, 1348.229, 1255.867, 1253.552, 1069.638, 1246.052, 392.8047, 638.1146, 1808.961
124.2, 178.6664, 1020.008, 165.018, 791.4676, 1337.284, 1761.657, 0.1647825, 625.9295, 1715.955, 3068.094, 5763.547, 870.5107, 2696.39, 3517.422, 3662.23, 4788.519, 1171.633, 761.47, 453.9336, 2282.84, 1371.781, 1513.622, 4209.795, 4673.896, 597.5848, 2282.563, 4255.113, 788.902, 1490.23, 1823.516, 515.2695, 1572.925, 1198.662, 1343.256, 1018.682, 1191.811, 500.6127, 610.8218, 1735.312
124.3, 170.9313, 1028.61, 157.1241, 1025.303, 1355.722, 1690.618, 0.1575374, 600.1718, 1724.537, 3351.047, 5776.792, 1009.631, 2705.043, 3370.347, 3650.82, 4816.231, 1223.836, 728.5763, 433.8191, 2190.471, 1351.688, 1450.978, 4409.252, 4707.381, 571.3336, 2189.551, 4228.176, 791.2821, 1490.777, 1774.54, 500.1516, 1506.007, 1144.062, 1307.233, 1144.591, 1177.334, 478.3841, 584.6962, 1664.661
