 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C014, C016, C017, C018, C019, C022, C024, C027, C031, C032, C033, C037, C041, C043, C047, C050, C051, C052, C054, C055, C057, C059, C060, C061, C068, C069, C071, C072, C075, C076, C080, C084, C086, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
47.9, 182.1355, 315.3424, 276.7513, 297.3417, 39.80617, 108.992, 324.2281, 1531.932, 486.3516, 206.3816, 478.795, 372.141, 600.8707, 98.17487, 134.4752, 3.049721, 136.8999, 286.7205, 780.9185, 535.5855, 856.2913, 105.02, 1161.335, 17.42412, 37.74124, 606.3974, 99.89278, 675.089, 148.2099, 718.4712, 614.7172, 539.3667, 172.535, 338.029, 4.281967, 4.515148, 795.5275, 184.7165, 608.7841, 787.7491, 344.8515, 440.1928, 456.9063, 481.2559, 894.0427, 998.7466, 2369.275, 312.0222
48, 171.5272, 300.603, 258.4138, 277.2618, 37.62879, 103.2028, 308.9382, 1448.962, 459.5652, 195.21, 492.4839, 391.9346, 580.1638, 92.90958, 126.6623, 2.883043, 128.9744, 268.2771, 743.0283, 511.5576, 840.4966, 98.8321, 1106.032, 16.66055, 35.30988, 576.9724, 95.79106, 752.8029, 141.0891, 848.9203, 584.3218, 512.1307, 164.3555, 323.6272, 4.026906, 4.244041, 745.8753, 176.5835, 583.1544, 742.4357, 413.0342, 419.4255, 435.6884, 453.3038, 847.7896, 947.0663, 2267.895, 297.2999
48.1, 161.5368, 286.5526, 241.2914, 258.5379, 35.57051, 97.72115, 294.3694, 1467.143, 434.2542, 184.6431, 501.2912, 408.0837, 549.4202, 87.92669, 119.3032, 2.725475, 121.5078, 251.0201, 706.9764, 488.6077, 785.7724, 93.00884, 1053.364, 15.93044, 33.03515, 623.4239, 91.85777, 714.1312, 134.3105, 805.9507, 555.4293, 486.2701, 156.5638, 309.839, 3.787039, 3.989213, 767.6923, 245.2519, 558.6036, 699.7288, 393.6889, 399.638, 415.4558, 426.9752, 803.9293, 898.0601, 2281.846, 283.2722
48.2, 248.5528, 273.1588, 225.3035, 241.0785, 33.62482, 92.53064, 311.8977, 1400.745, 410.3372, 174.6483, 504.464, 381.9285, 562.1607, 83.21104, 112.3717, 2.576519, 146.9553, 234.8731, 887.8951, 625.2375, 820.1086, 87.52869, 1185.277, 15.23232, 30.90697, 593.1727, 88.08598, 677.446, 127.8576, 800.2808, 527.9655, 461.7153, 212.9471, 460.6738, 3.561459, 3.749686, 739.9435, 234.4536, 535.0865, 862.3102, 375.2497, 380.784, 396.1628, 402.1758, 762.3381, 851.5898, 2161.028, 269.9065
48.3, 234.0761, 260.3911, 210.3749, 224.7981, 71.95908, 87.61582, 297.1893, 1324.88, 387.7374, 165.1944, 494.6626, 385.9166, 667.3531, 78.74829, 105.843, 139.5884, 181.5447, 219.7648, 844.8143, 597.1876, 861.934, 82.37144, 1128.834, 14.5648, 28.91589, 615.1385, 84.46906, 642.6454, 121.7147, 759.7731, 644.0455, 438.4004, 202.8518, 441.0467, 3.349317, 3.52454, 693.7605, 226.1094, 615.4694, 812.7078, 380.1161, 362.8195, 387.1607, 378.8168, 722.8986, 807.524, 2046.606, 289.0814
48.4, 220.4426, 248.2201, 196.4356, 209.6171, 68.02295, 82.96206, 377.8059, 1273.82, 366.3824, 251.0793, 468.3706, 499.7359, 914.1982, 271.2917, 99.69353, 131.9594, 206.6073, 205.6283, 803.8239, 570.3961, 824.5542, 77.51805, 1075.08, 13.92653, 27.05308, 637.332, 81.00066, 609.6326, 115.8669, 766.1508, 612.2, 574.4243, 222.6138, 496.0596, 3.149811, 3.312913, 650.46, 216.1539, 589.5583, 765.9587, 399.9614, 345.7025, 430.5397, 356.8145, 685.4996, 991.211, 1938.243, 275.4416
48.5, 533.5779, 236.6181, 457.2926, 235.1204, 64.30212, 78.55548, 359.9895, 1442.834, 346.2035, 545.9446, 662.7668, 605.475, 962.6539, 256.7419, 93.90137, 124.7474, 331.4605, 192.4012, 875.8777, 544.8065, 770.868, 72.95063, 1023.885, 13.31623, 25.31027, 871.8908, 77.67467, 578.3156, 110.3001, 727.3707, 661.8519, 719.295, 428.2622, 474.9249, 2.962188, 101.6153, 609.862, 206.6367, 564.738, 721.8987, 520.551, 329.3931, 461.7357, 336.0901, 650.0353, 939.9205, 1835.618, 309.1196
48.6, 1405.871, 225.5583, 683.5731, 219.2424, 60.78483, 74.38297, 343.0132, 1379.424, 327.136, 681.8914, 804.7341, 566.6685, 911.6417, 242.9724, 88.44572, 183.856, 358.7687, 180.0249, 1096.812, 520.3649, 720.6772, 68.65233, 975.1274, 12.73268, 23.67974, 829.5829, 74.48525, 548.6073, 105.0007, 690.5536, 764.4479, 887.8237, 780.3008, 525.8483, 2.785742, 433.1832, 695.7966, 197.5386, 540.9626, 680.3732, 496.17, 313.8531, 505.3575, 316.5695, 616.4058, 1033.009, 1738.426, 294.5343
48.7, 2004.592, 215.0155, 714.0988, 204.4366, 57.45993, 70.43208, 326.8376, 1304.714, 309.1186, 644.98, 838.065, 579.9684, 863.3326, 229.9414, 83.30705, 173.8077, 393.2984, 168.4447, 1043.595, 497.0198, 673.7544, 64.60728, 928.6921, 12.17469, 22.15425, 854.2078, 71.4268, 520.4252, 99.95598, 655.6, 726.649, 860.5247, 743.3087, 503.4445, 2.619806, 407.1732, 652.369, 188.841, 518.1882, 641.2363, 472.9308, 299.0462, 481.8896, 298.1826, 584.5162, 979.5556, 1646.381, 280.6371
48.8, 2162.063, 204.9654, 666.7828, 190.6307, 54.31689, 116.5114, 311.4247, 1307.224, 292.0936, 610.0667, 793.5208, 598.2629, 817.5836, 217.6093, 78.46694, 378.1806, 570.9188, 157.6094, 992.9597, 474.7221, 629.8867, 60.80058, 884.468, 11.64117, 20.72703, 812.758, 68.49393, 493.6908, 95.1536, 622.4157, 690.719, 817.0715, 708.0703, 481.9951, 2.463754, 582.6039, 812.9996, 180.5264, 496.3725, 604.3507, 537.3704, 284.9379, 459.5116, 280.8636, 554.2763, 988.5437, 1559.209, 267.3957
48.9, 2038.621, 195.3851, 622.602, 177.7571, 51.34579, 110.3228, 296.7386, 1432.461, 276.0062, 591.9974, 751.3441, 559.9186, 774.2589, 205.9385, 73.90804, 357.5118, 537.8669, 147.4711, 1065.41, 453.4247, 713.4786, 57.21816, 842.3498, 11.13102, 19.39176, 868.6564, 65.68148, 468.3297, 90.58195, 590.9111, 656.5656, 849.3369, 696.8551, 643.3784, 2.316998, 896.4515, 762.2568, 172.5779, 475.4753, 569.5869, 512.2016, 271.4952, 585.9075, 264.5506, 525.6009, 937.3913, 1476.652, 282.2216
49, 2012.127, 186.2527, 918.4134, 165.7529, 48.5372, 140.8611, 282.7451, 1354.878, 260.8049, 735.8317, 1019.793, 1090.695, 733.2299, 341.2762, 69.614, 489.1996, 580.8696, 137.985, 1022.552, 433.0828, 667.0245, 53.84682, 802.2373, 10.64323, 18.14251, 826.5055, 73.00809, 444.2715, 86.22995, 561.0011, 937.8595, 874.437, 799.5341, 615.9671, 2.178983, 865.697, 714.6812, 164.9794, 455.4579, 677.0582, 488.2116, 486.326, 576.5327, 249.1851, 498.409, 888.8857, 1398.467, 347.8521
49.1, 2009.321, 177.547, 1150.234, 154.5594, 45.88224, 206.8488, 269.4115, 1281.498, 246.4408, 696.0005, 1071.473, 1852.551, 694.3752, 322.973, 115.6981, 467.7147, 547.2416, 129.109, 1195.878, 413.6534, 623.5949, 50.67413, 764.035, 10.17681, 16.97373, 865.4293, 70.01029, 421.4491, 82.08704, 532.605, 922.1115, 830.2812, 956.4062, 589.7237, 2.049189, 1063.255, 670.0749, 157.7154, 436.2832, 654.2458, 501.0165, 558.7369, 549.7596, 234.712, 472.6239, 842.8901, 1456.297, 399.3014
