 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C015, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C028, C029, C036, C037, C038, C040, C044, C046, C047, C048, C049, C050, C052, C053, C055, C057, C060, C061, C062, C063, C067, C068, C069, C070, C071, C072, C073, C075, C076, C079, C080, C083, C093, C095, C096, C097, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
132.4, 226.9223, 53.21764, 182.0733, 93.14642, 568.3038, 1215.775, 592.6211, 647.3461, 1848.328, 272.5191, 1027.807, 1003.079, 354.7263, 0.8051219, 698.7069, 815.1232, 452.7492, 118.5218, 160.2163, 4.692659, 82.12314, 213.3696, 1941.037, 3474.765, 2115.593, 20.83235, 1138.701, 3396.559, 1815.628, 345.7159, 1873.152, 2610.567, 1077.924, 2202.519, 258.3209, 31.03336, 454.4075, 2458.272, 1454.019, 572.1199, 2266.914, 1580.9, 3428.672, 564.4321, 451.6793, 129.9513, 1745.804, 757.9178, 2291.949, 6169.292, 1988.8, 667.3243, 3374.824, 3733.668, 2614.771, 1347.664, 2984.2, 1987.645, 349.6416, 2833.196, 2655.344, 1009.222
132.5, 216.9665, 50.71061, 172.8237, 88.49342, 631.7482, 1163.051, 562.4028, 620.129, 2244.787, 259.9937, 1026.003, 1024.417, 338.9206, 0.7682784, 708.0374, 778.9903, 430.5663, 113.076, 152.7943, 4.485011, 78.34493, 203.8376, 1887.975, 3390.061, 2094.104, 19.90349, 1079.99, 3358.465, 1728.496, 329.735, 1907.635, 2498.345, 1032.393, 2228.811, 245.7883, 29.68273, 431.9637, 2352.643, 1453.457, 544.0009, 2310.298, 1554.19, 3531.215, 539.6111, 432.7355, 123.5908, 1658.94, 724.6315, 2282.57, 6219.25, 1973.035, 637.6569, 3571.555, 3758.47, 2615.371, 1288.843, 3054.144, 2046.02, 334.5474, 2954.743, 2725.091, 966.2753
132.6, 207.4475, 48.32168, 164.044, 84.07285, 601.3022, 1166.338, 533.7253, 594.0563, 2145.958, 248.0439, 981.6099, 1009.433, 323.819, 0.7331209, 726.7297, 744.459, 409.4702, 107.8805, 145.7161, 4.286551, 74.74055, 194.7314, 1803.619, 3280.897, 2148.89, 19.01605, 1024.306, 3336.997, 1837.101, 314.4929, 1821.573, 2390.947, 1095.527, 2398.49, 233.8637, 28.39089, 410.6285, 2251.553, 1382.731, 517.264, 2358.964, 1637.586, 3470.407, 515.8817, 414.5862, 117.5416, 1681.849, 775.568, 2276.427, 6355.045, 1997.896, 739.6747, 3550.375, 3682.84, 2559.71, 1404.73, 2983.17, 2019.529, 320.1047, 2969.156, 2761.339, 1041.522
132.7, 198.3461, 46.04529, 177.1479, 79.8731, 572.3235, 1217.284, 506.5102, 569.0797, 2051.479, 236.6434, 987.6143, 992.7676, 309.3904, 0.6995722, 690.2844, 711.4585, 389.4078, 102.9238, 138.9658, 4.096874, 71.30199, 186.0321, 1851.911, 3221.562, 2058.98, 18.16818, 1061.716, 3508.684, 1869.905, 299.9554, 1776.327, 2559.224, 1122.29, 2353.285, 222.5176, 27.15526, 390.3471, 2369.191, 1397.56, 491.8411, 2258.718, 1564.941, 3372.295, 493.1957, 397.1981, 111.7885, 1685.243, 870.6976, 2181.781, 6459.661, 2027.027, 706.7908, 3713.889, 3725.376, 2568.12, 1398.888, 2879.698, 2085.766, 306.2856, 2965.154, 2673.996, 1021.236
132.8, 189.644, 43.87614, 168.1485, 75.88315, 597.0302, 1164.494, 575.1297, 678.4963, 2009.488, 225.7669, 944.8822, 1012.829, 461.2501, 0.6675588, 655.6669, 679.9208, 370.3284, 98.19471, 132.5282, 3.915589, 68.02162, 177.7213, 1769.166, 3199.038, 2070.143, 17.35811, 1049.137, 3527.582, 1780.168, 286.0898, 1783.539, 2576.538, 1074.886, 2373.366, 211.722, 25.97342, 371.0674, 2295.084, 1329.554, 467.6678, 2381.882, 1610.843, 3479.751, 471.5074, 380.5393, 106.3169, 1601.392, 832.4582, 2232.432, 6464.815, 2157.052, 675.3687, 3804.475, 3821.33, 2540.929, 1376.544, 3011.692, 2057.664, 293.0631, 3096.823, 2634.232, 977.7785
132.9, 181.3236, 41.80917, 159.6063, 72.09251, 568.2574, 1113.993, 582.1225, 649.9695, 2030.606, 215.3903, 985.7247, 959.2355, 440.6978, 0.6370103, 622.7854, 649.7812, 352.1837, 93.68295, 126.3889, 3.742326, 64.89217, 169.7819, 1776.176, 3056.651, 1983.529, 16.58417, 995.0436, 3567.753, 1779.651, 272.8653, 1773.033, 2494.042, 1029.484, 2597.033, 201.4502, 24.84301, 352.7399, 2312.432, 1337.142, 444.6825, 2452.344, 1539.384, 3566.588, 450.7728, 364.5792, 101.1132, 1521.713, 795.8982, 2156.584, 6551.37, 2207.868, 645.3436, 3979.888, 4013.852, 2509.017, 1316.463, 2902.813, 1966.763, 280.4114, 3287.38, 2730.579, 1006.294
133, 173.3684, 39.83958, 151.498, 68.49123, 540.8712, 1139.642, 552.4395, 622.6421, 1941.206, 205.4906, 969.9106, 908.4778, 421.0613, 0.6078598, 591.5529, 687.8513, 416.0819, 89.3785, 120.5339, 3.57673, 61.9067, 162.1971, 1904.88, 3242.369, 2136.904, 15.84473, 1069.938, 3547.592, 1881.464, 260.252, 1693.043, 2598.283, 985.9998, 2490.301, 191.6767, 23.76179, 335.3177, 2263.534, 1272.076, 422.827, 2348.129, 1520.941, 3529.583, 430.95, 349.2885, 96.16415, 1476.699, 806.5677, 2243.833, 6462.01, 2187.3, 681.8084, 3860.393, 3999.444, 2453.74, 1563.48, 2888.738, 1985.145, 268.3058, 3475.229, 2614.069, 997.5995
133.1, 165.7621, 37.96278, 143.8017, 65.06984, 514.8049, 1090.219, 524.2701, 596.4637, 1929.985, 196.0459, 1038.587, 860.406, 402.2998, 0.5800433, 561.8867, 657.3601, 395.6955, 85.27183, 114.9502, 3.418461, 59.05859, 154.9512, 1865.72, 3098.053, 2135.229, 15.13826, 1058.47, 3652.997, 1844.452, 248.2218, 1724.035, 2569.836, 944.3524, 2440.222, 263.3419, 22.72764, 318.756, 2244.029, 1253.288, 402.0456, 2467.323, 1475.962, 3656.817, 411.9989, 334.639, 91.45734, 1403.224, 862.2797, 2250.7, 6532.446, 2142.914, 651.497, 3952.091, 4087.754, 2549.907, 1824.59, 2805.727, 1919.482, 256.7229, 3612.788, 2676.83, 955.1477
133.2, 158.4896, 36.17439, 136.4963, 61.81936, 628.8787, 1042.939, 537.6709, 571.3859, 1886.171, 187.0354, 993.6494, 814.8779, 384.3743, 0.5534997, 533.7083, 628.2205, 376.308, 81.35384, 109.6251, 3.267196, 56.3415, 148.0289, 1929.251, 2960.161, 2045.891, 14.46328, 1068.918, 3667.182, 1755.937, 236.7476, 1873.997, 2648.303, 1027.369, 2482.56, 376.1245, 21.73849, 303.0122, 2291.667, 1284.483, 382.2856, 2400.726, 1465.178, 3796.458, 393.8812, 320.604, 86.98092, 1526.258, 875.9099, 2157.124, 6595.578, 2381.619, 622.5331, 3975.502, 4048.26, 2546.513, 1932.08, 2909.91, 1834.685, 245.64, 3663.277, 2776.316, 914.5023
133.3, 151.5361, 34.47025, 129.5621, 58.73126, 611.8395, 997.7103, 510.2545, 547.3625, 1803.13, 178.4389, 1053.565, 894.8683, 367.2474, 0.5281708, 657.7267, 694.3712, 357.8704, 77.61588, 104.5468, 3.122624, 53.74942, 141.416, 1843.051, 3133.797, 2152.769, 13.81841, 1080.185, 3807.127, 1815.657, 225.8039, 1789.452, 2786.459, 983.974, 2483.394, 376.884, 20.79239, 288.0461, 2193.197, 1249.866, 363.4968, 2552.87, 1534.138, 3632.289, 376.5602, 414.6535, 82.72359, 1779.739, 837.4415, 2200.811, 6734.908, 2295.16, 594.8569, 3930.121, 4019.096, 2532.489, 1927.089, 2775.423, 1849.077, 235.0356, 3706.82, 2809.568, 909.2068
