 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C017, C018, C022, C023, C025, C026, C027, C029, C030, C031, C032, C035, C037, C038, C039, C040, C045, C047, C048, C052, C053, C054, C056, C057, C058, C061, C063, C065, C066, C078, C081, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
289.3, 300.2157, 572.4341, 486.6528, 872.1931, 581.1835, 1045.332, 1246.83, 575.0063, 478.7624, 1553.822, 0.9494444, 292.5975, 1062.398, 397.7968, 1232.278, 282.3105, 181.9684, 422.4686, 1422.168, 2158.496, 1170.028, 364.7701, 1089.458, 723.4083, 33.91077, 496.6214, 768.7109, 208.7915, 17.40237, 633.3141, 134.475, 944.0169, 10.24814, 653.4149, 953.5503, 942.4678, 143.3438, 442.9865, 1277.263, 152.8705, 1278.961, 2665.335, 1000.672, 275.7776, 707.0941, 531.5954, 2902.839, 1958.253, 1925.838
289.4, 284.575, 547.5398, 463.2408, 830.6271, 568.367, 989.1122, 1316.146, 548.4158, 459.347, 1534.257, 0.9080836, 279.3213, 1119.71, 378.0668, 1223.347, 269.139, 174.4003, 404.4987, 1367.181, 2336.765, 1226.106, 346.4574, 1036.401, 707.3475, 32.51927, 476.2089, 856.9349, 199.8973, 16.67653, 601.6028, 128.8443, 1035.917, 9.798708, 619.5246, 945.1061, 926.2441, 137.187, 424.1344, 1299.874, 146.0316, 1225.1, 2607.279, 953.0119, 262.6751, 753.8957, 568.9856, 2835.486, 2010.812, 1963.76
289.5, 269.7492, 582.1216, 498.0221, 791.0421, 540.9411, 1088.37, 1449.836, 523.055, 624.1066, 1466.372, 0.8685247, 266.6475, 1197.519, 454.3164, 1168.973, 256.582, 202.14, 387.2933, 1343.77, 2232.741, 1220.365, 329.0641, 1062.542, 768.966, 31.18487, 456.6353, 832.0367, 251.064, 15.98096, 571.4792, 123.4494, 1030.313, 9.368989, 701.0308, 903.3832, 883.9838, 131.2947, 406.0847, 1317.218, 139.4986, 1325.27, 2574.103, 975.7211, 250.1951, 836.6255, 545.7565, 2923.135, 1962.604, 1881.656
289.6, 363.359, 556.8059, 474.0631, 799.664, 514.8386, 1102.18, 1378.833, 557.4904, 653.7568, 1455.997, 177.4535, 254.5488, 1144.09, 467.8256, 1211.695, 268.2723, 193.733, 370.8197, 1282.365, 2133.349, 1188.457, 312.5441, 1010.796, 737.5935, 29.90523, 437.8663, 801.7024, 240.3691, 15.3144, 542.8641, 118.2805, 1096.527, 8.958116, 714.422, 863.5021, 843.6516, 125.6555, 388.803, 1302.037, 133.2579, 1269.459, 2628.319, 995.244, 238.308, 800.0231, 545.0295, 2937.795, 1929.658, 1875.769
289.7, 344.4287, 532.5912, 451.2567, 788.3787, 591.0936, 1042.903, 1311.307, 531.7099, 617.2232, 1454.552, 246.7336, 292.9918, 1093.044, 444.6223, 1157.839, 255.7557, 185.6757, 355.0468, 1223.767, 2158.725, 1216.835, 296.8534, 995.5465, 714.9755, 28.67809, 419.8687, 768.7696, 230.1298, 14.67564, 656.9155, 113.3279, 1161.684, 8.565261, 677.3675, 825.3817, 836.1544, 120.2585, 372.2569, 1307.293, 127.2964, 1215.999, 2524.036, 947.8423, 226.9857, 765.0222, 566.5039, 2814.474, 1964.495, 1828.24
289.8, 326.4846, 509.4295, 429.5474, 790.4788, 562.571, 1037.737, 1332.871, 598.4108, 582.7311, 1562.891, 235.9851, 279.6978, 1044.276, 491.7608, 1166.758, 243.8232, 177.9534, 339.9448, 1317.362, 2257.079, 1166.434, 281.9504, 1034.229, 769.1182, 27.50131, 402.6109, 841.3024, 220.3267, 14.06353, 624.0223, 108.5827, 1192.868, 8.189634, 642.2349, 914.4813, 798.0045, 115.0933, 356.4149, 1271.237, 121.6016, 1164.789, 2521.928, 931.7438, 216.2014, 817.9089, 598.7347, 2879.834, 1876.434, 1843.889
289.9, 309.4754, 548.9082, 408.8826, 776.7252, 535.4247, 1020.754, 1290.721, 570.738, 635.0889, 1493.739, 225.7049, 267.0069, 997.6838, 467.3704, 1134.389, 284.0016, 170.5523, 325.4852, 1270.202, 2156.603, 1131.849, 267.7956, 983.862, 737.7395, 26.37282, 479.4591, 821.8475, 249.8126, 13.47695, 592.7762, 104.0362, 1137.001, 7.830481, 657.6752, 944.1345, 814.5905, 110.1499, 341.247, 1236.656, 116.1615, 1142.607, 2492.777, 1017.86, 205.9294, 798.8525, 574.291, 2815.376, 1869.817, 1828.203
290, 293.3524, 571.6747, 389.2119, 830.8568, 554.1768, 1001.171, 1266.279, 544.3449, 603.5471, 1427.646, 215.8725, 254.8919, 953.1705, 568.6588, 1083.969, 306.5975, 163.459, 311.6406, 1293.605, 2155.054, 1120.953, 254.3514, 935.948, 707.641, 25.29064, 534.9105, 788.0872, 244.1921, 12.91483, 563.0946, 99.68008, 1083.751, 7.487078, 623.5639, 902.4544, 777.4244, 105.4189, 326.7247, 1234.691, 110.9649, 1132.252, 2480.584, 1040.988, 196.1454, 825.9036, 550.8453, 2991.449, 1891.722, 1879.523
290.1, 278.0693, 546.8134, 398.9265, 893.9875, 527.4355, 947.3267, 1229.064, 588.459, 638.4912, 1422.127, 206.4684, 271.5915, 910.6431, 582.1224, 1168.257, 374.7011, 156.6608, 298.3849, 1281.709, 2121.89, 1208.948, 241.5821, 973.1416, 678.7704, 24.25286, 652.6403, 755.7137, 233.7899, 12.37616, 640.2281, 192.3227, 1093.708, 7.158734, 591.2219, 862.6144, 741.9541, 100.891, 312.8203, 1210.265, 106.0007, 1084.57, 2495.84, 1048.594, 186.8263, 835.553, 528.3568, 3330.609, 1843.652, 1855.813
290.2, 263.5824, 626.8574, 379.7348, 851.3829, 501.9847, 896.3779, 1240.614, 600.9964, 616.6409, 1387.237, 197.474, 362.9038, 920.4186, 586.6561, 1116.332, 357.219, 150.1452, 285.693, 1282.914, 2087.183, 1260.2, 419.2564, 925.7497, 651.0778, 23.25766, 753.6451, 786.5573, 251.4645, 11.85995, 675.3179, 184.2699, 1123.881, 6.84479, 560.5573, 907.7954, 708.1021, 295.0565, 299.5078, 1218.94, 101.2586, 1091.605, 2555.751, 1037.186, 177.95, 798.9976, 590.7741, 3486.526, 1883.678, 1869.465
290.3, 249.8503, 697.8222, 411.3731, 840.5898, 477.762, 904.2626, 1207.475, 599.7643, 738.8259, 1412.627, 188.8714, 444.9991, 879.3526, 579.6907, 1066.714, 340.5525, 287.4069, 332.4115, 1303.04, 1994.27, 1208.002, 450.2737, 913.3848, 624.5149, 22.30331, 762.0677, 791.5897, 265.3414, 11.36528, 641.5032, 176.5542, 1165.062, 6.544614, 676.8077, 904.7466, 724.5023, 334.2383, 286.7617, 1169.768, 96.72859, 1045.634, 2609.077, 1068.464, 169.4953, 839.7027, 566.6555, 3555.271, 1799.24, 1791.303
290.4, 236.8336, 667.4749, 466.5807, 800.53, 454.7082, 888.9611, 1247.328, 636.1294, 697.5383, 1485.115, 180.6436, 438.5155, 874.8353, 610.2498, 1019.302, 423.2561, 275.4536, 355.4557, 1243.497, 2048.277, 1214.809, 427.6685, 953.4949, 640.5049, 21.38811, 730.7446, 759.0723, 254.0383, 10.89124, 609.3818, 169.1617, 1129.269, 6.257603, 641.7042, 1024.64, 691.4466, 348.8855, 274.558, 1122.579, 92.40128, 1001.6, 2517.468, 1017.576, 161.4424, 802.9657, 570.9668, 3590.409, 1968.843, 1815.308
290.5, 224.495, 638.4473, 444.1342, 907.3739, 518.3266, 841.1513, 1319.842, 606.7123, 658.558, 1432.633, 172.7742, 418.6185, 898.3987, 579.9825, 1050.371, 403.5085, 263.9975, 340.3363, 1255.891, 1957.096, 1205.352, 406.1982, 907.0598, 657.1523, 20.51047, 707.9768, 759.0426, 243.2167, 10.43697, 578.8687, 162.0787, 1133.983, 5.983178, 608.4213, 1011.19, 732.0091, 333.9006, 262.8737, 1176.873, 88.26756, 959.4195, 2521.503, 969.1102, 153.7721, 767.8359, 607.4153, 3534.762, 1880.587, 1868.127
290.6, 212.7992, 610.6821, 460.4692, 864.1313, 493.3153, 795.9128, 1305.558, 578.6556, 621.7561, 1489.462, 165.2476, 472.6873, 858.3152, 607.6193, 1033.724, 384.6824, 253.0178, 325.86, 1225.356, 2094.902, 1188.657, 385.8058, 862.8861, 630.3416, 19.66884, 678.8769, 727.8622, 232.8561, 10.00165, 680.2241, 155.2922, 1116.761, 5.720788, 576.8646, 966.5499, 698.6108, 319.5593, 251.6867, 1129.397, 84.31877, 1041.438, 2546.054, 922.9533, 146.4662, 817.1731, 582.6172, 3524.369, 1796.287, 1815.121
290.7, 201.7128, 584.1243, 438.3168, 926.3339, 469.5109, 753.1074, 1241.621, 551.8964, 600.8568, 1484.46, 158.0489, 451.2398, 882.3596, 668.1809, 1096.008, 366.7346, 242.4948, 311.9995, 1336.281, 2082.772, 1139.422, 366.4371, 866.0885, 604.6247, 18.86175, 661.6363, 697.9627, 222.9368, 9.584487, 646.1638, 148.7899, 1064.459, 5.469904, 546.9447, 1016.69, 666.7364, 305.834, 240.9758, 1083.837, 80.54663, 997.5796, 2513.544, 972.6071, 139.5074, 802.4271, 558.8316, 3492.121, 1715.766, 1825.625
290.8, 191.204, 558.7216, 417.2301, 919.1331, 446.8552, 741.4544, 1275.712, 526.3746, 706.3802, 1418.779, 151.1638, 456.9769, 933.7674, 716.5747, 1164.445, 349.6241, 232.4094, 298.7285, 1275.218, 1990.056, 1203.457, 348.0408, 851.466, 579.957, 18.08777, 634.4411, 702.5283, 213.4401, 9.184722, 613.809, 142.5599, 1014.606, 5.230024, 614.1385, 1207.512, 636.3162, 428.4698, 230.7206, 1226.643, 76.94324, 955.5686, 2564.52, 1059.041, 132.8792, 767.3209, 536.017, 3518.235, 1822.135, 1840.145
290.9, 181.2426, 534.4235, 397.1578, 906.04, 425.2927, 858.8638, 1282.765, 527.188, 666.9058, 1452.812, 144.5786, 436.2422, 1038.125, 765.7684, 1112.689, 333.312, 222.7435, 286.022, 1264.621, 2043.66, 1153.61, 330.568, 880.4095, 556.2958, 17.34556, 608.3638, 673.6694, 204.3479, 8.801631, 583.0743, 136.5907, 1106.59, 5.000663, 582.2854, 1231.71, 607.284, 410.0667, 419.3253, 1189.986, 73.50106, 979.0382, 2449.59, 1129.911, 126.566, 757.1578, 514.1339, 3370.549, 1818.189, 1832.327
291, 171.8002, 511.1822, 429.099, 862.861, 404.7707, 812.6727, 1322.114, 502.8089, 629.6374, 1438.792, 138.2803, 416.4484, 991.8069, 727.7877, 1086.763, 317.7609, 213.4796, 384.239, 1229.479, 2008.878, 1210.52, 542.2147, 837.5337, 533.5999, 16.6338, 625.7263, 645.996, 255.4373, 8.434519, 590.708, 130.8715, 1054.764, 4.781361, 552.0844, 1177.334, 579.5764, 392.4539, 432.5037, 1192.211, 70.21287, 937.8081, 2339.812, 1076.095, 120.5527, 824.3298, 493.1441, 3429.98, 1789.226, 1826.434
291.1, 162.8498, 488.9516, 408.4557, 821.7397, 385.2389, 913.1937, 1257.366, 479.5571, 635.8879, 1438.385, 132.2564, 397.5527, 972.2514, 691.6908, 1098.866, 302.9354, 204.601, 367.8953, 1214.573, 1977.635, 1160.38, 514.9938, 884.4059, 511.8299, 15.95124, 618.5407, 666.1755, 244.5562, 8.082719, 590.2777, 125.3917, 1005.365, 4.571676, 523.4497, 1232.055, 639.6084, 423.737, 414.0978, 1179.393, 67.07178, 898.3143, 2359.749, 1060.502, 114.8251, 788.2654, 538.5234, 3494.669, 1709.021, 1789.772
