 , C000, C001, C002, C003, C004, C007, C010, C012, C015, C019, C022, C024, C025, C026, C029, C033, C035, C036, C040, C041, C044, C045, C051, C058, C062, C063, C064, C068, C076, C077, C078, C079, C085, C104, C106, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
41, 247.1505, 2725.493, 3218.103, 780.0544, 6472.161, 1416.065, 914.044, 0.06970391, 1425.74, 1554.23, 1750.153, 1136.251, 1092.635, 194.8016, 1464.906, 3076.894, 1142.809, 1271.811, 215.036, 810.3105, 1.470744, 2133.76, 1356.737, 0.3207183, 836.7853, 1101.154, 2316.255, 2658.89, 2430.627, 1205.223, 1913.903, 168.2772, 0.2695289, 1074.866, 1805.091, 3397.582
41.1, 235.0256, 2611.173, 3465.671, 779.6968, 6584.575, 1452.557, 970.2593, 0.06685781, 1490.901, 1577.287, 1795.096, 1086.653, 1153.183, 186.5548, 1701.115, 3117.575, 1094.241, 1255.953, 409.4023, 826.4109, 1.409209, 2043.525, 1454.287, 0.3055749, 796.6284, 1052.74, 2214.278, 2658.186, 2507.546, 1192.852, 1863.632, 160.8838, 0.2576025, 1150.165, 1890.245, 3419.23
41.2, 223.4956, 2518.836, 3486.093, 746.6455, 6615.487, 1432.331, 956.1336, 0.06412791, 1463.616, 1513.613, 1819.345, 1039.22, 1104.605, 178.6571, 1832.973, 2990.91, 1047.738, 1197.623, 391.9064, 787.7561, 1.35025, 2163.91, 1434.815, 0.2911466, 821.6525, 1006.455, 2245.192, 2620.745, 2506.619, 1170.145, 1908.692, 153.8152, 0.2462038, 1098.547, 1950.825, 3277.394
41.3, 369.1865, 2453.438, 3706.187, 714.9952, 6653.882, 1437.59, 912.6635, 0.06150949, 1516.712, 1483.589, 1805.399, 993.8572, 1135.478, 171.0937, 1984.184, 2941.621, 1100.547, 1186.324, 375.1583, 777.8461, 1.293757, 2227.389, 1367.031, 0.2773995, 782.2217, 962.2047, 2146.344, 2638.358, 2391.436, 1215.601, 1828.609, 147.0572, 0.2353094, 1149.673, 2001.318, 3411.344
41.4, 351.0747, 2350.53, 3834.865, 684.6866, 6676.49, 1431.768, 871.1697, 0.05899798, 1568.046, 1524.675, 1730.825, 950.4745, 1229.953, 163.8505, 2411.002, 3027.607, 1310.326, 1179.025, 359.1258, 839.9273, 1.239627, 2319.524, 1325.693, 0.2643016, 744.6833, 919.9001, 2250.709, 2773.209, 2405.278, 1157.281, 2048.998, 140.5961, 0.2248972, 1190.034, 1997.06, 3529.58
41.5, 333.8515, 2251.938, 3974.617, 655.6627, 6538.114, 1550.567, 831.5624, 0.05658901, 1497.506, 1600.113, 1659.331, 908.9855, 1178.141, 304.0063, 2573.148, 2904.598, 1644.873, 1258.049, 478.4814, 846.8343, 1.187762, 2321.808, 1338.389, 0.2518221, 708.9463, 911.7825, 2429.621, 2653.501, 2358.274, 1282.418, 2078.334, 134.4189, 0.2149457, 1179.665, 1911.041, 3383.166
41.6, 317.4732, 2157.482, 4067.916, 752.8051, 6368.838, 1527.175, 793.7558, 0.05427841, 1511.872, 1595.043, 1590.79, 869.3076, 1128.512, 291.1363, 2602.224, 3151.632, 1785.151, 1333.341, 458.0335, 889.3991, 1.138068, 2337.934, 1275.16, 0.2399318, 674.9243, 871.6947, 2862.853, 2660.456, 2249.907, 1295.76, 2106.898, 128.513, 0.2054345, 1268.895, 1828.727, 3483.59
41.7, 301.8984, 2066.987, 3895.576, 720.8937, 6342.203, 1462.903, 757.6681, 0.05206215, 1443.859, 1818.455, 1672.969, 845.098, 1080.973, 313.7413, 2643.306, 3301.742, 1931.025, 1429.267, 438.4594, 931.433, 1.090452, 2308.097, 1348.502, 0.2286029, 642.535, 906.0153, 2759.526, 2693.614, 2234.286, 1233.595, 2202.337, 122.8667, 0.1963442, 1211.948, 1813.925, 3339.084
41.8, 287.0877, 2244.262, 3884.565, 746.6288, 6331.111, 1406.338, 723.2211, 0.04993638, 1452.575, 1790.076, 1634.727, 808.2088, 1035.437, 351.39, 2631.777, 3412.962, 1904.081, 1362.888, 419.7218, 887.866, 1.044829, 2269.262, 1404.741, 0.217809, 644.1821, 953.3307, 2842.415, 2598.466, 2292.562, 1174.412, 2195.247, 117.4684, 0.1876561, 1157.557, 1735.794, 3494.721
41.9, 273.0035, 2150.127, 4035.725, 873.777, 6310.437, 1470.01, 690.3401, 0.04789741, 1387.23, 1717.811, 1646.619, 948.1191, 991.8188, 336.5141, 2616.326, 3274.296, 1823.161, 1404.175, 591.4734, 846.3367, 1.001114, 2264.645, 1413.896, 0.2075247, 613.2681, 911.4163, 2717.272, 2667.339, 2249.551, 1354.952, 2103.141, 112.3074, 0.1793524, 1139.259, 1824.223, 3406.433
42, 259.6104, 2155.798, 4127.729, 836.7376, 6496.175, 1559.386, 781.8007, 0.0459417, 1439.755, 1861.184, 1773.025, 1017.055, 950.0382, 322.2679, 2586.256, 3141.263, 1928.213, 1449.217, 566.1968, 1028.192, 0.9592287, 2343.712, 1414.871, 0.197726, 583.8376, 1007.108, 2697.789, 2720.204, 2288.42, 1289.947, 2273.283, 107.373, 0.1714162, 1320.935, 1898.887, 3505.1
