 , C002, C005, C011, C015, C018, C019, C021, C022, C023, C024, C025, C029, C037, C038, C039, C041, C044, C045, C048, C050, C064, C068, C071, C076, C078, C080, C083, C085, C090, C094, C104, C106, C110, C113, C120, C121, C126, C130, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
277.6, 454.7103, 1066.519, 839.7349, 10.01701, 575.7674, 149.0354, 1255.491, 393.2433, 159.1369, 457.7984, 1514.169, 21.71565, 833.585, 304.5559, 829.2928, 1517.484, 1026.823, 2308.211, 1121.65, 2342.721, 1787.562, 1262.975, 1364.038, 1677.923, 738.4521, 0.2381733, 2004.918, 3544.344, 2449.521, 1514.797, 1652.285, 8.987243, 1504.594, 2644.869, 1651.798, 2541.37, 816.0422, 1061.719, 2251.756
277.7, 434.6902, 1086.014, 822.2747, 9.572695, 551.2567, 142.5329, 1340.613, 375.5599, 151.1198, 439.0106, 1613.501, 20.74318, 951.9924, 290.9789, 838.0045, 1565.498, 1044.248, 2311.911, 1172.759, 2357.662, 1774.321, 1228.379, 1314.453, 1600.952, 715.5138, 0.2285036, 2128.692, 3570.798, 2412.526, 1545.283, 1616.819, 8.622203, 1481.366, 2572.083, 1772.615, 2549.291, 871.7618, 1112.56, 2156.713
277.8, 594.7387, 1190.562, 801.4678, 9.148085, 527.7894, 136.314, 1282.286, 358.6717, 143.5066, 420.9938, 1567.412, 19.81425, 1020.894, 278.0071, 871.6542, 1614.601, 1061.884, 2325.575, 1168.557, 2326.938, 1790.966, 1174.225, 1302.395, 1624.517, 744.8836, 0.2192266, 2032.791, 3598.739, 2471.722, 1552.94, 1634.954, 8.27199, 1457.356, 2579.536, 1990.09, 2579.012, 886.7728, 1063.063, 2214.828
277.9, 568.5533, 1135.202, 761.7258, 8.742309, 505.3212, 130.3665, 1434.504, 342.5429, 136.277, 403.7164, 1500.399, 18.92693, 987.0847, 466.7895, 863.4691, 1547.302, 1144.61, 2342.787, 1186.553, 2267.559, 1882.03, 1194.55, 1310.805, 1664.88, 783.5491, 0.2103261, 2019.132, 3524.543, 2444.363, 1564.463, 1673.985, 7.936002, 1565.717, 2655.27, 2133.251, 2584.369, 876.5651, 1015.769, 2317.132
278, 543.5208, 1172.389, 863.6791, 8.354531, 483.8094, 124.6784, 1481.256, 478.7501, 129.4116, 387.1481, 1569.804, 18.07934, 968.7347, 445.9801, 827.4918, 1676.166, 1147.934, 2261.843, 1248.516, 2225.63, 1801.859, 1182.961, 1376.624, 1588.507, 742.5684, 0.201787, 2103.498, 3554.985, 2516.164, 1499.883, 1601.808, 7.61366, 1586.077, 2695.772, 2113.797, 2497.737, 836.4378, 1012.01, 2394.205
278.1, 519.5905, 1117.874, 820.8523, 7.983954, 463.2134, 119.2386, 1416.81, 457.2216, 122.892, 371.2597, 1517.399, 17.2697, 1016.709, 426.0984, 830.017, 1628.651, 1153.377, 2271.773, 1197.336, 2156.882, 1909.974, 1267.092, 1317.477, 1609.729, 783.7377, 0.1935946, 2008.732, 3571.15, 2473.878, 1559.243, 1652.996, 7.304412, 1518.154, 2645.157, 2229.03, 2393.886, 886.3932, 966.9868, 2378.939
278.2, 496.7137, 1111.534, 825.2753, 7.629815, 443.4942, 114.036, 1355.168, 492.3679, 116.7009, 356.0234, 1590.9, 16.49633, 994.8806, 407.103, 795.4335, 1560.767, 1275.642, 2308.002, 1336.832, 2181.148, 1846.08, 1211.231, 1329.982, 1747.244, 768.4274, 0.1857348, 1969.602, 3583.286, 2413.858, 1494.879, 1621.721, 7.007724, 1508.885, 2611.082, 2196.374, 2395.429, 845.816, 951.8615, 2278.528
278.3, 474.8442, 1059.849, 813.2531, 7.291384, 424.6145, 109.0605, 1432.227, 482.8739, 110.8217, 341.4124, 1531.509, 15.75758, 949.6887, 388.9544, 787.8473, 1593.241, 1368.782, 2281.537, 1282.032, 2146.575, 1902.785, 1209.4, 1272.839, 1699.185, 745.2296, 0.1781942, 2033.817, 3614.666, 2452.575, 1464.269, 1615.948, 6.723087, 1565.087, 2590.149, 2136.692, 2475.564, 905.9072, 934.4715, 2303.191
278.4, 453.9376, 1121.927, 772.9267, 6.967964, 406.5384, 104.3021, 1431.134, 471.551, 105.2387, 327.4009, 1498.669, 15.05192, 906.5496, 371.6149, 768.3757, 1526.833, 1341.793, 2282.804, 1240.065, 2173.872, 1887.834, 1178.912, 1299.662, 1633.193, 792.406, 0.1709596, 2010.702, 3587.593, 2400.774, 1461.862, 1594.668, 6.450012, 1542.585, 2569.264, 2049.226, 2445.563, 896.885, 928.6255, 2352.374
278.5, 433.9514, 1086.778, 790.7051, 6.65889, 389.2319, 99.75127, 1368.868, 494.9045, 99.9369, 313.9646, 1519.455, 14.37787, 942.6293, 355.0484, 812.1393, 1530.995, 1285.362, 2311.425, 1189.232, 2183.784, 1874.309, 1231.927, 1299.292, 1652.929, 816.6147, 0.1640188, 2025.329, 3553.217, 2374.769, 1456.951, 1545.734, 6.188028, 1491.622, 2562.814, 2153.799, 2396.668, 855.8275, 1007.154, 2253.085
278.6, 457.9816, 1111.099, 751.4968, 6.363526, 372.6621, 95.399, 1345.662, 472.6496, 94.90224, 301.0796, 1454.493, 13.73399, 921.7839, 339.2204, 789.4691, 1550.291, 1231.304, 2288.67, 1186.318, 2151.088, 1862.955, 1177.617, 1243.468, 1648.421, 795.9309, 0.1573597, 1964.946, 3518.763, 2360.634, 1451.569, 1541.92, 5.936685, 1527.985, 2518.965, 2065.633, 2442.339, 877.2408, 988.0157, 2321.042
278.7, 437.8174, 1059.434, 714.2327, 6.081263, 356.7977, 91.23663, 1370.559, 451.3954, 131.1922, 339.2868, 1405.769, 13.11895, 879.9124, 324.098, 776.9027, 1521.771, 1179.519, 2272.392, 1148.18, 2161.745, 1829.18, 1182.052, 1283.72, 1624.406, 754.3027, 0.1509711, 2022.662, 3593.277, 2379.951, 1448.888, 1567.676, 5.695551, 1522.29, 2537.628, 2028.383, 2454.807, 845.8076, 944.0598, 2223.075
278.8, 449.8075, 1071.346, 710.5155, 5.81152, 341.6086, 87.25587, 1327.493, 534.9967, 124.5829, 325.3626, 1515.903, 12.53146, 942.0668, 309.6498, 744.5323, 1530.726, 1280.204, 2322.954, 1153.205, 2191.696, 1828.943, 1173.307, 1228.565, 1704.34, 746.7476, 0.1448418, 2027.01, 3525.514, 2366.912, 1410.912, 1500.082, 5.464212, 1457.099, 2650.637, 2115.573, 2527.454, 966.2385, 977.5894, 2233.441
278.9, 430.0032, 1047.088, 772.8296, 5.553741, 591.791, 83.4488, 1314.49, 631.2955, 118.3066, 351.0118, 1451.093, 11.97027, 899.2739, 295.8457, 713.5106, 1626.407, 1247.88, 2223.851, 1126.385, 2204.767, 1751.034, 1205.192, 1175.78, 1626.157, 815.5879, 0.1389613, 2038.896, 3492.486, 2444.103, 1389.445, 1541.202, 5.242269, 1438.508, 2534.565, 2041.942, 2422.368, 922.0062, 934.0974, 2189.982
279, 411.0709, 1092.809, 760.4097, 5.307397, 566.5981, 79.80783, 1371.317, 602.9073, 112.3465, 336.6065, 1501.807, 11.43422, 875.1861, 282.6569, 752.5939, 1558.617, 1244.408, 2270.166, 1197.219, 2165.255, 1772.044, 1152.06, 1264.909, 1718.77, 772.9316, 0.1333196, 2102.234, 3594.71, 2360.118, 1490.076, 1560.009, 5.029341, 1402.956, 2423.576, 2076.12, 2419.142, 879.7987, 936.8376, 2171.929
279.1, 392.9721, 1207.081, 764.4576, 5.07198, 650.6171, 76.32572, 1335.072, 641.6234, 106.6867, 358.5399, 1520.646, 10.92217, 937.2888, 270.0561, 734.7222, 1585.848, 1218.491, 2346.382, 1148.142, 2149.956, 1815.464, 1101.271, 1341.152, 1707.161, 732.5063, 0.1279069, 2037.963, 3558.955, 2438.31, 1487.726, 1549.022, 4.825061, 1450.761, 2317.447, 1991.134, 2400.87, 922.2613, 895.1586, 2264.208
279.2, 440.9535, 1242.534, 914.5468, 4.847006, 622.92, 72.99554, 1463.103, 612.7708, 115.6078, 343.8256, 1495.071, 10.43305, 1014.383, 367.794, 775.4507, 1532.77, 1331.304, 2347.003, 1178.507, 2055.414, 1913.93, 1052.721, 1345.128, 1717.4, 694.1953, 0.122714, 2001.677, 3710.884, 2400.035, 1576.926, 1593.687, 4.629078, 1470.001, 2215.966, 2042.159, 2415.034, 880.0422, 994.4494, 2201.484
