 , C000, C001, C002, C003, C006, C009, C011, C016, C019, C021, C022, C025, C027, C032, C033, C034, C035, C039, C042, C043, C044, C046, C047, C056, C063, C065, C067, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
311.9, 99.68906, 35.05809, 127.7691, 409.1781, 480.2421, 228.1258, 55.32441, 201.1327, 12.47153, 372.2098, 294.5447, 34.53411, 464.1588, 200.0865, 3.709648, 294.4069, 4196.41, 17.36836, 16.73139, 710.1653, 1212.117, 409.4244, 163.7746, 629.4207, 594.1046, 170.6849, 481.3496, 778.9893
312, 94.03316, 36.50171, 122.4012, 387.902, 518.777, 259.4592, 52.83011, 192.0529, 11.95826, 356.5381, 281.9304, 33.06239, 445.0337, 191.5884, 3.556087, 280.4032, 4129.978, 16.665, 15.84236, 743.4911, 1150.251, 488.1999, 156.8147, 603.2213, 567.2103, 163.0701, 454.3811, 899.1581
312.1, 88.69814, 34.23508, 117.2589, 367.7321, 485.7168, 272.2762, 50.44827, 183.383, 13.67805, 341.5263, 269.8564, 31.65339, 426.6967, 183.4512, 3.408882, 267.0656, 4071.774, 15.99013, 15.00058, 708.1028, 1226.171, 458.5721, 150.1505, 578.1125, 541.5336, 155.7951, 428.9236, 854.9115
312.2, 83.66581, 32.10919, 219.9921, 348.611, 454.7634, 260.7758, 48.17382, 175.1045, 30.34519, 351.1748, 258.2994, 30.30444, 409.1151, 175.6595, 3.267771, 254.3625, 4057.525, 15.34259, 14.20352, 674.3989, 1222.205, 430.7423, 143.7696, 554.0488, 517.0192, 148.8446, 452.7525, 812.8422
312.3, 78.91899, 66.93615, 210.7497, 330.4842, 514.6748, 249.7613, 46.0019, 167.1997, 29.09634, 336.3888, 247.2373, 29.01298, 392.2581, 168.1989, 3.132501, 242.2636, 4030.273, 14.72128, 13.44881, 726.178, 1254.821, 404.6015, 137.6598, 530.9867, 493.6145, 142.2042, 427.3862, 772.8431
312.4, 74.44148, 87.03053, 201.8956, 313.2999, 522.0701, 239.2119, 43.92791, 159.6517, 27.89888, 322.2253, 236.649, 27.77655, 376.0956, 161.0551, 3.00283, 235.9153, 4009.853, 14.12512, 12.73421, 691.6138, 1257.315, 380.0471, 131.8096, 508.8846, 471.2693, 135.8601, 432.3607, 823.2693
312.5, 70.21801, 81.62623, 193.4135, 297.0092, 488.8, 229.1081, 41.94743, 152.4445, 45.14387, 308.6581, 226.5142, 26.59281, 360.599, 154.2147, 2.878528, 224.6938, 3949.291, 13.55311, 12.05757, 658.6946, 1193.142, 356.9829, 126.2081, 487.7025, 449.9357, 129.799, 451.003, 782.7571
312.6, 66.23416, 76.55751, 185.2878, 281.5655, 457.6502, 220.6477, 40.05623, 145.5627, 63.1204, 295.6623, 216.8134, 25.45952, 345.7409, 147.6648, 2.759371, 214.0061, 3859.154, 13.00426, 11.41689, 627.3424, 1215.615, 335.3184, 120.8447, 467.402, 429.5678, 124.0082, 425.7347, 744.2385
312.7, 62.47634, 71.80354, 177.5034, 266.9248, 466.0302, 211.328, 38.2503, 162.4254, 60.52269, 283.2136, 207.5281, 24.37453, 331.4951, 141.3931, 2.645146, 203.8268, 3823.261, 12.47763, 10.81025, 679.8721, 1293.36, 413.5692, 115.7091, 447.9466, 410.1219, 118.4759, 401.8821, 771.168
312.8, 58.93171, 67.34478, 170.0461, 253.0455, 491.7705, 202.402, 36.52579, 155.0929, 58.03189, 271.289, 198.6404, 23.33578, 317.8362, 135.3878, 2.53565, 246.097, 3756.719, 11.97234, 10.23585, 647.5119, 1227.347, 388.4706, 110.7918, 429.301, 391.5563, 113.1903, 422.9245, 733.2196
