 , C000, C001, C003, C004, C005, C007, C008, C009, C010, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C025, C026, C028, C031, C032, C033, C035, C036, C037, C038, C039, C040, C041, C043, C044, C048, C049, C051, C054, C055, C056, C059, C060, C062, C067, C072, C079, C085, C090, C097, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
196.8, 659.5648, 67.02036, 279.2231, 59.19864, 1038.15, 4918.003, 0.0002074549, 230.0545, 1593.14, 1589.648, 142.8774, 2841.408, 2403.289, 2141.271, 3372.798, 484.1286, 611.4415, 1388.765, 2044.574, 2873.555, 4374.472, 729.3872, 1215.37, 4779.872, 2720.095, 0.02044135, 1425.176, 675.4084, 8.861567, 1291.098, 1396.864, 299.1456, 247.7622, 2377.628, 658.7795, 2894.14, 0.7643645, 2541.986, 2569.586, 23.61608, 8.544126e-05, 5880.305, 6.554347e-05, 1530.773, 533.6395, 3436.581, 618.6398, 1497.989, 425.5852, 1362.556, 3608.513, 2996.165
196.9, 628.8502, 64.1645, 265.6184, 56.70509, 990.2346, 4944.061, 0.0001963489, 217.5805, 1522.165, 1517.6, 134.7011, 2816.76, 2494.006, 2045.344, 3232.047, 460.5893, 580.021, 1445.45, 2003.793, 2788.47, 4354.579, 692.8007, 1154.747, 4846.175, 2706.227, 0.01952103, 1441.196, 675.2037, 8.433793, 1232.596, 1411.337, 286.6581, 313.3808, 2278.17, 628.7839, 2771.724, 0.7286603, 2437.18, 2594.778, 22.57893, 8.185243e-05, 5770.853, 6.270758e-05, 1582.222, 508.3502, 3581.332, 757.1996, 1449.725, 407.6953, 1359.434, 3638.056, 2985.696
197, 599.566, 61.43032, 252.6767, 54.31657, 974.9037, 4819.8, 0.0001858375, 205.7829, 1520.933, 1448.818, 126.9928, 2695.289, 2392.79, 1953.715, 3269.701, 438.1945, 550.2151, 1384.178, 1918.314, 2794.983, 4304.149, 658.0494, 1097.147, 4647.904, 2594.418, 0.01864214, 1377.168, 661.1379, 8.026669, 1176.744, 1343.393, 274.692, 299.5457, 2334.806, 600.1541, 2894.775, 0.6946239, 2472.811, 2486.58, 21.58734, 7.841435e-05, 5831.264, 5.999439e-05, 1572.747, 484.2594, 3513.046, 786.9424, 1583.08, 390.5573, 1482.728, 3777.606, 2980.242
197.1, 571.6454, 58.81266, 240.3655, 52.02866, 929.9077, 4820.044, 0.0001758888, 194.6249, 1453.175, 1383.153, 119.7255, 2593.805, 2421.665, 1900.688, 3261.604, 416.8886, 521.9408, 1325.505, 2057.445, 2677.897, 4309.187, 625.0413, 1042.42, 4494.85, 2658.429, 0.01780282, 1503.89, 670.2648, 7.639197, 1123.423, 1335.703, 263.2253, 286.3214, 2237.14, 572.8278, 2772.333, 0.6621773, 2473.674, 2570.225, 20.63929, 7.512068e-05, 5701.124, 5.739859e-05, 1578.957, 461.3102, 3430.642, 855.5773, 1515.587, 374.1398, 1435.863, 3685.553, 2956.765
197.2, 545.0251, 56.30654, 228.6541, 49.83712, 886.9885, 4834.812, 0.0001664727, 184.072, 1529.716, 1320.465, 112.8741, 2528.923, 2353.261, 1824.985, 3184.241, 396.6187, 495.1195, 1269.318, 1988.393, 2664.844, 4132.847, 645.5244, 990.4233, 4573.023, 2684.078, 0.01700129, 1437.077, 674.1046, 7.270431, 1125.469, 1271.4, 252.2374, 273.681, 2201.306, 546.7458, 2757.26, 0.6312464, 2435.386, 2492.781, 19.73288, 7.196535e-05, 5469.412, 5.491511e-05, 1510.653, 439.4486, 3451.22, 914.3644, 1450.972, 358.4124, 1393.16, 3566.4, 2906.854
197.3, 519.6444, 53.90721, 217.5134, 47.73789, 846.0502, 4692.772, 0.0001575607, 174.0912, 1461.567, 1260.617, 106.4148, 2513.444, 2255.269, 1832.969, 3143.062, 377.3343, 469.6765, 1215.513, 1965.623, 2553.209, 4168.044, 613.1445, 941.0201, 4385.928, 2730.91, 0.01623585, 1373.233, 718.2852, 6.919466, 1119.342, 1210.193, 241.708, 261.5985, 2149.344, 521.8513, 2702.029, 0.6017603, 2393.985, 2489.392, 18.86627, 6.894255e-05, 5594.642, 5.253908e-05, 1600.836, 418.6231, 3414.696, 914.0231, 1389.112, 343.3461, 1327.712, 3605.294, 2854.784
197.4, 495.4456, 51.61012, 206.9155, 45.72709, 864.1389, 4623.798, 105.2506, 164.6517, 1426.709, 1203.482, 100.3251, 2443.457, 2161.357, 1912.007, 3033.027, 358.9875, 445.5409, 1332.894, 1965.77, 2446.251, 3997.481, 635.8059, 894.0811, 4419.581, 2618.082, 0.01550487, 1420.872, 704.562, 6.585443, 1068.622, 1265.253, 281.7667, 250.0495, 2083.471, 498.0904, 2656.003, 0.5736515, 2546.182, 2385.588, 18.03773, 6.604673e-05, 5422.234, 5.026585e-05, 1807.887, 398.7844, 3419.516, 989.1348, 1378.97, 328.9131, 1265.338, 3535.407, 2847.954
197.5, 472.3738, 127.0663, 196.8339, 43.80098, 891.3314, 4592.15, 99.61607, 155.7239, 1433.17, 1148.937, 94.58393, 2338.085, 2120.197, 1826.351, 3034.258, 341.5328, 422.6456, 1436.781, 2005.623, 2477.1, 3981.564, 603.9135, 849.4835, 4439.786, 2578.757, 0.0148068, 1400.007, 680.9704, 6.267544, 1075.505, 1204.341, 270.0047, 239.0104, 2215.893, 475.4113, 2788.936, 0.5468557, 2471.67, 2338.878, 17.24557, 6.327254e-05, 5469.908, 4.809099e-05, 1729.681, 462.4394, 3439.519, 947.0114, 1320.18, 315.0869, 1304.516, 3449.005, 2942.414
197.6, 450.3763, 121.6517, 187.2436, 41.95601, 850.1927, 4438.82, 94.2832, 147.2803, 1369.322, 1298.77, 89.17129, 2327.472, 2031.91, 1792.504, 3036.401, 324.9268, 400.9268, 1437.87, 1920.066, 2425.196, 4060.253, 573.6208, 807.1105, 4291.167, 2532.478, 0.01414016, 1448.425, 666.1706, 5.964991, 1064.99, 1239.787, 258.7337, 228.4586, 2255.631, 453.7648, 2849.644, 0.5213115, 2499.685, 2310.638, 16.4882, 6.061487e-05, 5453.786, 4.601022e-05, 1754.934, 527.0121, 3365.706, 996.2661, 1437.39, 301.8418, 1243.231, 3481.255, 2904.756
197.7, 429.4032, 173.7958, 178.1205, 40.18874, 810.9527, 4490.564, 89.23581, 139.2945, 1308.319, 1239.906, 84.06839, 2236.61, 1947.299, 1866.786, 2909.688, 309.1282, 380.3241, 1438.763, 1889.899, 2323.601, 4079.808, 544.8477, 766.8511, 4147.938, 2475.981, 0.01350353, 1480.371, 718.6298, 5.677043, 1016.733, 1187.963, 247.9332, 218.3726, 2244.18, 433.104, 2729.11, 0.4969606, 2396.623, 2409.335, 15.76409, 5.806884e-05, 5343.893, 4.401948e-05, 1679.019, 568.3102, 3389.275, 953.8389, 1474.603, 289.1535, 1251.566, 3505.696, 2822.181
