 , C003, C004, C005, C008, C009, C010, C016, C017, C018, C020, C023, C024, C028, C029, C038, C039, C041, C045, C053, C055, C059, C060, C066, C070, C073, C076, C077, C080, C082, C083, C087, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
80.3, 426.99, 516.8575, 139.5177, 316.8528, 269.4352, 610.5881, 101.2096, 406.87, 398.5411, 232.1606, 536.5776, 419.2639, 520.6866, 1575.489, 254.2803, 651.1873, 523.3195, 470.3099, 553.2228, 343.8265, 1483.907, 1040.456, 720.1738, 736.778, 1258.895, 775.5674, 829.6301, 559.6825, 883.238, 1369.883, 517.4126, 1562.772
80.40000000000001, 473.0549, 488.8828, 257.3743, 303.8269, 259.9904, 584.5333, 97.07973, 387.6852, 472.67, 222.5398, 508.9966, 402.326, 553.3738, 1709.26, 280.6678, 623.4629, 499.3604, 447.4776, 554.0033, 327.7048, 1497.988, 1069.921, 689.2063, 700.1525, 1204.189, 737.2329, 901.3578, 534.5878, 973.1707, 1311.826, 557.1404, 1602.849
80.5, 488.6784, 462.4221, 316.1959, 291.3365, 248.2878, 571.1526, 93.1184, 369.405, 518.5121, 213.3176, 482.8333, 386.0724, 584.0192, 1750.297, 267.5176, 886.9792, 548.9871, 425.7537, 533.2781, 312.339, 1659.172, 1025.509, 659.5704, 744.3627, 1151.859, 700.7932, 1072.922, 615.5769, 979.1188, 1614.086, 604.168, 1526.299
80.59999999999999, 696.0747, 437.3936, 464.1119, 279.3596, 237.1119, 576.1155, 89.3187, 351.9868, 497.2047, 204.4776, 458.0148, 370.4754, 559.0115, 1824.225, 254.9836, 849.2159, 523.8529, 405.0845, 598.2834, 359.9268, 1762.915, 1112.149, 631.2089, 829.9377, 1278.349, 770.9974, 1028.207, 587.9761, 931.19, 1732.171, 599.6099, 1453.404
80.7, 672.0175, 413.7198, 444.0844, 267.875, 226.4391, 551.5317, 85.67406, 335.3899, 481.8407, 196.004, 434.4721, 355.5085, 585.0144, 1799.736, 303.791, 813.0604, 499.8694, 454.048, 568.4585, 434.4555, 1727.145, 1065.985, 604.067, 889.3156, 1222.797, 732.8887, 1085.312, 561.6128, 885.6074, 1658.759, 573.6052, 1537.394
80.8, 643.332, 391.3273, 424.921, 256.8626, 216.2467, 527.9969, 82.17813, 319.5755, 462.0402, 187.8815, 412.1395, 421.0501, 559.9642, 1797.337, 289.5574, 778.4442, 476.9839, 432.0052, 540.1204, 414.0843, 1717.876, 1054.389, 578.0921, 916.3168, 1199.498, 696.6638, 1098.717, 536.4316, 981.9965, 1588.459, 596.2879, 1538.678
80.90000000000001, 615.871, 370.1468, 406.5846, 268.1222, 237.0401, 505.4665, 78.82485, 304.5068, 511.3531, 180.0956, 390.9548, 404.04, 665.0445, 1795.191, 275.9908, 745.3018, 455.1463, 411.0325, 539.2402, 394.6682, 1796.533, 1073.253, 553.2341, 870.7662, 1229.834, 706.7274, 1052.926, 548.6794, 933.9268, 1521.137, 751.4045, 1465.192
81, 616.4702, 350.1126, 389.0395, 257.0996, 226.3705, 483.8974, 75.60841, 375.4228, 490.3398, 172.6324, 370.859, 387.7171, 637.1255, 1718.567, 263.0598, 716.0825, 434.3084, 412.491, 557.1104, 376.1625, 1754.263, 1081.108, 529.4451, 827.48, 1272.842, 671.7955, 1168.417, 524.0781, 941.5839, 1601.531, 718.8166, 1506.098
81.09999999999999, 712.9482, 331.1629, 372.2515, 246.5302, 216.1812, 463.2487, 72.52321, 357.7208, 470.19, 165.4784, 351.7962, 394.9381, 609.8439, 1789.396, 250.7346, 685.5951, 414.4245, 392.4656, 529.338, 358.5246, 1675.974, 1147.369, 506.6789, 837.7465, 1357.834, 638.5902, 1119.721, 535.795, 895.4924, 1570.3, 687.642, 1501.819
81.2, 682.5156, 313.2388, 356.1879, 236.3952, 305.0448, 443.4811, 69.5639, 340.8535, 551.3698, 158.6209, 333.7133, 378.9829, 583.7305, 1775.818, 238.9869, 777.0546, 395.451, 373.4124, 545.8157, 341.7137, 1753.211, 1210.136, 484.8918, 796.1017, 1327.386, 689.1121, 1237.153, 511.7715, 899.5648, 1577.992, 864.0511, 1430.094
81.3, 806.1793, 296.2848, 340.8175, 226.6769, 291.3142, 424.5571, 66.72535, 324.7815, 528.712, 152.0475, 356.5605, 363.6723, 746.1562, 1755.304, 382.6484, 828.3923, 377.3461, 355.2842, 518.6063, 401.4, 1787.785, 1214.132, 464.0414, 926.9168, 1298.585, 655.0509, 1185.592, 488.825, 855.5302, 1511.114, 826.5779, 1361.794
