 , C001, C002, C003, C004, C005, C007, C010, C011, C012, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C027, C028, C029, C031, C032, C033, C034, C035, C036, C037, C038, C039, C043, C045, C046, C047, C051, C052, C053, C054, C055, C056, C063, C064, C068, C070, C077, C082, C089, C092, C099, C106
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
19.3, 1614.695, 657.3542, 1035.313, 135.0844, 10.2235, 674.2357, 4551.205, 4303.901, 1081.782, 573.5283, 6470.099, 5524.603, 223.1577, 1948.947, 1346.522, 341.2939, 143.3862, 9.646285, 2790.417, 104.9051, 13.79646, 0, 979.303, 1110.114, 5998.31, 944.6616, 2181.815, 1077.383, 1355.24, 4017.755, 735.4209, 872.9086, 1040.735, 692.4188, 303.602, 3420.375, 5268.494, 3335.555, 92.61768, 6362.264, 38.95822, 0, 2181.092, 3781.997, 2376.501, 185.7131, 1599.971, 3224.97, 1.537811, 1668.155, 583.5576
19.4, 1586.775, 626.2299, 988.5103, 129.1618, 9.789098, 639.4053, 4512.701, 4321.321, 1032.975, 545.5497, 6469.941, 5332.735, 213.5012, 2041.054, 1361.16, 422.2109, 137.3386, 9.143044, 2662.353, 99.31902, 13.15502, 0, 933.1821, 1054.016, 6027.437, 902.8122, 2288.559, 1028.903, 1297.927, 3854.755, 704.4111, 834.685, 1049.304, 662.4846, 434.3113, 3436.996, 5252.768, 3268.26, 88.50478, 6180.98, 37.278, 0, 2229.85, 3831.913, 2267.976, 177.4404, 1526.197, 3212.54, 1.472088, 1755.162, 586.6494
19.5, 1507.526, 596.5792, 943.8232, 123.499, 9.373151, 632.5609, 4459.331, 4260.08, 986.3697, 598.1862, 6337.484, 5395.531, 204.2626, 1946.4, 1406.133, 402.4146, 131.546, 8.666058, 2743.944, 94.03042, 12.54341, 0, 1010.922, 1159.925, 6078.251, 862.8167, 2253.617, 1101.933, 1243.037, 3809.005, 674.7089, 798.1352, 999.0377, 633.8445, 416.5257, 3280.016, 5181.759, 3147.764, 84.57452, 6038.79, 35.67024, 0, 2432.001, 3762.587, 2164.408, 169.5362, 1455.825, 3266.637, 1.409174, 1760.956, 698.2343
19.6, 1478.33, 635.8638, 901.1564, 118.0844, 8.974879, 705.225, 4255.502, 4171.638, 941.8672, 654.2245, 6383.568, 5259.834, 195.4238, 1856.135, 1365.824, 431.6874, 125.9977, 8.213955, 2760.885, 89.02343, 11.96023, 0, 963.3116, 1163.726, 5989.543, 824.5931, 2150.208, 1052.349, 1190.469, 3697.643, 646.259, 763.1859, 951.179, 736.2262, 399.4684, 3209.41, 4999.481, 3236.308, 80.81881, 6006.887, 34.13182, 0, 2332.325, 3755.075, 2065.569, 161.9841, 1492.937, 3191.505, 1.348948, 1687.325, 702.0715
19.7, 1404.498, 605.757, 916.4622, 112.9073, 8.59353, 668.7938, 4323.393, 4175.664, 899.3726, 760.1393, 6530.793, 5082.021, 186.9675, 1770.057, 1320.868, 509.8947, 120.6834, 7.785438, 2654.573, 84.28305, 11.40417, 0, 917.9439, 1252.264, 5920.885, 788.0629, 2051.544, 1004.995, 1140.124, 3547.63, 619.0088, 729.767, 959.7032, 704.3982, 383.1096, 3253.815, 4945.667, 3099.463, 77.22987, 5864.649, 32.65976, 0, 2303.983, 3653.545, 2133.062, 154.7684, 1424.098, 3118.484, 1.291297, 1616.772, 714.233
19.8, 1440.566, 720.131, 875.0322, 107.9571, 8.228384, 634.2446, 4181.417, 4078.892, 858.7952, 982.6627, 6372.458, 5123.653, 178.877, 1796.559, 1419.195, 519.6059, 115.5933, 7.379277, 2709.682, 79.79509, 10.87395, 0, 874.7128, 1254.365, 5856.735, 753.1509, 1976.245, 1045.376, 1091.908, 3590.86, 592.9077, 697.8114, 1079.239, 673.9462, 367.4208, 3236.355, 4851.22, 3089.17, 73.8003, 5789.958, 31.25118, 0, 2334.308, 3616.06, 2035.654, 147.8742, 1358.433, 2972.392, 1.236109, 1549.17, 737.0035
19.9, 1368.619, 686.0343, 975.4106, 103.2239, 7.878754, 601.4801, 4207.22, 4130.332, 820.0485, 1018.149, 6286.742, 4953.666, 171.1367, 1713.244, 1352.816, 595.4833, 110.7179, 6.994305, 2585.323, 75.54611, 10.36839, 0, 911.716, 1579.147, 5883.317, 719.7856, 2011.575, 1135.601, 1045.731, 3492.227, 567.907, 667.2551, 1027.539, 644.8106, 352.3744, 3088.54, 4789.874, 3090.765, 70.52303, 5726.397, 29.90335, 0, 2329.626, 3474.972, 2029.598, 141.287, 1295.797, 2945.302, 1.183281, 1642.368, 706.1765
20, 1536.003, 653.552, 931.3159, 98.69827, 7.54398, 570.4083, 4048.704, 3968.159, 783.05, 992.1122, 7312.16, 5054.664, 163.7313, 1633.792, 1289.541, 692.5854, 106.0481, 6.629416, 2569.074, 71.52338, 9.886339, 0, 929.1647, 1776.495, 5694.718, 687.8984, 1937.719, 1117.903, 1001.507, 3350.548, 647.9382, 638.0369, 978.3145, 663.6208, 337.9442, 3063.242, 4589.597, 3061.098, 67.3913, 5608.962, 28.61365, 0, 2234.146, 3606.854, 2043.117, 134.9933, 1236.048, 2807.323, 1.13271, 1573.695, 727.4794
20.1, 1573.208, 622.6077, 1017.478, 94.37106, 7.22343, 540.9415, 3929.986, 3859.67, 747.7208, 943.7137, 7308.289, 4911.437, 156.6463, 1558.025, 1229.226, 761.216, 101.5752, 6.283564, 2558.513, 67.71486, 9.426695, 0, 885.4052, 1704.469, 5760.619, 657.4238, 1916.192, 1160.35, 959.1531, 3255.096, 719.5117, 610.098, 931.4484, 634.9316, 324.105, 2923.333, 4499.799, 3135.501, 64.39864, 5542.033, 27.37958, 0, 2252.071, 3597.295, 2058.449, 128.9799, 1179.054, 2675.808, 1.0843, 1543.562, 697.0507
20.2, 1536.186, 593.1285, 971.4814, 90.23355, 6.916501, 512.9971, 3857.404, 3952.878, 713.9855, 897.6764, 7109.953, 4889.563, 149.868, 1485.771, 1171.733, 725.5247, 97.29106, 5.955754, 2664.709, 64.10913, 8.988421, 0, 843.7065, 1732.427, 5640.538, 628.2993, 1958.175, 1108.137, 918.5903, 3238.668, 689.1727, 583.3826, 954.7691, 648.4783, 310.8324, 2880.759, 4467.221, 3053.098, 61.53887, 5452.792, 26.19873, 0, 2257.886, 3581.625, 1978.957, 123.2344, 1389.194, 2675.372, 1.037959, 1507.754, 753.7397
