 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C016, C017, C019, C020, C026, C028, C029, C032, C035, C041, C043, C046, C052, C054, C057, C082, C084, C087, C088
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
535.8, 0.2690715, 4014.32, 2569.481, 2707.213, 6344.923, 3287.509, 4867.048, 1921.296, 3470.094, 2288.047, 5929.619, 6621.309, 1238.723, 801.9291, 2108.162, 1184.271, 5050.102, 6031.605, 3130.571, 6259.888, 3427.53, 2102.404, 1908.815, 4752.252, 1627.301, 3247.626, 742.3483, 2974.273, 2467.312, 3504.6, 736.3349
535.9, 0.2553295, 3905.06, 2554.888, 2695.083, 6470.3, 3196.087, 5004.152, 1834.232, 3317.494, 2278.011, 5911.578, 6592.515, 1185.319, 768.5344, 2063.679, 1133.165, 5346.15, 5896.429, 3036.288, 6198.504, 3422.091, 2004.805, 1814.771, 4731.417, 1708.733, 3203.217, 707.7502, 2848.634, 2564.719, 3404.805, 705.6275
536, 0.2422893, 3794.97, 2506.65, 2580.609, 6588.738, 3222.809, 4902.49, 1751.113, 3171.605, 2376.938, 5796.566, 6356.521, 1231.547, 736.5304, 1975.753, 1084.264, 5544.854, 5869.221, 2904.907, 6184.845, 3277.554, 1911.738, 1725.361, 4795.793, 1710.192, 3272.885, 674.7646, 2728.302, 2512.6, 3522.774, 847.9422
536.1, 0.2299151, 3637.559, 2396.706, 2470.998, 6431.686, 3343.419, 4711.949, 1671.761, 3032.131, 2358.876, 5837.578, 6614.427, 1216.579, 705.8591, 1891.573, 1037.474, 5659.181, 5709.356, 2779.21, 6140.547, 3139.122, 1822.991, 1640.356, 4840.934, 1636.018, 3329.699, 643.3163, 2613.053, 2442.282, 3394.692, 957.4621
536.2, 0.2181729, 3474.403, 2336.868, 2430.861, 6772.627, 3201.771, 4752.194, 1596.004, 2898.791, 2258.417, 5595.225, 6643.891, 1164.129, 676.4651, 1822.914, 992.7021, 5426.559, 5517.218, 2921.901, 6164.434, 3024.906, 2097.875, 1559.538, 4926.136, 1565.06, 3320.044, 613.3338, 2502.673, 2453.188, 3554.017, 917.533
536.3, 0.2070304, 3710.062, 2232.26, 2523.366, 6768.634, 3066.124, 4845.257, 1585.313, 2771.314, 2162.235, 5680.138, 6681.579, 1113.94, 648.2951, 1991.881, 949.8629, 5203.5, 5485.844, 3230.87, 5909.701, 3220.874, 2041.396, 1482.703, 4867.125, 1576.234, 3436.062, 584.7486, 2550.949, 2351.206, 3518.895, 879.2691
536.4, 0.1964569, 3543.654, 2275.041, 2416.186, 6480.305, 3257.429, 4780.167, 1513.474, 2649.444, 2153.059, 5444.322, 6617.192, 1065.915, 621.2982, 1907.014, 908.8723, 5310.008, 5406.758, 3091.07, 5834.125, 3084.836, 1946.629, 1409.653, 4879.976, 1507.869, 3292.014, 557.4957, 2473.458, 2364.883, 3401.24, 842.6009
536.5, 0.1864235, 3441.044, 2173.201, 2313.558, 6204.258, 3428.448, 4589.032, 1444.891, 2532.932, 2235.771, 5485.126, 6464.167, 1175.144, 665.9661, 1825.763, 1039.694, 5405.653, 5359.425, 2957.318, 6025.488, 2954.543, 1856.262, 1340.202, 4748.796, 1442.47, 3173.418, 531.5129, 2368.974, 2347.811, 3296.645, 1036.394
536.6, 0.1769025, 3334.336, 2099.211, 2215.289, 6374.329, 3327.665, 4577.357, 1379.415, 2421.545, 2275.296, 5458.077, 6439.156, 1141.732, 638.2333, 1747.973, 1097.11, 5321.708, 5440.982, 2829.354, 5855.418, 2829.754, 1770.091, 1274.173, 4788.173, 1379.907, 3258.216, 506.7411, 2364.558, 2250.21, 3366.498, 1068.575
536.7, 0.1678677, 3311.644, 2056.436, 2284.727, 6294.786, 3240.145, 4542.079, 1316.906, 2554.824, 2223.431, 5482.418, 6469.849, 1092.509, 611.6554, 1824.169, 1066.557, 5389.679, 5359.988, 2729.26, 5797.767, 2807.842, 1687.919, 1211.397, 4673.701, 1320.057, 3121.624, 483.1237, 2383.297, 2353.165, 3253.264, 1037.624
