 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C021, C024, C025, C026, C030, C034, C040, C043, C047, C055, C060, C062, C065, C066, C069, C070, C072, C073, C074, C078, C080, C082, C083, C090, C094, C098, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
96.2, 265.8434, 0.2319266, 589.3901, 49.95688, 1136.121, 354.1867, 70.59187, 297.837, 490.3443, 295.9246, 584.2553, 2.419785, 48.44162, 124.2415, 183.1817, 81.36817, 155.237, 106.5661, 1436.72, 1021.468, 229.7835, 97.70622, 427.8294, 1662.039, 1458.484, 751.757, 0.008009722, 385.0943, 549.2417, 934.0811, 62.04802, 1166.334, 0.6005415, 88.3464, 109.0835, 1308.905, 398.847, 195.4967, 96.26743
96.3, 252.7697, 0.2216062, 556.4882, 47.48659, 1117.469, 334.5775, 67.38849, 280.3331, 460.8211, 279.0188, 553.3259, 2.321316, 46.46057, 119.1462, 175.6537, 77.41255, 147.6725, 101.4854, 1356.262, 972.8874, 218.1046, 92.70271, 403.6606, 1756.33, 1381.439, 718.6723, 0.007617395, 363.86, 517.6108, 982.875, 59.08458, 1102.7, 0.5757874, 84.06885, 104.075, 1245.248, 378.9149, 185.8593, 90.97295
96.40000000000001, 240.339, 0.211745, 525.4229, 45.13845, 1052.275, 316.054, 64.33047, 263.8578, 433.0755, 263.0787, 679.7883, 2.226855, 44.56054, 114.2599, 168.435, 73.64923, 140.4767, 209.4299, 1298.448, 943.9674, 207.0193, 87.95543, 611.1481, 1896.228, 1611.292, 687.0437, 0.007244284, 343.7966, 594.222, 926.9294, 140.0595, 1042.538, 0.5520536, 79.99841, 99.29642, 1184.686, 359.9789, 176.6971, 85.96967
96.5, 228.5195, 0.2023226, 496.0919, 42.90643, 990.8848, 298.5559, 61.41123, 248.3509, 407.0004, 248.0493, 643.8015, 2.136238, 42.7382, 109.574, 161.513, 70.06886, 133.6315, 199.4449, 1374.991, 1118.5, 196.4975, 83.45126, 576.6234, 1806.775, 1526.175, 656.8071, 0.006889449, 324.8395, 560.0007, 914.8754, 133.3702, 985.6578, 0.5292981, 76.12505, 94.73725, 1279.674, 341.9892, 167.9865, 81.24155
96.59999999999999, 217.2813, 0.1933196, 468.3982, 40.78477, 933.0758, 282.0266, 58.62446, 233.7552, 382.4953, 233.8786, 609.7198, 2.049308, 40.9904, 105.0802, 154.8755, 66.66254, 127.1198, 189.9361, 1297.99, 1118.29, 186.5104, 79.17773, 655.5015, 1909.136, 1466.193, 627.9011, 0.006551994, 306.9277, 599.3236, 862.8003, 127.0004, 1041.048, 0.5074805, 72.43923, 90.38742, 1217.439, 324.8985, 159.7053, 76.77346
96.7, 206.5958, 0.1847171, 442.2505, 38.76803, 892.1955, 266.4125, 55.96415, 220.0174, 359.4656, 220.5174, 577.4423, 1.965915, 39.31408, 100.7707, 148.5108, 63.42181, 120.9254, 180.8806, 1225.3, 1265.104, 177.0309, 75.12306, 652.3643, 1819.074, 1603.278, 600.2673, 0.006231068, 290.0036, 745.6215, 813.6893, 120.9348, 984.2497, 0.4865623, 68.93188, 86.2373, 1158.23, 308.6619, 151.8324, 72.55111
96.8, 196.4358, 0.1764974, 417.5624, 36.85101, 840.1442, 251.6628, 53.42456, 207.0869, 337.8225, 207.9195, 546.8735, 1.885916, 37.7063, 96.63801, 142.4076, 60.33863, 115.0329, 172.2568, 1271.977, 1204.937, 168.0332, 71.27603, 615.5112, 2010.082, 1618.957, 573.8497, 0.005925861, 274.0126, 702.6811, 767.3738, 115.1589, 930.5499, 0.4665063, 65.59434, 82.27774, 1101.901, 293.2368, 144.3476, 68.56097
96.90000000000001, 186.7754, 0.1686435, 394.2526, 35.02879, 791.1295, 237.7298, 51.00021, 194.9164, 317.4825, 196.0413, 517.923, 1.809172, 36.16428, 92.67477, 136.5553, 57.40534, 109.4275, 164.0442, 1200.745, 1147.631, 159.4928, 67.62601, 676.9819, 2076.119, 1661.279, 548.5947, 0.005635604, 258.9034, 662.2136, 723.6946, 137.2335, 907.7463, 0.447277, 62.4184, 78.49998, 1048.311, 278.5825, 137.2317, 64.79029
97, 177.5901, 0.1611391, 372.2439, 33.29667, 744.9744, 259.2081, 48.68588, 183.4611, 298.3672, 184.8416, 490.5051, 1.735552, 34.68532, 88.87406, 130.9434, 430.9124, 125.6754, 156.2231, 1133.501, 1185.859, 151.3865, 64.1629, 638.7381, 1978.18, 1573.521, 524.4511, 0.005359564, 244.6274, 624.0767, 682.5016, 130.6792, 858.2205, 0.4288403, 59.39622, 74.89568, 997.3278, 264.6605, 130.4666, 61.22698
97.09999999999999, 168.8566, 0.1539687, 351.4639, 31.6502, 751.4227, 306.1739, 46.47657, 172.6791, 300.3075, 174.2819, 464.5386, 1.664927, 33.26685, 85.22923, 125.5622, 623.2546, 152.7685, 148.7749, 1070.023, 1129.46, 143.6922, 60.87713, 602.6547, 1936.51, 1630.99, 501.3701, 0.005097045, 231.1385, 588.1361, 643.6533, 124.4379, 811.3967, 0.4111636, 56.52038, 71.45687, 948.8239, 251.4343, 124.0351, 57.85965
