 , C002, C003, C005, C006, C008, C011, C014, C017, C022, C024, C037, C046, C049, C051, C053, C055, C057, C062, C071, C072, C084, C101, C113, C117, C119, C121, C122, C123, C128, C132
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
236.1, 89.92085, 4.238108, 474.1365, 584.3083, 168.4874, 33.77935, 2.828191e-05, 102.6875, 3829.665, 1057.561, 1464.55, 3266.233, 609.015, 297.4966, 638.03, 0.008447549, 8797.029, 4470.12, 5126.36, 4289.874, 874.363, 1970.682, 2926.615, 2.305084, 788.4291, 1454.874, 1306.941, 3799.772, 2045.468, 33.51136
236.2, 85.97954, 4.04913, 526.5573, 555.6158, 198.6804, 32.30574, 2.70641e-05, 97.96985, 3790.915, 1030.823, 1428.268, 3121.503, 581.6354, 280.3427, 622.0037, 0.008055186, 8770.467, 4472.881, 5299.228, 4189.974, 834.7269, 1934.977, 2865.903, 429.725, 1208.783, 1528.995, 1233.839, 3595.431, 1991.467, 32.01202
236.3, 82.21098, 3.86858, 499.9041, 528.3322, 190.2409, 30.89643, 2.589873e-05, 93.46897, 3712.371, 975.6804, 1372.085, 3006.941, 555.4866, 264.1779, 594.8553, 0.007681046, 8640.701, 4645.016, 5193.153, 4135.602, 899.8221, 1972.461, 2853.872, 746.1537, 1145.748, 1581.524, 1164.826, 3553.374, 2128.72, 30.57977
236.4, 78.6076, 3.69608, 582.1872, 502.3883, 245.792, 29.54859, 2.478354e-05, 89.17487, 3633.909, 1025.323, 1382.109, 3072.855, 530.5135, 248.9451, 578.3705, 0.007324284, 8588.414, 4488.19, 5075.339, 3963.723, 943.0122, 1889.201, 2764.392, 701.8013, 1086, 1510.489, 1099.673, 3704.522, 2242.755, 29.21159
236.5, 75.16216, 3.531271, 656.1265, 582.5819, 235.3512, 28.25955, 2.371637e-05, 85.07804, 3747.364, 995.7879, 1321.513, 3180.401, 506.6631, 234.5907, 678.6509, 0.006984093, 8568.604, 4329.533, 5254.375, 3969.219, 900.2641, 1978.945, 2852.627, 660.0852, 1029.368, 1469.332, 1038.165, 3552.784, 2358.885, 209.0781
236.6, 71.86774, 3.373812, 622.9147, 553.9741, 377.81, 27.02675, 2.269515e-05, 81.16943, 3654.523, 1018.387, 1498.653, 3039.475, 483.8849, 221.064, 649.0301, 0.006659703, 8490.803, 4352.7, 5259.854, 4017.389, 983.1797, 2079.26, 2780.065, 620.8488, 975.6892, 1590.607, 1119.989, 3507.306, 2456.424, 253.3069
236.7, 68.71771, 3.223374, 618.3928, 628.1948, 361.7614, 25.84772, 2.171791e-05, 77.44039, 3779.098, 963.9099, 1548.437, 2936.815, 462.1307, 208.3172, 620.7021, 0.006350379, 8540.256, 4410.431, 5161.362, 3885.654, 986.9663, 1982.382, 2724.378, 583.9447, 924.8096, 1603.415, 1101.834, 3509.092, 2480.796, 288.3272
236.8, 65.70576, 3.079643, 633.9592, 597.3472, 346.3944, 24.72013, 2.078274e-05, 73.88267, 3889.427, 912.3467, 1629.151, 2806.683, 441.3546, 196.3055, 593.6105, 0.006055423, 8437.238, 4371.908, 5214.676, 3849.603, 942.2257, 1985.395, 2610.466, 549.2342, 876.5832, 1621.995, 1329.748, 3481.144, 2582.169, 275.4271
236.9, 62.82582, 2.942322, 680.9009, 568.0143, 331.6802, 23.64174, 1.988784e-05, 70.48839, 3720.223, 935.7082, 1557.725, 2825.965, 530.0156, 184.9863, 653.2413, 0.005774166, 8426.514, 4356.876, 5168.523, 3909.226, 899.5133, 1941.449, 2544.695, 516.587, 830.8716, 1549.143, 1255.371, 3604.278, 2582.695, 263.1042
237, 60.07211, 2.811124, 646.4351, 540.1218, 350.9237, 22.61038, 1.903148e-05, 67.25005, 3794.23, 1139.319, 1597.688, 2850.248, 506.1876, 174.3198, 686.395, 0.005505973, 8493.752, 4365.933, 5157.427, 3828.1, 911.3046, 1850.993, 2635.636, 485.8803, 787.5439, 1661.881, 1287.833, 3504.586, 2586.284, 251.3326
