 , C004, C009, C017, C026, C027, C029, C030, C032, C033, C034, C038, C043, C048, C050, C052, C056, C059, C060, C061, C064, C068, C071, C072, C078, C080, C085, C088, C089, C098, C102, C117, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
29.4, 460.19, 1184.082, 770.1754, 1093.535, 919.7308, 1721.933, 445.7918, 1119.013, 341.6253, 973.4175, 1753.985, 1114.052, 410.6746, 1323.663, 1693.442, 1067.811, 310.8155, 1051.61, 1633.453, 1492.39, 874.9319, 1603.905, 2761.508, 673.2643, 1184.443, 0.004997775, 95.87408, 338.8154, 886.7581, 2022.697, 1457.61, 1168.721
29.5, 440.6303, 1364.951, 718.8174, 1042.945, 880.6052, 1725.469, 419.4161, 1067.876, 323.9471, 931.4304, 1675.583, 1066.887, 393.6269, 1351.51, 1613.386, 1013.032, 296.2191, 1000.678, 1562.937, 1426.638, 894.6746, 1536.036, 2953.076, 669.4009, 1180.653, 0.004784273, 90.79583, 353.0091, 844.5115, 2054.776, 1475.518, 1118.598
29.6, 421.9019, 1449.736, 670.8842, 1089.18, 843.144, 1660.635, 508.5927, 1019.076, 307.1837, 891.2543, 1600.686, 1021.72, 377.2868, 1412.611, 1537.114, 961.0643, 282.3083, 952.2127, 1597.051, 1363.784, 911.0893, 1544.459, 2832.884, 640.6749, 1124.064, 0.004579893, 85.98657, 336.0871, 804.2776, 1964.607, 1411.589, 1070.624
29.7, 403.9697, 1719.302, 626.1473, 1046.256, 807.2765, 1583.951, 478.5013, 972.506, 291.2877, 852.8112, 1529.137, 978.4639, 361.625, 1522.831, 1464.448, 911.762, 269.0507, 906.0949, 1528.107, 1333.286, 872.8284, 1479.105, 2917.883, 613.1815, 1070.188, 0.004384243, 81.43204, 319.9763, 765.9604, 1935.494, 1350.428, 1024.707
29.8, 386.7996, 1901.703, 701.4059, 1130.142, 772.9348, 1527.509, 450.1902, 928.064, 276.2144, 816.0263, 1460.785, 937.0394, 346.6134, 1446.273, 1395.218, 864.989, 256.4156, 862.2107, 1515.579, 1274.544, 836.1744, 1705.786, 2817.779, 586.868, 1175.546, 0.004196951, 77.11877, 304.6378, 729.4689, 1952.047, 1481.621, 1080.46
29.9, 370.3593, 2155.122, 654.6338, 1077.859, 794.0167, 1582.121, 423.5543, 1011.377, 261.921, 780.8281, 1395.489, 897.3688, 332.2249, 1373.565, 1329.26, 899.9687, 244.374, 820.4519, 1509.91, 1218.391, 801.0595, 1633.605, 2904.915, 667.1101, 1289.776, 0.00401766, 73.03395, 290.0345, 694.7158, 1890.153, 1495.851, 1034.122
30, 354.6177, 2232.721, 610.9806, 1027.994, 851.2022, 1614.727, 398.4942, 965.1587, 248.3673, 747.1481, 1333.112, 859.3777, 318.4337, 1398.173, 1266.42, 853.8006, 232.8979, 780.7156, 1508.276, 1164.711, 790.3046, 1564.479, 2786.683, 638.4823, 1269.273, 0.003846028, 69.1655, 276.1313, 661.6183, 1872.135, 1532.352, 989.7706
30.1, 339.5452, 2517.758, 570.2383, 980.4356, 814.9918, 1571.078, 374.9169, 1037.782, 283.2142, 714.9207, 1399.443, 822.9949, 305.215, 1327.883, 1206.551, 810.0009, 221.9606, 742.9038, 1560.098, 1113.396, 793.0993, 1498.277, 2883.159, 695.6866, 1250.17, 0.003681728, 65.50195, 262.8946, 630.0978, 1839.864, 1465.959, 947.3218
30.2, 325.1133, 2497.227, 579.0846, 935.0778, 780.3219, 1498.529, 352.7345, 1159.825, 268.5586, 744.168, 1336.889, 788.1525, 292.5451, 1261.126, 1256.872, 768.4482, 211.5371, 870.4592, 1492.749, 1131.357, 759.7934, 1523.434, 2784.849, 665.8325, 1376.105, 0.003524447, 62.03245, 250.2923, 600.0789, 1775.044, 1402.443, 906.6936
30.3, 394.0837, 2417.689, 639.8834, 934.0438, 785.1923, 1429.33, 431.7389, 1106.823, 290.9317, 712.0693, 1277.131, 754.7852, 345.5018, 1545.217, 1197.454, 729.027, 201.603, 851.085, 1669.892, 1081.512, 750.8725, 1580.353, 2869.173, 637.2596, 1310.149, 0.003373886, 58.74673, 318.3745, 799.5524, 1715.432, 1341.68, 867.8077
30.4, 752.2252, 2498.298, 787.7623, 1130.795, 1037.208, 1441.292, 577.6792, 1082.708, 275.8767, 727.0674, 1235.601, 722.8304, 517.8059, 1668.473, 1447.865, 947.9623, 319.691, 967.1219, 1836.348, 1033.863, 747.5281, 1513.479, 2947.276, 609.9128, 1497.478, 112.1482, 134.3592, 474.7595, 843.0516, 2054.794, 1513.024, 830.5896
30.5, 1036.661, 2421.053, 886.6537, 1078.481, 1009.869, 1695.336, 596.8289, 1120.305, 261.6008, 740.2171, 1237.48, 692.2286, 707.3961, 1848.835, 1631.969, 899.3322, 431.6073, 1136.814, 1782.561, 1131.796, 818.5255, 1449.436, 3016.905, 647.9446, 1525.774, 107.3573, 127.2425, 452.0012, 1189.574, 2097.871, 1617.555, 929.7538
30.6, 1081.987, 2495.056, 871.1191, 1071.556, 1161.368, 1764.412, 925.4925, 1108.843, 248.0636, 760.2126, 1182.165, 662.9222, 767.223, 1985.282, 1809.561, 1081.082, 562.0243, 1315.151, 1705.609, 1192.465, 791.9333, 1388.103, 3012.531, 620.1393, 1534.086, 102.7711, 120.5028, 528.2416, 1132.901, 2138.433, 1778.022, 1011.223
30.7, 1054.526, 2705.914, 813.03, 1105.687, 1111.963, 1827.235, 870.7347, 1084.833, 259.996, 823.5493, 1262.695, 634.8567, 735.3743, 1899.204, 2048.788, 1025.623, 535.6309, 1251.455, 1631.978, 1174.52, 849.9797, 1503.919, 3079.736, 593.5272, 1460.558, 98.38074, 291.0175, 601.1575, 1179.481, 2203.519, 1700.986, 1148.986
30.8, 1009.705, 2607.988, 758.8143, 1054.535, 1141.561, 1742.858, 880.3859, 1133.376, 246.5419, 788.0266, 1328.042, 607.9793, 704.8478, 1859.381, 1951.933, 973.009, 510.4769, 1190.844, 1685.354, 1261.868, 836.0681, 1496.439, 3025.032, 837.3127, 1390.553, 94.17799, 275.6029, 572.3401, 1123.288, 2130.072, 1627.287, 1099.709
30.9, 966.7888, 2480.959, 780.1538, 1005.749, 1092.999, 1792.911, 828.2969, 1120.813, 233.784, 754.036, 1315.3, 582.2398, 675.5884, 1912.138, 1859.657, 1106.951, 486.5042, 1133.169, 1612.597, 1206.272, 848.7036, 1433.117, 3141.525, 811.6912, 1373.896, 90.15478, 261.0048, 544.9042, 1069.773, 2152.582, 1556.781, 1052.545
31, 974.8902, 2482.691, 728.1305, 994.8195, 1124.113, 1710.118, 779.2899, 1153.671, 270.2607, 825.6009, 1328.161, 557.59, 647.5437, 1911.451, 1771.744, 1050.165, 555.0923, 1078.287, 1566.781, 1281.895, 813.0626, 1372.474, 3131.503, 776.859, 1308.045, 86.30343, 247.1799, 562.4904, 1081.509, 2081.716, 1489.331, 1007.404
