 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
9.99229913174783, 30.69667, 0.07962352, 16.81286, 62.87352, 60.38771, 0
10.09222212306531, 40.61086, 0.07631348, 16.11741, 77.37276, 57.81632, 0
10.19214511438279, 38.44422, 0.07314102, 15.45072, 73.96474, 55.35443, 0
10.29206810570026, 36.39318, 0.07010046, 14.81162, 70.82671, 52.99737, 0
10.39199109701774, 48.44942, 0.06718629, 14.19894, 77.69193, 50.74068, 0
10.49191408833522, 45.86459, 0.06439327, 17.99422, 74.26984, 93.44415, 0
10.5918370796527, 43.41766, 0.06171636, 17.2499, 80.22704, 89.46518, 0
10.69176007097018, 46.19716, 0.05915073, 27.33461, 76.69329, 85.65565, 0
10.79168306228765, 43.73249, 0.05669177, 26.20393, 73.31519, 82.00832, 0
10.89160605360513, 41.39931, 0.05433501, 25.12002, 70.08588, 78.5163, 0
10.99152904492261, 39.19061, 0.05207624, 24.08095, 66.99882, 75.17298, 0
11.09145203624009, 37.09974, 0.04991136, 23.08486, 64.04773, 71.97202, 0
11.19137502755757, 35.12043, 0.0478365, 22.12997, 64.52487, 68.90736, 0
11.29129801887505, 33.24672, 0.04584788, 21.21458, 62.20893, 65.97321, 0
11.39122101019253, 31.47296, 0.04394193, 20.33705, 59.46882, 63.16398, 0
11.49114400151, 29.79384, 0.04211521, 19.49582, 56.84941, 60.47438, 0
11.59106699282748, 41.17414, 0.04036442, 18.68939, 54.34537, 57.8993, 0
11.69098998414496, 38.97745, 0.03868642, 17.91632, 51.95162, 55.43388, 0
11.79091297546244, 36.89796, 0.03707817, 17.17522, 49.66331, 53.07343, 0
11.89083596677992, 34.92941, 0.0355368, 16.46478, 47.4758, 50.8135, 0
11.99075895809739, 36.5139, 0.03405949, 15.78373, 45.38464, 48.6498, 0
12.09068194941487, 41.06956, 0.03264359, 15.13085, 43.38559, 46.57823, 0
12.19060494073235, 38.87845, 0.03128656, 14.50497, 41.47459, 44.59486, 0
12.29052793204983, 36.80424, 0.02998594, 13.90498, 39.64776, 42.69596, 0
12.39045092336731, 34.8407, 0.02873939, 13.32981, 37.9014, 40.87791, 0
12.49037391468479, 32.9819, 0.02754466, 12.77843, 36.23196, 39.13728, 0
12.59029690600227, 31.22228, 0.0263996, 12.24986, 34.63606, 37.47076, 0
12.69021989731974, 29.55653, 0.02530213, 11.74315, 33.11045, 35.87521, 0
12.79014288863722, 27.97966, 0.02425029, 11.25741, 37.56759, 34.3476, 0
12.8900658799547, 26.48691, 0.02324217, 10.79175, 40.47282, 32.88503, 0
12.98998887127218, 25.0738, 0.02227596, 10.34536, 38.69012, 31.48475, 0
13.08991186258966, 23.73609, 0.02134992, 9.917429, 36.98594, 30.14409, 0
13.18983485390713, 22.46974, 0.02046238, 9.507202, 35.35683, 28.86051, 0
13.28975784522461, 21.27095, 0.01961173, 9.113943, 33.79947, 27.6316, 0
13.38968083654209, 20.13612, 0.01879644, 8.736951, 32.31071, 26.45501, 0
13.48960382785957, 27.54872, 0.01801505, 8.375552, 30.88752, 25.32852, 0
13.58952681917705, 31.76584, 0.01726614, 8.029103, 29.52702, 24.25, 0
13.68944981049453, 30.0711, 0.01654837, 7.696985, 28.22645, 23.2174, 0
13.789372801812, 28.46677, 0.01586043, 7.378605, 26.98316, 22.22878, 0
13.88929579312948, 26.94803, 0.01520109, 7.073394, 25.79464, 21.28225, 0
13.98921878444696, 25.51032, 0.01456916, 6.780807, 24.65847, 20.37602, 0
14.08914177576444, 24.14932, 0.0139635, 6.500324, 23.57234, 19.50839, 0
14.18906476708192, 22.86092, 0.01338302, 6.231443, 22.53405, 18.6777, 0
14.2889877583994, 21.64127, 0.01282668, 5.973683, 21.5415, 17.88238, 0
14.38891074971687, 20.48668, 0.01229346, 5.726586, 20.59266, 17.12092, 0
14.48883374103435, 19.39369, 0.0117824, 5.48971, 19.68562, 16.39189, 0
14.58875673235183, 18.35901, 0.01129259, 5.262632, 18.81853, 15.6939, 0
14.68867972366931, 17.37954, 0.01082314, 5.044947, 17.98963, 15.02564, 0
