 , C04, C08, C10, C15, C16, C18, C20, C22, C25, C27, C28, C30, C32
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
8.193708820219538, 0.2133726, 0, 338.3169, 60.69035, 146.6906, 24.5226, 152.6989, 56.44318, 397.3746, 536.6298, 552.5709, 705.0212, 471.8108
8.293632098514896, 0.2042736, 0, 324.2149, 62.55711, 140.7257, 23.53098, 147.1275, 54.01165, 397.9071, 545.5695, 556.4695, 689.9291, 468.3273
8.393555376810257, 0.1955627, 0, 346.9836, 72.05814, 151.8692, 22.57945, 164.6202, 51.68487, 381.8592, 550.8114, 539.8531, 724.2711, 488.092
8.493478655105617, 0.1872233, 0, 377.1764, 101.233, 155.832, 21.6664, 157.8732, 53.80455, 407.0661, 600.8608, 562.6203, 742.0248, 491.2564
8.593401933400978, 0.1792395, 0, 366.7262, 97.09215, 152.7303, 43.06882, 151.4026, 55.90669, 390.6488, 615.6979, 617.687, 735.6827, 480.4165
8.693325211696338, 0.1715961, 0, 366.814, 93.12066, 181.2433, 41.32724, 145.1973, 78.80021, 416.8471, 641.9242, 610.1019, 723.721, 482.2682
8.793248489991699, 0.1642787, 0, 397.0533, 94.35766, 173.8734, 39.65608, 156.267, 101.1888, 413.9309, 618.8579, 623.8693, 703.8939, 499.3432
8.893171768287058, 0.1572733, 0, 390.3469, 114.3681, 174.9087, 46.58008, 149.8623, 96.82965, 397.2367, 671.9347, 598.5374, 708.5643, 526.1135
8.993095046582418, 0.1505667, 0, 395.1989, 129.2804, 181.2763, 44.69651, 143.7201, 92.6583, 410.9059, 655.933, 610.1157, 702.5573, 537.577
9.093018324877779, 0.144146, 0, 378.7259, 131.4879, 173.9051, 64.19299, 174.0224, 88.66665, 426.2015, 668.8689, 625.3783, 693.5989, 541.5139
9.192941603173139, 0.1379992, 0, 406.8121, 128.8813, 210.6904, 61.5972, 187.4029, 84.84695, 409.0125, 652.6312, 640.2492, 720.5518, 548.4944
9.2928648814685, 0.1321144, 0, 389.8551, 123.6095, 202.1232, 59.10638, 179.7221, 136.8923, 453.7932, 672.7659, 625.2189, 746.934, 540.1102
9.39278815976386, 0.1264806, 0, 406.1049, 118.5534, 194.6481, 56.71628, 172.3561, 130.9951, 443.2348, 690.4695, 644.3951, 732.9738, 518.1279
9.492711438059219, 0.121087, 0, 389.1773, 113.704, 186.7332, 77.08833, 165.2919, 132.0741, 436.5351, 681.7346, 643.6808, 706.635, 549.1697
9.59263471635458, 0.1159235, 0, 437.9247, 109.053, 211.0794, 73.97109, 158.5173, 126.3844, 419.8203, 717.427, 638.7673, 716.961, 608.0011
9.69255799464994, 0.1109802, 0, 419.6708, 117.7976, 206.6137, 81.48607, 152.0204, 120.9399, 440.9988, 705.723, 627.6714, 716.0668, 584.7662
9.792481272945301, 0.1062476, 0, 415.3226, 170.4198, 198.2122, 85.14183, 145.7898, 115.7299, 428.2042, 688.7017, 664.7424, 719.3282, 564.4108
9.892404551240661, 0.1017168, 0, 404.2569, 163.4489, 190.1524, 81.69893, 160.7879, 110.7443, 428.656, 684.2108, 648.9791, 700.6628, 604.2982
9.99232782953602, 0.09737933, 0, 414.9821, 156.7631, 207.1447, 78.39525, 185.5506, 105.9736, 411.368, 686.1343, 668.4924, 693.1965, 607.1431
10.09225110783138, 0.09322676, 0, 397.6845, 157.9247, 198.7216, 75.22516, 192.4536, 109.2313, 422.0968, 676.8824, 641.3486, 690.9771, 601.8641
10.19217438612674, 0.08925128, 0, 399.3121, 154.2075, 190.6411, 72.18327, 205.5063, 104.5257, 457.7364, 684.9987, 615.3069, 702.1583, 632.2251
10.2920976644221, 0.0854453, 0, 382.6677, 147.8997, 182.8891, 69.26437, 197.0835, 100.0228, 439.2755, 691.1022, 629.0887, 687.0591, 633.5763
10.39202094271746, 0.08180162, 0, 366.717, 192.8889, 175.4523, 66.46352, 189.0059, 95.71387, 465.8711, 678.5568, 622.0072, 659.1202, 636.6022
10.49194422101282, 0.07831334, 0, 359.52, 184.9989, 186.1259, 63.77592, 227.3151, 96.04752, 454.5471, 716.0656, 639.5847, 696.9351, 630.6501
10.59186749930818, 0.07497381, 0, 356.4802, 177.4317, 195.1327, 74.95699, 217.9985, 91.90987, 436.2148, 686.5255, 648.5757, 682.1752, 633.2311
10.69179077760354, 0.07177667, 0, 341.6211, 170.1739, 187.1981, 73.61861, 209.0637, 124.6547, 439.766, 679.3683, 622.2406, 700.0249, 640.1569
10.7917140558989, 0.06871589, 0, 327.3814, 213.9668, 179.5861, 90.10616, 200.4951, 119.2847, 422.0298, 651.3422, 666.8127, 671.5587, 673.3285
10.89163733419426, 0.06578563, 0, 313.7352, 205.2147, 177.729, 86.46251, 192.2776, 114.146, 432.2533, 634.0497, 639.7371, 692.628, 661.1435
10.99156061248962, 0.06298032, 0, 300.6579, 204.3495, 179.595, 91.35092, 184.397, 138.0473, 414.8202, 645.4716, 657.9166, 666.1652, 646.611
11.09148389078498, 0.06029461, 0, 370.7166, 195.9907, 172.2921, 87.65694, 176.8394, 132.1003, 436.2397, 644.8535, 631.2021, 666.8906, 670.3525
11.19140716908034, 0.05772346, 0, 386.7037, 203.2977, 185.6726, 84.11234, 169.5915, 126.4095, 420.4671, 649.7989, 636.4453, 703.2965, 661.626
11.2913304473757, 0.05526194, 0, 370.5848, 194.9819, 178.1227, 80.71107, 162.6407, 124.0338, 425.1351, 622.9925, 616.2581, 674.6972, 663.7084
11.39125372567106, 0.0529054, 0, 355.1378, 187.0063, 179.0016, 77.44734, 161.7921, 118.6905, 418.8848, 631.1205, 637.4515, 682.2966, 666.5098
11.49117700396642, 0.05064932, 0, 345.9797, 179.3569, 171.7229, 74.31559, 155.1609, 113.5774, 426.9153, 605.0847, 611.5681, 654.5513, 663.9569
11.59110028226178, 0.04848947, 0, 331.5583, 172.0205, 164.7402, 71.31047, 172.4431, 108.6846, 472.4795, 640.1696, 586.7357, 687.6929, 669.2941
11.69102356055714, 0.04642172, 0, 320.476, 166.4855, 174.8548, 68.42687, 165.3754, 164.2463, 453.424, 624.3453, 581.276, 679.8348, 650.8108
11.7909468388525, 0.04444215, 0, 307.1177, 159.6755, 167.7447, 65.65988, 158.5974, 157.1707, 435.1371, 608.4684, 600.1116, 652.1896, 681.9131
11.89087011714786, 0.04254699, 0, 294.3161, 193.8944, 160.9238, 80.40895, 152.0972, 150.3999, 423.0606, 586.3885, 575.7443, 667.6108, 682.806
11.99079339544322, 0.04073264, 0, 282.0482, 185.9633, 168.2249, 77.15743, 190.2172, 170.6516, 432.8705, 615.3668, 579.7353, 667.0652, 676.3668
12.09071667373859, 0.03899566, 0, 270.2917, 178.3566, 161.3844, 96.07738, 182.421, 163.3, 415.4124, 589.9809, 620.791, 639.9392, 684.0874
12.19063995203395, 0.03733275, 0, 283.5374, 171.061, 170.3033, 92.19228, 174.9444, 156.2652, 398.6585, 625.6251, 618.7116, 634.1072, 698.3303
12.2905632303293, 0.03574076, 0, 275.9964, 195.6741, 163.3783, 88.46428, 167.7742, 149.5334, 458.9808, 669.5366, 593.5891, 665.654, 701.4578
12.39048650862467, 0.03421666, 0, 281.663, 187.6702, 167.8989, 101.9107, 160.8978, 143.0916, 440.4697, 641.916, 605.0114, 655.6079, 705.5189
12.49040978692003, 0.03275754, 0, 294.8313, 212.3815, 173.9173, 97.78976, 188.2012, 137.8374, 433.3953, 629.1481, 630.6721, 687.4444, 735.608
12.59033306521539, 0.03136066, 0, 290.1102, 219.2516, 166.8453, 93.83541, 180.4876, 131.8994, 438.8787, 653.2788, 630.265, 676.9049, 705.669
12.69025634351075, 0.03002333, 0, 278.0176, 222.4381, 160.0609, 90.04097, 178.718, 126.2173, 426.132, 637.5009, 650.0857, 666.4067, 694.5412
12.79017962180611, 0.02874304, 0, 266.4291, 219.001, 181.239, 99.44968, 171.3931, 120.78, 408.9458, 627.7845, 645.368, 647.7443, 686.5936
12.89010290010147, 0.02751733, 0, 291.0356, 218.7781, 188.5861, 95.42822, 199.6682, 115.5768, 437.5546, 639.5197, 624.5778, 646.6592, 713.8444
12.99002617839683, 0.0263439, 0, 291.2584, 220.5114, 180.9177, 91.56937, 192.0784, 110.5979, 434.5714, 625.17, 619.1426, 659.0647, 698.9612
13.08994945669219, 0.02522051, 0, 290.6856, 229.0538, 174.4291, 118.0079, 184.206, 147.8162, 417.0448, 628.7249, 649.0355, 673.1939, 751.3148
13.18987273498755, 0.02414502, 0, 278.5691, 219.6846, 175.5418, 113.236, 179.8014, 141.4484, 448.7307, 652.4521, 666.145, 652.6248, 740.0447
13.28979601328291, 0.0231154, 0, 266.9575, 246.4933, 168.4038, 123, 175.1621, 135.3549, 430.6331, 647.5104, 670.1536, 626.086, 727.5488
13.38971929157827, 0.02212969, 0, 263.2682, 240.1577, 165.4606, 119.2205, 167.983, 129.5239, 448.9335, 656.7659, 642.9423, 642.5802, 735.0891
13.48964256987363, 0.021186, 0, 261.9715, 230.3342, 171.3039, 114.3995, 190.4023, 123.9441, 445.7298, 634.4425, 673.9597, 616.45, 747.9653
13.58956584816899, 0.02028256, 0, 294.1819, 252.9871, 164.3382, 109.7735, 182.5985, 118.6047, 474.0228, 618.3529, 646.5938, 620.6824, 730.6173
13.68948912646435, 0.01941765, 0, 281.9196, 247.7672, 179.085, 105.3346, 200.8009, 113.4953, 454.905, 630.5325, 664.895, 626.1297, 716.0577
13.78941240475971, 0.01858962, 0, 280.0335, 242.3646, 171.8029, 101.0752, 200.9563, 108.606, 439.183, 633.365, 661.2919, 618.0272, 759.3584
13.88933568305507, 0.01779689, 0, 270.6178, 232.4508, 180.0899, 96.98796, 192.72, 111.263, 452.4646, 618.0597, 669.5677, 656.1103, 743.2982
13.98925896135043, 0.01703797, 0, 271.0919, 222.9426, 188.9006, 93.06604, 184.8213, 106.4699, 434.6029, 629.015, 673.2755, 640.8639, 742.8669
14.08918223964579, 0.01631142, 0, 286.3678, 248.136, 185.9447, 105.5184, 177.2462, 101.8833, 445.6934, 647.744, 646.595, 653.9637, 774.9631
14.18910551794115, 0.01561584, 0, 299.9547, 237.9862, 178.3837, 116.9317, 176.2903, 97.49422, 433.0997, 656.46, 659.7946, 627.3705, 784.8127
14.28902879623651, 0.01494993, 0, 293.8141, 228.2515, 172.3983, 112.2033, 169.0649, 93.29424, 426.6804, 654.8055, 671.0218, 634.9608, 755.5148
14.38895207453187, 0.01431242, 0, 293.0098, 247.7687, 166.3049, 113.8544, 162.1357, 89.27519, 439.3749, 627.7926, 663.9388, 610.4451, 770.5873
14.48887535282723, 0.01370209, 0, 300.7257, 237.6339, 169.9869, 111.3669, 161.737, 86.35494, 464.792, 631.1868, 658.0904, 626.2599, 767.1292
14.58879863112259, 0.01311779, 0, 288.1907, 231.4126, 172.2086, 116.8437, 169.3627, 82.63483, 459.7708, 648.6838, 674.2076, 609.936, 766.4194
14.68872190941795, 0.01255841, 0, 285.3431, 221.9468, 172.6767, 121.7722, 166.84, 85.37561, 441.2279, 634.8867, 674.2057, 614.9664, 774.239
14.78864518771331, 0.01202288, 0, 285.6369, 242.469, 167.2148, 116.848, 169.2497, 81.69769, 454.533, 616.7889, 655.1506, 617.9782, 773.8362
14.88856846600867, 0.01151018, 0, 295.6758, 232.551, 160.4154, 112.123, 185.8609, 115.9248, 457.8238, 633.722, 653.2421, 604.1265, 779.4159
14.98849174430403, 0.01101935, 0, 283.3513, 223.0386, 189.0444, 114.8608, 178.2433, 110.9309, 439.3594, 622.9482, 651.7418, 625.1091, 762.5063
15.08841502259939, 0.01054945, 0, 292.8872, 229.3058, 181.3573, 110.2162, 170.9379, 106.1521, 449.2375, 608.7115, 644.7568, 602.6084, 757.9158
15.18833830089475, 0.01009958, 0, 291.783, 220.3092, 173.9828, 105.7593, 163.9319, 101.5791, 485.0655, 616.8345, 638.103, 624.9716, 784.754
15.28826157919011, 0.009668902, 0, 279.6207, 214.0028, 186.7227, 119.1125, 163.5752, 97.20315, 475.767, 631.7444, 641.3365, 608.1697, 786.1178
15.38818485748547, 0.009256588, 0, 287.7553, 222.394, 179.1301, 114.2959, 156.871, 95.07618, 459.3078, 644.2878, 677.1754, 595.5577, 789.3131
15.48810813578083, 0.008861855, 0, 275.7609, 217.3282, 207.1932, 121.3003, 177.1828, 104.0366, 445.7639, 668.0186, 665.9634, 619.0087, 787.1571
15.58803141407619, 0.008483954, 0, 275.818, 224.3593, 200.3904, 116.3953, 184.5075, 99.55475, 458.1943, 665.6981, 697.4578, 594.3389, 775.0239
15.68795469237155, 0.00812217, 0, 264.3212, 226.8934, 192.2419, 134.9546, 176.9453, 95.26601, 468.7029, 693.618, 674.924, 583.778, 774.3672
15.78787797066691, 0.007775815, 0, 253.3035, 231.1491, 203.6976, 129.4974, 169.6931, 103.6369, 464.4335, 680.828, 686.151, 625.2804, 807.447
15.88780124896227, 0.007444229, 0, 266.2067, 248.1599, 204.059, 130.2529, 169.0982, 99.17226, 482.1385, 691.2595, 692.3435, 608.5988, 783.7375
15.98772452725763, 0.007126782, 0, 255.4607, 240.5542, 195.7614, 125.1053, 162.1676, 116.9601, 468.0696, 719.6653, 669.4679, 610.3229, 786.686
16.08764780555299, 0.006822875, 0, 244.8124, 263.9794, 187.8012, 135.8665, 163.1074, 111.9215, 449.192, 689.9767, 719.8655, 588.0231, 799.6328
16.18757108384835, 0.006531924, 0, 241.4122, 253.1815, 180.1647, 137.7655, 156.4223, 107.1, 478.8604, 699.4619, 690.6357, 586.8844, 811.3542
16.28749436214371, 0.00625338, 0, 268.3579, 244.0001, 193.3342, 132.1947, 172.6447, 102.4862, 461.8287, 707.4572, 697.3912, 612.4941, 808.0878
16.38741764043908, 0.005986717, 0, 272.1251, 234.0195, 185.4727, 146.9968, 169.5177, 115.3504, 470.9944, 735.6611, 682.8717, 634.357, 809.6647
16.48734091873444, 0.005731424, 0, 260.7822, 224.447, 229.1618, 163.3509, 162.5699, 110.3812, 469.3051, 722.5044, 722.7399, 624.993, 804.8613
16.58726419702979, 0.005487015, 0, 249.9121, 230.6769, 222.6136, 163.6275, 155.9068, 105.6261, 450.3777, 744.0095, 713.7731, 599.5779, 840.8373
16.68718747532515, 0.005253031, 0, 242.7246, 248.3285, 213.5615, 157.0108, 156.2331, 108.1531, 460.5639, 732.3162, 695.2977, 595.4601, 817.8157
16.78711075362051, 0.005029025, 0, 232.6072, 242.2886, 204.8775, 150.6618, 172.6127, 103.4939, 464.8287, 714.0646, 721.8443, 600.3369, 822.5032
16.88703403191587, 0.00481457, 0, 236.8302, 232.3779, 208.9226, 165.0691, 165.538, 99.03548, 460.2249, 753.8956, 699.6094, 593.1749, 818.4932
16.98695731021123, 0.004609261, 0, 226.9585, 260.0977, 200.4272, 170.2631, 158.7534, 107.5716, 465.5061, 722.7949, 728.8652, 608.265, 818.9816
