 , C03, C05, C06, C07, C08, C10, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
144.1893944606205, 209.3893, 654.1232, 825.5695, 348.431, 269.8246, 134.8076, 912.3591
144.2893178109051, 225.9581, 656.2948, 842.7559, 359.8144, 275.9261, 130.1624, 908.4096
144.3892411611897, 217.7589, 642.6381, 839.9387, 371.4285, 276.8095, 138.7342, 902.8809
144.4891645114742, 209.8882, 638.8823, 850.1598, 370.2595, 265.5878, 148.1828, 908.8531
144.5890878617588, 200.2204, 657.1619, 854.0363, 376.2125, 266.0098, 141.9059, 913.9977
144.6890112120433, 204.3233, 651.0269, 865.2744, 361.9384, 276.6196, 140.8129, 901.0463
144.7889345623279, 194.9118, 660.0718, 856.3297, 372.8595, 265.4056, 136.128, 915.7988
144.8888579126125, 185.9338, 679.229, 850.3609, 382.5161, 279.0722, 130.3617, 916.5833
144.988781262897, 177.3694, 656.1771, 857.2652, 379.999, 267.7588, 136.6119, 913.2669
145.0887046131816, 169.1994, 661.2422, 822.626, 364.7047, 265.3925, 130.8251, 882.1859
145.1886279634661, 161.4057, 655.3762, 838.6489, 367.2018, 279.5423, 144.0323, 875.4478
145.2885513137507, 153.9711, 638.9659, 854.447, 370.8853, 268.2098, 137.9312, 879.134
145.3884746640352, 146.8789, 632.2217, 837.9747, 373.0505, 274.6381, 132.0885, 875.8297
145.4883980143198, 140.1134, 616.4331, 821.9694, 361.3373, 271.044, 129.3148, 883.422
145.5883213646044, 133.6595, 626.3745, 824.6404, 364.4626, 274.7447, 123.8372, 868.2234
145.6882447148889, 127.5029, 628.7723, 808.9267, 371.924, 263.6067, 136.3264, 855.9642
145.7881680651735, 121.6299, 606.8738, 817.9924, 365.558, 261.513, 130.5518, 841.2385
145.8880914154581, 116.0274, 609.1545, 798.9059, 363.4818, 264.9162, 125.0217, 828.7403
145.9880147657426, 110.6829, 606.9302, 797.1569, 365.6006, 254.1767, 126.5175, 825.0772
146.0879381160272, 105.5847, 605.1074, 798.7007, 368.5418, 249.2554, 130.6385, 813.4131
146.1878614663117, 100.7212, 585.4247, 794.4368, 356.1379, 247.6021, 133.6573, 793.6747
146.2877848165963, 96.08183, 579.0807, 776.3056, 360.2229, 246.929, 127.9957, 799.7036
146.3877081668809, 91.65611, 566.0388, 774.5306, 346.6762, 254.3381, 123.7723, 782.844
146.4876315171654, 87.43426, 569.7081, 785.9694, 346.0663, 244.0274, 118.5294, 770.6026
146.58755486745, 83.40688, 585.9948, 772.7054, 350.5278, 244.7616, 113.5086, 779.9616
146.6874782177345, 79.565, 569.5363, 766.0084, 341.618, 241.4906, 108.7005, 764.7967
146.7874015680191, 75.90009, 562.549, 736.4755, 345.0423, 254.3157, 121.4688, 761.8503
146.8873249183036, 72.40399, 540.7649, 749.2307, 336.897, 245.4881, 116.3235, 744.2916
146.9872482685882, 69.06893, 549.2019, 729.6622, 337.8202, 235.5362, 111.3962, 728.3524
147.0871716188728, 65.88749, 555.6349, 743.0095, 345.3587, 245.904, 117.1278, 729.7518
147.1870949691573, 62.85259, 547.6854, 741.6287, 331.4586, 246.0405, 113.0556, 721.5936
147.2870183194419, 59.95748, 538.4282, 725.1065, 318.118, 236.0661, 108.2667, 707.5344
147.3869416697265, 57.19573, 516.5602, 725.4601, 319.1832, 245.7319, 103.6806, 706.4871
147.486865020011, 54.56119, 517.0179, 719.6304, 326.8395, 235.7701, 108.7489, 696.7945
147.5867883702956, 52.048, 506.3719, 710.9716, 332.0107, 226.2121, 104.1424, 686.1121
147.6867117205801, 49.65057, 493.6886, 712.5308, 323.9048, 244.7112, 112.0396, 676.5027
147.7866350708647, 47.36357, 476.5887, 701.3729, 325.1778, 236.3828, 107.2937, 679.9141
147.8865584211493, 45.18192, 501.6632, 688.6125, 317.2323, 237.4509, 102.7489, 652.2899
147.9864817714338, 43.10075, 498.8286, 692.5662, 318.5279, 227.8247, 106.2442, 656.1144
148.0864051217184, 41.11545, 514.1846, 692.4758, 306.2343, 231.522, 101.7438, 648.8469
148.1863284720029, 39.22159, 494.2888, 672.5919, 325.8212, 222.1362, 97.43404, 630.6204
148.2862518222875, 37.41497, 474.2135, 673.0498, 320.777, 219.6679, 93.30683, 626.4762
148.3861751725721, 35.69157, 460.5134, 676.342, 316.0922, 217.7525, 96.03466, 611.1224
148.4860985228566, 34.04755, 466.4311, 662.586, 303.37, 231.1154, 91.96672, 605.3164
148.5860218731412, 32.47925, 459.9806, 673.0237, 301.1412, 221.7461, 100.5437, 595.0109
148.6859452234257, 30.9832, 460.4198, 665.4026, 304.7527, 225.141, 96.28477, 594.2396
148.7858685737103, 29.55605, 443.1724, 640.2692, 292.4869, 216.0139, 92.20624, 589.1586
148.8857919239949, 28.19464, 435.6418, 643.8707, 302.4144, 208.6279, 88.30047, 583.1442
