 , C000, C001, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C015, C024, C025, C029, C037, C039, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.1, 84.15059, 1.734089, 119.3178, 0, 114.7832, 5.168955, 120.3617, 25.18472, 516.2383, 334.6723, 217.9117, 147.6279, 787.8036, -1.192093e-06, 528.7231, 952.769, 872.2955, 664.6094, 73.15323
7.2, 90.91413, 1.630821, 113.1866, 0, 108.3811, 4.736415, 126.5463, 23.72481, 621.6849, 355.3568, 207.1111, 320.3531, 823.8206, -1.192093e-06, 566.7871, 994.6464, 889.5591, 627.5466, 69.42741
7.3, 85.35785, 1.533702, 107.3704, 0, 102.3362, 4.34007, 139.36, 22.34954, 581.8, 378.67, 196.8459, 302.06, 842.5308, -1.192093e-06, 536.0968, 1116.563, 833.4999, 782.764, 65.89137
7.4, 80.14114, 1.442367, 101.8531, 0, 96.62839, 3.976892, 130.3285, 21.05399, 544.4739, 357.4293, 187.0894, 284.8116, 803.1531, -1.192093e-06, 507.0682, 1114.521, 890.2496, 739.1123, 420.3904
7.5, 75.24326, 1.356472, 96.61932, 0, 143.1189, 3.644104, 121.8823, 19.83353, 509.5425, 337.38, 177.8165, 300.1809, 765.6159, -1.192093e-06, 479.6115, 1051.653, 972.2171, 736.8996, 398.9792
7.6, 70.64471, 1.275692, 91.65447, 0, 186.4332, 3.339164, 113.9835, 18.68383, 476.8523, 318.4554, 169.0033, 283.0397, 769.8392, -9.536743e-07, 453.6415, 992.3317, 928.5366, 695.8055, 378.6585
7.7, 66.32721, 1.199722, 86.94476, 0, 176.0349, 3.059742, 106.5966, 17.60077, 446.2592, 327.2361, 160.6268, 266.8773, 756.6835, -9.536743e-07, 429.0778, 1058.649, 888.8766, 657.0031, 359.3728
7.8, 62.27357, 1.128276, 177.9367, 0, 166.2166, 2.803701, 99.68841, 16.58049, 417.6289, 379.4401, 152.6655, 251.6379, 771.8312, -7.152557e-07, 405.8441, 1049.923, 917.924, 620.3645, 341.0694
7.9, 91.08755, 1.061085, 168.7933, 0, 156.9458, 19.12744, 93.22791, 15.61935, 613.5729, 358.1562, 145.0988, 335.2278, 735.7579, -8.34465e-07, 493.4987, 1193.158, 1038.217, 608.2657, 323.6982
8, 85.52068, 45.51424, 160.1197, 0, 148.1922, 103.6037, 87.18611, 14.71394, 574.2084, 369.3884, 137.9071, 316.0854, 701.3705, -7.152557e-07, 488.2679, 1241.208, 972.7896, 574.345, 371.6857
8.1, 80.29401, 61.09251, 269.8711, 0, 139.9268, 98.07359, 81.53586, 72.44994, 635.1398, 348.6683, 131.0719, 298.036, 668.5903, -7.152557e-07, 461.8291, 1277.05, 911.4854, 634.9814, 587.1489
8.199999999999999, 75.38679, 57.45434, 322.1788, 0, 132.1224, 89.86676, 76.25178, 111.1202, 639.1647, 413.327, 124.5755, 281.0174, 730.2618, 20.79662, 436.822, 1205.014, 854.0444, 599.5709, 557.2444
8.300000000000001, 70.77946, 54.03283, 396.884, 0, 187.6049, 82.34668, 71.31014, 104.6788, 598.1583, 412.5039, 118.401, 264.9705, 696.1313, 38.76645, 413.169, 1220.335, 1126.603, 566.1351, 645.7776
8.4, 66.45373, 50.81508, 376.4898, 0, 177.1412, 75.45589, 66.68877, 98.61078, 559.7828, 389.3654, 112.5326, 249.84, 778.5713, 36.3007, 390.7968, 1427.459, 1215.653, 616.7938, 612.887
8.5, 62.39236, 110.5314, 357.1437, 0, 167.2612, 69.14172, 62.36687, 237.3322, 523.8693, 367.5247, 106.955, 235.5734, 742.183, 33.99179, 430.4867, 1346.939, 1139.044, 582.3975, 730.4751
8.6, 58.5792, 103.9491, 338.7916, 0, 278.2658, 63.35591, 58.32507, 223.5745, 490.2598, 346.9091, 101.6539, 222.1215, 707.4953, 31.82974, 459.7825, 1435.61, 1067.262, 549.9194, 693.2708
