 , C000, C001, C002, C003, C004, C005, C006, C007, C010, C012, C014, C015, C018, C019, C020, C023, C024, C026, C035, C050, C058, C085, C089, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
255.5, 155.1405, 235.9094, 50.23695, 20.48187, 655.817, 42.6934, 23.31576, 269.1948, 259.586, 624.2328, 385.0619, 251.5701, 607.5336, 934.7416, 492.1059, 6.039851, 1504.871, 293.3544, 122.2591, 1046.058, 1035.864, 951.5374, 898.2106, 990.6247
255.6, 146.9379, 241.8757, 47.43417, 19.0658, 626.2096, 40.08432, 22.15251, 253.6849, 248.244, 596.6064, 365.6323, 238.0367, 578.9997, 1044.997, 575.2023, 5.701828, 1606.247, 277.2871, 114.5829, 1037.503, 1025.714, 902.1853, 847.5108, 947.303
255.7, 139.169, 229.1276, 44.78776, 17.74763, 597.9388, 53.81598, 21.04729, 239.0687, 237.3976, 570.2027, 347.1832, 225.2312, 551.8059, 989.0633, 575.0735, 5.382722, 1536.14, 262.0999, 107.3885, 1096.291, 972.4556, 855.3929, 799.6727, 1016.669
255.8, 131.8109, 277.3387, 42.28899, 16.5206, 570.9444, 50.52717, 19.99722, 225.2946, 227.0251, 544.9675, 329.6649, 213.1146, 525.8893, 997.6536, 540.5783, 5.081475, 1558.571, 247.7445, 100.6459, 1047.5, 921.9624, 811.0274, 754.5349, 992.6229
255.9, 124.8418, 260.6649, 39.92964, 15.3784, 545.1686, 47.43935, 18.99953, 212.314, 217.1057, 520.8492, 313.0306, 201.6499, 501.19, 1042.885, 508.1523, 4.797088, 1530.216, 234.1754, 94.32668, 1062.918, 908.5189, 768.963, 711.9449, 949.2139
256, 118.2412, 244.9936, 37.70191, 14.31517, 520.5566, 44.54024, 18.05162, 200.0814, 299.6393, 497.7982, 418.0654, 190.8019, 477.6507, 1007.385, 648.3682, 4.528617, 1645.806, 221.3494, 88.4042, 1135.801, 1012.023, 729.0802, 671.759, 907.7032
256.1, 111.9895, 230.2644, 35.59848, 13.32545, 497.0556, 41.81829, 17.151, 188.5536, 286.5473, 475.7674, 396.9706, 180.5375, 455.2169, 953.4644, 637.4792, 4.275171, 1682.428, 315.8085, 82.85356, 1085.252, 1019.409, 691.266, 633.8413, 868.0079
256.2, 106.0684, 216.4208, 33.61239, 12.40415, 474.6157, 39.26269, 16.29532, 177.6899, 274.0273, 454.7116, 388.4724, 170.8253, 433.8368, 945.0382, 599.2407, 4.035909, 1639.308, 358.2282, 77.65144, 1322.097, 966.4777, 655.413, 598.0639, 830.0485
256.3, 100.4604, 203.4095, 42.46138, 11.54656, 453.1888, 36.86327, 15.48232, 167.4522, 262.0544, 434.5876, 368.8708, 161.6356, 413.4609, 894.4551, 675.4194, 3.810037, 1738.814, 338.6078, 72.77593, 1349.275, 916.2949, 621.4196, 564.306, 793.7491
256.4, 95.14884, 191.1804, 40.09241, 10.74825, 432.7292, 34.61048, 14.70989, 157.8043, 250.6046, 415.3543, 385.806, 152.9402, 394.0419, 1035.166, 634.9052, 3.596807, 1662.92, 320.062, 68.20655, 1366.65, 868.7177, 589.1893, 532.4535, 759.0372
