 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C016, C018, C022, C023, C024, C038, C072, C083, C128, C130
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
337.9, 210.5983, 87.5662, 312.4446, 1001.341, 429.4534, 469.6096, 147.0711, 6.09598, 158.9603, 152.808, 1406.04, 319.9738, 676.4178, 351.2497, 295.9749, 109.688, 307.2442, 11.96638, 177.1596, 78.55838, 100.8438
338, 251.9731, 82.88475, 298.7704, 1088.724, 401.6652, 441.2787, 138.7495, 5.787479, 151.7552, 144.323, 1478.314, 303.5664, 659.2902, 331.609, 282.683, 103.1442, 292.7152, 11.34786, 168.1622, 75.04465, 96.47179
338.1, 261.1652, 78.45358, 285.6946, 1056.917, 375.675, 671.3515, 130.8987, 5.49459, 273.745, 142.6173, 1428.22, 384.0283, 636.9769, 313.0665, 269.9881, 155.7785, 278.8733, 10.76131, 159.6218, 71.68809, 92.28936
338.2, 248.4129, 74.2593, 273.1911, 1043.787, 429.8403, 630.8499, 123.4922, 5.216524, 261.3372, 134.6982, 1566.38, 364.3364, 610.5225, 295.5609, 336.1087, 146.4851, 265.6859, 10.20508, 151.5151, 68.48165, 88.28826
338.3, 244.9965, 70.28926, 261.2348, 992.3497, 402.027, 606.1281, 116.5048, 4.95253, 249.4918, 127.2188, 1577.964, 345.6542, 585.1669, 279.0341, 321.0144, 137.7461, 253.1221, 9.677599, 143.8201, 65.41863, 84.46062
338.4, 241.4407, 66.53146, 249.8018, 1030.608, 376.0134, 569.5613, 109.9127, 4.701896, 238.1833, 120.1547, 1508.963, 327.93, 560.8643, 263.4314, 306.5981, 129.5285, 241.1525, 9.177382, 136.5159, 62.49261, 80.79893
338.5, 229.6516, 62.97457, 238.8691, 979.8208, 351.683, 535.2006, 104.9608, 4.463946, 227.3874, 113.4829, 1680.617, 311.1146, 590.4314, 248.7012, 333.2747, 121.8011, 229.7489, 8.70302, 129.5827, 59.69747, 77.29598
338.6, 218.438, 59.60783, 228.4149, 931.5361, 328.9269, 619.5323, 99.02189, 4.238038, 217.0808, 107.1816, 1607.127, 295.1615, 639.3846, 234.7947, 318.3077, 114.5347, 338.9954, 8.253178, 123.0016, 57.02735, 73.9449
338.7, 207.7721, 56.42109, 324.0064, 885.6307, 307.6433, 661.9398, 93.41901, 4.023562, 207.2414, 167.3078, 1536.851, 286.0659, 612.8303, 221.6657, 304.0128, 107.7018, 340.8215, 7.826586, 116.7547, 54.47665, 70.73911
338.8, 197.6269, 53.40471, 309.8262, 841.9876, 287.7369, 622.006, 88.13316, 3.819941, 249.4829, 158.0177, 1498.332, 271.3972, 587.3788, 209.2709, 290.36, 101.2766, 324.7047, 7.422045, 110.8251, 52.04005, 67.67229
338.9, 187.9771, 50.54959, 355.9012, 852.2831, 269.1186, 652.5641, 83.1464, 3.626624, 238.1749, 149.2434, 1571.257, 257.4807, 562.9843, 197.5692, 296.5026, 95.23466, 337.6286, 7.038413, 105.1966, 49.71242, 64.73844
339, 178.7985, 47.84712, 510.9297, 854.7619, 280.5018, 613.196, 113.3296, 3.44309, 227.3793, 140.9564, 1626.102, 244.2778, 553.3243, 229.0819, 302.1293, 89.55318, 520.5453, 6.674611, 99.85398, 47.48891, 61.93178
339.1, 174.1133, 45.28912, 488.5687, 812.64, 262.3516, 576.7346, 106.9171, 3.268845, 217.0731, 133.1295, 1656.234, 431.3362, 609.9368, 331.273, 288.5611, 84.21063, 571.5845, 141.3255, 94.7827, 45.36485, 59.2468
339.2, 165.6116, 42.86788, 556.9649, 814.4482, 245.3758, 664.9531, 100.8675, 3.103418, 207.2341, 125.7373, 1754.189, 409.2184, 584.6055, 333.8771, 275.6021, 79.18681, 735.1697, 400.9821, 89.96897, 43.33578, 56.67822
339.3, 157.5251, 40.57608, 532.5892, 774.3129, 229.4985, 624.8375, 201.9869, 2.946362, 280.1594, 118.7555, 1677.482, 388.2348, 560.3262, 315.2078, 263.2252, 74.46271, 700.4049, 435.0301, 85.39972, 41.39748, 54.221
339.4, 422.8574, 38.40681, 509.2802, 736.1554, 214.6486, 587.142, 205.333, 2.797255, 322.5688, 112.1613, 1740.096, 368.3272, 537.0552, 297.5825, 278.4172, 70.02043, 667.2841, 412.5442, 81.06252, 39.54587, 51.87032
339.5, 402.21, 36.35351, 503.3095, 699.8783, 200.7595, 551.7207, 207.3176, 2.655694, 307.948, 105.9334, 1699.389, 398.5349, 514.7507, 280.9426, 265.9138, 83.89247, 635.7296, 391.2205, 76.9456, 37.77708, 49.62154
