 , C000, C001, C003, C004, C005, C006, C008, C009, C010, C011, C013, C014, C015, C016, C017, C019, C020, C023, C024, C025, C031, C032, C033, C034, C040, C043, C051, C056, C063, C107, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
414.6, 29.25406, 406.2972, 167.0595, 232.7231, 1102.188, 574.0065, 2156.174, 104.496, 2637.308, 1152.521, 2645.948, 378.2272, 1903.738, 1184.634, 188.5539, 1206.189, 1032.724, 649.8313, 1964.626, 0.793877, 0.0001644927, 328.6647, 40.67566, 1297.777, 218.3076, 99.03533, 101.72, 113.8737, 2759.492, 1.774881e-08, 170.5691
414.7, 27.10576, 386.6514, 159.038, 290.1141, 1050.816, 535.0504, 2104.146, 98.68654, 2680.444, 1098.966, 2557.822, 355.246, 1818.102, 1116.013, 178.863, 1323.305, 1068.343, 609.5694, 1890.971, 0.7567016, 0.0001571411, 308.5808, 38.47052, 1403.015, 207.0329, 94.13303, 96.62639, 108.4225, 2914.372, 1.692827e-08, 159.7219
414.8, 25.11523, 364.3205, 151.4017, 297.5684, 1126.809, 557.0942, 1998.571, 93.20001, 2641.225, 1079.631, 2630.16, 333.6611, 1736.319, 1141.667, 169.6701, 1350.761, 1176.871, 571.802, 1889.618, 0.721267, 0.0001501182, 289.7242, 36.38492, 1503.383, 196.3404, 89.4734, 91.78787, 103.2323, 2906.528, 1.614566e-08, 149.5645
414.9, 43.72026, 343.2792, 144.132, 343.1122, 1074.289, 559.5786, 1958.297, 88.01852, 2633.623, 1053.518, 2506.559, 313.3878, 1770.287, 1079.813, 160.9497, 1425.431, 1171.763, 536.3746, 2030.81, 0.6874918, 0.0001434091, 272.0198, 34.41239, 1479.437, 186.2001, 85.04443, 87.19164, 98.29047, 3051.677, 1.539924e-08, 140.053
415, 49.07873, 323.4532, 137.2114, 346.0809, 1024.217, 678.9208, 1955.314, 83.12508, 2649.189, 1004.563, 2636.502, 294.3463, 1690.655, 1015.668, 152.6775, 1550.78, 1111.41, 503.1422, 1935.342, 0.6552981, 0.0001369998, 255.3973, 32.54679, 1395.49, 176.5836, 80.83469, 82.82555, 93.58524, 3051.527, 1.468732e-08, 131.1464
415.1, 45.4746, 377.6425, 130.6231, 403.0971, 984.6241, 645.4445, 1857.207, 78.50371, 2847.292, 1052.107, 2624.771, 276.4617, 1614.604, 1205.267, 144.8305, 1561.353, 1054.165, 471.9687, 1938.081, 0.624612, 0.000130877, 239.7906, 30.78234, 1428.606, 167.4637, 76.83333, 303.4779, 89.10525, 2903.892, 1.400831e-08, 122.8062
415.2, 134.5959, 355.8319, 124.3511, 862.6847, 938.731, 710.311, 1828.353, 74.13926, 2703.925, 1003.218, 2621.564, 259.6638, 1541.975, 1259.997, 137.3867, 1478.838, 1114.516, 442.7267, 1898.173, 0.5953629, 0.0001250278, 225.1376, 29.11354, 1584.074, 158.8149, 73.03004, 409.5331, 84.83972, 2842.554, 1.33607e-08, 114.9964
415.3, 124.7118, 383.6362, 118.3803, 1175.005, 894.9769, 713.0081, 1736.616, 70.01746, 2694.396, 961.3723, 2706.961, 243.8865, 1472.613, 1375.736, 130.3256, 1400.684, 1163.941, 415.2965, 1847.741, 0.5674834, 0.0001194401, 211.38, 27.53521, 1494.19, 150.6127, 69.41502, 603.8219, 80.77839, 2803.636, 1.274303e-08, 107.6833
415.4, 115.5535, 361.4794, 112.6962, 1147.079, 853.2621, 709.134, 1671.34, 66.1248, 2558.728, 1035.373, 2823.467, 302.1541, 1571.304, 1294.012, 123.6273, 1442.387, 1183.882, 389.5658, 1760.879, 0.5409095, 0.000114102, 198.4631, 26.04245, 1409.405, 142.8341, 65.97895, 776.1458, 76.91148, 2667.994, 1.215391e-08, 100.8353
415.5, 107.0677, 346.5359, 107.285, 1084.65, 813.7264, 661.0071, 1674.885, 62.44856, 2429.89, 1043.883, 2690.782, 406.5082, 1500.623, 1281.167, 117.2734, 1421.738, 1122.905, 433.3905, 1678.099, 0.51558, 0.0001090026, 186.3355, 24.63061, 1329.432, 135.4572, 62.71296, 737.2807, 73.22968, 2584.249, 1.159202e-08, 94.42269
415.6, 99.20515, 326.5218, 102.1337, 1025.618, 814.675, 667.8327, 1699.229, 58.97671, 2472.855, 995.376, 2564.332, 381.8087, 1474.028, 1330.755, 111.246, 1420.519, 1065.068, 541.0869, 1808.69, 0.4914366, 0.000104131, 174.949, 23.29531, 1443.256, 128.4614, 59.60864, 732.6006, 69.72412, 2566.99, 1.105611e-08, 88.41794
415.7, 112.7125, 307.6636, 97.22964, 1026.642, 792.6018, 622.5089, 1648.336, 55.69787, 2513.316, 949.1235, 2694.854, 358.6098, 1585.268, 1251.704, 105.5283, 1345.447, 1010.21, 848.7039, 1861.511, 0.4684238, 9.947721e-05, 164.2583, 22.03241, 1361.362, 121.8269, 56.65799, 695.916, 66.38638, 2720.897, 1.054498e-08, 82.79505
415.8, 105.6089, 289.8945, 92.56109, 1038.551, 755.6588, 580.261, 1596.17, 52.60132, 2761.987, 905.0201, 2568.213, 336.8206, 1513.958, 1177.349, 100.1046, 1274.343, 987.6561, 968.9059, 1774.001, 0.4464886, 9.503136e-05, 154.2208, 20.83797, 1615.682, 115.535, 53.85339, 661.0684, 63.20842, 2932.402, 1.005748e-08, 77.52975
