 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
248.7, 50.43707, 470.9882, 16.59824, 0.02453143, 114.3672, 424.2586, 423.9872, 1581.091, 774.6219, 2532.581, 1557.134
248.8, 47.66671, 498.6953, 15.63374, 0.02306673, 109.2781, 399.8635, 694.3584, 1626.895, 1155.876, 2793.899, 1918.655
248.9, 45.04852, 473.8503, 14.72528, 0.02168949, 104.4155, 376.8711, 658.768, 1541.179, 1098.108, 2926.637, 2324.183
249, 42.57414, 450.2432, 13.86961, 0.02039448, 99.76923, 355.2008, 625.0019, 1459.98, 1043.227, 3028.832, 2202.818
249.1, 40.23567, 427.8122, 13.06366, 0.01917679, 95.32973, 334.7766, 609.1318, 1491.075, 991.0892, 2904.537, 2159.67
249.2, 38.02565, 448.1891, 12.30454, 0.0180318, 91.08777, 315.5267, 825.0526, 1412.515, 1038.523, 2714.981, 2299.917
249.3, 35.93701, 425.8604, 11.58954, 0.01695518, 87.03457, 297.3838, 918.1624, 1413.952, 986.6199, 3421.413, 2309.807
249.4, 33.9631, 404.6441, 10.91608, 0.01594283, 83.16173, 280.2841, 871.1006, 1339.456, 937.311, 3844.401, 2543.6
249.5, 32.09761, 415.3351, 10.28176, 0.01499094, 79.46122, 264.1676, 833.5114, 1346.151, 1032.862, 3826.329, 2492.962
249.6, 30.33459, 394.6432, 9.684299, 0.01409587, 75.92538, 248.9778, 822.3362, 1275.227, 981.2418, 3697.016, 2814.013
249.7, 28.6684, 374.9821, 9.121555, 0.01325425, 72.54687, 234.6614, 780.1861, 1282.402, 932.2017, 3667.335, 2667.07
249.8, 27.09373, 356.3006, 8.591512, 0.01246288, 69.3187, 221.1683, 795.6093, 1276.488, 885.6125, 4009.832, 2757.339
249.9, 25.60555, 338.5498, 8.092268, 0.01171876, 66.23417, 208.451, 791.7411, 1209.234, 841.3517, 4251.275, 2907.7
250, 24.19912, 321.6833, 7.622035, 0.01101907, 63.2869, 196.4649, 769.1729, 1172.499, 799.3029, 4361.214, 2755.865
250.1, 22.86993, 305.6571, 7.179127, 0.01036116, 60.47078, 185.1681, 729.7477, 1222.51, 759.3557, 4166.348, 2611.958
250.2, 21.61375, 290.4293, 6.761955, 0.009742523, 57.77996, 174.5208, 793.2118, 1158.1, 721.4049, 3894.444, 2675.391
250.3, 20.42658, 275.9601, 6.369025, 0.009160827, 55.20889, 164.4858, 918.9955, 1278.375, 685.3508, 3720.591, 2535.687
250.4, 19.30461, 262.2119, 5.998928, 0.008613862, 52.75222, 155.0278, 978.2183, 1211.022, 651.0986, 3642.706, 2403.277
250.5, 18.24426, 249.1485, 5.650337, 0.008099555, 50.40487, 173.8891, 1042.3, 1275.978, 618.5583, 3525.188, 2277.782
250.6, 17.24216, 236.736, 5.322002, 0.007615956, 48.16196, 163.8904, 991.0007, 1208.75, 587.6442, 3295.127, 2158.84
250.7, 16.2951, 224.9418, 5.012746, 0.00716123, 46.01887, 312.7536, 940.2055, 1145.065, 558.2752, 3230.047, 2268.036
250.8, 15.40006, 213.7464, 4.721461, 0.006733655, 43.97113, 294.7701, 892.0139, 1084.736, 854.506, 3056.09, 2149.603
250.9, 14.55418, 203.0976, 4.447102, 0.00633161, 42.01452, 277.8206, 846.2924, 1558.543, 811.7999, 3248.106, 2294.411
251, 13.75476, 192.9793, 4.188685, 0.005953568, 40.14497, 261.8458, 936.6294, 2369.244, 771.228, 3147.694, 2943.51
251.1, 12.99926, 183.3651, 3.945285, 0.005598099, 38.35861, 246.7896, 888.6211, 2734.821, 732.6839, 3304.343, 2996.843
251.2, 12.28524, 229.8732, 3.716029, 0.005263854, 36.65174, 232.599, 843.0735, 2674.071, 696.0661, 3156.601, 3002.422
251.3, 11.61045, 218.421, 3.500094, 0.004949566, 35.02082, 219.2244, 799.8605, 2844.643, 661.2784, 3052.87, 2845.641
251.4, 10.97273, 280.3935, 3.296708, 0.004654042, 33.46247, 242.4848, 780.3356, 2863.199, 692.5818, 2995.34, 2873.48
251.5, 10.37003, 320.9688, 3.105139, 0.004376163, 31.97347, 228.5418, 740.3383, 2726.398, 657.9683, 2799.858, 2955.073
251.6, 9.800432, 304.9782, 2.924703, 0.004114876, 30.55072, 215.4005, 702.3912, 2601.344, 784.5983, 2867.648, 2800.764
