 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C019, C020, C024, C037, C040, C041, C051, C052, C062, C074, C084, C088, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
377, 2130.793, 803.4539, 3212.195, 2010.956, 252.9749, 163.6259, 1010.409, 481.3807, 647.8663, 1458.664, 555.9057, 670.845, 15.24361, 488.4387, 296.3791, 6.735475, 428.8259, 1545.227, 49.94931, 302.696, 3001.013, 165.8431, 4087.332, 2212.23, 31.12159, 1499.993, 2045.239, 208.1932, 5.757104, 47.47299
377.1, 2785.345, 801.8685, 3239.669, 1916.022, 235.3468, 155.3097, 971.3913, 457.0071, 615.8049, 1427.396, 526.5915, 686.1541, 14.54416, 461.9864, 280.4912, 6.337742, 403.5106, 1631.546, 47.43786, 285.8805, 2958.589, 157.444, 3930.319, 2315.501, 29.63309, 1414.058, 1930.942, 199.3002, 5.491594, 45.5005
377.2, 3903.243, 766.827, 3241.223, 1889.887, 222.2233, 147.4163, 937.7446, 433.8676, 666.3388, 1358.914, 498.8231, 757.4563, 13.8768, 436.9667, 265.455, 5.963495, 379.6896, 1535.677, 45.05268, 442.234, 2820.786, 149.4702, 4057.267, 2405.482, 28.21578, 1333.047, 1823.033, 190.787, 5.238328, 43.60996
377.3, 5079.713, 778.2866, 3291.222, 1933.877, 206.7381, 139.924, 889.1427, 411.8997, 633.3633, 1293.717, 472.519, 720.5872, 13.24006, 413.302, 251.2249, 5.611348, 357.275, 1445.442, 42.78743, 417.6669, 2689.402, 141.9002, 3873.705, 2753.302, 26.86625, 1256.677, 1721.154, 182.6375, 4.996743, 41.79798
377.4, 5422.527, 739.2324, 3353.729, 1867.614, 192.332, 132.8125, 927.0363, 391.0441, 602.0196, 1415.085, 447.602, 888.3057, 12.63254, 515.9979, 237.7576, 5.279995, 336.1835, 1360.509, 40.63607, 394.4645, 2564.137, 134.7137, 3871.367, 2734.346, 25.58128, 1184.682, 1624.969, 174.8361, 4.766299, 40.06129
377.5, 5754.399, 702.1381, 3274.203, 1779.447, 230.759, 196.2017, 878.9894, 371.2445, 572.2271, 1347.193, 423.9989, 926.5972, 12.0529, 488.0531, 225.0122, 4.968209, 316.3372, 1280.567, 38.59288, 372.5511, 2546.954, 127.8911, 3823.644, 2757.618, 24.35776, 1116.812, 1534.158, 167.368, 4.546483, 38.39675
377.6, 5837.069, 852.2957, 3143.848, 1695.442, 214.679, 186.2299, 903.2784, 352.4474, 543.9089, 1334.813, 401.6405, 881.4951, 11.49985, 461.6217, 212.95, 238.958, 297.6625, 1205.322, 36.65243, 351.855, 2523.258, 121.414, 3718.458, 2841.793, 23.19276, 1052.829, 1448.423, 160.2188, 4.336805, 36.80138
377.7, 5544.913, 809.5278, 2997.717, 1774.026, 199.7195, 176.765, 930.4513, 334.6021, 516.9921, 1270.772, 380.4611, 838.5884, 10.97218, 469.4232, 201.5345, 224.8474, 280.0902, 1134.498, 34.80954, 332.3086, 2405.732, 115.265, 3639.758, 3158.404, 22.08348, 992.5129, 1367.479, 153.375, 4.136796, 35.27229
377.8, 5441.419, 768.9061, 3189.91, 1690.278, 254.1876, 167.7811, 893.2249, 317.6603, 491.4074, 1209.804, 360.3985, 797.7701, 10.46872, 444.0008, 190.7309, 211.5701, 263.5554, 1067.836, 33.05931, 313.8481, 2352.279, 109.4274, 3544.515, 3462.268, 21.02726, 935.6519, 1291.058, 146.8236, 3.946012, 33.80674
377.9, 5297.172, 730.3227, 3139.447, 1610.482, 236.475, 159.2537, 846.9304, 301.5763, 467.0888, 1151.761, 341.3939, 758.9387, 9.988364, 494.0673, 180.5065, 199.0768, 247.9966, 1005.09, 31.39709, 296.4131, 2242.716, 103.8854, 3384.151, 3511.477, 20.02155, 882.0485, 1218.908, 140.552, 3.764027, 32.40208
