 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
255.2, 83.29132, 794.3748, 163.6361, 338.0597, 20.81415, 868.6638, 489.3259, 19.96146, 1610.816, 1935.79, 540.091, 1045.1, 722.3836, 1135.756, 296.5879
255.3, 78.56473, 755.0508, 154.5079, 321.3884, 19.56652, 829.4246, 463.9307, 18.6948, 1508.611, 1828.305, 518.7233, 970.1651, 684.4827, 1086.66, 283.3697
255.4, 74.10635, 717.6734, 145.889, 305.5392, 18.39368, 791.9579, 439.8534, 17.50851, 1581.94, 1808.314, 483.6237, 1187.129, 648.5704, 1180.426, 270.7406
255.5, 69.90099, 682.1463, 137.7509, 290.4716, 17.29114, 756.1837, 417.0256, 16.3975, 1481.567, 1737.343, 450.8991, 2235.74, 614.5422, 1201.988, 334.7099
255.6, 65.93427, 648.3779, 130.0667, 276.1471, 16.25469, 722.0254, 395.3826, 15.35699, 1387.563, 1640.876, 420.3888, 2646.108, 582.2994, 1156.186, 319.7927
255.7, 62.19265, 658.5058, 122.8111, 262.529, 15.28036, 793.4917, 374.8629, 14.38251, 1299.524, 1983.307, 391.9431, 2533.68, 596.589, 1226.956, 305.5403
255.8, 58.66335, 625.9077, 115.9603, 270.898, 14.36444, 780.6127, 355.4081, 13.46986, 1330.139, 2067.588, 365.4221, 2639.338, 583.1815, 1173.918, 291.9231
255.9, 55.33434, 594.9233, 109.4917, 344.3106, 13.50342, 805.246, 343.2982, 12.61512, 1245.743, 1952.785, 362.0131, 2869.068, 552.5841, 1194.877, 278.9128
256, 52.19424, 565.4728, 205.8307, 327.331, 12.69401, 768.8715, 411.7369, 11.81462, 1199.149, 2017.558, 337.5173, 2842.446, 746.4692, 1283.868, 266.4823
256.1, 158.2201, 537.4801, 227.4417, 311.1888, 11.93311, 734.1401, 390.3683, 11.06492, 1304.851, 1905.533, 314.679, 2836.433, 881.9161, 1228.369, 254.6058
256.2, 149.2415, 566.1245, 407.3922, 295.8426, 11.21783, 700.9775, 370.1088, 10.36279, 1222.059, 1831.209, 330.566, 2683.834, 835.6452, 1175.27, 243.2586
256.3, 197.256, 607.9332, 625.2455, 281.2532, 10.54542, 717.2615, 404.2432, 9.705218, 1144.521, 1846.933, 544.5981, 2491.399, 791.8019, 1275.155, 232.4171
256.4, 186.0622, 577.8386, 590.3673, 267.3832, 9.913312, 832.8057, 383.2636, 9.08937, 1071.902, 1775.451, 1218.535, 2460.116, 750.259, 1298.289, 222.0589
256.5, 204.5869, 630.5734, 557.4348, 254.1973, 9.319096, 795.1862, 363.3728, 8.5126, 1003.891, 1837.628, 1819.334, 2421.125, 710.8956, 1357.974, 212.1622
256.6, 241.2732, 695.0264, 526.3392, 241.6616, 8.760497, 759.2661, 344.5143, 7.972429, 940.1948, 1780.703, 1806.247, 2291.816, 673.5975, 1450.577, 202.7066
256.7, 227.5815, 660.6204, 575.0009, 229.7442, 8.235382, 724.9686, 326.6346, 7.466536, 880.5403, 1681.829, 1684.027, 2187.094, 638.2562, 1387.872, 193.6725
256.8, 214.6668, 627.9176, 542.9255, 218.4144, 7.741743, 820.4132, 309.6827, 6.992743, 977.5469, 1588.446, 1570.077, 2240.782, 604.7692, 1380.314, 185.041
256.9, 202.4849, 636.9117, 512.6393, 453.3947, 7.277693, 815.8459, 293.6107, 6.549016, 915.5224, 1500.247, 1581.501, 2516.474, 573.0392, 1415.209, 176.7941
257, 190.9944, 694.379, 484.0427, 431.0357, 6.841459, 812.1772, 278.3727, 6.133446, 857.4333, 1515.153, 1566.431, 2441.614, 542.9739, 1354.033, 168.9148
257.1, 180.1559, 660.0051, 488.3155, 424.759, 6.431374, 786.0416, 263.9256, 5.744246, 803.03, 1649.109, 1577.596, 2430.842, 514.486, 1389.69, 161.3867
257.2, 169.9324, 693.7031, 461.0757, 403.8121, 6.045869, 805.1496, 250.2283, 5.379742, 752.0784, 1557.542, 1581.508, 2467.557, 487.4928, 1329.617, 154.194
257.3, 160.2891, 659.3626, 435.3554, 399.747, 5.683473, 768.7794, 237.2418, 5.038368, 704.3597, 1471.059, 1694.796, 2353.298, 461.9158, 1272.141, 147.322
257.4, 321.0662, 727.7457, 411.0699, 441.0375, 5.342798, 808.1688, 224.9293, 4.718657, 659.6688, 1389.378, 1611.201, 2329.677, 437.6808, 1217.15, 140.7562
257.5, 369.905, 769.0823, 388.1391, 419.2879, 5.022544, 875.6093, 213.2558, 4.419232, 617.8134, 1485.36, 1519.402, 2675.523, 414.7172, 1164.536, 134.483
257.6, 348.9138, 731.0103, 366.4874, 398.6108, 4.721487, 918.9583, 202.1882, 4.138808, 578.6136, 1402.885, 1504.291, 2647.193, 478.6611, 1114.196, 128.4894
257.7, 329.1137, 694.823, 369.6521, 378.9534, 162.3255, 877.4471, 191.6949, 3.876179, 541.9011, 1324.99, 1464.452, 2573.623, 499.1873, 1066.033, 122.7629
257.8, 469.1971, 761.3508, 349.0317, 424.6476, 287.5368, 934.9387, 181.7462, 3.630214, 507.518, 1251.419, 1591.312, 2944.681, 472.9967, 1335.36, 117.2917
257.9, 442.5712, 723.6615, 329.5616, 403.7062, 273.8611, 892.7057, 172.3139, 3.399857, 621.4571, 1181.934, 1779.013, 2949.085, 448.1803, 1277.636, 112.0643
