 , C000, C001, C002, C003, C004, C005, C008, C009, C012, C013, C015, C018, C020, C021, C022, C023, C027, C031, C032, C066, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
3.9, 0, 53.89507, 24.12664, 629.9881, 3.475636, 197.386, 7.629395e-06, 47.90852, 16.68652, 486.3669, 343.4007, 6.651584, 82.54205, 11.37244, 90.40889, 71.65239, 595.4503, 389.3284, 105.1369, 898.8345, 737.9986
4, 0, 119.3797, 22.76412, 603.0206, 3.25078, 186.9531, 7.629395e-06, 45.66821, 161.0763, 461.9048, 375.8387, 6.297309, 79.14932, 10.86078, 86.44133, 68.44705, 569.3245, 448.3066, 100.2213, 907.5496, 750.4596
4.1, 0, 113.1844, 21.47855, 577.2075, 3.04047, 197.8592, 3.814697e-06, 43.53267, 152.1108, 438.673, 391.3705, 5.961904, 75.89606, 10.37215, 82.64789, 230.1768, 637.4171, 511.7998, 124.4504, 1019.572, 867.4045
4.2, -4.768372e-07, 107.3106, 20.26558, 552.4994, 2.843766, 245.603, 0, 41.49698, 143.6443, 416.6097, 369.5509, 5.644362, 72.7765, 9.905491, 79.02091, 219.8799, 708.2067, 553.9002, 301.6632, 1060.406, 843.4471
4.3, -4.768372e-07, 101.7417, 19.12112, 528.8489, 2.659788, 398.1856, 0, 39.5565, 157.0132, 578.4903, 489.4667, 5.343734, 69.78517, 9.459831, 75.55312, 210.0437, 688.3053, 526.3235, 287.5591, 1103.639, 896.3892
4.4, -4.768372e-07, 129.2941, 18.04128, 600.637, 2.487713, 427.4542, -3.814697e-06, 250.0714, 202.3129, 549.3948, 669.8166, 5.059118, 140.4635, 9.034223, 141.8392, 200.6475, 658.1053, 500.1197, 274.1144, 1171.217, 1124.261
4.5, -4.768372e-07, 122.5844, 17.02243, 574.926, 2.32677, 404.8609, 0, 238.3775, 191.0522, 521.7626, 632.4731, 4.78966, 222.0097, 118.574, 135.6146, 191.6716, 722.7151, 475.2205, 261.2983, 1121.389, 1072.769
4.6, -4.768372e-07, 116.2228, 16.06111, 550.3155, 2.176239, 732.1667, 0, 289.3322, 180.4183, 577.0717, 597.2116, 4.534555, 212.8844, 113.2392, 129.6632, 183.0973, 704.1282, 484.8433, 249.0814, 1219.34, 1091.563
4.7, -4.768372e-07, 110.1914, 15.15408, 526.7585, 2.035447, 693.4678, 0, 319.6242, 170.3762, 548.0475, 563.916, 4.293037, 204.1342, 108.1444, 123.973, 174.9065, 724.7454, 460.7047, 237.4357, 1167.464, 1041.569
4.8, -4.768372e-07, 104.4729, 14.29828, 504.2099, 1.903763, 656.8143, -3.814697e-06, 304.6779, 160.8931, 520.4832, 532.4767, 4.064383, 219.7136, 103.2789, 118.5325, 167.0822, 692.9465, 437.7678, 226.3345, 1117.796, 993.865
4.9, -4.768372e-07, 99.05127, 13.4908, 482.6266, 1.780599, 622.0981, 0, 340.1966, 151.9378, 494.3051, 502.7902, 3.847907, 210.6827, 98.63227, 113.3307, 159.6078, 662.543, 415.9729, 215.7524, 1274.122, 948.3458
5, -4.768372e-07, 93.91095, 12.72893, 461.9671, 1.665403, 589.217, 3.814697e-06, 324.2883, 143.4809, 469.4437, 474.7588, 3.642961, 202.0231, 94.19469, 108.3572, 152.4678, 633.4734, 395.2631, 205.665, 1232.651, 904.9114
5.1, -2.384186e-07, 89.0374, 12.01009, 442.192, 1.557659, 558.0737, 3.814697e-06, 309.1239, 135.4948, 445.8327, 530.8843, 3.44893, 219.2672, 89.95677, 103.602, 145.6473, 647.457, 375.5844, 196.0492, 1195.245, 863.4663
5.2, -2.384186e-07, 84.41676, 11.33183, 423.2634, 1.456886, 567.8654, 3.814697e-06, 294.6686, 127.9532, 423.4093, 501.2866, 3.265234, 210.2547, 85.90952, 99.0555, 139.1318, 645.3834, 356.8853, 186.883, 1144.395, 983.4207
5.3, -2.384186e-07, 80.03592, 10.69188, 405.145, 1.362633, 577.3653, 7.629395e-06, 280.8893, 120.8313, 402.1136, 473.339, 3.091322, 201.6126, 82.04435, 94.70848, 132.9078, 853.7601, 339.1173, 178.1454, 1132.521, 938.3799
5.4, -2.384186e-07, 75.88242, 10.08808, 387.8022, 1.274477, 546.8484, 3.814697e-06, 267.7543, 114.1058, 381.8891, 446.9495, 2.926673, 193.3257, 78.35308, 110.2477, 126.9622, 866.0153, 322.2339, 169.8163, 1209.109, 895.4019
5.5, -3.576279e-07, 71.94446, 9.518368, 371.2019, 1.192024, 517.9446, 5.722046e-06, 255.2335, 107.7547, 362.6817, 422.0312, 2.770794, 233.0464, 74.82789, 105.4095, 121.2826, 828.0182, 306.191, 161.8766, 1206.758, 854.3924
5.6, -2.384186e-07, 68.21086, 8.980832, 355.3121, 1.114906, 490.5684, 3.814697e-06, 243.2982, 101.7571, 344.4404, 398.5023, 2.623217, 223.4676, 71.4613, 153.0116, 115.8571, 791.6882, 324.4941, 154.3081, 1255.77, 885.2698
5.7, -3.576279e-07, 64.67104, 8.473653, 340.1025, 1.042777, 464.6393, 1.907349e-06, 231.9211, 96.09328, 327.1165, 376.285, 2.4835, 214.2824, 68.24617, 146.2968, 110.6743, 756.9522, 308.3387, 147.0935, 1202.345, 844.7244
5.8, -2.384186e-07, 61.3149, 7.995116, 325.5439, 0.9753143, 440.0806, 1.907349e-06, 221.0759, 90.74474, 310.664, 355.3065, 2.351224, 205.4747, 65.1757, 139.8766, 105.7233, 888.3052, 381.1147, 140.2162, 1151.193, 806.0358
5.9, -2.384186e-07, 58.13293, 7.543604, 311.6086, 0.9122162, 416.8199, 1.907349e-06, 210.738, 85.69389, 295.0389, 335.4975, 2.225994, 206.6795, 62.24337, 133.7382, 100.9939, 849.3301, 419.3491, 133.6605, 1141.986, 828.567
6, -1.192093e-07, 55.1161, 7.11759, 298.2698, 0.8532002, 394.7888, 3.814697e-06, 200.8834, 80.92417, 280.1998, 430.2731, 2.107434, 265.9796, 59.44297, 127.8691, 96.47594, 812.0651, 398.4711, 127.4113, 1093.401, 790.6184
6.1, -1.192093e-07, 52.25583, 6.715636, 285.502, 0.7980022, 392.7503, 5.722046e-06, 191.4896, 76.41993, 266.107, 406.2846, 1.995188, 323.2017, 56.76856, 122.2576, 92.16013, 776.435, 378.6327, 121.4542, 1046.884, 754.408
6.2, 0, 49.54399, 6.33638, 273.2807, 0.7463753, 371.9914, 5.722046e-06, 182.5352, 72.1664, 252.7229, 383.6335, 1.888921, 309.9172, 54.21448, 116.8924, 88.03739, 817.249, 359.7819, 115.7757, 1002.345, 719.856
6.3, 0, 46.97289, 5.978542, 261.5825, 0.6980884, 352.3296, 3.814697e-06, 173.9994, 68.14963, 240.0121, 362.2452, 1.788314, 297.1787, 51.77531, 111.7626, 84.09908, 781.3915, 381.7993, 110.3626, 1094.613, 832.715
6.4, -1.192093e-07, 44.53521, 5.640913, 321.535, 0.6529254, 466.9196, 3.814697e-06, 165.8628, 64.35641, 227.9405, 420.7285, 1.693065, 284.9637, 49.44588, 135.5525, 80.33694, 881.7026, 362.7909, 105.2027, 1243.51, 924.8736
