 , C000, C001, C002, C004, C005, C006, C008, C012, C013, C014, C015, C020, C024, C027, C037, C041, C045, C047, C055, C064, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
377.7, 152.2217, 0.006950284, 1480.802, 529.3727, 172.3103, 2133.684, 79.44385, 26.10869, 475.5098, 387.6014, 1005.434, 685.5764, 902.2763, 1553.228, 1.244585, 780.8102, 1036.1, 756.6668, 659.5145, 37.93873, 99.47259
377.8, 143.2358, 0.006623072, 1373.193, 610.3907, 161.1852, 2023.893, 78.56942, 24.82247, 445.077, 365.464, 943.2991, 648.0907, 856.3784, 1483.166, 1.169122, 740.8691, 1080.762, 713.4194, 625.5046, 35.81271, 93.97102
377.9, 134.7804, 0.006311265, 1273.404, 578.1093, 150.7785, 2003.657, 72.07574, 23.5996, 416.5919, 344.591, 885.004, 651.1185, 861.4341, 1416.265, 1.098235, 702.9711, 1025.087, 726.9404, 593.2485, 33.80582, 88.77373
378, 126.8241, 0.006014138, 1204.621, 547.535, 141.0436, 1922.165, 103.4151, 22.43699, 549.0245, 324.9101, 830.3116, 621.5173, 895.7344, 1439.858, 1.031646, 749.2736, 972.2805, 685.392, 562.6558, 31.9114, 83.86388
378.1, 119.3375, 0.005730999, 1132.534, 518.5778, 131.9373, 1873.131, 94.86798, 21.33164, 562.0225, 306.3533, 778.9991, 587.5342, 850.1693, 1374.91, 0.969094, 761.307, 922.1942, 646.2184, 533.6406, 30.12314, 79.22559
378.2, 112.2928, 0.00546119, 1120.145, 606.3076, 123.4189, 1818.373, 115.4336, 20.28075, 526.0529, 288.8563, 797.4208, 555.4092, 806.9219, 1384.835, 0.910335, 792.7454, 1018.077, 609.2838, 586.6852, 28.43509, 74.84383
378.3, 105.6639, 0.005204083, 1057.282, 767.7097, 115.4505, 1888.842, 105.8931, 19.28164, 492.3854, 272.3587, 748.1409, 699.4328, 882.8871, 1502.005, 0.8551388, 752.1937, 1008.832, 799.3011, 556.431, 26.84164, 203.8047
378.4, 99.42644, 0.00495908, 980.4501, 805.1465, 107.9965, 1791.65, 97.14114, 18.33174, 460.8726, 256.8033, 701.9065, 673.2882, 847.6533, 1612.663, 0.8032892, 827.6006, 1052.825, 753.617, 677.9436, 25.33748, 192.5328
378.5, 93.55714, 0.004725612, 909.2015, 762.5651, 101.0238, 1983.4, 152.2914, 17.42864, 431.3766, 366.7364, 748.7284, 684.2632, 879.4877, 1539.92, 0.7545835, 848.7827, 1038.596, 710.5439, 677.6398, 23.91761, 211.1629
378.6, 88.03431, 0.004503136, 890.1557, 775.3062, 94.50134, 2339.22, 139.7047, 16.57003, 493.72, 345.7907, 812.4563, 646.8493, 834.749, 1470.458, 0.7088309, 805.3645, 985.0934, 761.5875, 690.9587, 22.5773, 199.484
378.7, 82.8375, 0.004291133, 831.959, 734.3029, 96.04352, 3184.098, 128.1582, 15.75372, 519.7857, 457.8023, 949.9926, 611.4811, 792.2861, 1440.064, 0.6658524, 795.8842, 1013.942, 805.763, 655.3273, 21.31211, 318.2805
378.8, 77.94747, 0.004089111, 959.4426, 733.5047, 89.84257, 3795.177, 143.9256, 14.97762, 486.5193, 431.6555, 891.2839, 578.0468, 751.9833, 1563.808, 0.6254799, 755.1719, 1007.495, 759.7095, 621.5333, 20.11782, 300.6772
378.9, 73.34611, 0.0038966, 894.2709, 724.1879, 84.04197, 4370.317, 159.5277, 159.9383, 455.3819, 407.0021, 868.2523, 588.0332, 722.3383, 1515.444, 0.5875552, 716.5422, 955.5945, 878.0136, 675.149, 18.99045, 284.0475
379, 69.01637, 0.003713152, 829.2848, 685.8881, 78.61588, 4286.166, 146.3429, 152.0591, 426.2373, 431.6846, 941.7074, 555.881, 685.5936, 1476.641, 0.5519301, 679.8886, 906.3678, 827.8307, 640.3329, 17.92625, 268.3376
379.1, 64.94222, 0.003538341, 769.0212, 649.6139, 73.54013, 4378.142, 134.2478, 238.1243, 441.4111, 443.4037, 965.9032, 547.8255, 772.0895, 1460.923, 0.518465, 645.1099, 859.6769, 780.516, 607.3121, 16.9217, 253.4966
379.2, 61.10858, 0.00337176, 821.5225, 615.2581, 68.79208, 4181.436, 123.1524, 226.3932, 533.0275, 418.0792, 997.1542, 546.2877, 732.814, 1502.326, 0.487029, 633.6407, 815.3913, 735.9055, 728.6863, 15.97343, 239.4763
379.3, 57.50124, 0.003213021, 761.823, 677.9903, 64.35059, 3987.195, 112.974, 215.2401, 620.1307, 394.2012, 974.6945, 516.418, 695.5365, 1434.56, 0.457499, 646.298, 905.5873, 693.8448, 691.1093, 15.07831, 226.2315
379.4, 54.10685, 0.003061756, 884.0813, 652.4661, 60.19586, 3969.391, 103.6368, 428.3558, 580.4421, 371.6869, 1006.829, 488.1815, 669.3311, 1369.851, 0.4297595, 613.2377, 858.9366, 654.188, 655.4701, 14.23335, 213.7193
379.5, 50.91283, 0.002917612, 819.8357, 617.9595, 56.30938, 3966.966, 95.0713, 455.8712, 543.2936, 439.8835, 944.6075, 492.072, 635.2828, 1308.061, 0.4037019, 625.7103, 814.6891, 616.7979, 621.6687, 13.43573, 201.899
379.6, 47.90737, 0.002780254, 760.2588, 615.184, 52.67382, 3762.843, 87.21375, 433.4131, 639.9603, 458.9792, 905.877, 465.1667, 602.9666, 1371.202, 0.3792243, 593.7031, 772.7209, 581.5448, 589.6104, 12.68282, 190.7325
379.7, 72.74993, 0.002649362, 773.7638, 712.8347, 49.27298, 3745.995, 80.00562, 412.0612, 829.1702, 576.326, 956.7648, 439.7325, 572.2943, 1387.944, 0.3562309, 653.886, 732.9148, 548.3066, 559.2053, 11.97209, 180.1836
379.8, 298.5317, 0.002524633, 810.1649, 675.1354, 46.09172, 3735.445, 73.39324, 427.5047, 984.2789, 543.4099, 897.6376, 415.689, 543.1822, 1333.373, 0.3346316, 620.4375, 695.1592, 516.9681, 530.3682, 11.3012, 170.2181
379.9, 309.2201, 0.002405776, 751.2908, 657.5884, 43.11586, 3599.037, 67.32736, 406.444, 973.7322, 512.3738, 842.1644, 392.9601, 577.8365, 1314.655, 0.3143419, 680.5515, 849.5208, 487.4207, 503.0181, 10.6679, 160.8038
380, 290.9663, 0.002292515, 774.6705, 622.8109, 40.33213, 3520.065, 61.76283, 386.4208, 1001.417, 568.4324, 862.6235, 411.7783, 592.4927, 1386.68, 0.2952824, 705.4595, 805.7583, 459.5621, 477.0784, 10.07009, 151.9101
380.1, 273.7901, 0.002184586, 757.5255, 589.8726, 37.72812, 3560.549, 56.65819, 398.9212, 937.3256, 535.9672, 809.3141, 438.3562, 641.3961, 1499.736, 0.2773786, 717.5376, 764.2502, 433.2958, 452.4763, 9.505776, 143.5084
380.2, 257.6279, 0.002081738, 702.4766, 558.6762, 35.29224, 3499.385, 51.97544, 462.4405, 953.0116, 505.3561, 867.6639, 485.3997, 641.7868, 1450.167, 0.2605603, 680.8331, 724.8804, 408.5308, 429.1429, 8.973088, 135.5713
380.3, 242.4197, 0.001983732, 703.9365, 557.4279, 33.01364, 3615.089, 47.67973, 439.6587, 892.0186, 476.4933, 814.043, 484.6947, 609.1397, 1384.754, 0.2447618, 646.0061, 687.5388, 385.1812, 407.0128, 8.470251, 128.0732
380.4, 228.1093, 0.00189034, 665.3073, 568.0417, 96.19783, 3490.355, 43.73904, 417.9992, 834.9291, 449.279, 1281.08, 458.1927, 578.1534, 1322.292, 0.2299212, 751.8108, 652.1207, 363.1661, 386.024, 7.995593, 120.9898
380.5, 214.6436, 0.001801345, 616.9598, 559.1992, 89.98692, 3428.86, 40.12406, 397.4067, 868.0792, 423.619, 1455.149, 482.155, 557.079, 1330.659, 0.2159804, 713.353, 618.5272, 342.4094, 366.1174, 7.547533, 114.2982
380.6, 201.9728, 0.00171654, 572.1258, 529.6251, 84.177, 3369.355, 36.80785, 377.8288, 812.5219, 399.4246, 1365.222, 455.792, 579.6097, 1316.507, 0.2028849, 676.8625, 586.6642, 322.8389, 347.2374, 7.124582, 107.9767
