 , C000, C002, C003, C004, C005, C010, C015, C017, C018, C019, C021, C022, C024, C027, C030, C060, C075
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
265.5, 311.1768, 316.0627, 424.4511, 40.8186, 393.9621, 25.95907, 1272.264, 629.3568, 244.5301, 508.2722, 0.1630452, 873.1259, 150.9456, 920.9814, 986.8799, 785.6021, 1271.912
265.6, 291.26, 301.3484, 394.0194, 38.69115, 369.6101, 24.50414, 1273.981, 759.786, 233.9075, 484.0817, 0.1536904, 866.1852, 140.9578, 870.2709, 934.6886, 742.0806, 1436.05
265.7, 272.618, 287.3192, 386.0001, 36.67459, 346.7633, 23.13076, 1305.667, 718.4873, 223.7464, 461.0424, 0.1448724, 981.6642, 131.6309, 822.3526, 885.2575, 700.9701, 1362.449
265.8, 255.1692, 273.9431, 365.3234, 34.76312, 325.3288, 21.83435, 1234.404, 679.4334, 214.0267, 439.0998, 0.1365603, 958.3279, 122.9212, 777.0727, 838.4406, 662.1371, 1292.62
265.9, 238.8372, 261.1896, 339.131, 32.95128, 305.2193, 20.6106, 1167.03, 642.5023, 223.7784, 418.2014, 0.1287251, 912.6691, 114.7878, 734.286, 794.0995, 625.4554, 1226.371
266, 223.5506, 249.03, 314.8165, 31.23388, 286.3527, 19.45544, 1103.333, 607.5786, 214.0574, 398.2977, 0.1213395, 869.1857, 107.1925, 693.8552, 752.1035, 590.8058, 1163.516
266.1, 209.2423, 237.4364, 292.2453, 29.60598, 268.6524, 18.36502, 1043.113, 574.5532, 204.7586, 379.3412, 0.1143776, 967.9065, 100.0998, 655.6506, 712.3284, 558.0758, 1103.883
266.2, 195.8498, 226.3825, 271.2924, 28.06293, 252.0461, 17.33572, 986.1796, 543.3229, 210.9677, 361.287, 0.1078151, 1096.253, 93.4764, 619.5496, 674.6569, 527.159, 1133.698
266.3, 229.0406, 215.8433, 322.7281, 26.6003, 236.4664, 16.3641, 932.3538, 513.7902, 278.8809, 344.092, 0.1016292, 1105.098, 87.29127, 585.4363, 638.9775, 497.955, 1075.594
266.4, 214.381, 205.7947, 299.5896, 25.2139, 221.8497, 15.44694, 881.4658, 485.8628, 329.6754, 327.7154, 0.09579822, 1100.999, 81.51539, 553.2014, 605.1851, 470.3688, 1020.467
