 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
377.7, 2.102765, 88.30302, 17.67509, 20.75049, 642.6238, 576.6083, 21.1895, 0.1244182, 298.8924, 668.6245, 4.028096, 282.788, 534.2096, 460.9456, 661.5975, 823.8077, 669.9801, 890.2044, 951.5614, 121.6512, 414.1428, 1273.727, 1073.114, 218.772, 1295.436, 838.5686, 374.242, 1187.466, 1409.166, 712.7561
377.8, 1.964781, 124.6327, 16.53492, 19.55628, 737.1616, 992.8638, 229.7498, 0.1180417, 282.937, 999.8766, 109.6821, 479.602, 561.6821, 435.2889, 647.4343, 782.2075, 934.4912, 1040.594, 1064.024, 114.0473, 986.2843, 1414.894, 1162.681, 203.9629, 1255.922, 958.1587, 400.5734, 1344.848, 1499.423, 774.6768
377.9, 1.835851, 117.0872, 15.4683, 18.4308, 701.3795, 1301.472, 216.0973, 0.111992, 267.8333, 1134.427, 104.2995, 547.9655, 665.0021, 411.0603, 758.6506, 823.7026, 871.6154, 973.2765, 1023.709, 106.9188, 937.232, 1385.432, 1347.49, 244.1512, 1165.989, 912.5339, 381.4661, 1268.398, 1498.305, 728.8187
378, 1.715382, 109.9986, 14.47048, 17.37009, 667.3343, 1372.359, 203.256, 0.1062524, 253.5359, 1119.154, 99.18098, 614.4906, 636.7117, 484.2014, 722.3611, 782.1077, 862.7617, 1010.08, 1146.287, 100.2358, 980.8299, 1397.687, 1327.074, 249.3361, 1294.354, 993.5667, 445.7365, 1196.294, 1446.476, 685.6753
378.1, 1.602818, 103.3391, 13.53703, 16.37042, 634.9417, 1491.218, 191.1778, 0.1008069, 240.0017, 1055.737, 94.31369, 577.5762, 609.6249, 527.6346, 825.4188, 798.4953, 804.712, 944.7369, 1092.951, 93.9705, 1025.441, 1477.483, 1429.747, 232.4581, 1377.974, 986.6517, 424.4749, 1128.289, 1469.84, 645.0858
378.2, 1.497641, 97.08273, 12.6638, 15.42829, 604.1213, 1414.334, 179.8173, 0.09564045, 227.19, 1128.054, 89.68526, 542.8794, 601.513, 498.266, 785.9355, 758.1732, 750.5682, 1068.74, 1042.096, 88.09685, 1113.932, 1407.472, 1339.996, 216.7227, 1468.048, 939.6702, 404.2275, 1237.425, 1560.04, 606.899
378.3, 1.399365, 91.20518, 11.84689, 14.54038, 574.7971, 1371.213, 169.1319, 0.09073883, 215.0622, 1090.314, 85.28397, 595.9636, 575.9236, 470.532, 748.3409, 719.8873, 750.2558, 1098.281, 993.6077, 82.59032, 1126.845, 1340.779, 1255.879, 202.0524, 1362.925, 894.9257, 384.9459, 1191.816, 1481.929, 570.9727
378.4, 1.307538, 112.0827, 11.08268, 13.70356, 546.8962, 1317.108, 159.0815, 0.08608841, 203.5818, 1088.557, 81.09868, 560.1622, 610.6569, 548.2899, 778.1562, 702.3314, 699.7759, 1027.232, 947.3754, 77.42799, 1070.802, 1277.246, 1177.043, 270.0732, 1472.662, 852.3119, 366.584, 1124.065, 1407.729, 705.7574
378.5, 1.221737, 301.0588, 10.36777, 12.91491, 520.3497, 1249.202, 149.6283, 0.08167633, 192.7143, 1045.293, 77.11877, 526.5115, 584.6785, 541.583, 740.9338, 688.8174, 652.6926, 960.7786, 903.2943, 72.58832, 1017.546, 1216.724, 1103.155, 251.7916, 1424.765, 811.7272, 349.098, 1155.424, 1459.341, 663.9791
378.6, 1.141566, 336.1828, 9.698974, 12.17164, 495.0917, 1184.796, 140.7369, 0.07749037, 182.4269, 986.0621, 73.33418, 494.8823, 559.8053, 533.1914, 705.4918, 745.2429, 639.6464, 898.6246, 922.6082, 68.05116, 966.9392, 1159.069, 1033.906, 396.1798, 1462.041, 878.7971, 382.8975, 1156.266, 1386.272, 624.674
