 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
318, 78.62813, 65.55432, 0.7513424, 321.6301, 104.9765, 53.35913, 50.62051, 1659.706, 190.3481, 626.6994, 34.13354, 352.9957, 404.698, 234.6979, 56.75452, 14.93348, 405.2677, 5.700361, 357.0686, 661.3209, 321.1819, 853.4946, 472.4282
318.1, 99.75559, 62.66365, 0.6992651, 298.1143, 99.7356, 49.61549, 47.22461, 1557.704, 180.6929, 598.4996, 32.375, 327.6556, 386.9157, 221.7608, 54.03604, 14.00557, 371.9749, 5.433183, 336.4802, 651.9356, 304.7008, 999.1927, 448.9732
318.2, 95.21282, 59.90044, 0.6507973, 276.3178, 94.75636, 46.1345, 44.05652, 1676.578, 171.5275, 571.5687, 30.70706, 377.4784, 369.9148, 209.5368, 51.44777, 13.13532, 426.1213, 5.178527, 317.0789, 619.8093, 289.0655, 951.5443, 426.6828
318.3, 90.87692, 57.25909, 0.605689, 256.1149, 90.0257, 42.89774, 41.10097, 1660.252, 162.827, 545.8496, 29.12505, 350.3808, 386.2406, 255.4803, 48.98348, 14.19589, 450.8697, 4.935808, 328.8939, 737.0876, 274.2325, 1063.523, 405.499
318.4, 86.73848, 54.7342, 0.5637072, 237.3892, 85.53122, 39.88806, 38.34369, 1615.505, 154.5678, 521.2878, 27.62455, 325.2285, 369.2693, 261.0105, 111.3078, 13.31382, 413.8307, 4.704465, 348.0715, 700.7652, 260.1606, 1012.807, 385.3669
318.5, 82.7885, 52.32065, 0.5246353, 349.6577, 81.26112, 37.08954, 35.77139, 1511.121, 146.7276, 497.8313, 26.20135, 301.8818, 353.0438, 246.623, 105.9763, 12.48655, 379.8344, 4.483965, 328.0019, 666.2327, 246.8108, 964.5096, 403.7649
318.6, 79.01839, 50.01353, 0.4882716, 324.0927, 77.20421, 34.48737, 33.37165, 1413.482, 139.285, 475.4302, 24.85147, 411.2292, 428.5856, 233.0285, 100.9001, 58.78349, 577.5807, 4.2738, 338.1136, 644.6888, 234.146, 1139.928, 383.7189
318.7, 75.41998, 47.80814, 2.350525, 422.1705, 76.46749, 32.06776, 31.1329, 1389.298, 132.22, 454.0371, 23.57113, 381.7089, 409.7537, 225.736, 96.06713, 70.6317, 530.1323, 4.073485, 318.6181, 612.9196, 323.1476, 1085.568, 364.6682
318.8, 71.98542, 45.7, 2.187605, 428.4704, 72.64989, 29.81791, 29.04433, 1477.437, 125.5133, 433.6066, 22.35676, 354.3077, 391.7493, 213.2929, 91.46561, 66.24292, 486.5818, 3.88256, 323.5791, 582.716, 306.5657, 1145.29, 346.5633
318.9, 68.70728, 43.68483, 37.31248, 402.4842, 69.02289, 27.7259, 27.09588, 1489.067, 119.1468, 414.0955, 21.20496, 538.1465, 382.4874, 239.4443, 87.08451, 62.12684, 446.6089, 3.700583, 304.9216, 554.0008, 290.8347, 1090.675, 351.1383
