 , C00, C01, C02, C03, C05, C07, C10, C11, C12, C15, C18, C22, C25, C47
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
365.9, 569.3195, 684.0214, 457.7163, 5.444097, 1005.996, 455.9259, 203.9093, 304.9263, 106.9332, 997.5234, 278.8199, 5063.615, 950.2346, 1389.822
366, 591.8708, 645.9327, 435.4156, 5.121848, 1020.368, 428.7393, 195.0671, 287.1199, 99.29761, 933.4926, 301.3647, 4962.225, 1012.155, 1306.066
366.1, 562.01, 609.965, 414.2014, 4.818673, 1020.044, 403.174, 186.6083, 270.3533, 116.3736, 873.572, 310.03, 4824.322, 955.0246, 1273.659
366.2, 533.6557, 576, 394.0209, 4.533444, 965.8082, 379.133, 178.5163, 254.5658, 124.2258, 817.4976, 288.6814, 4821.801, 1025.226, 1336.738
366.3, 506.7319, 543.9263, 374.8235, 4.265099, 914.4558, 356.5256, 170.7752, 239.7003, 115.3554, 765.0226, 268.8028, 4575.54, 1010.063, 1256.181
366.4, 481.1665, 513.6386, 356.5615, 4.012638, 865.8339, 335.2662, 163.3698, 225.7028, 107.1183, 715.916, 250.2931, 4367.348, 1036.571, 1226.269
366.5, 456.8909, 485.0374, 339.1892, 3.77512, 819.7972, 315.2745, 156.2855, 212.5227, 99.46949, 669.9615, 233.0579, 4201.939, 1008.485, 1152.37
366.6, 433.84, 465.2693, 322.6633, 3.551661, 776.2084, 296.4749, 149.5085, 200.1123, 92.36681, 626.9569, 217.0096, 4238.864, 987.5756, 1082.923
366.7, 411.9521, 439.3615, 306.9426, 3.34143, 734.9371, 278.7964, 143.0253, 188.4266, 96.95692, 586.7127, 227.5301, 3954.711, 980.8249, 1065.535
366.8, 391.1685, 414.8963, 291.9879, 3.143643, 695.8603, 262.1719, 136.8232, 177.4233, 90.03366, 549.0518, 238.2206, 3833.104, 925.4625, 1001.321
366.9, 371.4334, 391.7935, 277.7617, 2.957563, 727.947, 246.5388, 130.8901, 167.0625, 83.60475, 513.8083, 771.0365, 3683.85, 1381.57, 940.9779
367, 352.694, 376.4875, 264.2287, 2.782498, 689.2418, 231.8379, 125.2142, 157.3068, 77.6349, 480.8271, 981.4307, 3630.338, 1657.282, 884.271
367.1, 334.9, 355.5233, 251.355, 2.617795, 652.5945, 218.0136, 119.7845, 148.1207, 72.09134, 449.9629, 1017.699, 3536.298, 1696.704, 830.9814
367.2, 318.0038, 335.7265, 239.1086, 2.462841, 703.0046, 289.967, 114.5902, 139.4711, 66.94361, 421.0799, 1033.817, 3437.124, 1700.687, 780.9033
367.3, 301.96, 347.2886, 227.4588, 2.31706, 665.6256, 272.6765, 109.6212, 131.3266, 62.16346, 394.0509, 962.6285, 3282.537, 1649.618, 733.8431
367.4, 286.7256, 327.9504, 216.3767, 2.179907, 630.2341, 256.417, 104.8677, 123.6577, 57.72464, 368.7569, 942.6023, 3181.828, 1571.497, 832.0499
367.5, 272.2599, 372.1541, 205.8344, 2.050873, 596.7243, 241.127, 100.3202, 116.4366, 53.60278, 345.0865, 877.6948, 3298.077, 1482.794, 781.9073
367.6, 258.524, 351.4313, 195.8058, 1.929477, 599.5978, 226.7488, 95.96999, 109.6372, 49.77525, 322.9355, 978.3605, 3100.166, 1418.391, 766.8802
367.7, 245.481, 331.8624, 186.2658, 1.815267, 567.717, 213.2279, 91.8084, 103.2349, 46.22102, 302.2063, 925.9477, 3177.268, 1363.91, 794.0043
367.8, 233.0961, 313.3831, 177.1907, 1.707817, 613.8491, 200.5133, 87.82727, 97.20638, 54.78285, 282.8078, 862.1871, 3050.269, 1528.439, 746.1545
367.9, 221.336, 295.9329, 168.5576, 1.606727, 581.2105, 431.3872, 84.01878, 91.52995, 50.87105, 264.6544, 802.817, 2845.793, 1442.167, 701.1884
368, 210.1693, 279.4543, 160.3452, 1.511621, 550.3074, 1204.643, 80.37543, 86.18499, 47.23857, 247.6664, 747.5351, 2870.689, 1360.764, 658.9321
368.1, 199.5659, 263.8933, 152.5329, 1.422144, 541.0559, 2523.336, 76.89008, 81.15215, 43.86547, 231.7687, 774.4933, 2835.948, 1451.32, 710.5469
368.2, 189.4975, 348.0547, 145.1013, 1.337964, 512.2878, 2488.844, 73.55585, 76.41322, 40.73323, 216.8915, 721.1618, 2713.388, 1424.773, 667.7267
368.3, 179.9371, 419.3546, 138.0317, 1.258767, 485.0493, 2670.186, 70.36622, 71.95101, 37.82465, 202.9693, 686.7256, 2621.562, 1366.331, 627.4869
368.4, 170.8589, 396.0035, 131.3066, 1.184258, 459.2591, 2591.815, 67.3149, 67.74938, 35.12376, 189.9408, 668.0005, 2564.141, 1289.209, 589.6722
368.5, 162.2388, 374.861, 124.9091, 1.114158, 484.5234, 2519.083, 64.39589, 63.79311, 32.61573, 177.7485, 622.0021, 2484.448, 1216.44, 554.1363
368.6, 154.0536, 353.9875, 118.8233, 1.048209, 458.7611, 2391.22, 61.60346, 60.06786, 30.28678, 166.3389, 579.1711, 2439.746, 1290.826, 520.7419
368.7, 146.2814, 355.5509, 113.0341, 0.9861627, 434.3687, 2524.696, 58.93213, 56.56015, 28.12414, 155.6617, 539.2894, 2312.721, 1217.965, 489.36
368.8, 138.9013, 335.7526, 107.5268, 0.9277894, 411.2731, 2612.883, 56.37663, 53.25728, 26.11592, 145.6698, 502.154, 2281.246, 1293.128, 512.8033
368.9, 131.8935, 317.0567, 102.288, 0.8728713, 419.8017, 2457.079, 53.93194, 50.14729, 24.25109, 136.3193, 467.5757, 2210.46, 1220.137, 481.8999
369, 125.2392, 308.1289, 97.30432, 0.8212039, 397.4807, 2310.565, 51.59326, 47.2189, 22.51943, 127.569, 479.0599, 2130.891, 1151.267, 452.8587
369.1, 118.9207, 290.9712, 92.56349, 0.7725949, 376.3465, 2356.183, 49.356, 44.46152, 20.91142, 119.3803, 446.0719, 2023.416, 1090.868, 425.5677
369.2, 112.921, 289.8775, 88.05364, 0.7268631, 356.336, 2235.442, 47.21575, 196.0957, 19.41822, 111.7174, 415.3555, 1983.847, 1044.293, 399.9214
369.3, 107.2239, 273.7361, 83.76352, 0.6838383, 337.3895, 2102.145, 45.16831, 184.6446, 18.03165, 104.5462, 464.6038, 2033.675, 1058.338, 570.1677
369.4, 101.8143, 258.4935, 79.68242, 0.6433603, 319.4504, 2040.324, 43.20966, 173.8621, 16.74409, 97.83546, 475.9565, 2049.888, 998.6, 535.8072
369.5, 96.67763, 244.0997, 75.80016, 0.6052782, 357.3821, 2071.035, 41.33594, 163.7093, 15.54847, 91.55543, 443.1822, 2015.797, 971.9907, 503.5174
369.6, 91.80009, 230.5074, 72.10705, 0.5694503, 338.38, 1947.541, 39.54347, 154.1494, 14.43822, 85.67851, 412.6647, 1992.871, 917.127, 473.1735
369.7, 87.16862, 217.6719, 68.59387, 0.5357432, 320.3882, 1968.858, 37.82873, 145.1477, 13.40725, 80.17883, 384.2487, 1859.279, 865.36, 444.6583
369.8, 82.77083, 213.1087, 65.25186, 0.5040312, 303.3531, 1851.456, 36.18835, 136.6717, 12.4499, 75.03217, 357.7894, 1913.886, 816.515, 528.7195
369.9, 78.59491, 201.2421, 62.07268, 0.4741964, 310.179, 1866.041, 34.61909, 128.6907, 11.56091, 70.21588, 333.152, 1858.332, 840.7892, 496.8569
370, 74.62967, 272.1914, 59.0484, 0.4461276, 293.6867, 1992.815, 33.11789, 121.1757, 10.7354, 65.70874, 310.2112, 1812.493, 890.2767, 466.9144
370.1, 103.5461, 257.0348, 56.17146, 0.4197202, 278.0713, 1873.985, 31.68179, 114.0995, 9.968828, 61.49091, 288.8501, 1806.999, 840.0253, 438.7764
370.2, 98.32207, 242.7222, 53.43469, 0.3948759, 263.2862, 1823.696, 30.30796, 156.6926, 9.256998, 57.54383, 268.9599, 1685.867, 792.6103, 412.334
370.3, 93.36156, 229.2066, 50.83126, 0.3715023, 249.2872, 1976.507, 28.9937, 147.5424, 8.595997, 53.85011, 250.4394, 1705.755, 764.562, 387.4852
370.4, 144.8564, 279.8325, 48.35468, 0.3495122, 236.0325, 1868.858, 27.73643, 174.4145, 7.982194, 50.39348, 233.1942, 1591.409, 721.4065, 364.1339
370.5, 137.5482, 264.2504, 45.99876, 0.3288237, 223.4825, 1757.42, 26.53368, 164.2294, 7.412221, 47.15874, 217.1364, 1619.788, 680.6869, 342.1898
370.6, 130.6086, 302.8206, 43.75763, 0.3093598, 250.5866, 1652.626, 25.38309, 154.6391, 6.882947, 44.13163, 202.1844, 1544.852, 654.8829, 321.5681
370.7, 124.0192, 285.9585, 41.62568, 0.291048, 237.2628, 1667.969, 24.28239, 145.6089, 6.391466, 41.29883, 188.2621, 1441.293, 728.8291, 426.0931
370.8, 117.7623, 644.9653, 39.59761, 0.2738202, 247.4523, 1568.509, 23.22942, 201.5715, 5.93508, 38.64787, 175.2984, 1565.601, 687.6906, 476.4231
370.9, 111.821, 935.2048, 37.66835, 0.2576121, 306.5867, 1647.489, 22.22212, 189.8006, 5.511281, 36.16707, 163.2273, 1460.651, 770.205, 447.712
371, 172.6876, 927.2138, 35.83308, 0.2423635, 292.1168, 1549.25, 21.25849, 178.717, 5.117745, 33.84552, 151.9875, 1383.589, 726.731, 420.7312
371.1, 163.9752, 1063.2, 34.08723, 0.2280174, 361.0617, 1559.91, 20.33665, 168.2807, 4.75231, 31.67298, 141.5217, 1334.198, 716.5079, 395.3763
371.2, 155.7024, 1003.998, 32.42645, 0.2145205, 341.864, 1556.556, 19.45478, 158.4538, 4.412968, 240.9202, 131.7765, 1263.976, 804.6011, 371.5494
371.3, 178.661, 948.0916, 30.84658, 0.2018225, 323.687, 1552.675, 18.61116, 203.7166, 4.097857, 225.4556, 122.7024, 1298.49, 759.1857, 473.5807
371.4, 169.6472, 956.3503, 29.34368, 0.1898761, 306.4764, 1462.927, 17.80411, 191.8204, 3.805248, 267.1003, 114.2531, 1351.928, 716.3337, 445.0409
371.5, 161.0883, 914.9609, 27.91401, 0.1786369, 290.181, 1427.182, 17.03207, 180.619, 3.533532, 305.6248, 106.3857, 1261.302, 715.8506, 461.4581
371.6, 152.9611, 885.322, 26.55399, 0.1680629, 274.752, 1457.118, 16.2935, 170.0716, 3.281218, 286.0068, 99.05997, 1176.75, 685.2853, 516.1917
371.7, 155.3414, 910.0952, 25.26024, 0.1581149, 260.1433, 1464.991, 15.58696, 160.1401, 3.046921, 267.6481, 92.23872, 1288.273, 646.6046, 485.084
371.8, 147.5041, 859.4179, 24.02952, 0.1487557, 246.3114, 1377.635, 14.91105, 150.7886, 2.829353, 250.4679, 85.88717, 1201.913, 623.6906, 455.851
371.9, 140.0623, 811.5625, 22.85876, 0.1399505, 233.215, 1390.916, 14.26446, 141.9832, 2.627322, 234.3904, 79.97299, 1121.343, 692.2617, 575.7785
372, 170.1946, 766.3719, 21.74504, 0.1316665, 220.8148, 1307.977, 13.6459, 133.692, 2.439716, 219.3449, 74.46606, 1046.174, 653.1872, 840.6241
