 , C00, C01, C03, C05, C06, C10, C17, C23, C27, C51
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
20.1, 6.560921, 119.6506, 855.0091, 2211.461, 2199.012, 82.42384, 7.939969, 3427.478, 535.3235, 2431.999
20.2, 6.186549, 113.3664, 870.9256, 2088.708, 2165.324, 78.12413, 7.455852, 3328.611, 508.8088, 2478.577
20.3, 5.83354, 107.4123, 830.9775, 1970.206, 2097.177, 74.04871, 7.001253, 3184.481, 483.6073, 2448.196
20.4, 5.500673, 101.7708, 947.3353, 1966.282, 2218.163, 70.1859, 6.574372, 3013.983, 494.3241, 2525.876
20.5, 5.186801, 96.4257, 903.8824, 1962.614, 2239.357, 66.52459, 6.17352, 2989.779, 469.8401, 2382.311
20.6, 4.890838, 91.36129, 862.4226, 1925.605, 2234.938, 63.05428, 5.797107, 2939.218, 478.6737, 2246.906
20.7, 4.611763, 86.56287, 836.1286, 1813.423, 2103.821, 59.765, 5.443645, 2896.066, 554.0485, 2119.197
20.8, 4.348612, 82.01647, 797.7766, 2108.612, 1980.397, 56.6473, 5.111734, 2826.329, 535.6424, 2259.332
20.9, 4.100477, 77.70886, 875.0058, 1985.768, 2021.813, 53.69225, 4.800061, 2956.529, 561.1833, 2444.267
21, 3.8665, 73.62749, 834.8705, 1930.847, 2010.263, 50.89135, 4.507391, 2842.543, 533.3877, 2422.378
21.1, 3.645875, 69.76048, 796.5762, 1818.802, 1892.328, 48.23655, 4.232566, 2690.353, 637.718, 2284.696
21.2, 3.437838, 66.09656, 761.665, 1712.842, 1834.731, 45.72025, 3.974498, 2780.472, 740.015, 2429.709
21.3, 3.241672, 62.62508, 726.7285, 1851.508, 1727.094, 43.33522, 3.732164, 2706.195, 726.6337, 2369.751
21.4, 3.0567, 59.33593, 693.3944, 1743.642, 1625.771, 41.0746, 3.504606, 2760.633, 776.8289, 2626.711
21.5, 2.882282, 56.21952, 717.6376, 1642.061, 1602.684, 38.9319, 3.290923, 2612.828, 738.3524, 2544.129
21.6, 2.717817, 53.2668, 693.6603, 1546.397, 1508.66, 36.90099, 3.090269, 2725.276, 723.5934, 2399.527
21.7, 2.562737, 50.46915, 661.8431, 1456.307, 1492.112, 34.97601, 2.901849, 3008.739, 687.7535, 2448.473
21.8, 2.416505, 47.81845, 631.4853, 1446.809, 1520.202, 33.15146, 2.724917, 2969.065, 653.6889, 2344.232
21.9, 2.278617, 45.30696, 602.52, 1415.692, 1431.017, 31.42208, 2.558773, 2836.734, 742.5826, 2210.991
22, 2.148597, 42.92738, 574.8832, 1333.216, 1479.671, 29.78292, 2.402759, 2727.559, 705.8022, 2232.195
22.1, 2.025997, 40.67277, 548.5141, 1256.125, 1392.864, 28.22927, 2.256258, 2720.624, 670.8436, 2105.322
22.2, 1.910392, 38.53658, 523.3546, 1252.147, 1355.71, 26.75667, 2.118689, 2626.548, 706.2774, 1985.661
22.3, 1.801383, 36.51258, 499.349, 1242.112, 1415.363, 25.36088, 1.989508, 2684.888, 671.2952, 1967.341
22.4, 1.698595, 34.5949, 606.0574, 1351.411, 1357.566, 24.03791, 1.868204, 2557.742, 638.0458, 1877.1
22.5, 1.601672, 32.77792, 578.2584, 1311.286, 1277.922, 22.78395, 1.754295, 2764.915, 606.4432, 1913.847
22.6, 1.510279, 31.05639, 556.1714, 1383.689, 1213.338, 21.59541, 1.647332, 2616.88, 576.4058, 1853.175
22.7, 1.424102, 29.42526, 535.3465, 1303.078, 1160.193, 20.46886, 1.546891, 2517.819, 759.7146, 1854.3
22.8, 1.342841, 27.87981, 510.791, 1235.073, 1204.726, 19.40109, 1.452574, 2571.004, 722.0857, 1777.311
22.9, 1.266218, 26.41552, 487.3617, 1265.498, 1254.094, 18.38901, 1.364007, 2460.691, 686.3206, 1971.277
23, 1.193966, 25.02814, 465.0071, 1216.565, 1180.52, 17.42974, 1.280841, 2328.945, 675.929, 1937.571
23.1, 1.125838, 23.71363, 443.6779, 1162.013, 1114.065, 45.60765, 1.202745, 2314.408, 792.2737, 2313.279
23.2, 1.061597, 22.46816, 423.327, 1122.515, 1075.647, 43.22849, 1.129411, 2215.36, 753.0322, 2250.597
23.3, 1.001021, 21.2881, 403.9096, 1057.119, 1012.542, 40.97343, 1.060549, 2130.341, 715.7343, 2122.678
23.4, 0.9439019, 20.17002, 385.3829, 1060.37, 1061.173, 38.83602, 0.995885, 2016.282, 794.4526, 2158.984
23.5, 0.8900421, 19.11066, 367.7059, 1100.311, 1002.838, 36.81011, 0.9351637, 2045.11, 793.4459, 2246.709
23.6, 0.8392556, 18.10695, 350.8398, 1036.209, 944.0047, 34.88988, 0.8781448, 1944.877, 795.4238, 2119.011
23.7, 0.7913671, 17.15594, 334.7473, 1033.657, 888.623, 33.06982, 0.8246025, 1840.748, 795.5137, 1998.571
23.8, 0.7462111, 16.25489, 319.3929, 973.4384, 1029.364, 31.3447, 0.7743248, 1897.554, 756.1116, 1884.977
23.9, 0.7036316, 15.40116, 304.7428, 916.7276, 968.9742, 29.70958, 0.7271126, 1880.925, 718.6612, 1777.839
24, 0.6634819, 14.59227, 290.7646, 863.3207, 912.1276, 28.15975, 0.682779, 1840.18, 762.2639, 1778.619
24.1, 0.6256231, 13.82587, 277.4276, 813.0253, 858.616, 26.69077, 0.6411485, 1741.657, 724.5087, 1816.709
24.2, 0.5899246, 13.09971, 264.7025, 765.6599, 962.3107, 25.29843, 0.6020563, 1696.395, 714.5977, 1713.451
24.3, 0.5562631, 12.4117, 252.5609, 831.8555, 905.855, 23.97871, 0.5653477, 1618.293, 764.892, 1616.062
24.4, 0.5245222, 11.75982, 240.9763, 783.3931, 896.2575, 22.72784, 0.5308773, 1641.827, 760.6917, 1695.018
