 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
109.7, 135.4895, 236.5499, 141.8577, 336.9143, 305.3146, 201.8776, 163.0291, 773.2455, 332.5056, 410.7569, 343.1015, 84.66545, 346.1235, 188.124, 217.6803, 366.4245, 267.3215, 307.0001, 1206.383, 0.002414454, 444.1361, 1030.242, 1435.799, 899.0115, 1598.845, 1180.793
109.8, 129.5854, 224.887, 134.2733, 321.7381, 291.2119, 208.5872, 154.3479, 732.6788, 313.9753, 397.9259, 326.5835, 80.88548, 328.687, 178.4917, 221.0471, 560.7709, 254.2706, 288.6687, 1149.169, 0.002301407, 414.0067, 973.3383, 1400.121, 870.9871, 1531.095, 1128.709
109.9, 123.9386, 213.7991, 178.7303, 307.2456, 317.0419, 226.274, 146.1291, 694.2404, 296.4776, 407.8386, 310.8608, 77.27428, 312.1288, 169.3527, 239.9943, 590.2563, 241.857, 271.4319, 1094.668, 0.002193654, 385.9212, 1253.433, 1481.642, 827.6002, 1466.216, 1078.924
110, 118.5378, 203.2579, 194.1064, 293.4059, 302.3976, 238.4059, 138.3479, 659.3569, 279.9551, 387.8082, 295.895, 73.8243, 296.4048, 160.6815, 232.7713, 562.9645, 292.0721, 255.2243, 1042.753, 0.002090946, 359.741, 1184.201, 1508.755, 786.3745, 1548.931, 1031.334
110.1, 113.3724, 193.2365, 193.9668, 280.1895, 288.4296, 226.1647, 130.981, 680.2639, 341.682, 432.8217, 281.6497, 146.0035, 281.473, 152.4544, 221.3768, 551.3461, 277.8129, 239.9845, 1145.372, 0.001993046, 335.3368, 1173.041, 1534.466, 747.2023, 1483.296, 985.8431
110.2, 108.4321, 183.7091, 183.5965, 267.5685, 275.1069, 233.5784, 124.0064, 644.5753, 322.6403, 449.476, 268.0903, 139.485, 267.2933, 144.6485, 210.5402, 521.3713, 264.2499, 225.6547, 1091.051, 0.00189973, 347.9651, 1108.25, 1676.233, 826.9742, 1420.442, 942.3589
110.3, 103.707, 174.6515, 173.7806, 255.516, 291.6199, 221.5851, 117.4032, 610.759, 385.2772, 427.4006, 255.1836, 133.2576, 253.828, 137.2422, 343.621, 505.4316, 251.349, 356.2239, 1039.307, 0.001810784, 324.3598, 1359.543, 1617.951, 785.7797, 1464.334, 900.7928
110.4, 99.18786, 166.0405, 164.4895, 277.0558, 278.1498, 210.2075, 150.1493, 578.7167, 363.8059, 407.2726, 242.8983, 127.3082, 241.041, 137.3099, 386.9458, 477.9531, 252.0971, 334.9533, 990.0169, 0.001726002, 302.3558, 1313.858, 1611.601, 746.6372, 1402.284, 959.2396
110.5, 94.86564, 157.854, 155.6951, 321.6354, 265.3019, 199.4142, 163.758, 548.3555, 398.1675, 387.2701, 231.2044, 121.6244, 242.1753, 281.8981, 368.0043, 507.266, 239.7896, 314.9528, 943.0643, 0.001645189, 281.8445, 1382.955, 1725.454, 709.4445, 1342.864, 1007.741
110.6, 90.73177, 248.6692, 147.3709, 307.1475, 253.0475, 189.175, 155.038, 519.5872, 375.9778, 378.178, 220.0735, 116.1944, 344.1666, 267.4644, 349.9901, 479.6877, 228.0829, 296.1465, 898.3385, 0.00156816, 262.7246, 1306.57, 1845.303, 674.1046, 1394.81, 1139.575
110.7, 86.77803, 236.4087, 139.4918, 293.3122, 241.3591, 270.0524, 146.7824, 492.3282, 436.911, 391.7899, 209.4785, 111.0068, 326.8286, 253.7698, 332.8576, 453.6088, 270.2461, 278.4632, 855.7339, 0.001494738, 244.9019, 1324.963, 1765.035, 751.3582, 1466.068, 1145.298
110.8, 82.99658, 224.7528, 132.0339, 280.1001, 230.2106, 256.1862, 138.9664, 549.0808, 461.8922, 372.5477, 199.3936, 106.0508, 337.3799, 240.7764, 433.8775, 428.9476, 257.0525, 261.8358, 821.9817, 0.001424754, 274.8478, 1364.97, 1722.29, 713.9303, 1403.944, 1094.781
110.9, 79.37991, 213.6716, 124.9748, 267.4831, 219.577, 262.0611, 131.5666, 520.2744, 550.7288, 364.5809, 189.7942, 101.316, 320.3838, 228.4482, 412.6387, 405.6272, 244.503, 246.2012, 782.9984, 0.001358046, 270.2807, 1289.578, 1647.373, 678.3669, 1480.104, 1046.491
111, 75.92085, 256.8571, 118.2931, 359.5171, 209.4346, 248.6053, 200.0044, 522.9033, 520.037, 383.7307, 180.6569, 96.79269, 473.4571, 216.7513, 392.4395, 383.5747, 232.5662, 231.5002, 831.2009, 0.001294461, 251.9453, 1218.35, 1575.715, 644.575, 1472.093, 1180.061
