 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
6.6, 0, 713.137, 1911.998, 37.22535, 92.98393, 1023.489, 874.6174, 0, 1291.486, 2051.31, 1409.749, 2202.015, 1485.892, 423.6696, 1.525879e-05, 798.2107
6.7, 0, 674.3881, 1823.111, 34.90817, 87.06217, 1683.921, 833.0187, 0, 1380.918, 2007.319, 1584.733, 2107.79, 1427.624, 475.7295, 1.525879e-05, 757.7388
6.8, 0, 637.7446, 1735.762, 32.73523, 81.51755, 1871.412, 782.5424, 0, 1290.675, 2156.596, 1535.756, 1975.477, 1397.094, 458.0587, 1.525879e-05, 719.319
6.9, 0, 710.499, 1652.598, 30.69755, 139.5328, 1846.786, 735.1246, 0, 1206.33, 2117.404, 1465.094, 1972.736, 1498.183, 439.1428, 1.525879e-05, 682.8471
7, 0, 671.8934, 1614.583, 28.78671, 208.3324, 1784.901, 690.58, 0, 1127.496, 1990.574, 1471.545, 1914.496, 1417.114, 913.949, 1.335144e-05, 648.2245
7.1, 0, 691.4283, 1537.225, 26.99482, 195.0646, 1699.212, 648.7346, 0, 1053.815, 1939.487, 1522.488, 1794.317, 1443.48, 1103.847, 1.144409e-05, 809.4985
7.2, 0, 673.4458, 1670.568, 25.31446, 376.5728, 1651.172, 662.2389, 0, 984.9482, 1935.076, 1465.828, 1769.828, 1408.775, 1126.125, 9.536743e-06, 768.4543
7.3, 0, 736.9502, 1590.528, 23.73871, 352.5905, 1750.895, 648.2214, 0, 920.582, 2022.288, 1596.666, 1658.73, 1399.097, 1068.861, 9.536743e-06, 776.8818
7.4, 0, 758.6414, 1589.994, 22.26104, 330.1355, 1666.839, 608.9427, 0, 860.4222, 1901.156, 1523.201, 1699.648, 1323.39, 1014.509, 1.144409e-05, 737.4914
7.5, 0, 717.4199, 1611.034, 20.87535, 309.1105, 1586.818, 660.9928, 0, 804.1937, 1881.069, 1453.116, 1638.082, 1251.78, 962.9203, 9.536743e-06, 925.7443
7.6, 0, 756.4346, 1553.708, 19.57591, 289.4246, 1510.638, 620.9402, 0, 751.6398, 1838.406, 1386.256, 1662.621, 1355.515, 975.0383, 9.536743e-06, 878.806
7.7, 0, 715.3331, 1479.266, 18.35737, 270.9923, 1710.694, 583.3146, 0, 702.5203, 1728.288, 1592.451, 1558.253, 1282.167, 1061.648, 7.629395e-06, 834.2476
7.8, 0, 697.3804, 1613.304, 17.21467, 253.7339, 1628.567, 547.9689, 0, 656.6108, 1624.766, 1534.873, 1531.148, 1212.787, 1057.008, 7.629395e-06, 791.9485
7.9, 0, 704.8019, 2593.721, 16.1431, 237.5747, 1550.383, 538.3456, 0, 881.7601, 1527.445, 1464.251, 1674.815, 1147.161, 1003.259, 928.3124, 751.7941
8, 0, 673.9562, 2797.145, 15.13824, 222.4445, 1654.047, 505.7248, 0, 824.1373, 1435.953, 1523.533, 1599.227, 1085.087, 1051.755, 1006.813, 713.6757
