 , C00, C01, C02, C03, C04, C05, C06, C09, C10, C11, C14, C15, C16, C17, C18, C21, C29, C32, C33, C34, C37, C39, C53, C58, C67, C68, C71, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
213.4, 152.0855, 208.7885, 1416.92, 253.2364, 619.0737, 1661.363, 367.7155, 2205.131, 33.34827, 326.2888, 1332.33, 22.31805, 141.4659, 30.68885, 251.1765, 1635.737, 540.7274, 0.2735423, 1056.817, 532.4875, 449.4531, 9.372999, 309.1544, 403.1583, 896.9453, 1881.604, 697.8876, 480.8466
213.5, 141.0471, 196.9037, 1507.029, 241.6967, 581.7983, 1585.01, 344.3709, 2137.307, 31.59893, 309.3847, 1271.6, 21.24224, 134.3003, 29.15664, 235.3099, 1554.596, 511.2826, 0.260852, 1000.45, 572.9852, 427.4093, 8.973372, 292.8585, 553.6194, 851.8836, 1769.418, 666.8391, 665.7241
213.6, 130.8099, 185.6953, 1435.236, 230.6829, 546.7673, 1556.131, 325.4865, 2037.11, 29.94136, 293.3564, 1346.524, 20.21828, 127.4977, 27.70092, 220.4456, 1626.485, 600.872, 0.2487504, 947.0883, 601.438, 406.4466, 8.590782, 277.4215, 526.0166, 919.5754, 1711.452, 637.1719, 652.7219
213.7, 121.3158, 192.0369, 1366.863, 220.1709, 513.8456, 1578.38, 304.8228, 2101.725, 28.37074, 278.1584, 1285.147, 19.24369, 121.0397, 26.31789, 206.5202, 1573.344, 568.1522, 0.2372103, 967.9705, 571.2762, 386.5121, 8.224504, 262.7982, 584.0895, 873.3768, 1699.555, 608.8245, 616.3182
213.8, 112.5107, 181.1056, 1396.095, 271.8382, 482.9062, 1505.841, 349.6538, 2003.196, 26.8825, 263.7478, 1226.567, 18.31607, 114.9087, 25.0039, 193.4746, 1523.198, 749.9979, 0.2262056, 1024.699, 542.6271, 367.5552, 7.873844, 248.9457, 756.5858, 829.4992, 1598.223, 581.7383, 642.9335
213.9, 104.3447, 170.7966, 1339.481, 259.4509, 453.8297, 1436.636, 327.4558, 1948.411, 25.47234, 250.0838, 1189.605, 17.43317, 109.0884, 23.75552, 255.5409, 1620.162, 907.6563, 0.2157113, 1134.96, 515.4147, 349.5281, 7.538134, 235.8234, 1074.78, 982.4218, 1502.933, 555.8572, 607.0757
214, 96.77135, 161.0743, 1275.67, 247.628, 426.5039, 1370.611, 400.687, 1986.202, 24.13614, 237.1276, 1135.38, 16.59282, 103.5628, 22.56947, 239.3986, 1584.149, 858.2309, 0.205704, 1126.913, 489.567, 332.3852, 7.216737, 223.3929, 1226.367, 933.0659, 1413.324, 531.1274, 643.1614
214.1, 89.7477, 151.9055, 1246.887, 236.3439, 400.8235, 1476.517, 375.2491, 1930.736, 263.3744, 224.8427, 1149.53, 15.79299, 98.31711, 21.44263, 224.276, 1559.466, 1088.887, 0.1961609, 1184.618, 465.0155, 316.0831, 6.909043, 211.6175, 1519.143, 886.1895, 1398.899, 507.498, 607.291
214.2, 110.9233, 143.2586, 1187.487, 254.7106, 376.6893, 1418.03, 351.4262, 1840.223, 518.3352, 213.1943, 1169.925, 15.03171, 93.33713, 20.37206, 210.1087, 1792.456, 1292.354, 0.1870605, 1345.475, 499.2098, 300.5805, 6.614469, 200.4628, 2031.824, 841.6681, 1352.837, 484.9197, 573.421
214.3, 102.8725, 135.1039, 1173.734, 243.1037, 490.3893, 1383.977, 329.1157, 1786.693, 617.9572, 202.1493, 1236.477, 14.30713, 88.6094, 19.35493, 196.8363, 1703.542, 1221.98, 0.1783823, 1284.081, 474.1748, 285.8382, 6.332453, 189.8961, 2000.213, 799.3835, 1431.608, 463.3459, 541.4401
214.4, 95.40599, 127.4134, 1163.092, 232.0258, 460.8622, 1392.848, 308.2216, 1758.21, 585.5412, 191.6765, 1192.404, 13.61747, 84.12114, 18.38859, 184.4024, 1761.252, 1206.247, 0.1701067, 1399.057, 450.3952, 271.819, 6.062462, 179.8864, 2081.883, 759.2232, 1524.013, 442.732, 639.6012
214.5, 88.48144, 120.1607, 1187.13, 248.703, 433.113, 1328.836, 302.2173, 1714.652, 707.508, 181.7463, 1219.693, 12.96106, 79.86022, 17.4705, 172.7538, 1673.885, 1222.131, 0.1622151, 1361.706, 427.8082, 258.4874, 5.803983, 170.4044, 2069.928, 721.0805, 1537.096, 423.0352, 714.9607
214.6, 82.05946, 113.3208, 1164.641, 237.3699, 407.0346, 1283.495, 456.2005, 1739.419, 670.3945, 172.3305, 1164.097, 12.33629, 75.81512, 16.59824, 181.9776, 1590.852, 1203.577, 0.1546895, 1289.077, 406.3539, 245.8097, 5.556524, 161.4221, 2038.964, 684.8541, 1619.756, 404.2146, 675.0858
214.7, 76.1036, 106.8702, 1109.159, 273.7232, 382.5264, 1224.508, 441.2033, 1676.015, 688.9897, 163.4026, 1193.707, 11.74163, 71.97492, 15.76953, 170.4823, 1576.673, 1138.038, 0.1475131, 1330.303, 441.8334, 233.7537, 5.319615, 152.9133, 1965.269, 650.4476, 1734.075, 386.2314, 637.4348
