 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C010, C011, C012, C015, C016, C017, C018, C019, C021, C023, C024, C025, C032, C033, C034, C038, C039, C040, C042, C045, C047, C049, C056, C068, C083, C086
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
85.7, 45.16926, 119.6098, 54.1714, 330.982, 381.2649, 17.69896, 95.66837, 42.02216, 258.614, 46.96432, 147.4009, 12.84399, 148.9109, 234.1407, 289.5281, 537.8314, 262.4828, 354.9335, 7.152959, 191.6961, 7.981592, 309.3708, 87.3624, 128.5687, 19.3855, 55.74372, 342.816, 32.20003, 717.1359, 500.2692, 594.5838, 926.8237, 706.025, 325.1122, 5.88331
85.8, 41.87053, 111.3679, 51.40495, 310.5164, 360.0135, 16.86938, 90.79874, 39.63043, 246.4363, 43.50519, 138.8798, 12.18735, 140.1635, 219.5332, 274.497, 511.7482, 247.6, 425.248, 6.735386, 182.301, 7.492223, 316.3737, 82.65617, 230.9397, 18.33376, 52.08227, 324.8864, 30.5024, 676.8461, 591.2903, 706.6362, 885.2645, 941.6989, 307.6376, 5.494929
85.90000000000001, 38.81271, 103.6939, 48.77977, 291.3162, 339.9467, 16.07868, 86.17698, 37.37483, 234.8321, 40.30085, 130.8514, 11.56428, 131.9298, 205.8371, 260.2463, 486.9299, 233.561, 395.9569, 6.34219, 173.3663, 95.61353, 294.5037, 245.252, 217.4423, 17.33908, 48.66132, 307.8946, 28.89427, 669.6028, 596.5965, 691.0424, 914.7264, 896.0452, 291.1023, 5.132187
86, 35.9782, 96.54871, 46.28866, 273.3032, 418.6356, 15.32505, 81.79047, 35.24761, 246.5764, 37.33252, 123.287, 10.97306, 193.0097, 192.9955, 246.7354, 463.3152, 220.318, 368.6834, 5.971948, 164.8696, 89.75126, 274.1456, 232.0402, 204.7337, 16.39837, 45.46508, 291.7914, 27.37093, 631.9836, 594.8289, 719.3476, 873.7096, 852.6047, 275.4557, 4.793392
86.09999999999999, 37.27402, 89.89587, 43.92477, 256.4041, 395.3012, 14.60674, 77.62724, 33.24147, 282.8636, 34.58282, 116.16, 10.41207, 181.6718, 180.955, 233.926, 440.8458, 207.8259, 343.2885, 5.623319, 156.7893, 84.24841, 255.1947, 219.5402, 192.7679, 15.50869, 42.47877, 276.5305, 25.92789, 674.1297, 554.5038, 706.496, 859.7864, 811.2703, 260.6501, 4.476961
86.2, 69.41647, 83.70145, 41.68159, 240.5498, 373.2674, 13.9221, 73.67592, 31.3495, 269.5441, 41.15859, 109.4449, 9.879755, 170.9999, 169.6657, 221.7815, 419.466, 196.0421, 319.6427, 5.295043, 149.105, 79.08295, 315.3859, 207.7135, 181.5014, 14.66728, 39.68861, 262.0677, 24.56094, 654.3938, 516.9125, 684.2564, 821.2332, 808.3007, 246.6404, 4.181419
86.3, 64.34695, 77.93388, 39.55297, 247.8686, 352.4618, 13.26955, 69.92573, 29.56522, 256.8517, 38.12708, 103.1181, 9.374658, 160.9548, 159.0807, 210.2676, 399.1232, 184.9265, 297.6257, 4.98593, 141.7973, 74.23421, 293.5843, 228.0868, 170.8934, 13.87152, 64.05951, 248.3613, 23.26605, 839.1266, 715.3167, 683.9821, 784.4086, 769.1141, 233.3836, 3.905387
86.40000000000001, 59.64766, 72.56372, 37.53306, 232.5421, 347.5725, 12.64758, 66.36642, 27.88249, 244.757, 35.31886, 97.15696, 8.895383, 151.4999, 149.1561, 497.1454, 379.7668, 174.4411, 277.1253, 4.694863, 134.8478, 69.68275, 273.2897, 378.7553, 160.9055, 13.11894, 59.85185, 235.3718, 22.03943, 791.9832, 666.8234, 794.0533, 863.55, 785.3014, 220.8394, 3.647578
86.5, 55.29156, 67.56361, 35.6163, 218.1633, 328.1991, 12.05477, 62.9883, 26.29554, 233.2318, 32.71747, 91.54045, 8.440611, 142.6003, 139.8506, 471.3357, 361.3493, 164.5502, 394.0732, 4.420788, 128.2388, 65.41035, 254.398, 358.3516, 166.1951, 12.40718, 55.92057, 223.0616, 20.87749, 747.4884, 621.6177, 749.7794, 824.8279, 776.2056, 208.9694, 3.406787
86.59999999999999, 51.25359, 62.90803, 33.79743, 235.5554, 343.2447, 11.48974, 59.78212, 35.92215, 222.2494, 30.30769, 86.24862, 8.009089, 134.2236, 131.1257, 446.8659, 343.8249, 155.2202, 366.9294, 4.162713, 121.9538, 61.39989, 236.8122, 339.0471, 175.0235, 11.73404, 52.24751, 211.3953, 19.7768, 705.4934, 579.4765, 867.5532, 839.3054, 820.5645, 197.7374, 3.181891
