 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
195.4, 109.6475, 9.800567, 486.6945, 812.5157, 358.6829, 576.4627, 420.9232, 472.0077, 1.480623, 451.8124, 676.1605, 511.3332, 2520.616, 1099.179, 1741.178, 1654.519, 492.8541
195.5, 101.1059, 9.263714, 567.7561, 931.4415, 500.2316, 546.8158, 400.2037, 441.8957, 1.399352, 422.8295, 641.6309, 478.5697, 2505.254, 1032.407, 1672.283, 1569.25, 464.0389
195.6, 93.22961, 8.756269, 600.39, 888.2239, 693.2916, 518.6936, 380.5042, 413.7047, 1.322541, 395.7057, 595.5548, 462.7786, 2345.506, 969.6918, 1702.247, 1494.146, 436.9084
195.7, 85.96692, 8.27662, 632.4448, 913.2547, 1126.051, 504.6979, 361.7743, 387.3122, 1.249946, 370.3219, 649.4037, 433.1262, 2212.411, 910.7861, 1755.81, 1540.968, 411.3641
195.8, 79.27, 7.823246, 698.0284, 991.7081, 1951.326, 478.7418, 343.9663, 402.1768, 1.181337, 346.5664, 602.7695, 405.3738, 2071.337, 855.4587, 1674.404, 1461.551, 387.3133
195.9, 73.09477, 7.394706, 644.4427, 945.6943, 2085.329, 459.7506, 327.035, 376.5197, 1.116493, 324.3348, 559.4841, 379.3996, 1939.258, 803.4923, 1596.773, 1386.227, 364.6687
196, 67.4006, 6.989641, 594.9706, 901.8154, 2192.31, 436.1061, 330.9828, 352.4995, 1.055209, 303.5293, 595.0034, 355.0897, 1815.601, 754.6827, 1692.201, 1314.785, 343.3479
196.1, 62.15002, 6.606764, 549.2963, 859.9725, 2041.012, 413.6776, 314.6906, 330.0116, 43.46334, 284.0585, 552.2757, 332.3375, 1699.829, 708.8381, 1613.745, 1247.025, 323.2737
196.2, 57.30846, 6.24486, 507.1284, 820.071, 1900.156, 392.4026, 299.2003, 342.5381, 41.07763, 265.8366, 513.0338, 380.0981, 1591.439, 665.7784, 1550.404, 1182.757, 304.3732
196.3, 52.84407, 5.902781, 468.1975, 782.0209, 1952.218, 372.2217, 284.4725, 320.6857, 38.82287, 248.7837, 476.1924, 355.7434, 1491.171, 639.5671, 1617.78, 1360.251, 286.5777
196.4, 48.72746, 5.57944, 432.2553, 756.1014, 1887.528, 353.0788, 270.4697, 441.1721, 36.69188, 232.8247, 536.9874, 332.9493, 1396.086, 622.8904, 1610.239, 1290.148, 269.8226
196.5, 44.93153, 5.273811, 399.1108, 721.0193, 1823.047, 334.9203, 257.1561, 607.0637, 34.67786, 217.8894, 498.4258, 429.125, 1343.566, 585.0518, 1716.999, 1279.916, 254.0472
