 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C021, C022, C023, C026, C028, C029, C033, C036, C040, C046, C050, C051, C052, C054, C057, C058, C060, C061, C066, C067, C068, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
157.1, 1129.297, 2965.045, 320.2153, 2460.156, 1733.902, 275.601, 1060.177, 3374.989, 311.4484, 1835.065, 2350.621, 325.8662, 475.509, 2404.003, 2445.475, 1954.142, 652.847, 2671.95, 2349.75, 2519.656, 1340.927, 407.6881, 1210.285, 1918.863, 1294.128, 237.7148, 208.5553, 711.668, 3161.643, 201.5747, 4294.942, 1851.415, 888.1146, 671.4354, 1200.273, 3300.188, 1590.009, 664.1936, 716.2087, 507.1812, 5.699798
157.2, 1065.062, 3054.699, 383.2308, 2346.555, 1737.881, 263.2402, 1006.568, 3281.266, 292.7507, 1744.601, 2242.848, 312.0771, 452.4616, 2507.091, 2507.128, 2012.359, 662.0782, 2673.239, 2537.472, 2408.653, 1271.555, 385.5748, 1153.646, 2019.772, 1214.846, 223.8224, 253.4998, 673.0871, 3029.406, 191.9886, 4425.574, 2014.984, 854.8304, 703.7691, 1142.346, 3687.205, 1515.397, 628.5831, 861.6735, 474.1698, 5.386371
157.3, 1104.341, 3041.066, 404.6404, 2238.199, 1739.383, 251.4339, 1041.674, 3286.317, 275.1755, 1658.596, 2224.147, 298.8715, 430.5314, 2393.536, 2546.846, 2010.241, 627.8413, 2630.361, 2430.7, 2325.226, 1205.771, 364.6609, 1242.238, 1949.67, 1140.421, 210.7419, 238.1233, 636.5978, 3091.535, 182.8584, 4246.483, 2021.736, 865.6776, 663.2808, 1170.202, 3634.061, 1527.376, 594.8819, 946.8419, 443.307, 5.090179
157.4, 1079.447, 3021.054, 382.6693, 2222.218, 1659.318, 240.157, 989.0004, 3142.296, 258.6554, 1665.206, 2305.349, 328.5764, 409.664, 2285.124, 2801.738, 1973.979, 603.1207, 2635.45, 2441.408, 2231.777, 1322.353, 344.8815, 1290.065, 1858.418, 1245.303, 294.1799, 223.6796, 602.0866, 3127.467, 174.1623, 4466.326, 1929.999, 817.7454, 625.1218, 1113.726, 3482.079, 1683.305, 562.9875, 904.7256, 446.609, 4.810274
157.5, 1024.393, 3082.018, 416.6495, 2324.938, 1697.114, 229.386, 976.1019, 3309.25, 243.1271, 1704.434, 2431.278, 314.6726, 389.8081, 2181.623, 2671.196, 1930.213, 602.948, 2629.702, 2377.221, 2344.948, 1284.4, 326.1749, 1229.692, 2210.165, 1169.012, 291.3221, 210.1119, 611.5714, 3153.136, 165.8798, 4285.586, 2000.396, 976.8982, 675.5989, 1108.39, 3540.473, 1604.315, 532.8032, 864.4827, 417.5401, 4.545761
157.6, 1120.53, 3000.957, 394.0263, 2414.874, 1648.75, 219.098, 926.7443, 3200.625, 228.531, 1620.41, 2430.336, 301.3571, 370.9146, 2143.791, 2558.437, 1904.273, 587.5875, 2657.891, 2268.431, 2252.796, 1232.854, 381.8651, 1172.144, 2563.778, 1150.205, 295.7378, 197.3672, 578.4169, 3064.545, 157.9912, 4261.139, 2067.789, 922.8079, 662.9232, 1054.897, 3438.241, 1707.874, 504.2372, 826.0298, 445.0052, 4.295794
157.7, 1099.948, 2874.351, 372.6316, 2353.568, 1653.401, 209.2714, 879.8826, 3060.359, 214.8112, 1540.527, 2427.295, 288.6051, 352.9368, 2046.69, 2538.093, 1996.298, 557.2025, 2537.453, 2223.761, 2153.549, 1183.938, 361.1525, 1117.29, 2443.784, 1169.718, 278.4545, 185.3956, 655.1766, 3035.852, 150.4778, 4234.507, 1973.963, 871.7125, 712.7215, 1118.936, 3418.669, 1627.731, 477.2028, 789.2874, 416.0407, 4.059571
157.8, 1045.885, 2986.556, 422.386, 2363.263, 1577.293, 199.8856, 896.2259, 3160.043, 201.9151, 1550.218, 2316.006, 344.3854, 335.8304, 1974.729, 2419.834, 1906.859, 628.603, 2597.601, 2329.69, 2213.698, 1122.687, 341.5633, 1065.002, 2499.133, 1125.858, 276.4668, 174.1501, 619.6582, 3002.907, 143.3216, 4252.992, 2109.466, 823.4462, 671.7182, 1282.42, 3399.767, 1551.349, 694.6141, 754.1792, 475.2857, 3.836339
157.9, 994.0073, 2915.553, 399.4513, 2436.785, 1504.689, 190.9207, 850.9073, 3246.579, 249.0177, 1694.834, 2209.82, 329.8126, 319.5531, 1885.287, 2409.623, 1858.45, 596.0971, 2718.522, 2268.398, 2251.714, 1159.483, 444.2537, 1015.162, 2558.052, 1056.885, 311.3163, 163.5868, 604.1722, 2937.522, 136.5058, 4220.043, 2013.749, 878.2217, 633.0738, 1220.528, 3447.37, 1478.551, 657.3727, 720.6327, 444.3503, 3.625382
158, 937.4671, 3000.41, 377.7619, 2378.074, 1487.535, 182.3579, 807.8804, 3285.568, 234.068, 1633.821, 2556.989, 315.8565, 304.0648, 1804.786, 2645.732, 2089.324, 590.4512, 2635.542, 2340.519, 2152.515, 1300.563, 420.1571, 1299.915, 2981.318, 992.137, 408.598, 153.6642, 613.5596, 2946.629, 130.0141, 4214.135, 1922.374, 829.595, 806.8966, 1161.624, 3471.509, 1485.501, 622.1279, 688.5784, 486.9062, 3.426025
