 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
11.39123555687072, 0, 8.088093, 32.4039, 18.57783, 0, 0, 0, 0, 0
11.49115867579064, 0, 7.70158, 42.84013, 17.61406, 0, 0, 0, 0, 0
11.59108179471056, 0, 7.333537, 40.90121, 16.7003, 0, 0, 0, 0, 0
11.69100491363048, 0, 6.983083, 39.05005, 15.83393, 0, 0, 0, 0, 0
11.7909280325504, 0, 6.649376, 37.28266, 15.01251, 0, 0, 0, 0, 0
11.89085115147032, 0, 6.331616, 35.59527, 14.23371, 0, 0, 0, 0, 0
11.99077427039023, 0, 6.029042, 33.98425, 13.4953, 0, 0, 0, 0, 0
12.09069738931015, 0, 5.740926, 32.44614, 12.79521, 0, 0, 0, 0, 0
12.19062050823007, 0, 5.466579, 30.97765, 12.13143, 0, 0, 0, 0, 0
12.29054362714999, 0, 5.205343, 29.57562, 11.50208, 0, 0, 0, 0, 0
12.39046674606991, 0, 4.956591, 28.23705, 10.90539, 0, 0, 0, 0, 0
12.49038986498983, 0, 4.719726, 26.95905, 10.33965, 0, 0, 0, 0, 0
12.59031298390975, 0, 4.49418, 25.7389, 9.803257, 0, 0, 0, 0, 0
12.69023610282967, 0, 4.279412, 24.57397, 9.294691, 0, 0, 0, 0, 0
12.79015922174958, 0, 4.074908, 23.46177, 19.35285, 0, 0, 0, 0, 0
12.8900823406695, 0, 3.880177, 22.3999, 18.34888, 0, 0, 0, 0, 0
12.99000545958942, 0, 3.694752, 21.3861, 23.86886, 0, 0, 0, 0, 0
13.08992857850934, 0, 3.518187, 20.41817, 22.63061, 0, 0, 0, 0, 0
13.18985169742926, 0, 3.35006, 19.49406, 21.4566, 0, 0, 0, 0, 0
13.28977481634918, 0, 3.189968, 18.61177, 20.3435, 0, 0, 0, 0, 0
13.3896979352691, 0, 3.037526, 17.76941, 19.28813, 0, 0, 0, 0, 0
13.48962105418901, 11.37029, 2.892369, 16.96518, 18.28752, 0, 0, 0, 0, 0
13.58954417310893, 14.9904, 2.754148, 16.19735, 17.33882, 0, 0, 0, 0, 0
13.68946729202885, 14.35727, 2.622534, 15.46426, 26.14241, 0, 0, 0, 0, 0
13.78939041094877, 13.75087, 2.497208, 14.76436, 24.78621, 0, 0, 0, 0, 0
13.88931352986869, 13.17009, 2.377872, 14.09614, 38.22268, 0, 0, 0, 0, 28.51257
13.98923664878861, 20.6158, 23.42447, 13.45815, 36.2398, 0, 0, 0, 0, 27.23496
14.08915976770853, 19.74507, 26.23479, 12.84904, 36.9894, 0, 0, 0, 0, 35.00802
14.18908288662844, 18.91111, 24.98108, 12.2675, 46.51244, 0, 0, 0, 0, 33.43935
14.28900600554836, 22.7226, 23.78729, 11.71228, 44.09951, 0, 0, 0, 0, 44.11296
14.38892912446828, 70.25863, 28.46267, 11.18219, 50.40546, 0, 0, 11.1008, 0, 42.13632
14.4888522433882, 102.8368, 27.1025, 10.67609, 47.79057, 0, 0, 21.14588, 0, 60.71909
14.58877536230812, 108.5206, 36.8394, 10.1929, 45.31133, 0, 0, 20.28982, 0, 57.99835
14.68869848122804, 128.7577, 35.07892, 9.731574, 50.63215, 0, 0, 19.46842, 0, 57.50102
14.78862160014796, 166.0497, 38.74289, 9.291128, 48.0055, 0, 0, 18.68027, 28.60617, 79.10706
14.88854471906788, 167.1038, 40.68207, 8.870618, 45.51511, 0, 0, 17.92403, 28.78126, 75.56237
14.98846783798779, 173.7348, 45.54985, 8.469138, 50.33374, 0, 0, 17.1984, 35.55945, 72.17652
15.08839095690771, 168.1942, 43.37312, 8.085831, 63.34028, 4.454939, 0, 16.50215, 34.03518, 76.34546
15.18831407582763, 179.8749, 47.36177, 7.719871, 60.05437, 5.489422, 0, 15.83409, 32.57625, 88.13227
