 , C03, C06, C08, C09, C11, C12, C14, C18
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.694096198482933, 14.00863, 29.87167, 701.3757, 36.2154, 23.4235, 511.9593, 37.77238, 58.58626
7.794019525735958, 13.37812, 31.35948, 672.8707, 34.75758, 22.38958, 509.5623, 36.13308, 56.20073
7.893942852988983, 12.77599, 30.08856, 672.737, 36.1323, 21.40129, 488.7802, 34.56493, 53.91233
7.993866180242009, 12.20096, 28.86914, 663.5952, 34.67782, 20.45662, 510.5437, 33.06483, 51.71712
8.093789507495034, 11.65181, 27.69915, 664.3316, 33.28189, 19.55366, 489.7216, 31.62983, 49.61129
8.193712834748059, 11.12737, 26.57657, 653.9182, 31.94216, 18.69055, 489.421, 30.25711, 47.5912
8.293636162001084, 10.62654, 25.49949, 650.0822, 30.65635, 17.86554, 477.7704, 28.94397, 48.3212
8.393559489254109, 10.14826, 24.46605, 672.7598, 29.4223, 17.07695, 475.0374, 27.68781, 46.35364
8.493482816507134, 9.691495, 23.4745, 663.3856, 28.23793, 25.68533, 459.0973, 26.48618, 44.4662
8.593406143760159, 9.255293, 22.52314, 636.4246, 40.96259, 24.55157, 463.4171, 25.33669, 45.34422
8.693329471013184, 8.838723, 21.61033, 639.1658, 39.31367, 34.03207, 444.517, 24.23709, 46.30399
8.793252798266209, 8.440903, 23.8382, 631.6866, 37.73113, 32.52988, 467.8695, 23.18521, 44.41857
8.893176125519235, 8.060988, 22.87209, 631.1861, 36.2123, 31.09399, 466.554, 22.17898, 42.60992
8.99309945277226, 7.698173, 29.97921, 620.7991, 45.53753, 29.72149, 451.785, 21.21643, 40.87492
9.093022780025285, 7.351688, 28.76423, 624.4391, 43.70445, 28.40956, 452.3781, 20.29564, 39.21056
9.19294610727831, 7.020797, 27.59848, 625.2255, 41.94516, 27.15555, 442.1466, 19.41482, 47.47132
9.292869434531335, 6.7048, 26.47998, 606.7664, 40.25669, 25.95689, 452.8272, 18.57223, 45.53837
9.39279276178436, 6.403025, 25.40681, 606.1091, 38.63619, 42.05365, 477.8907, 17.7662, 43.68413
9.492716089037385, 6.114832, 24.37714, 613.8817, 37.08092, 40.19738, 465.028, 16.99516, 41.90539
9.59263941629041, 5.839611, 30.33663, 606.4786, 35.58826, 38.42305, 446.0622, 16.25758, 40.19907
9.692562743543435, 5.576777, 34.19164, 601.5325, 34.15568, 46.75948, 444.118, 15.55201, 38.56224
9.79248607079646, 5.325774, 32.80593, 622.1147, 32.78077, 44.6955, 467.9847, 14.87706, 36.99205
9.892409398049486, 5.086067, 31.47639, 610.1741, 31.4612, 42.72261, 454.2242, 14.2314, 61.88753
9.992332725302511, 4.85715, 30.20072, 614.645, 37.47996, 40.83681, 454.0956, 13.61376, 59.36758
10.09225605255554, 4.638535, 28.97676, 604.9036, 35.97123, 56.11372, 450.6586, 13.02293, 59.25863
10.19217937980856, 4.42976, 27.8024, 595.6743, 39.24092, 54.06018, 456.773, 12.45774, 56.84573
10.29210270706159, 4.230382, 26.67564, 590.3724, 37.66131, 51.67394, 439.6613, 11.91708, 54.53107
10.39202603431461, 4.039978, 25.59454, 585.3909, 36.14529, 49.39302, 445.2796, 11.39989, 52.31066
10.49194936156764, 3.858144, 24.55725, 579.2147, 34.69028, 47.21279, 444.477, 10.90514, 51.67771
10.59187268882066, 3.684493, 23.56201, 580.5825, 42.07285, 45.1288, 426.3493, 10.43186, 49.57349
10.69179601607369, 3.518659, 22.6071, 572.8658, 49.71223, 43.13679, 421.1395, 9.979123, 47.55494
10.79171934332671, 3.360288, 21.69089, 567.5562, 47.7111, 60.34995, 435.9219, 9.546034, 45.61858
10.89164267057974, 3.209046, 20.81181, 557.3403, 45.79053, 57.68607, 429.9739, 9.131741, 43.76107
10.99156599783276, 3.064611, 19.96836, 571.2681, 43.94726, 55.13977, 421.5129, 8.735428, 41.9792
11.09148932508579, 2.926676, 19.15909, 557.9943, 42.1782, 52.70588, 431.9182, 9.739271, 44.19929
11.19141265233881, 2.79495, 18.38261, 545.1124, 40.48035, 62.06874, 425.0672, 11.125, 46.61558
11.29133597959184, 2.669153, 17.63761, 553.7721, 38.85084, 59.32899, 415.8929, 10.64218, 44.71747
11.39125930684486, 2.549018, 19.5696, 542.736, 41.46542, 56.71018, 423.7501, 15.27399, 42.89666
11.49118263409789, 2.434289, 18.77649, 543.6786, 39.79626, 56.96458, 419.8318, 14.61111, 41.14998
11.59110596135091, 2.324725, 18.01552, 541.813, 38.19429, 54.45014, 404.6047, 13.97699, 39.47442
11.69102928860394, 2.220092, 17.2854, 533.3861, 36.65681, 53.74769, 404.2843, 13.3704, 37.86709
11.79095261585696, 2.120168, 16.58486, 539.3154, 59.82239, 51.37524, 396.7933, 12.79013, 36.32521
11.89087594310999, 2.024742, 15.91272, 545.4391, 57.41429, 52.48903, 389.9971, 17.61215, 43.11615
11.99079927036301, 1.933611, 19.70685, 529.6301, 61.38002, 67.57902, 384.1261, 16.8478, 41.36054
12.09072259761604, 1.846582, 18.90817, 519.314, 58.90922, 64.59605, 387.8989, 16.11661, 39.67641
12.19064592486906, 1.763469, 18.14187, 521.6829, 57.62524, 65.96711, 376.4382, 15.41716, 47.76805
12.29056925212209, 1.684098, 17.40663, 501.1977, 55.30558, 63.05529, 373.2219, 14.74806, 45.82302
12.39049257937511, 1.608299, 22.98646, 514.489, 54.81065, 60.27199, 372.7813, 14.108, 43.95719
12.49041590662814, 1.535911, 22.05487, 493.5794, 52.60428, 57.61155, 368.1966, 13.49572, 42.16733
12.59033923388116, 1.466781, 26.26575, 489.4139, 51.52967, 62.26723, 355.2028, 12.91001, 40.45035
12.69026256113419, 1.400764, 25.20126, 500.5686, 53.56735, 59.51872, 357.9401, 12.34972, 38.80328
12.79018588838721, 1.337717, 24.17991, 497.9908, 59.58321, 56.89153, 356.6121, 11.81375, 37.22328
12.89010921564024, 1.277508, 23.19996, 500.0206, 57.18473, 59.82504, 348.8039, 11.30104, 35.70761
12.99003254289326, 1.220009, 22.25972, 491.0937, 58.99921, 57.18433, 334.5782, 10.81058, 42.31039
13.08995587014629, 1.165098, 21.35759, 489.1122, 56.62424, 57.58517, 336.5996, 10.34141, 41.16981
13.18987919739931, 1.112658, 20.49202, 482.9957, 54.34488, 55.04333, 338.2587, 9.892595, 39.49345
13.28980252465234, 1.062579, 19.66152, 463.366, 52.15726, 52.61369, 336.615, 9.463262, 37.88534
13.38972585190536, 1.014753, 18.86469, 477.3094, 50.05772, 50.29129, 329.7168, 9.052561, 36.34272
13.48964917915839, 0.9690805, 18.10015, 465.2939, 48.04268, 50.29683, 341.6222, 8.659684, 34.8629
13.58957250641141, 0.9254634, 17.36659, 475.554, 46.10876, 48.0767, 327.6894, 8.283858, 33.44335
13.68949583366444, 0.8838094, 16.66277, 460.0847, 44.25269, 45.95457, 324.4146, 7.924343, 39.43349
13.78941916091746, 0.8440302, 15.98747, 456.0104, 42.47133, 43.92611, 323.1465, 7.580431, 37.82783
13.88934248817049, 0.8060414, 15.33953, 467.4785, 41.25082, 41.98719, 318.0717, 7.251443, 36.28754
13.98926581542351, 0.7697625, 14.71786, 452.3186, 39.5903, 40.13385, 305.0994, 6.936734, 38.32924
14.08918914267654, 0.7351164, 15.22305, 453.706, 41.12028, 38.36232, 310.6573, 6.635684, 36.76854
14.18911246992957, 0.7020296, 14.6061, 446.0881, 41.44304, 36.66899, 306.2095, 6.347698, 35.27139
14.28903579718259, 0.6704322, 14.01415, 448.1937, 42.3709, 41.31669, 316.2124, 6.072211, 45.31248
14.38895912443562, 0.6402568, 13.44619, 444.3232, 40.66529, 39.49295, 306.463, 5.80868, 43.46744
14.48888245168864, 0.6114396, 12.90125, 434.8329, 45.4063, 48.59122, 323.4617, 5.556586, 41.69752
14.58880577894167, 0.5839195, 12.37839, 435.862, 43.5785, 46.44638, 310.2696, 5.315433, 41.10603
14.68872910619469, 0.557638, 11.87673, 435.2022, 41.82428, 44.39622, 311.0403, 5.084746, 39.43227
14.78865243344772, 0.5325394, 11.39539, 427.7417, 40.14068, 42.43655, 298.3547, 4.86407, 37.82665
14.88857576070074, 0.5085704, 10.93356, 432.7808, 38.52485, 40.56337, 294.8354, 4.652972, 47.72462
14.98849908795377, 0.4856803, 10.49045, 429.6465, 40.5433, 38.77288, 282.8108, 4.451035, 57.46485
15.08842241520679, 0.4638204, 10.0653, 412.185, 38.91125, 37.06143, 291.4754, 4.257863, 55.12498
15.18834574245982, 0.4429444, 12.53803, 430.2144, 43.98309, 35.42552, 279.5878, 4.073073, 52.88039
15.28826906971284, 0.4230081, 12.02989, 412.7299, 42.21258, 33.86182, 289.5917, 3.896304, 54.3308
15.38819239696587, 0.403969, 11.54235, 411.2706, 47.66946, 32.36714, 277.7809, 3.727206, 52.11854
15.48811572421889, 0.3857868, 11.07457, 397.1786, 45.75056, 30.93844, 278.2106, 3.565447, 49.99636
