 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C029, C030, C033, C040, C047, C074, C081, C083, C093, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
96.2, 384.781, 349.329, 15.64886, 44.56968, 3284.548, 257.9369, 379.5536, 112.8408, 449.3668, 1683.978, 573.9337, 366.7944, 249.592, 1414.308, 649.9986, 809.6465, 355.0759, 251.6761, 476.6957, 747.9287, 131.8694, 249.2675, 681.0187, 507.537, 1101.232, 309.7963, 474.9291, 0.9255086, 81.13647, 394.209, 448.1498, 300.474, 896.5848, 1042.749, 1674.276, 467.1631, 674.1302, 1077.64
96.3, 413.597, 400.8926, 14.98193, 42.59929, 3367.475, 245.9825, 398.5763, 107.6034, 421.2838, 1590.413, 542.6641, 349.3289, 254.2007, 1419.288, 849.9134, 953.6239, 346.7356, 241.128, 452.5049, 704.4425, 122.3981, 234.0846, 802.6111, 477.5514, 1053.963, 343.8693, 667.4021, 0.8879887, 106.1652, 376.7089, 481.7003, 287.9606, 1205.287, 1277.701, 1594.036, 444.8335, 642.9281, 1042.272
96.40000000000001, 545.1708, 375.9534, 64.26593, 40.71601, 3281.721, 234.5822, 568.0006, 102.6091, 394.9559, 1770.058, 513.0981, 332.6951, 238.6387, 1465.026, 935.655, 906.0737, 361.5529, 231.0221, 553.4714, 663.4847, 113.607, 219.8264, 898.9019, 449.3375, 1008.722, 322.5081, 633.4432, 0.85199, 233.138, 408.4925, 461.9926, 275.9684, 1340.382, 1254.01, 1665.299, 423.5712, 613.1702, 1196.358
96.5, 520.5275, 664.8759, 61.52702, 38.91599, 3248.96, 224.5895, 689.1351, 97.84666, 576.0392, 1671.71, 485.143, 316.8533, 224.0293, 1467.174, 887.8436, 860.8944, 430.8705, 221.3397, 525.3845, 777.7148, 105.4474, 206.4368, 1087.33, 562.7891, 965.4229, 398.1, 601.2123, 0.8174506, 223.5822, 457.4033, 552.3061, 274.1241, 1334.623, 1322.64, 1754.484, 403.3252, 584.7897, 1169.77
96.59999999999999, 496.9981, 838.9483, 58.90483, 37.19554, 3184.576, 222.1424, 660.5822, 93.30523, 540.04, 1727.729, 514.0976, 301.7659, 210.3144, 1472.427, 910.4097, 817.9679, 513.586, 212.0631, 498.7229, 747.975, 97.87377, 243.0887, 1102.196, 545.7208, 923.9827, 373.3699, 570.6213, 0.7843114, 214.4181, 437.0978, 675.6373, 262.7081, 1337.36, 1416.841, 1674.681, 384.0469, 557.7227, 1122.17
96.7, 474.5323, 900.2338, 56.3944, 35.55115, 3206.613, 211.847, 758.6575, 88.97458, 506.2905, 1706.224, 600.9991, 287.3969, 197.439, 1495.475, 863.8882, 777.1818, 489.7994, 203.1752, 473.4143, 746.7029, 90.84414, 228.2821, 1136.549, 513.4793, 884.3212, 350.1761, 541.5869, 0.7525157, 205.6296, 417.6938, 682.5678, 251.7675, 1272.765, 1343.244, 1744.824, 365.6901, 531.9086, 1076.506
96.8, 550.1024, 936.4053, 53.99096, 33.97946, 3165.269, 202.0287, 720.6735, 84.84493, 568.4828, 1623.918, 568.2549, 273.7121, 185.3519, 1421.509, 819.7441, 738.4294, 467.1145, 244.79, 449.3901, 703.288, 84.3194, 226.2824, 1066.625, 483.1427, 846.3622, 328.423, 514.0297, 0.7220089, 197.2013, 501.1408, 674.6602, 241.2826, 1382.835, 1273.471, 1713.02, 348.2107, 507.2892, 1032.7
96.90000000000001, 525.2362, 903.7696, 51.68995, 32.47726, 3108.941, 205.7681, 684.5912, 80.90696, 532.9558, 1691.505, 537.2947, 260.6789, 174.0047, 1391.952, 777.8557, 701.6094, 445.4802, 234.5305, 426.585, 662.3973, 78.26328, 212.4995, 1001.002, 454.5984, 810.0326, 308.0213, 617.4063, 0.692739, 189.1185, 478.8938, 647.058, 231.2343, 1316.043, 1336.819, 1704.18, 331.5668, 483.8094, 990.6768
97, 501.494, 847.5469, 49.487, 31.04146, 2989.76, 246.099, 650.3156, 77.15176, 499.649, 1622.526, 508.0213, 248.2663, 163.3523, 1323.106, 738.1077, 666.6252, 424.8479, 224.7011, 404.9371, 623.8841, 107.1033, 235.7389, 984.6832, 427.7405, 775.2624, 362.1648, 585.9913, 0.6646555, 181.367, 457.6343, 747.0042, 221.6044, 1320.501, 1300.047, 1701.211, 315.7185, 461.4163, 950.3637
97.09999999999999, 478.825, 843.5108, 105.7708, 29.66914, 2964.491, 234.6933, 617.7559, 73.57086, 503.527, 1540.374, 489.77, 236.4447, 153.3519, 1365.061, 700.3908, 633.3855, 426.276, 215.2836, 384.3879, 742.3116, 99.41077, 270.2906, 991.8006, 508.5501, 913.5901, 339.667, 556.1748, 0.6377106, 173.9332, 437.3186, 903.7222, 212.3756, 1256.72, 1232.517, 1723.048, 300.6277, 467.7664, 937.1523
