 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
105, 101.4577, 10.49103, 206.3501, 287.0849, 1172.326, 781.8951, 629.3554, 152.7767, 915.8693, 536.537, 523.4125, 581.8634, 203.5585, 539.7173, 0.04699281, 1.3598, 10.51713, 227.7029, 1152.772, 412.8887, 137.2635, 544.7741, 4.685672, 1879.321, 206.3302, 737.8728, 973.3044, 650.7299, 49.39454, 883.7188, 620.364, 1227.728, 762.5712, 494.1573, 657.2064, 640.5549, 3091.862, 1820.483, 1352.623, 694.3572
105.1, 97.09894, 20.17036, 197.6513, 395.0911, 1144.225, 789.7543, 603.4036, 146.1491, 876.1634, 513.9257, 500.7167, 636.9066, 195.097, 592.4143, 0.04489142, 1.300629, 9.955929, 217.3762, 1118.842, 395.0641, 131.5807, 519.0872, 4.488153, 1798.762, 196.1987, 704.3723, 928.7159, 621.0785, 47.21267, 947.6075, 590.7414, 1296.311, 785.1749, 472.8323, 626.7962, 609.9783, 3145.816, 1892.469, 1351.321, 664.2847
105.2, 92.92745, 19.28638, 189.3192, 377.9147, 1123.758, 755.7564, 578.5219, 139.809, 838.1789, 492.2672, 543.8368, 611.0231, 285.8193, 568.5037, 0.042884, 1.244033, 9.424672, 207.5178, 1103.048, 378.009, 126.1332, 494.6114, 4.29896, 1721.657, 186.5647, 758.0475, 886.17, 592.7782, 45.12717, 906.6103, 562.5333, 1294.705, 1029.113, 614.9705, 758.4056, 580.8612, 3047.986, 1905.205, 1393.999, 635.5147
105.3, 164.9882, 37.63308, 181.3384, 419.8079, 1070.033, 723.2221, 554.6661, 133.7439, 801.8412, 654.0027, 520.2554, 624.8613, 273.9695, 656.6859, 0.04096635, 1.189899, 8.921763, 198.1065, 1056.016, 361.6901, 120.9112, 560.3458, 4.117743, 1811.254, 177.4037, 839.175, 1005.362, 565.7675, 43.13379, 974.8182, 587.7301, 1255.169, 1140.195, 588.4319, 723.3128, 553.134, 3073.032, 1966.989, 1536.654, 607.9907
105.4, 157.9001, 35.98378, 173.694, 432.5269, 1106.873, 692.0884, 531.7941, 127.9419, 767.0788, 649.1873, 519.7267, 688.0791, 290.733, 630.1812, 0.03913444, 1.138121, 8.44569, 189.122, 1092.602, 346.0758, 115.9055, 631.0568, 3.944165, 1878.972, 168.6926, 829.7014, 1107.947, 539.9875, 41.22846, 1065.93, 741.1799, 1334.409, 1402.696, 646.9875, 746.1176, 526.7304, 3101.082, 2042.032, 1548.285, 581.6587
105.5, 151.1166, 96.09, 197.4949, 474.0215, 1053.955, 687.3718, 509.8653, 122.3917, 733.8235, 621.8285, 504.5418, 756.3228, 278.6478, 777.9585, 0.03738446, 228.8135, 7.995021, 370.1848, 1046.015, 331.1355, 111.1069, 601.3015, 3.777903, 1934, 160.4092, 940.2455, 1180.7, 515.3822, 39.4073, 1299.035, 705.7882, 1644.599, 1773.801, 671.3123, 781.5955, 501.5871, 3075.903, 2201.637, 1782.821, 683.1665
105.6, 191.8149, 91.87878, 212.4667, 453.4135, 1003.568, 657.7813, 488.8406, 117.0822, 702.0099, 619.0325, 580.8628, 802.2262, 441.9556, 803.4993, 0.03571273, 310.5349, 7.568399, 378.6338, 1092.344, 316.8402, 106.507, 572.9492, 3.61865, 1908.891, 152.5325, 1009.512, 1267.732, 491.8981, 37.66658, 1611.46, 672.0865, 1626.283, 2041.495, 672.2213, 923.8122, 477.644, 2970.842, 2275.517, 1922.008, 653.5787
105.7, 183.5743, 87.85213, 203.5101, 513.2097, 955.5888, 629.4647, 468.683, 112.0031, 671.5755, 651.2257, 602.0148, 841.8312, 423.5843, 771.069, 0.03411575, 297.0221, 117.4829, 464.0679, 1094.116, 303.162, 102.0976, 545.9338, 3.46611, 1975.846, 145.0426, 963.6791, 1333.315, 469.4841, 36.00275, 1750.372, 639.9941, 1817.096, 2307.701, 761.2443, 1128.424, 454.8439, 3006.114, 2202.748, 2041.838, 702.9146
105.8, 236.5452, 128.5925, 194.9311, 490.8981, 1056.343, 684.5564, 449.3565, 107.1443, 642.4606, 750.8793, 585.2831, 807.6197, 533.0983, 815.7947, 0.03259019, 308.8329, 111.2139, 490.6471, 1103.381, 290.0744, 97.87073, 520.1921, 3.320001, 1891.15, 137.9206, 1213.209, 1401.376, 448.0914, 34.41242, 2044.08, 609.4341, 1924.241, 2602.546, 728.3934, 1329.683, 534.0423, 2881.799, 2208.994, 2103.355, 819.8185
105.9, 289.8262, 178.7634, 186.7137, 469.5565, 1038.278, 682.5835, 430.827, 102.4962, 614.6078, 719.2349, 605.1338, 995.791, 510.9384, 782.8681, 0.03113285, 325.1335, 121.9902, 468.3954, 1099.161, 277.5517, 93.81884, 495.6643, 3.18005, 1917.619, 131.1482, 1191.858, 1446.361, 427.6735, 32.89234, 2077.508, 580.3334, 2081.112, 2750.013, 752.8096, 1390.885, 508.55, 2958.851, 2147.447, 2100.519, 784.3123
106, 289.2619, 170.9289, 178.8427, 486.4341, 1018.116, 665.1202, 413.0616, 98.04984, 587.9626, 688.9241, 606.6633, 955.3227, 489.6996, 802.6132, 0.02974067, 401.1784, 115.4807, 447.1529, 1072.202, 265.5697, 89.9347, 472.2929, 3.045999, 1952.916, 124.7084, 1264.104, 1421.777, 408.186, 31.43941, 2062.676, 552.6223, 2184.131, 2628.47, 720.3226, 1591.82, 484.2745, 3053.678, 2238.142, 2235.158, 750.3439
106.1, 276.8349, 163.4379, 246.4659, 586.9255, 1080.775, 636.4876, 396.0287, 93.79633, 562.4726, 659.8906, 580.3577, 916.499, 522.4037, 786.1179, 0.02841075, 407.1356, 109.3185, 507.6962, 1158.142, 254.1049, 86.21136, 450.0236, 2.917599, 1924.778, 118.5848, 1287.795, 1487.538, 389.5864, 30.05065, 2216.573, 526.2343, 2144.977, 2660.454, 766.8607, 1626.843, 614.072, 2927.397, 2244.309, 2346.134, 717.8466
106.2, 385.6795, 254.9659, 236.076, 600.3542, 1083.857, 640.8418, 379.6982, 89.72735, 538.0876, 924.0842, 555.1927, 1099.97, 549.1281, 780.3741, 0.0271403, 408.2681, 207.3127, 484.6713, 1108.76, 243.1351, 82.64217, 428.8043, 2.794611, 1842.27, 112.7618, 1229.327, 1464.446, 371.8344, 28.72324, 2120.675, 590.313, 2235.584, 2803.042, 833.7526, 1561.331, 584.7595, 2997.809, 2152.172, 2480.368, 686.7568
106.3, 369.1102, 256.9814, 226.1242, 741.5919, 1122.6, 669.5633, 364.0411, 85.83488, 514.7598, 912.7662, 594.8138, 1055.268, 526.3019, 796.0963, 0.02592666, 458.4171, 196.2503, 462.6906, 1093.781, 232.6388, 79.22075, 408.5855, 2.676808, 1803.301, 107.2248, 1336.697, 1397.358, 354.8912, 350.3018, 2075.053, 622.5388, 2134.303, 2728.06, 797.7726, 1673.217, 556.8463, 3015.524, 2120.952, 2547.44, 657.0135
106.4, 353.2528, 302.1543, 216.5918, 828.3764, 1068.931, 706.4717, 349.0297, 131.0152, 492.4433, 923.0447, 644.8258, 1012.382, 504.4245, 840.653, 0.02476729, 491.147, 250.1515, 517.4081, 1103.286, 222.5957, 75.94098, 389.32, 2.56397, 1852.941, 101.9597, 1276.009, 1419.939, 419.4612, 334.8281, 2009.82, 718.5827, 2197.169, 2775.572, 786.1965, 1595.795, 530.2654, 2988.114, 2076.87, 2582.687, 628.5584
106.5, 338.0767, 288.9121, 268.1035, 792.363, 1070.137, 745.8917, 334.6372, 125.3316, 471.0943, 908.3777, 616.8654, 971.2397, 483.4565, 806.7231, 0.02365977, 519.3513, 236.8032, 493.9427, 1056.243, 212.9861, 72.79699, 370.963, 2.455889, 1773.513, 96.95316, 1218.077, 1387.609, 400.3478, 320.0379, 1959.971, 684.2701, 2097.629, 2744.887, 802.9854, 1573.971, 602.8043, 2907.384, 2199.343, 2497.227, 601.3357
106.6, 323.5525, 283.1014, 256.8015, 757.9153, 1163.533, 737.214, 320.8382, 174.8347, 450.6708, 927.9044, 607.1888, 1094.3, 463.3602, 774.1627, 0.02260177, 496.7518, 240.8334, 483.728, 1117.245, 203.7914, 69.78316, 353.4715, 2.352364, 1737.828, 92.19242, 1333.006, 1421.054, 477.4175, 348.8407, 1955.116, 651.5959, 2151.094, 2787.666, 840.3505, 1525.133, 611.4776, 2873.033, 2211.634, 2558.81, 575.2919
106.7, 309.6523, 284.0975, 302.3528, 728.1841, 1107.907, 731.0802, 307.6083, 188.1251, 431.1328, 993.9312, 631.223, 1188.691, 452.4031, 812.2006, 0.02159108, 475.1358, 262.1794, 461.7901, 1105.868, 194.9936, 66.89411, 336.8047, 2.253203, 1723.302, 87.66546, 1272.485, 1458.454, 455.6633, 333.4315, 1999.93, 841.1666, 2140.211, 2725.844, 829.8157, 1508.793, 582.2889, 2825.785, 2120.838, 2536.922, 550.3762
106.8, 296.3492, 271.6467, 289.6071, 762.2231, 1108.22, 699.6082, 294.9239, 179.964, 412.4418, 1027.425, 603.8525, 1200.554, 462.1752, 779.4191, 0.02062559, 454.4604, 248.1893, 542.8472, 1193.61, 186.5756, 64.12466, 461.1286, 2.158222, 1649.431, 83.36079, 1490.704, 1391.64, 520.2273, 403.1239, 2061.242, 992.1851, 2073.298, 2724.258, 794.0056, 1438.978, 554.4936, 2744.246, 2033.77, 2595.979, 526.5395
106.9, 283.6177, 302.0486, 277.3986, 852.7159, 1100.659, 751.9235, 282.7625, 266.2264, 394.5612, 1056.211, 800.6924, 1257.171, 442.9634, 841.7266, 0.01970327, 528.063, 324.4811, 518.2281, 1142.716, 178.5211, 61.46988, 488.5499, 2.067245, 1872.138, 79.26749, 1423.024, 1392.909, 496.5224, 385.3169, 2038.891, 1001.048, 2174.863, 2716.782, 759.7408, 1372.394, 528.025, 2888.736, 2176.624, 2487.289, 503.7352
107, 271.4332, 354.2556, 265.7048, 846.9001, 1048.038, 719.5542, 271.1026, 351.5859, 377.4557, 1011.698, 817.158, 1206.08, 424.5503, 917.0818, 0.01882219, 523.933, 307.1665, 515.5045, 1093.992, 170.8142, 58.925, 497.2152, 1.980103, 1834.478, 75.37518, 1447.959, 1348.454, 473.8977, 456.9288, 1950.681, 953.2477, 2249.372, 2655.827, 735.7844, 1420.071, 545.4637, 2769.276, 2237.69, 2500.651, 615.4161
107.1, 259.7721, 338.73, 291.7254, 977.4599, 997.9335, 699.3782, 259.9235, 336.3337, 361.0917, 1172.042, 781.7251, 1315.511, 406.9026, 891.8549, 0.01798051, 501.1342, 290.7758, 492.1254, 1199.486, 163.4401, 56.48547, 491.5618, 1.896634, 1851.492, 71.674, 1382.219, 1392.806, 452.3039, 436.7451, 2007.197, 907.7298, 2256.238, 2713.012, 704.0321, 1499.872, 583.1664, 2844.474, 2227.776, 2574.433, 637.2487
107.2, 248.612, 323.8849, 291.5501, 982.5026, 1019.105, 763.0402, 249.2054, 321.7432, 345.4373, 1230.87, 841.7448, 1317.734, 389.9884, 889.4474, 0.01717647, 479.3275, 275.2598, 577.9183, 1148.341, 156.3843, 54.14695, 511.4155, 1.816684, 1839.836, 68.15456, 1484.201, 1422.765, 431.694, 417.453, 1920.358, 950.472, 2211.243, 2727.124, 885.9591, 1473.314, 555.3292, 2844.738, 2209.143, 2545.942, 609.6496
107.3, 237.9313, 408.5799, 336.5385, 1066.085, 1148.738, 747.3027, 238.9293, 408.0622, 330.4615, 1178.997, 805.2457, 1329.958, 373.7773, 853.5482, 0.01640839, 526.334, 313.0873, 551.7087, 1153.147, 149.6331, 51.90524, 540.8462, 1.740104, 1825.043, 64.80794, 1416.816, 1369.374, 441.1926, 399.013, 1992.46, 905.0866, 2260.995, 2670.387, 945.1386, 1510.78, 627.0779, 2768.229, 2205.213, 2735.854, 625.2807
107.4, 227.7095, 390.6736, 322.3516, 1222.753, 1156.525, 715.1323, 229.0769, 390.3601, 316.1349, 1526.397, 770.3293, 1351.455, 358.2401, 942.2286, 0.01567465, 546.4216, 296.3807, 559.2889, 1103.979, 143.1734, 49.75634, 545.5839, 1.666752, 1872.941, 61.62564, 1608.085, 1416.335, 503.0685, 576.8242, 1930.566, 861.8683, 2266.882, 2723.939, 904.3518, 1440.873, 597.1446, 2777.106, 2157.379, 2795.965, 696.0348
107.5, 217.9268, 387.683, 314.1853, 1477.883, 1276.849, 684.3468, 219.6308, 373.4258, 302.4294, 1665.807, 943.5019, 1416.27, 343.3488, 1031.942, 0.01497372, 522.6442, 280.5656, 533.9242, 1228.609, 136.9925, 47.69641, 648.6136, 1.596492, 1970.197, 58.59961, 1704.252, 1467.42, 480.1455, 551.3445, 1914.846, 879.6384, 2244.237, 2603.549, 865.3251, 1418.077, 633.1807, 2766.105, 2231.407, 2786.343, 665.8896
107.6, 208.5644, 454.8062, 353.2708, 1753.439, 1369.522, 654.8866, 210.5741, 357.2263, 289.3181, 1866.361, 902.5906, 1381.697, 329.0764, 990.2918, 0.01430414, 560.0298, 265.5944, 509.7098, 1176.223, 131.0785, 45.72176, 654.427, 1.529194, 1995.118, 356.6345, 1770.368, 1444.655, 577.5262, 559.1794, 1928.677, 904.7767, 2312.146, 2568.027, 843.7924, 1369.5, 625.351, 2727.203, 2286.981, 2857.923, 637.0501
107.7, 199.6043, 442.1828, 560.4974, 1787.216, 1549.081, 626.6946, 201.891, 341.7294, 276.7753, 2150.824, 863.4532, 1437.336, 315.3973, 950.3223, 0.0136645, 601.197, 251.422, 486.5936, 1126.07, 125.4198, 43.82886, 717.9326, 1.464732, 1970.98, 694.7715, 1737.759, 1378.473, 551.2104, 534.4791, 1913.203, 877.0332, 2330.598, 2572.265, 811.9437, 1306.13, 636.5491, 2674.965, 2193.092, 2793.8, 609.4596
107.8, 191.029, 534.8973, 536.8695, 2063.947, 1787.796, 599.7162, 193.5659, 326.9048, 264.7762, 2332.82, 826.0129, 1467.961, 302.2868, 973.3464, 0.01305346, 607.7274, 238.0059, 464.5257, 1131.78, 120.0053, 42.01432, 815.4146, 1.402988, 1886.492, 660.6559, 1840.01, 1315.323, 561.1625, 583.8336, 1830.43, 988.8016, 2259.659, 2469.817, 790.0598, 1407.337, 770.6383, 2675.081, 2205.98, 2839.788, 583.064
107.9, 182.8222, 566.3204, 514.2376, 2069.502, 1987.341, 608.1723, 185.5841, 342.7899, 253.2973, 2505.607, 790.1961, 1456.621, 289.7213, 934.0608, 0.01246974, 666.1307, 225.3057, 482.399, 1152.066, 114.8246, 40.27491, 776.9665, 1.343847, 1919.933, 873.3246, 1812.077, 1404.897, 535.5923, 558.0443, 1852.461, 1046.501, 2276.374, 2404.611, 971.2369, 1451.504, 733.8522, 2664.064, 2303.775, 2720.89, 557.8116
108, 174.9679, 541.501, 512.095, 2104.294, 1981.85, 581.9913, 177.9314, 409.0919, 242.316, 2500.136, 755.9323, 1423.861, 277.6782, 896.3608, 0.01191213, 637.1442, 213.2832, 460.5214, 1102.943, 109.8676, 38.60751, 740.3313, 1.287199, 1961.507, 1007.136, 1729.806, 1340.536, 588.5825, 533.394, 1772.316, 996.53, 2220.198, 2419.442, 929.3239, 1503.766, 698.822, 2595.938, 2209.197, 2831.851, 533.653
108.1, 167.4511, 517.7693, 490.5075, 2091.008, 2117.033, 565.4594, 170.5943, 391.345, 231.8109, 2497.372, 853.1155, 1579.006, 266.1357, 932.2809, 0.01137945, 609.419, 201.9022, 439.6359, 1055.915, 105.1245, 37.00914, 705.4235, 1.232939, 1985.24, 987.3187, 1742.051, 1396.653, 590.8726, 509.8327, 1792.509, 948.9453, 2226.671, 2437.657, 924.3795, 1561.24, 665.464, 2642.429, 2212.701, 2754.77, 510.5406
108.2, 160.2572, 495.0777, 469.83, 2069.914, 2015.822, 541.1171, 163.5597, 374.3681, 221.7611, 2392.125, 892.6177, 1514.836, 255.0729, 962.8962, 0.0108706, 582.9003, 191.1286, 518.9669, 1144.741, 100.5863, 35.47695, 672.1617, 1.180966, 1921.159, 1037.597, 1662.959, 1332.67, 640.3575, 547.567, 1730.063, 903.6328, 2125.794, 2504.845, 884.4886, 1626.255, 691.1743, 2697.581, 2249.894, 2811.542, 667.2227
108.3, 153.3724, 473.3806, 534.7276, 2047.466, 1961.663, 572.7782, 156.8152, 358.1276, 212.1471, 2386.801, 853.9128, 1453.274, 244.47, 993.0266, 0.01038449, 606.2236, 180.9298, 495.4309, 1095.931, 96.2439, 34.00819, 693.6093, 1.131183, 1935.774, 986.6471, 1587.458, 1271.618, 611.1787, 582.8985, 1817.796, 977.2618, 2263.026, 2513.462, 867.2725, 1587.609, 727.9137, 2650.375, 2293.7, 2882.786, 638.3254
108.4, 146.7833, 452.6343, 512.186, 1958.453, 1960.885, 548.1208, 150.3489, 342.5916, 202.9498, 2347.088, 816.8862, 1484.742, 234.3078, 952.9467, 0.009920128, 579.844, 210.3632, 472.9622, 1212.803, 92.089, 32.60023, 660.9045, 1.0835, 1942.863, 1124.866, 1765.486, 1336.983, 700.1167, 557.1505, 1739.151, 958.7159, 2211.967, 2402.375, 829.8459, 1514.148, 693.167, 2655.566, 2259.073, 2847.312, 610.6797
108.5, 140.4773, 432.7973, 490.5946, 2032.321, 1950.578, 524.525, 144.1491, 327.7297, 194.1513, 2331.685, 781.4651, 1448.519, 224.5681, 968.3632, 0.009476527, 554.6122, 455.0689, 451.5125, 1161.09, 88.11347, 31.25057, 718.5873, 1.037826, 1883.052, 1069.631, 1949.996, 1312.352, 668.2149, 576.1627, 1751.169, 935.0707, 2174.856, 2396, 804.5976, 1444.085, 660.0789, 2691.852, 2166.33, 2793.245, 812.5424
108.6, 134.4423, 413.8297, 469.9134, 2020.096, 2003.081, 622.0681, 138.2051, 337.313, 185.7342, 2314.474, 927.7404, 1449.399, 215.2332, 929.2788, 0.009052763, 530.4785, 508.9393, 431.0357, 1111.583, 84.30957, 29.95678, 709.5234, 0.9940779, 1832.147, 1017.108, 1938.856, 1265.997, 637.7668, 550.7122, 1699.19, 993.3174, 2157.132, 2368.1, 820.5167, 1454.099, 628.5703, 2689.401, 2191.269, 2874.844, 777.3513
108.7, 128.6665, 395.6933, 450.1041, 1982.155, 1907.318, 595.2889, 132.5061, 322.68, 177.682, 2312.867, 887.5125, 1452.699, 206.2864, 891.7719, 0.008647949, 507.3948, 491.6508, 411.4875, 1104.032, 80.66988, 28.71656, 895.8248, 0.9521737, 1753.61, 967.1647, 1961.13, 1230.97, 608.7061, 526.3859, 1625.676, 945.8861, 2199.047, 2286.026, 898.0581, 1520.518, 752.0364, 2674.163, 2130.962, 2818.868, 743.6844
108.8, 123.1388, 378.3517, 431.1298, 1932.574, 1816.132, 569.6625, 127.0421, 369.0265, 169.979, 2329.992, 849.029, 1393.662, 197.7115, 855.7787, 0.008261236, 485.3157, 547.9842, 392.8258, 1121.971, 224.5708, 27.52768, 853.5852, 0.912036, 1810.99, 1069.113, 1896.958, 1174.578, 580.9695, 503.1341, 1571.18, 900.7197, 2269.136, 2226.74, 879.5184, 1476.913, 869.8728, 2662.147, 2216.893, 2861.564, 711.4756
108.9, 117.8486, 361.7702, 412.9554, 2009.794, 1729.306, 597.2574, 121.8035, 470.029, 162.6098, 2265.113, 892.8047, 1337.025, 189.493, 863.2563, 0.007891817, 464.1973, 518.7433, 375.0104, 1074.132, 402.2759, 26.38802, 813.3373, 0.8735902, 1789.261, 1016.616, 1918.592, 1120.768, 554.4969, 586.0391, 1581.017, 857.7099, 2269.02, 2227.391, 841.5634, 1621.085, 860.745, 2646.589, 2279.404, 2829.178, 680.6617
109, 112.7857, 345.9153, 449.2297, 1966.119, 1646.631, 571.5463, 116.7808, 449.6387, 155.5602, 2287.68, 907.7773, 1282.689, 181.6161, 828.4142, 0.007538917, 620.7302, 550.9079, 358.0031, 1124.854, 384.9094, 25.29555, 774.9872, 0.8367651, 1712.562, 1112.221, 1831.485, 1165.176, 529.2305, 595.0526, 1512.616, 816.7539, 2242.419, 2286.858, 906.0021, 1559.777, 860.4983, 2661.315, 2185.826, 2881.683, 651.1824
109.1, 107.9403, 330.7553, 430.2923, 2004.76, 1567.909, 628.9769, 111.9653, 508.8328, 148.8161, 2249.96, 1015.37, 1230.561, 174.0667, 794.9783, 0.007201797, 593.7192, 521.511, 341.767, 1102.831, 368.2927, 24.2483, 738.4453, 0.8014923, 1639.152, 1120.479, 2004.875, 1134.607, 505.1154, 617.2303, 1447.175, 777.7535, 2174.404, 2185.785, 866.9042, 1487.603, 819.4227, 2642.763, 2185.77, 2761.031, 622.9799
109.2, 103.303, 316.2597, 412.1532, 1967.128, 1492.95, 601.9003, 107.3483, 567.2247, 142.3645, 2178.299, 971.3423, 1229.936, 166.8311, 762.8919, 0.006879753, 567.8837, 493.6827, 326.2673, 1072.216, 352.3933, 23.24441, 703.6265, 0.7677063, 1678.653, 1065.459, 1913.85, 1082.629, 607.2341, 589.9658, 1460.63, 790.8481, 2144.498, 2089.179, 829.4936, 1467.912, 870.5953, 2533.474, 2205.503, 2727, 595.9987
109.3, 98.86502, 302.3994, 394.7787, 1912.473, 1623.309, 575.9893, 102.9217, 542.6179, 136.1925, 2205.184, 1009.828, 1246.727, 159.8962, 778.8372, 0.006572109, 543.1724, 467.3394, 311.4705, 1138.448, 337.1803, 22.28208, 670.4494, 0.7353446, 1623.343, 1013.142, 1826.959, 1164.688, 579.5647, 601.29, 1484.416, 823.9382, 2191.64, 2093.095, 793.6974, 1399.989, 829.0378, 2526.198, 2114.959, 2731.536, 570.1862
109.4, 94.61766, 289.1465, 378.1367, 1955.528, 1545.702, 605.9003, 403.6825, 547.7206, 130.2881, 2136.914, 1072.295, 1196.061, 153.2496, 774.381, 0.006278222, 519.5364, 442.4017, 297.3448, 1089.906, 322.6241, 21.35959, 638.8367, 0.704347, 1673.736, 1054.693, 1850.856, 1111.332, 553.156, 574.7295, 1420.194, 784.5948, 2117.387, 2150.908, 809.9539, 1444.915, 866.2822, 2462.816, 2095.554, 2730.224, 545.4915
109.5, 90.55277, 276.4745, 362.1962, 1974.558, 1514.4, 696.8817, 492.2791, 523.9599, 124.6397, 2159.058, 1025.799, 1159.919, 146.8793, 792.6512, 0.005997477, 496.929, 418.7948, 283.8596, 1097.411, 308.6962, 20.4753, 608.7145, 0.6746562, 1628.284, 1035.07, 1766.825, 1060.42, 634.4119, 549.3423, 1406.722, 796.2513, 2220.181, 2055.844, 775.0009, 1454.013, 848.8327, 2547.666, 2130.007, 2702.231, 521.8664
109.6, 86.66252, 283.1039, 346.9277, 2037.249, 1484.591, 666.8819, 471.9796, 501.23, 119.2362, 2157.474, 1016.953, 1178.055, 140.7738, 760.6587, 0.005729286, 475.3052, 396.4475, 270.9861, 1050.619, 295.3696, 19.62761, 580.0127, 0.6462169, 1625.848, 1090.076, 1819.294, 1011.841, 605.504, 600.1122, 1361.778, 758.23, 2133.145, 2051.309, 779.5517, 1422.96, 856.0327, 2472.984, 2147.425, 2589.092, 499.2645
109.7, 82.9394, 270.6966, 332.3029, 1970.028, 1445.014, 638.1735, 452.5172, 556.9478, 114.0669, 2066.551, 972.8572, 1130.18, 134.9221, 790.1542, 0.005473088, 454.6225, 375.2927, 258.6964, 1005.822, 282.6184, 18.81502, 552.6642, 0.6189764, 1587.167, 1036.549, 1736.695, 1090.709, 577.9134, 654.0883, 1366.995, 722.0242, 2079.362, 2045.963, 745.9107, 1357.117, 815.1703, 2533.221, 2111.512, 2643.632, 477.6414
109.8, 79.37623, 258.8331, 318.2946, 1968.925, 1484.572, 696.058, 433.8574, 532.7869, 109.1218, 2169.475, 970.9468, 1136.202, 129.3137, 758.2626, 0.005228347, 479.2534, 591.986, 246.9641, 1027.848, 270.4176, 18.03607, 526.6052, 0.5928842, 1638.083, 1075.617, 1817.88, 1063.519, 551.58, 625.1956, 1307.853, 852.0054, 2070.466, 2062.808, 713.7214, 1294.32, 950.0202, 2501.217, 2064.065, 2532.946, 456.9549
109.9, 75.96613, 247.4896, 304.8767, 1916.981, 1471.436, 666.0936, 480.4733, 566.8819, 104.391, 2111.476, 1037.268, 1129.802, 123.9384, 757.8467, 0.00499455, 458.3988, 634.6243, 235.7638, 984.0215, 258.7435, 17.28937, 501.775, 0.567892, 1567.865, 1047.564, 1735.346, 1014.798, 526.4465, 597.5792, 1404.535, 867.944, 2087.926, 1971.637, 752.322, 1327.612, 1028.501, 2444.718, 2083.334, 2557.904, 437.1642
110, 72.70254, 291.2374, 292.0246, 1967.637, 1478.583, 637.4192, 460.6607, 542.29, 99.86531, 2156.656, 992.2905, 1083.887, 118.7865, 750.5977, 0.004771207, 463.3799, 794.0751, 225.0715, 1067.878, 247.5734, 16.57358, 478.1155, 0.5439532, 1541.372, 996.1253, 1707.121, 968.3085, 609.4125, 571.1826, 1343.77, 866.1312, 1993.334, 1884.496, 838.9119, 1266.181, 1003.142, 2343.619, 2098.398, 2635.6, 418.2307
110.1, 69.57915, 296.1307, 328.5188, 1882.095, 1407.895, 609.9791, 441.665, 518.7649, 95.53583, 2223.96, 949.2636, 1039.839, 113.8487, 780.9948, 0.004557852, 443.216, 882.6992, 214.8641, 1022.345, 236.8856, 15.88743, 455.5716, 0.5210235, 1560.005, 947.2121, 1736.664, 955.2238, 581.6438, 545.9521, 1461.035, 891.8827, 1956.653, 1849.552, 813.6646, 1310.477, 994.0928, 2538.542, 2074.691, 2561.311, 576.0699
110.2, 66.58994, 283.1526, 314.67, 1800.272, 1379.103, 583.7203, 423.4527, 617.6855, 91.39404, 2522.763, 908.1025, 1047.318, 109.1163, 749.4728, 0.004354037, 454.869, 857.032, 205.1197, 1038.437, 226.6591, 15.22968, 434.0907, 0.4990604, 1626.885, 956.4024, 1684.987, 1034.975, 601.4576, 785.5727, 1397.825, 849.2949, 1958.675, 1850.516, 800.4493, 1249.839, 946.6401, 2477.137, 2083.496, 2639.024, 641.0833
110.3, 63.72916, 270.7432, 301.405, 1840.135, 1463.453, 624.5754, 495.7772, 590.8897, 87.43182, 2763.51, 909.8672, 1004.756, 104.5805, 719.2231, 0.004159337, 435.0755, 811.3, 195.8171, 1116.526, 216.8741, 14.59917, 413.6226, 0.4780231, 1557.147, 909.4398, 1680.62, 987.5616, 574.0514, 750.872, 1337.349, 955.6881, 1933.23, 1865.154, 826.4824, 1346.683, 1093.767, 2450.365, 2176.304, 2671.269, 613.3181
110.4, 60.99128, 258.8777, 288.6992, 1815.958, 1538.382, 677.2625, 475.3335, 583.5851, 83.64137, 2993.755, 954.1295, 963.923, 100.2333, 783.8307, 0.003973343, 440.3291, 768.0084, 186.9365, 1094.235, 207.5116, 13.99475, 394.1197, 0.4578726, 1490.399, 910.7388, 1753.028, 942.3199, 573.7288, 717.7042, 1630.596, 971.5687, 1913.186, 1800.286, 790.8162, 1284.37, 1072.781, 2397.76, 2086.959, 2629.291, 650.826
110.5, 58.37102, 247.5322, 276.529, 1913.323, 1491.907, 648.1072, 455.7328, 558.2686, 80.01524, 2998.936, 956.7364, 1033.838, 96.06679, 772.735, 0.003795666, 499.9323, 727.0267, 178.4586, 1138.597, 198.5532, 13.41537, 375.5363, 0.4385716, 1562.747, 980.8004, 1745.261, 899.1508, 651.2404, 686.0014, 1560.05, 925.1758, 1980.319, 1790.018, 845.4465, 1279.906, 1021.572, 2494.571, 2147.473, 2672.232, 622.6389
