 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
190.2, 719.2399, 447.1737, 1612.285, 30.16586, 1245.625, 314.924, 2682.41, 2059.913, 0.4574624, 607.9405, 1030.116, 7116.454, 2564.86, 7042.891, 901.522, 693.5964, 72.44202, 157.5777, 1.387558e-07, 1135.017, 1802.981, 74.82375, 1127.576, 12.70175, 772.1661, 28.50464, 0.8161446, 539.1868, 790.4484, 0.02315578, 1176.184, 412.4177, 535.2422, 960.84, 76.44424, 628.2729, 538.0195, 1562.223, 2540.392, 6.032568
190.3, 797.8744, 427.576, 1799.866, 28.85441, 1307.082, 301.3669, 2697.198, 2029.054, 0.43763, 582.3199, 1065.409, 7177.203, 2540.359, 7110.841, 861.2084, 663.4148, 68.57645, 150.4313, 1.328394e-07, 1155.536, 1844.427, 71.29569, 1179.305, 12.15727, 778.3324, 27.21048, 0.7787558, 549.7913, 800.3785, 0.02215397, 1321.789, 393.7335, 511.586, 919.3757, 72.90702, 598.2826, 515.7703, 1550.659, 2697.741, 5.771299
190.4, 783.325, 631.6765, 2031.912, 27.59998, 1244.593, 288.3935, 2683, 2215.983, 0.4186573, 557.7791, 1032.742, 7305.817, 2768.919, 7104.021, 911.6399, 737.6883, 64.91715, 143.609, 1.271753e-07, 1173.626, 1813.984, 67.93399, 1215.923, 11.63614, 877.8964, 25.97509, 0.7430798, 524.7393, 872.0392, 0.0211955, 1313.039, 421.9881, 574.1855, 925.9371, 69.53348, 569.7238, 494.4412, 1653.899, 2584.79, 5.521345
190.5, 885.3417, 731.5192, 1989.081, 26.40008, 1309.295, 275.9785, 2572.365, 2254.286, 0.4005072, 534.2725, 1208.439, 7357.307, 2836.17, 7166.155, 870.8738, 725.436, 61.45312, 137.0961, 1.217527e-07, 1122.96, 1936.926, 64.7308, 1275.716, 11.13735, 898.1995, 24.79578, 0.7090381, 500.8288, 833.5191, 0.0202785, 1367.928, 402.8703, 548.8082, 885.9789, 66.31603, 542.5283, 473.9942, 1613.565, 2757.53, 5.282217
190.6, 917.5714, 766.0533, 2260.586, 25.25235, 1322.557, 264.098, 2561.517, 2269.886, 0.3831439, 653.6151, 1336.728, 7411.289, 2945.183, 7166.58, 946.5153, 804.7314, 58.17392, 130.8785, 1.165614e-07, 1276.489, 1861.113, 61.67864, 1295.694, 10.65993, 854.0948, 23.67001, 0.676556, 478.0078, 831.5222, 0.01940118, 1358.205, 478.7846, 551.1399, 1039.807, 63.24747, 516.6309, 454.3927, 1609.961, 2792.87, 5.053445
190.7, 885.9832, 733.6634, 2190.864, 24.15451, 1259.328, 252.729, 2833.751, 2264.851, 0.3665334, 626.0697, 1402.006, 7544.366, 2986.542, 7232.996, 966.4802, 769.7137, 55.06971, 124.943, 1.115913e-07, 1423.957, 1793.696, 58.77039, 1241.076, 10.20299, 812.1558, 22.59536, 0.6455619, 456.2267, 840.954, 0.0185618, 1362.12, 457.0937, 692.4877, 1024.894, 60.32089, 535.0117, 435.6018, 1636.806, 2801.317, 4.834581
190.8, 847.9203, 912.4773, 2302.021, 23.1044, 1199.122, 241.8493, 2769.142, 2320.234, 0.350643, 599.6851, 1357.169, 7608.476, 2885.353, 7298.251, 978.2955, 806.3532, 52.13115, 119.2766, 1.068332e-07, 1362.484, 1951.301, 55.99928, 1233.302, 9.765626, 772.2762, 21.56949, 0.6159878, 511.068, 889.4811, 0.01775875, 1358.248, 436.3855, 661.8817, 980.6651, 57.52973, 509.4731, 417.588, 1621.383, 2803.71, 4.625196
190.9, 892.1003, 1022.846, 2248.77, 22.09995, 1189.019, 231.438, 2766.852, 2281.553, 0.3354415, 574.4125, 1412.572, 7698.127, 3028.975, 7197.73, 934.5488, 858.1308, 49.34938, 113.8672, 1.02278e-07, 1318.013, 2005.432, 53.35883, 1272.585, 9.347013, 734.3548, 20.59021, 0.5877684, 487.7805, 850.1906, 0.01699043, 1388.663, 469.1972, 632.6284, 938.3452, 54.86772, 502.9415, 400.3191, 1717.701, 2804.794, 4.42488
191, 945.605, 978.0195, 2335.466, 21.13916, 1214.237, 286.7814, 2787.068, 2332.247, 0.320899, 550.2049, 1530.126, 7932.799, 3036.725, 7430.082, 961.9993, 851.1373, 46.71605, 108.7031, 9.791701e-08, 1323.883, 1922.406, 50.84287, 1278.331, 8.946345, 698.2955, 19.65538, 0.5608419, 465.5541, 868.6014, 0.01625536, 1396.992, 447.9407, 685.5445, 1036.56, 52.32889, 578.1772, 383.7643, 1732.529, 2875.161, 4.233239
191.1, 904.9807, 1106.976, 2393.001, 20.22014, 1268.146, 373.465, 2746.598, 2519.574, 0.306987, 566.5323, 1721.498, 7845.441, 3147.098, 7304.202, 1076.585, 924.3907, 44.22324, 103.7732, 9.374196e-08, 1266.73, 1913.779, 48.44555, 1273.432, 8.562852, 664.0068, 18.763, 0.5351489, 444.3405, 960.8907, 0.01555209, 1412.274, 484.1586, 655.2454, 1090.194, 49.90754, 690.1664, 367.8942, 1661.403, 2924.129, 4.049899
