 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C014, C015, C017, C018, C019, C020, C022, C023, C024, C025, C029, C030, C031, C035, C036, C037, C038, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C055, C056, C057, C059, C060, C062, C063, C066, C068, C069, C071, C073, C074, C075, C079, C080, C086, C088, C091, C092, C106, C107, C111, C137, C148
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
212.9, 157.3193, 388.9305, 3075.451, 675.9379, 550.1439, 614.8251, 188.5798, 261.486, 34.40728, 1629.083, 827.9352, 1287.477, 1057.051, 192.7273, 1206.053, 285.4026, 3.972764, 85.86503, 1077.252, 974.9149, 446.9824, 1687.29, 644.5611, 2170.229, 2245.409, 909.7904, 1099.366, 636.2303, 460.1647, 1303.635, 2150.593, 516.774, 3903.355, 659.4045, 1793.297, 0.003030174, 5074.638, 1134.58, 484.4967, 11.56821, 602.155, 3080.178, 1475.484, 807.1285, 1342.463, 2508.847, 57.36342, 1450.901, 536.006, 1433.196, 6589.113, 1053.499, 2200.562, 1753.932, 1606.975, 658.6572, 522.3091, 302.6229, 426.8865, 1830.101, 547.1329, 928.0849, 826.7859, 913.0621, 872.5723
213, 149.691, 380.9756, 3205.715, 727.4713, 525.4862, 583.5869, 180.7852, 249.6106, 32.86441, 1772.621, 911.6624, 1300.561, 1010.618, 183.9904, 1195.442, 270.4942, 3.793594, 82.22852, 1067.905, 1089.677, 428.6409, 1616.955, 615.0732, 2129.784, 2201.949, 867.8849, 1041.501, 605.0384, 438.261, 1339.618, 2310.523, 543.9268, 4032.872, 630.655, 1740.918, 0.002895145, 4985.972, 1107.092, 507.0233, 11.09134, 619.3828, 3154.424, 1475.802, 772.955, 1281.656, 2602.796, 54.57853, 1416.975, 570.7688, 1361.754, 6533.768, 1009.228, 2154.072, 1719.386, 1628.606, 628.4698, 497.9011, 288.3927, 405.1652, 1924.542, 520.2861, 887.6815, 792.3395, 957.1778, 915.3102
213.1, 142.4326, 365.4211, 3188.006, 696.6405, 621.4673, 553.9357, 173.3128, 238.2746, 31.39072, 1792.663, 872.4271, 1241.455, 966.2252, 175.6497, 1142.778, 256.3646, 3.622504, 78.74602, 1139.992, 1042.082, 411.052, 1741.595, 586.9344, 2133.49, 2410.098, 933.3391, 986.6823, 575.3757, 417.3998, 1333.432, 2216.352, 520.1175, 3866.885, 699.1268, 1675.217, 0.002766134, 5005.915, 1070.623, 485.6832, 10.63413, 656.2367, 3074.509, 1415.686, 740.2283, 1223.604, 2547.423, 51.92884, 1354.153, 546.8143, 1293.874, 6501.535, 1046.784, 2184.621, 1683.524, 1678.349, 599.666, 677.8195, 274.8316, 384.5491, 1902.979, 673.9891, 849.037, 759.3283, 1038.621, 972.8704
213.2, 135.5261, 350.5016, 3172.586, 667.1163, 617.8861, 525.7911, 166.1492, 227.4533, 29.98311, 1714.837, 965.8216, 1258.327, 998.4212, 167.687, 1092.433, 331.5061, 3.459131, 75.411, 1118.437, 1036.499, 394.1849, 1668.997, 640.8438, 2113.555, 2311.326, 890.3489, 934.7486, 547.1673, 397.5317, 1311.06, 2176.471, 497.3504, 3928.778, 762.4817, 1659.238, 0.002642871, 5016.389, 1042.679, 465.2413, 10.19576, 748.6307, 2994.945, 1427.294, 708.8872, 1208.754, 2592.106, 49.40779, 1361.46, 523.8651, 1229.377, 6652.845, 1118.384, 2091.58, 1718.926, 1767.285, 656.2838, 646.1443, 261.9082, 630.8614, 2013.833, 640.9177, 812.075, 727.6924, 994.3349, 1028.545
213.3, 128.9546, 336.1912, 3091.87, 638.8434, 590.1921, 499.0765, 159.2818, 217.1236, 28.63862, 1797.438, 924.2555, 1250.38, 1086.368, 160.0853, 1307.506, 314.1894, 3.303126, 72.21723, 1070.108, 991.2265, 378.0099, 1599.424, 611.526, 2018.522, 2216.601, 879.4459, 1051.378, 520.3419, 378.6093, 1409.936, 2078.229, 475.58, 3946.344, 729.238, 1714.393, 0.002525101, 5006.573, 1074.133, 445.6598, 9.775467, 735.961, 3155.802, 1402.962, 678.8731, 1248.893, 2551.725, 47.00914, 1376.174, 501.8791, 1297.179, 6554.259, 1071.386, 2175.217, 1709.5, 1797.269, 626.2052, 615.9493, 249.5925, 598.7612, 1949.023, 609.469, 776.7219, 729.4991, 951.937, 1095.327
213.4, 122.7017, 322.4651, 2968.531, 611.7687, 589.1241, 575.7083, 152.6981, 207.2629, 27.35442, 1851.869, 884.4783, 1271.217, 1130.015, 152.8282, 1249.904, 297.7772, 3.154156, 69.15872, 1113.588, 947.9312, 362.4986, 1705.372, 685.6485, 2018.596, 2445.304, 917.9271, 1007.333, 494.8315, 360.5876, 1341.886, 2103.726, 505.5872, 3881.818, 697.4438, 1758.565, 0.002412579, 5022.744, 1220.601, 426.9025, 9.372499, 703.8572, 3111.135, 1392.68, 792.8763, 1192.325, 2616.717, 44.72693, 1315.161, 480.8158, 1310.926, 6632.16, 1096.307, 2119.073, 1635.254, 1733.563, 597.5052, 587.1654, 237.8559, 568.2943, 1921.347, 579.5634, 742.908, 699.106, 911.347, 1043.648
213.5, 116.7519, 309.2994, 3079.102, 585.8414, 594.7488, 632.4033, 146.3866, 197.8501, 26.12781, 1778.852, 973.4763, 1213.444, 1080.378, 145.9001, 1260.358, 282.2224, 3.011905, 66.22974, 1132.208, 961.5308, 347.6238, 1715.513, 685.097, 2091.545, 2345.089, 875.6469, 954.312, 470.5719, 343.4237, 1277.121, 2199.579, 613.7957, 3915.969, 780.1365, 1756.068, 0.002305072, 5093.734, 1259.068, 408.9346, 8.986141, 788.3104, 3175.85, 1335.95, 847.9601, 1176.425, 2506.199, 42.55552, 1256.853, 460.6365, 1290.167, 6788.997, 1050.237, 2109.605, 1673.32, 1718.297, 570.1205, 559.7266, 226.6712, 539.3777, 1907.284, 551.1253, 710.5661, 700.5388, 872.4877, 1168.192
213.6, 111.0907, 296.6713, 3024.895, 561.013, 568.0919, 600.2719, 140.336, 188.8647, 24.9562, 1794.304, 931.5807, 1158.297, 1032.921, 139.2861, 1204.833, 267.4801, 2.876069, 63.42482, 1129.281, 919.5325, 333.3594, 1644.002, 736.086, 2124.123, 2248.98, 835.3141, 913.8965, 447.5016, 386.2518, 1215.481, 2181.123, 586.928, 3883.704, 746.1231, 1710.301, 0.002202355, 5123.33, 1242.783, 391.723, 8.61571, 753.9231, 3045.251, 1458.822, 812.0577, 1123.139, 2426.424, 40.48953, 1246.766, 441.3041, 1225.854, 6690.418, 1006.103, 2019.759, 1715.297, 1730.917, 655.5829, 533.57, 216.0125, 511.9325, 2085.326, 524.0826, 679.6322, 730.4179, 835.2853, 1113.075
213.7, 105.704, 284.5587, 3057.552, 537.2368, 542.6298, 606.4737, 134.5355, 180.2874, 23.83712, 1832.67, 891.4882, 1105.656, 987.548, 132.9719, 1151.755, 253.5079, 2.746359, 60.73868, 1175.322, 879.3687, 319.6804, 1575.471, 702.411, 2028.615, 2156.811, 796.8391, 980.3588, 425.5624, 367.8663, 1240.839, 2082.672, 561.2365, 3802.364, 713.5927, 1759.498, 0.002104215, 5055.769, 1188.526, 424.7905, 8.26055, 788.479, 2998.346, 1421.147, 777.6754, 1296.95, 2368.378, 38.52384, 1327.291, 422.7831, 1164.748, 6571.641, 1089.466, 1990.464, 1640.8, 1825.281, 625.5365, 508.6357, 205.8549, 485.8838, 1993.465, 498.3668, 650.045, 699.9865, 799.6692, 1060.559
213.8, 100.5785, 272.9407, 2930.434, 514.4683, 662.3087, 650.3443, 128.9747, 347.3983, 22.76823, 1753.107, 853.1212, 1055.408, 944.1685, 126.9439, 1159.25, 240.2656, 2.6225, 58.16631, 1133.122, 840.9592, 306.5626, 1694.858, 687.9032, 1988.696, 2301.864, 796.437, 997.0455, 404.6987, 350.356, 1228.551, 2030.951, 536.6695, 3776.747, 682.4805, 1683.059, 0.002010448, 4957.618, 1236.594, 406.9116, 7.92003, 853.3067, 3117.614, 1414.671, 744.7488, 1238.205, 2319.952, 36.65358, 1268.445, 405.0393, 1145.225, 6566.932, 1043.683, 1940.638, 1569.538, 1889.719, 596.8671, 484.8667, 196.175, 461.1605, 2041.093, 473.9128, 621.7458, 670.823, 765.5718, 1010.521
