 , C000, C001, C003, C004, C005, C006, C007, C008, C010, C012, C013, C015, C016, C018, C021, C026, C029, C032, C033, C034, C037, C038, C040, C041, C042, C043, C044, C047, C050, C051, C053, C054, C061, C062, C065, C066, C068, C070, C071, C074, C076, C084, C086, C093, C100, C108, C111, C122
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
201.1, 618.752, 3940.185, 3546.959, 1.42019, 569.78, 0.002287406, 784.3719, 186.603, 1044.626, 828.2153, 1081.199, 736.4096, 1962.886, 2122.767, 2102.44, 498.1649, 733.5898, 2355.745, 2770.117, 1703.813, 556.215, 3632.28, 1920.761, 4224.136, 406.1595, 2355.664, 2736.537, 7.580367, 4461.432, 590.8389, 1626.917, 3083.398, 7583.387, 1409.294, 3524.333, 759.9503, 1007.818, 2062.192, 1601.073, 2308.478, 1237.59, 2525.59, 2036.069, 2123.001, 762.3252, 0.0001361782, 0.0005940515, 32.79426
201.2, 590.1213, 3854.883, 3473.188, 1.358389, 539.6528, 0.002183604, 749.0867, 177.5467, 996.7186, 789.6074, 1029.634, 699.6493, 1875.009, 2127.549, 2127.355, 476.2482, 773.6723, 2403.525, 2746.154, 1804.346, 532.4327, 3611.741, 1866.427, 4232.992, 444.7665, 2464.381, 2676.357, 7.220008, 4361.443, 565.938, 1641.321, 3200.442, 7634.493, 1346.459, 3634.86, 837.8606, 999.5907, 2181.882, 1626.141, 2267.895, 1381.048, 2525.031, 1947.987, 2027.983, 762.5024, 0.0001299613, 0.0005676238, 31.32964
201.3, 562.8155, 3898.65, 3527.143, 1.299277, 625.1521, 0.002084512, 765.7608, 168.9299, 951.0081, 752.7993, 1011.469, 664.724, 1791.067, 2101.388, 2024.891, 455.2957, 740.1509, 2419.689, 2631.404, 1708.006, 509.6673, 3772.27, 1829.237, 4216.025, 423.6167, 2365.896, 2780.744, 6.87678, 4328.392, 542.0865, 1568.937, 3162.157, 7666.646, 1359.942, 3671.76, 858.1943, 973.8114, 2088.201, 1572.168, 2172.576, 1320.852, 2551.024, 2049.974, 2092.307, 739.8788, 0.0001240281, 0.0005423718, 29.93044
201.4, 536.7731, 3787.133, 3592.585, 1.242738, 592.097, 0.001989917, 783.9279, 160.7313, 907.3939, 717.707, 1083.309, 727.4801, 1710.882, 2096.959, 1927.363, 535.59, 762.1505, 2429.104, 2692.477, 1693.169, 487.8753, 3758.881, 1920.296, 4405.258, 403.4726, 2471.439, 2805.408, 6.549869, 4397.527, 519.2402, 1499.745, 3060.379, 7582.165, 1407.908, 3766.652, 818.7791, 961.8419, 2024.6, 1623.841, 2195.552, 1263.28, 2674.323, 1961.291, 2270.613, 724.3349, 0.0001183658, 0.0005182431, 28.59372
201.5, 511.9358, 3612.084, 3446.016, 1.188658, 637.657, 0.001899615, 816.9824, 152.9306, 865.7799, 684.2506, 1040.394, 691.1655, 1634.288, 2002.512, 1941.248, 512.0267, 877.0795, 2542.488, 2714.991, 1710.989, 596.46, 3713.434, 2055.854, 4230.042, 384.2864, 2361.849, 2854.131, 6.238498, 4440.589, 497.3568, 1590.326, 2929.939, 7556.547, 1447.574, 3856.92, 781.1741, 1038.268, 2001.33, 1576.414, 2103.273, 1208.218, 2706.456, 2091.433, 2168.988, 748.6235, 0.000112962, 0.0004951879, 27.3167
201.6, 488.2477, 3772.027, 3465.482, 1.136933, 622.9192, 0.001813411, 780.2303, 145.5085, 826.0743, 652.3538, 990.7757, 656.6637, 1561.122, 2107.916, 1945.321, 489.5002, 970.9334, 2626.882, 2859.538, 1695.75, 570.957, 3578.208, 1968.175, 4332.181, 366.0126, 2433.381, 2793.918, 5.941929, 4429.223, 587.1837, 1520.19, 2941.113, 7609.709, 1502.363, 3990.666, 745.2963, 1019.772, 2099.767, 1509.19, 2247.365, 1155.555, 2682.274, 2000.956, 2071.911, 714.33, 0.0001078049, 0.0004731584, 26.09671
201.7, 465.6556, 3639.514, 3548.699, 1.087458, 589.9822, 0.001731118, 745.1315, 138.4466, 788.1898, 621.9438, 943.5234, 623.8842, 1491.232, 2012.976, 1851.625, 537.321, 928.8652, 2737.287, 2801.775, 1643.243, 661.1127, 3634.083, 1884.234, 4225.03, 348.6077, 2500.491, 2725.539, 5.659459, 4245.786, 562.4368, 1453.148, 2992.079, 7627.729, 1478.442, 4100.795, 711.0663, 1022.365, 2059.906, 1649.861, 2152.908, 1105.188, 2584.987, 2002.82, 2121.557, 777.7719, 0.0001028833, 0.0004521089, 24.93121
201.8, 444.109, 3603.186, 3517.069, 1.040136, 558.7867, 0.00165256, 711.6116, 131.7274, 752.0426, 592.9515, 898.5247, 592.7409, 1424.471, 2018.037, 1762.442, 539.8752, 995.7874, 2887.009, 2684.701, 1555.505, 632.8453, 3526.627, 1922.311, 4408.565, 377.4795, 2547.444, 2766.718, 5.390417, 4311.851, 538.7328, 1389.062, 2875.893, 7509.774, 1412.524, 4119.498, 678.4084, 976.4332, 1971.463, 1590.51, 2111.834, 1057.016, 2701.843, 1916.177, 2153.355, 742.1431, 9.818633e-05, 0.0004319958, 23.81777
201.9, 423.5594, 3579.363, 3399.661, 0.9948734, 529.2408, 0.001577567, 763.8799, 125.3344, 816.7727, 565.3106, 950.1047, 563.1523, 1360.699, 1927.145, 1677.555, 516.1234, 1052.407, 2771.671, 2572.52, 1620.67, 698.0094, 3723.59, 1979.263, 4661.018, 474.3987, 2594.749, 2780.495, 5.134165, 4386.772, 516.0279, 1415.213, 2860.255, 7568.937, 1387.468, 4041.183, 647.2504, 1079.624, 1886.816, 1613.109, 2146.003, 1092.546, 2665.103, 1902.671, 2056.978, 798.9714, 9.37038e-05, 0.0004127775, 22.75405
202, 403.9606, 3413.918, 3450.956, 0.9515805, 501.257, 0.001505977, 729.5166, 215.1505, 779.3147, 538.9583, 945.7289, 535.0407, 1299.782, 1840.346, 1596.756, 493.4166, 1006.809, 2752.198, 2604.973, 1728.759, 668.1644, 3601.135, 1961.873, 4594.888, 451.8398, 2635.259, 2842.743, 4.890095, 4308.241, 494.2798, 1627.396, 2738.344, 7424.938, 1339.377, 4261.167, 617.5235, 1031.12, 1896.265, 1819.289, 2055.806, 1044.925, 2667.29, 2014.711, 1964.915, 911.847, 8.942591e-05, 0.0003944142, 21.73783
202.1, 385.2686, 3256.121, 3452.291, 0.9101714, 481.3978, 0.001437636, 696.6991, 204.7087, 743.5745, 513.8344, 981.6765, 508.3324, 1241.592, 1812.802, 1564.372, 471.7088, 1061.114, 2758.504, 2496.123, 1636.455, 693.9893, 3795.469, 2007.884, 4459.404, 430.3536, 2764.662, 2721.303, 4.657627, 4129.815, 473.4484, 1555.626, 2621.63, 7123.512, 1319.603, 4083.195, 589.1619, 984.7948, 2032.052, 2003.693, 1976.981, 1064.378, 2766.879, 1927.553, 2080.858, 922.7945, 8.534333e-05, 0.0003768678, 20.767
202.2, 367.4417, 3118.175, 3432.784, 141.8942, 455.9438, 0.001372397, 791.3718, 355.4787, 709.4734, 630.2341, 934.8581, 482.9573, 1186.007, 1773.933, 1633.956, 450.956, 1182.594, 2641.778, 2391.821, 1549.08, 720.2122, 3860.597, 2112.14, 4532.994, 409.8892, 2861.5, 2627.288, 4.436211, 3958.778, 453.4949, 1487.021, 2509.891, 7354.952, 1513.99, 3912.655, 562.1028, 1063.477, 2160.376, 1999.801, 1893.889, 1302.969, 2648.707, 1895.345, 2039.717, 888.4057, 471.1452, 0.000360102, 19.83953
202.3, 350.4395, 3256.807, 3546.386, 260.2282, 431.8357, 0.001310118, 755.7717, 402.0183, 977.202, 912.3747, 890.2726, 458.8489, 1132.911, 1871.907, 1761.466, 431.1163, 1131.355, 3063.72, 2291.877, 1466.37, 689.4178, 4027.104, 2144.257, 4571.056, 494.6768, 2977.787, 2599.875, 4.22532, 3794.825, 434.3823, 1792.287, 2402.914, 7996.459, 1530.931, 3894.215, 536.2865, 1015.699, 2153.574, 2088.674, 1979.587, 1593.684, 2810.925, 1886.95, 2632.953, 901.9725, 449.6359, 0.000344082, 18.95348
