 , C000, C003, C005, C006, C007, C012, C013, C014, C015, C016, C018, C019, C020, C021, C022, C023, C024, C027, C028, C029, C030, C034, C035, C036, C039, C040, C042, C043, C053, C057, C058
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
207.2, 623.0571, 285.4799, 2004.311, 1328.799, 608.53, 1483.789, 2019.844, 922.9899, 28.77434, 214.5458, 580.627, 2984.916, 262.624, 169.4785, 1406.831, 3759.133, 883.3582, 2874.753, 4281.009, 710.1006, 440.6272, 815.265, 1073.606, 1129.931, 934.8524, 416.4739, 386.1277, 797.2408, 378.7484, 56.53619, 623.9476
207.3, 596.8146, 271.4405, 1916.025, 1290.302, 580.5154, 1412.961, 2032.081, 1032.037, 27.39502, 218.6739, 550.287, 2951.776, 241.0896, 159.1541, 1343.567, 3624.853, 838.7678, 3003.319, 4214.642, 788.2321, 416.6253, 875.186, 1010.198, 1067.764, 984.0933, 395.8072, 365.8687, 749.8973, 356.4696, 53.91068, 595.2435
207.4, 581.6666, 258.0915, 1831.627, 1230.021, 648.9532, 1368.457, 1942.824, 999.1005, 26.08181, 270.4603, 521.5324, 2823.218, 221.321, 149.4586, 1627.822, 3808.638, 796.4283, 2874.764, 4215.931, 899.8301, 393.9309, 977.4613, 1116.896, 1009.018, 935.0955, 376.166, 346.6726, 705.3653, 335.5013, 51.4071, 562.007
207.5, 557.1674, 356.2276, 1878.128, 1172.556, 619.0777, 1303.134, 1857.487, 949.4547, 24.83156, 272.1355, 494.2803, 2888.214, 203.1734, 140.3538, 1554.62, 3797.134, 756.2261, 2783.259, 4330.583, 854.011, 372.4727, 919.8292, 1050.931, 953.504, 899.8593, 357.4995, 379.453, 663.4778, 339.3905, 226.1284, 530.6263
207.6, 533.7001, 338.7089, 1795.399, 1210.711, 590.5775, 1255.458, 1887.129, 938.9601, 23.64123, 652.6482, 468.4523, 2983.013, 186.5138, 131.8037, 1484.71, 3694.948, 718.0531, 2664.125, 4150.513, 837.9579, 352.1833, 893.6182, 1034.861, 901.0442, 1103.828, 339.7592, 398.0166, 643.7833, 319.4268, 215.6271, 507.85
207.7, 511.2212, 448.7447, 1716.315, 1154.149, 573.64, 1322.322, 2124.575, 892.3027, 22.50797, 617.6963, 567.0513, 2988.717, 171.2203, 123.7744, 1417.944, 3540.337, 681.8071, 2550.089, 4135.433, 795.2894, 365.7544, 864.6817, 973.7413, 1192.434, 1048.868, 322.8993, 377.1338, 697.3514, 300.6374, 205.6135, 479.4933
207.8, 489.6891, 426.6761, 1640.715, 1135.979, 623.0481, 1259.201, 2031.255, 847.9638, 21.42903, 584.6162, 537.4207, 3106.929, 157.1808, 131.2809, 1354.18, 3477.173, 647.3907, 2499.059, 3963.478, 754.7935, 345.831, 813.6992, 976.3105, 1126.829, 996.6452, 306.876, 357.3467, 655.9398, 379.7192, 247.8443, 452.7199
207.9, 469.0639, 452.5544, 1568.444, 1082.907, 594.3651, 1297.253, 1942.034, 805.8281, 20.40181, 553.3077, 509.3384, 2971.614, 144.2924, 159.6568, 1504.153, 3746.081, 614.7115, 2392.089, 4018.732, 723.6081, 405.9108, 926.2501, 1035.965, 1064.833, 947.0224, 291.6479, 400.6801, 616.9873, 390.3557, 236.3345, 427.4415
208, 494.1517, 430.2985, 1499.357, 1032.316, 567.0026, 1280.626, 1856.732, 939.6921, 19.42383, 536.8848, 482.7235, 3120.401, 132.4609, 250.1151, 1436.512, 3589.33, 583.682, 2289.698, 3851.63, 686.7622, 383.8, 871.6375, 988.1038, 1077.536, 899.8703, 277.1754, 449.1715, 580.348, 514.3381, 305.1765, 497.9232
208.1, 473.3386, 409.1371, 1614.636, 984.0877, 540.8998, 1393.154, 1986.58, 892.9984, 18.49273, 539.4647, 656.4532, 3294.594, 121.5995, 455.2192, 1453.011, 3439.138, 554.2188, 2191.69, 3939.262, 898.2142, 362.8936, 948.3602, 929.7452, 1018.252, 1333.41, 336.3174, 480.1687, 745.6328, 584.3356, 533.2112, 597.3995
208.2, 453.402, 488.8694, 1543.514, 1104.426, 515.9986, 1361.024, 2151.29, 862.4143, 76.34422, 510.5742, 741.2658, 3836.151, 111.6287, 739.2509, 1566.686, 3375.525, 676.0187, 2097.877, 3913.655, 852.4775, 721.0536, 1301.736, 874.8334, 962.2299, 1279.509, 433.0619, 454.9757, 763.4554, 602.478, 508.4492, 564.0426
208.3, 434.3052, 512.7138, 1475.525, 1052.829, 622.4484, 1509.119, 2056.796, 862.5835, 72.68459, 483.2309, 1017.183, 3809.452, 102.4755, 694.2168, 1520.388, 3341.19, 641.8945, 2008.079, 3811.28, 809.0696, 789.6663, 1224.984, 823.1647, 1097.307, 1286.947, 570.1552, 561.7925, 958.907, 742.4682, 560.968, 619.8244
208.4, 487.4142, 512.6714, 1806.078, 1003.643, 593.793, 1469.197, 2233.773, 819.7214, 106.1457, 547.4954, 1240.159, 4025.885, 140.8372, 775.5458, 1452.018, 3347.085, 609.4929, 1922.125, 3937.496, 767.8721, 746.6516, 1152.758, 1086.317, 1177.287, 1222.87, 541.8623, 604.4205, 901.9631, 952.3381, 679.8453, 585.2154
208.5, 466.8848, 487.4591, 1847.211, 956.7543, 665.1242, 1399.065, 2135.656, 778.9891, 692.1665, 518.1748, 1316.754, 4090.425, 405.8906, 909.3615, 1386.722, 3505.334, 578.7267, 1839.85, 3773.771, 809.0785, 705.9799, 1178.934, 1205, 1175.61, 1161.984, 514.9734, 572.7083, 1038.023, 1271.325, 648.2736, 552.5388
208.6, 447.2201, 463.4866, 1765.845, 912.0563, 634.5042, 1353.737, 2041.85, 740.2808, 691.5966, 490.4245, 1382.762, 4228.208, 521.7153, 853.9645, 1324.362, 3358.656, 549.5137, 1761.097, 3616.854, 1087.119, 707.2115, 1373.358, 1422.804, 1163.452, 1104.129, 510.5303, 542.66, 976.3808, 1805.029, 618.1682, 521.6868
208.7, 428.3837, 440.6931, 1688.062, 869.4465, 605.2938, 1289.116, 2021.885, 703.4959, 658.4443, 628.132, 1310.507, 4179.144, 478.9362, 801.9423, 1264.806, 3299.281, 521.7752, 1685.715, 3653.051, 1031.763, 668.6882, 1292.384, 1338.771, 1099.441, 1097.347, 485.1962, 630.8688, 918.3992, 1811.925, 589.4608, 716.1107
208.8, 410.3406, 419.0205, 1613.706, 828.8274, 577.4282, 1227.58, 1933.075, 668.5389, 626.8812, 1179.492, 1242.028, 4051.575, 790.7548, 753.0891, 1207.929, 3264.356, 495.4369, 1613.56, 3501.154, 979.2261, 632.2634, 1216.183, 1259.702, 1088.787, 1042.711, 461.1192, 597.7689, 863.8608, 1705.343, 562.0865, 708.6716
208.9, 393.0575, 398.4137, 1542.625, 793.7092, 550.8453, 1293.86, 2026.749, 635.3189, 645.3965, 1382.246, 1177.127, 4047.818, 725.9154, 707.212, 1153.609, 3127.762, 470.4281, 1691.946, 3355.573, 929.3642, 597.8228, 1144.476, 1185.303, 1431.858, 990.7943, 438.2371, 566.4057, 812.5612, 1641.952, 535.9835, 669.1016
209, 384.9286, 378.8204, 1474.676, 756.6284, 525.4863, 1253.312, 1937.726, 603.7496, 669.7793, 1568.203, 1115.618, 4049.309, 666.3926, 664.1296, 1101.733, 2996.884, 446.6818, 1711.948, 3216.046, 882.0413, 628.3712, 1076.997, 1115.297, 1353.08, 988.2025, 416.4904, 536.688, 896.8031, 1545.369, 511.0927, 631.7411
209.1, 368.7158, 360.1906, 1409.719, 721.28, 501.2948, 1193.485, 1852.613, 573.7491, 637.6729, 1585.563, 1057.323, 3925.498, 696.8738, 623.6718, 1052.188, 3080.594, 424.1341, 1638.67, 3082.32, 837.1281, 594.1426, 1013.496, 1049.427, 1278.636, 939.0001, 575.4329, 508.5296, 843.5472, 1454.467, 487.3578, 596.4667
209.2, 353.1858, 342.477, 1347.623, 687.5829, 478.2169, 1212.265, 1794.499, 545.2393, 618.0892, 1500.649, 1002.074, 3754.532, 639.7323, 585.6786, 1004.872, 2951.69, 402.7245, 1568.528, 3103.12, 794.5018, 561.7784, 953.7391, 987.4462, 1208.288, 892.2474, 546.8781, 527.3183, 793.4539, 1368.912, 464.7252, 563.1619
