 , C000, C001, C002, C003, C004, C005, C006, C007, C011, C013, C016, C017, C018, C021, C022, C025, C029, C031, C033, C035, C037, C039, C040, C041, C042, C043, C044, C046, C047, C050, C054, C055, C058, C059, C062, C068, C071, C075, C076, C080, C081, C088, C094, C096, C103, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
107.5, 370.2446, 449.8083, 252.9462, 89.18615, 237.1088, 34.99244, 169.7816, 548.6116, 14.64626, 1180.817, 346.3717, 139.7177, 392.6003, 1304.143, 113.1733, 32.6811, 150.3745, 596.8555, 20.36221, 410.2968, 504.0622, 289.0997, 831.4769, 1009.865, 504.7896, 226.4414, 651.352, 449.003, 198.9869, 423.5519, 1233.405, 1757.025, 276.257, 0.144121, 872.8007, 1.105095, 0.9524766, 1233.823, 678.1067, 20.20356, 183.9397, 29.336, 765.7071, 58.08627, 2999.527, 678.7036, 411.1211
107.6, 471.3452, 754.9476, 259.8593, 84.86716, 225.2358, 33.38424, 161.355, 517.0806, 13.79027, 1120.232, 328.8505, 133.0394, 372.6939, 1216.771, 106.8658, 30.63358, 140.6906, 568.3829, 19.52943, 391.5023, 566.6118, 275.3666, 792.1293, 954.7524, 480.6907, 217.0331, 618.0712, 426.6239, 186.8035, 402.4946, 1168.817, 1679.122, 264.0114, 0.13829, 832.768, 1.053044, 0.8994641, 1262.95, 731.7923, 19.3249, 175.044, 28.00307, 723.1439, 55.27132, 2850.316, 646.8556, 417.7291
107.7, 656.2436, 767.3, 293.4268, 80.75732, 213.9573, 31.84994, 608.843, 534.1462, 12.98432, 1124.908, 312.2156, 466.0705, 353.7969, 1314.635, 100.9099, 28.71435, 131.6303, 541.2687, 18.7307, 373.5687, 715.611, 262.2859, 754.6439, 902.6473, 457.7422, 208.0157, 646.4639, 467.8289, 175.366, 382.4842, 1107.61, 1604.673, 252.3086, 0.1326949, 1005.811, 1.003445, 0.8494021, 1204.482, 760.9547, 18.48446, 166.5785, 26.73072, 682.9467, 52.59278, 2785.219, 616.502, 414.2901
107.8, 669.6027, 1062.826, 275.5315, 76.8465, 203.2436, 30.38616, 999.2069, 569.8104, 12.22546, 1067.192, 296.4221, 443.793, 335.858, 1226.56, 95.28587, 26.91536, 123.1535, 515.4479, 17.96464, 356.4566, 748.0675, 249.8265, 718.9323, 853.3857, 435.8893, 199.3729, 613.4329, 488.5048, 164.6288, 363.4686, 1049.609, 1533.525, 241.1245, 0.1273262, 1030.483, 0.9561825, 0.8021264, 1148.722, 805.5196, 17.68056, 250.885, 25.51617, 743.4762, 50.04406, 2646.669, 587.5728, 814.938
107.9, 751.4424, 1177.371, 308.3849, 73.12508, 193.0664, 425.0194, 1155.814, 537.061, 11.51096, 1109.429, 281.4276, 504.3277, 318.8287, 1144.385, 89.97531, 25.22908, 115.2226, 490.8588, 17.22992, 340.1283, 755.738, 237.959, 684.9106, 806.8126, 415.0797, 191.0892, 639.6945, 464.1569, 154.549, 345.3984, 994.6453, 1515.063, 230.4362, 0.1221747, 983.2174, 0.9111458, 0.757482, 1095.542, 764.9051, 16.91163, 238.7517, 24.35681, 858.8003, 47.61885, 2515.011, 560.0011, 777.0882
108, 765.3657, 1126.482, 419.9849, 69.58387, 183.3988, 405.4861, 1112.578, 506.1939, 10.83822, 1068.349, 267.1915, 480.2215, 302.6629, 1067.715, 84.96072, 23.64845, 107.8025, 467.4428, 16.52524, 324.548, 720.9041, 226.6552, 652.499, 762.7811, 395.2636, 243.3807, 607.0093, 441.0225, 145.0864, 328.2266, 942.5596, 1467.38, 220.2217, 0.1172317, 938.1202, 0.8682303, 0.7153224, 1085.832, 726.3384, 16.17614, 227.2052, 23.25012, 871.0856, 45.31117, 2484.65, 533.7232, 740.9963
108.1, 725.4371, 1118.713, 398.9511, 66.21415, 174.2153, 386.8505, 1057.359, 477.1009, 10.20479, 1013.535, 253.6756, 457.2676, 287.3167, 996.1823, 80.22561, 164.2423, 100.8602, 445.1438, 15.84938, 309.6814, 766.5024, 215.8884, 621.6211, 789.4019, 376.3935, 233.2686, 575.9943, 419.0412, 136.2032, 311.9085, 893.2015, 1402.319, 210.4599, 0.1124886, 895.0914, 0.8273362, 0.6755093, 1246.664, 689.7162, 15.47263, 216.2171, 22.19372, 981.7744, 43.11532, 2514.593, 508.6784, 762.7258
108.2, 767.5385, 1053.076, 501.6848, 63.00761, 165.4916, 369.0714, 1033.93, 607.0289, 9.608385, 1048.786, 240.8434, 435.4109, 272.7486, 929.4418, 75.75439, 153.9523, 94.36492, 423.9086, 15.20116, 295.4958, 731.1724, 205.6331, 592.2045, 746.3207, 358.4242, 223.5766, 546.5639, 398.1554, 127.8638, 296.4017, 846.4281, 1429.438, 201.1309, 0.1079374, 854.0363, 0.7883682, 0.6379121, 1270.875, 654.9406, 14.79973, 205.7604, 21.18532, 989.1568, 41.02589, 2439.27, 484.8087, 757.2991
108.3, 758.3969, 991.2909, 471.0883, 59.95636, 157.2048, 352.1094, 1030.011, 676.3971, 9.046835, 994.9755, 228.6603, 414.5988, 258.9192, 867.1726, 71.53238, 144.307, 88.28796, 403.6863, 14.57946, 409.7946, 786.8713, 195.8649, 564.1799, 742.2234, 341.3128, 214.2873, 630.7263, 378.3107, 120.035, 281.6658, 802.104, 1366.059, 192.2153, 0.1035703, 814.8643, 0.7512357, 0.6024075, 1212.041, 621.9183, 14.15608, 195.8094, 20.22273, 934.1728, 39.03772, 2412.204, 462.0592, 925.4655
108.4, 777.4322, 988.5708, 541.2886, 57.05287, 149.3329, 335.9269, 978.8895, 694.0173, 8.518104, 1010.805, 217.0935, 394.7816, 245.791, 809.0753, 67.54567, 195.597, 82.60236, 384.4288, 13.98318, 391.0231, 750.6024, 186.5607, 537.4815, 701.7169, 325.0184, 220.9952, 598.4994, 359.455, 112.6856, 267.6625, 760.101, 1305.491, 387.9049, 0.09937999, 777.4889, 0.7158521, 0.5688789, 1203.076, 723.6426, 13.54043, 186.3397, 19.30389, 974.6823, 37.14589, 2438.4, 440.3772, 897.3396
108.5, 736.8741, 948.4821, 508.2768, 54.28998, 141.8552, 320.4882, 930.3053, 804.793, 8.020273, 1137.186, 206.1118, 375.9116, 233.3284, 754.8702, 63.78115, 183.3426, 77.28289, 366.0899, 13.41129, 508.4946, 716.0052, 177.6985, 512.0466, 663.421, 309.5018, 211.8131, 567.9191, 341.5391, 105.7862, 254.3554, 951.1351, 1247.608, 384.6569, 0.09535918, 913.3508, 0.682135, 0.5372165, 1147.38, 687.1564, 12.95155, 177.3279, 18.42679, 920.5028, 35.34575, 2368.163, 419.7126, 1175.818
108.6, 698.4319, 982.2136, 477.2784, 51.6609, 134.7519, 305.759, 905.2239, 865.9026, 7.551538, 1078.84, 195.6856, 357.9436, 221.4978, 704.2968, 60.22644, 171.856, 72.30599, 348.6259, 12.86279, 485.2019, 710.4189, 169.2573, 487.8153, 627.2151, 294.726, 203.0126, 538.9014, 371.6086, 232.545, 497.1394, 901.3279, 1265.673, 425.6057, 0.09150103, 871.4581, 0.6500061, 0.5073164, 1263.654, 882.0864, 12.38829, 168.752, 17.58954, 869.335, 33.63284, 2313.199, 400.0177, 1479.652
108.7, 661.9952, 1064.583, 550.4023, 49.15913, 281.1242, 291.7067, 860.2959, 816.1356, 7.110198, 1023.487, 185.7869, 340.8344, 210.267, 785.6465, 56.86984, 161.089, 67.6496, 331.995, 12.33672, 509.446, 801.8871, 161.2171, 464.7307, 592.9851, 280.6556, 194.5777, 511.3663, 353.0869, 218.3069, 518.9075, 999.9744, 1242.621, 531.2637, 0.08779899, 831.487, 0.6193905, 0.4790803, 1205.155, 1005.058, 11.84952, 160.5908, 16.79034, 821.0115, 32.00294, 2198.13, 381.2469, 1459.601
108.8, 627.4594, 1002.122, 516.8347, 46.77851, 267.0472, 278.3003, 817.5978, 769.2289, 6.694651, 1030.86, 176.3888, 324.543, 199.6056, 733.0112, 53.70031, 150.9965, 63.29307, 316.1574, 11.83217, 486.1097, 764.9261, 153.5588, 442.7385, 560.6232, 267.257, 215.5143, 485.2381, 335.4884, 204.9405, 493.1096, 987.5951, 1187.526, 507.7144, 0.08424672, 793.3492, 0.5902169, 0.4524159, 1149.363, 954.3825, 11.33418, 152.8243, 16.02744, 775.3741, 30.45203, 2189.411, 363.357, 1504.456
108.9, 594.7252, 1082.038, 485.3143, 44.51318, 253.6751, 265.5099, 777.0189, 792.802, 6.30339, 1014.758, 167.4662, 309.0303, 189.4848, 683.9022, 50.70744, 175.82, 59.21709, 301.0754, 11.34825, 463.8424, 729.6687, 146.2643, 421.787, 530.0275, 254.498, 240.5313, 460.4449, 318.7671, 192.3925, 468.5941, 935.8787, 1187.964, 616.3536, 0.08083818, 756.9607, 0.5624173, 0.4272355, 1096.154, 906.2623, 10.84125, 145.4334, 15.29922, 732.2736, 28.97628, 2332.924, 346.3065, 2054.254
109, 563.6988, 1018.553, 455.7163, 42.35755, 240.9725, 253.3075, 738.4539, 747.2364, 5.934996, 996.5005, 158.9949, 294.2591, 179.8772, 797.5861, 47.88136, 164.8047, 55.4036, 286.7128, 10.88412, 497.6399, 922.3631, 139.3163, 401.827, 501.1015, 242.3481, 230.5376, 436.9185, 320.2751, 180.6129, 524.855, 914.5365, 1282.945, 589.0325, 0.07756755, 722.2412, 0.5359272, 0.4034567, 1097.487, 860.5684, 10.36977, 138.4, 14.60407, 873.0079, 27.57204, 2216.874, 330.0562, 2075.094
109.1, 534.291, 958.7933, 450.4641, 40.30631, 228.9061, 241.6658, 701.803, 704.2896, 5.588132, 1121.173, 150.9521, 280.1939, 170.7568, 744.1508, 45.21279, 154.4794, 51.8357, 273.0354, 10.43898, 474.8445, 879.8491, 132.6984, 382.8116, 473.7541, 230.7782, 220.959, 414.5942, 304.312, 169.5544, 623.4174, 968.4298, 1262.163, 562.9224, 0.07442924, 689.1142, 0.5106847, 0.3810012, 1286.632, 817.1783, 9.918782, 131.7067, 13.94052, 866.6473, 26.23586, 2185.101, 314.5684, 1978.716
109.2, 506.4174, 902.5396, 422.9915, 38.35441, 309.9695, 230.5592, 666.9713, 663.8112, 5.261541, 1145.01, 143.3162, 266.801, 162.0987, 776.8083, 42.69294, 144.8011, 48.49756, 260.0105, 10.01204, 453.0932, 839.2946, 126.3948, 364.696, 612.188, 219.7607, 257.0173, 393.4106, 289.1445, 159.1731, 592.4236, 917.717, 1206.202, 537.9698, 0.0714179, 657.5066, 0.4866312, 0.3597956, 1227.069, 775.976, 9.487412, 125.3371, 13.30711, 914.1024, 24.96443, 2101.406, 299.8073, 2019.62
